n,value,source,method
1,0.5000000000000000000000000000000000000000,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
2,0.5651977173836393964375280132470308160984,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
3,0.5888806999178529980514426957517049337221,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
4,0.5914171708531384817988341017359231779642,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
5,0.5922358232050266776468513240523872931777,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
6,0.5925073562056416791039647019136652231541,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
7,0.5926196333998949001725078647635478154618,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
8,0.5926727605746273159803396143033787878155,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
9,0.5927006240698093405431688044620515383831,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
10,0.5927163956307984449936472582379354676976,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
11,0.5927258706594202658220083530779420439346,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
12,0.5927318424282431711880689641407018936896,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
13,0.5927357579756109329667635225705210166147,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
14,0.5927384119896431219655807545828528768826,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
15,0.5927402625774169696977289423157479414628,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
16,0.5927415848750128489249007208681102997016,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
17,0.5927425500481430481174634605214209833281,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
18,0.5927432678876343617903095425293033143864,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
19,0.5927438107312915517933469085441350226515,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
20,0.5927442273849199618209333613184304919328,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
21,0.592744551481371482002735520463,Jacobsen 2015 Table 2,eigenvalue identity periodic cylinder
