n,p_med,p_cell,source,decimal_status
1,0.500000000000000000000000000000,,Mertens 2022 Table 4,exact as printed
2,0.541196100146196984399723205366,0.618033988749894848204586834365,Mertens 2022 Table 4,exact as printed
3,0.559296316001323534755763920789,0.620734471730213489279430523252,Mertens 2022 Table 4,exact as printed
4,0.569724133968027153228040518353,0.619583777217655117827765082346,Mertens 2022 Table 4,exact as printed
5,0.575810073211627653605032974314,0.613506053696798307677288581191,Mertens 2022 Table 4,exact as printed
6,0.579702757132443521419439978330,0.609208761667991711639989601974,Mertens 2022 Table 4,exact as printed
7,0.582351295080082980073474691830,0.606075989265451882260569905672,Mertens 2022 Table 4,exact as printed
8,0.584241466489847673860351132398,0.603762879768292280370335551749,Mertens 2022 Table 4,exact as printed
9,0.585641556861396511416995666354,0.602011983338557157018606681442,Mertens 2022 Table 4,exact as printed
10,0.586710034053406359804690473124,0.600656365889941520514281630459,Mertens 2022 Table 4,exact as printed
11,0.587545601376707076865096376747,0.599585402842798543263268780420,Mertens 2022 Table 4,exact as printed
12,0.588212470606443263171973079741,0.598724257102302868949743766602,Mertens 2022 Table 4,exact as printed
13,0.588753953651382767097855532073,0.598021063882979665779438359439,Mertens 2022 Table 4,exact as printed
14,0.589200171193723644344640059478,0.597439041437080848283968950089,Mertens 2022 Table 4,exact as printed
15,0.589572624709616129448171107692,0.596951544750954799494938258995,Mertens 2022 Table 4,exact as printed
16,0.589887013723258987069435195722,0.596538896774607564321149432769,Mertens 2022 Table 4,exact as printed
17,0.590155029961590857817809334101,0.596186311743107211382955497774,Mertens 2022 Table 4,exact as printed
18,0.590385533260670477887261817585,0.595882504071658438851295137696,Mertens 2022 Table 4,exact as printed
19,0.590585341987611428265706601016,0.595618737176226408186670067141,Mertens 2022 Table 4,exact as printed
20,0.590759776378574624089782736423,0.595388160640890684818467256078,Mertens 2022 Table 4,exact as printed
21,0.590913039569092174937740096798,0.595185340192645002572869419257,Mertens 2022 Table 4,exact as printed
22,0.591048489639675518303675880577,0.595005919018756026574538302404,Mertens 2022 Table 4,exact as printed
23,0.591168837021863732985091670808,0.594846370109520325790777710845,Mertens 2022 Table 4,exact as printed
24,0.591276289864951685617852112360,0.594703812696743490456949711289,Mertens 2022 Table 4,exact as printed
