k,count,sum_q,sum_e,sum_sstar,sum_bv,sum_qsstar,sum_esstar,sum_qbv,sum_ebv
0,1,-1,1,51,50,-51,51,-50,50
1,25,-25,25,1200,1150,-1200,1200,-1150,1150
2,300,-300,300,13500,12650,-13500,13500,-12650,12650
3,2300,-2300,2300,96600,88550,-96600,96600,-88550,88550
4,12650,-12650,12650,493400,442750,-493400,493400,-442750,442750
5,53130,-53130,53130,1913730,1682450,-1913730,1913730,-1682450,1682450
6,177100,-177100,177100,5854800,5047350,-5854800,5854800,-5047350,5047350
7,480700,-480450,480450,14487750,12257850,-14480000,14480000,-12250600,12250600
8,1081575,-1077525,1077525,29505875,24515700,-29391475,29391475,-24411900,24411900
9,2042975,-2012075,2012075,50080550,40859500,-49291150,49291150,-40165050,40165050
10,3268760,-3121160,3121560,71510860,57203300,-68128060,68137260,-54320700,54329100
11,4457400,-3964900,3973700,86569000,67603900,-76520900,76700700,-59335750,59495050
12,5200300,-3991100,4063200,89487450,67603900,-67654750,68963050,-50380350,51484750
13,5200300,-2960450,3280550,79592250,57203300,-43858500,49002000,-30552000,34623300
14,4457400,-1296800,2174500,61415600,40859500,-16558000,29076100,-10001800,19074200
15,3268760,136400,1415400,41453120,24515700,2402800,17600400,2222700,10521500
16,2042975,763325,1046175,24630725,12257850,9331075,12504125,5078500,6448400
17,1081575,698675,731675,12900500,5047350,8287700,8657400,3389900,3504600
18,480700,398500,400100,5909500,1682450,4866400,4884800,1414750,1418350
19,177100,164850,164850,2324150,442750,2155400,2155400,413850,413850
20,53130,51980,51980,763680,88550,746180,746180,86700,86700
21,12650,12600,12600,202500,12650,201650,201650,12600,12600
22,2300,2300,2300,41400,1150,41400,41400,1150,1150
23,300,300,300,6100,50,6100,6100,50,50
24,25,25,25,575,0,575,575,0,0
25,1,1,1,26,0,26,26,0,0
