K,q,count,sum_S
0,-1,1,51
1,-1,25,1200
2,-1,300,13500
3,-1,2300,96600
4,-1,12650,493400
5,-1,53120,1913370
5,0,10,370
6,-1,176900,5848200
6,0,200,6800
7,-1,478700,14427300
7,0,2000,62200
8,-1,1068575,29147025
8,0,13000,367800
9,-1,1982350,48559750
9,0,60600,1549900
9,1,25,650
10,-1,3054880,66668180
10,0,213280,4895580
10,1,600,14000
11,-1,3869650,74653000
11,0,581350,11884950
11,1,6400,133000
12,-1,3931075,66619625
12,0,1229100,22232300
12,1,40125,737775
13,-1,3067350,45565300
13,0,1970750,31463150
13,1,162200,2627450
14,-1,1723100,22594300
14,0,2301450,32638700
14,1,432850,6206350
15,-1,639850,7574200
15,0,1861060,23966840
15,1,767850,9917000
16,-1,141575,1573725
16,0,994350,12117100
16,1,907050,10934700
17,-1,15900,172900
17,0,340550,4142950
17,1,725125,8573800
18,-1,550,5850
18,0,72700,929100
18,1,407450,4966150
19,0,9000,125800
19,1,168100,2195100
20,0,520,8140
20,1,52610,754910
21,1,12650,202450
22,1,2300,41400
23,1,300,6100
24,1,25,575
25,1,1,26
