K,q,count,sum_S
0,-1,1,101
1,-1,50,4900
2,-1,1225,116375
3,-1,19600,1803200
4,-1,230300,20496800
5,-1,2118760,182217960
6,-1,15890700,1319031600
7,-1,99884400,7992270000
8,-1,536878650,41355974650
9,-1,2505433700,185539173300
10,-1,10272275640,730268334540
10,0,2530,182160
11,-1,37353644600,2545401360400
11,0,94200,6513800
12,-1,121397941600,7916969218800
12,0,1709500,113362200
13,-1,354840373600,22110341492000
13,0,20145000,1279097800
14,-1,937672373600,55730649559600
14,0,173282600,10517425400
14,1,100,6100
15,-1,2249669965200,127316886315000
15,0,1159602920,67162073640
15,1,7000,406800
16,-1,4917406265875,264516415154175
16,0,6283219100,346629100600
16,1,210600,11651000
17,-1,9819050206850,501125989153600
17,0,28325416400,1485613546400
17,1,3767900,198200400
18,-1,17945162329350,867342558078550
18,0,108321015900,5390721915400
18,1,45538525,2274518975
19,-1,30049148895600,1372932760307000
19,0,356394429300,16796495329300
19,1,400058300,18943541400
20,-1,46107278229140,1987859365902740
20,0,1019251598020,45402448431560
20,1,2682416800,120211963800
21,-1,64761393549150,2630237400322700
21,0,2551844321200,107238323317800
21,1,14208192450,601542902800
22,-1,83071124772600,3173400728093200
22,0,5617741532250,222335531808200
22,1,60948959750,2433498868550
23,-1,96932290178200,3478488379303600
23,0,10895365052700,405516733612100
23,1,215598134700,8104766238400
24,-1,102302858471825,3445853679198325
24,0,18608804970000,650671296442000
24,1,636996594475,22516290269375
25,-1,96909044979962,3063302906007712
25,0,27916095449840,916685395622360
25,1,1585466007950,52657854519800
26,-1,81595069551400,2422494502523900
26,0,36612585243850,1129773497489200
26,1,3341005241050,104281074799750
27,-1,60354879684100,1686708329129800
27,0,41714782851800,1212028778357000
27,1,5973590829700,175480618944400
28,-1,38703726619850,1022244101875250
28,0,40982027843650,1125431329192100
28,1,9064060801100,251405232036800
29,-1,21213496294300,532843646528100
29,0,34449288390900,899459538649900
29,1,11664661377600,307095892574100
30,-1,9795876931960,236045324502060
30,0,24604264979220,615854946738360
30,1,12729070332780,320489278245980
31,-1,3758867132600,87855452304200
31,0,14852645048800,360162877839800
31,1,11794431201800,286742691238400
32,-1,1183347318375,27172128361675
32,0,7557325829350,179719044088800
32,1,9312855736050,221103341305750
33,-1,301982457950,6903773160800
33,0,3241104892200,76577245431400
33,1,6304292041000,147952206889500
34,-1,61676637250,1421581805650
34,0,1174139885850,27914197584900
34,1,3687873172475,86594350620225
35,-1,9919107600,232954235200
35,0,360403332200,8720936089160
35,1,1880507135320,44679252458720
36,-1,1226740750,29588761550
36,0,93947049200,2336175745800
36,1,842671866350,20460428912150
37,-1,112487700,2799776500
37,0,20788489000,535330509000
37,1,333959541900,8356689259900
38,-1,7217600,185565600
38,0,3885952600,104235114500
38,1,117506480900,3051605513500
39,-1,294400,7784000
39,0,606929100,17030618500
39,1,36746515300,996115036000
40,-1,6400,171400
40,0,77724620,2288181340
40,1,10194547150,289818843250
41,-1,50,1300
41,0,7927800,245258200
41,1,2497505850,74743724400
42,0,616700,20052600
42,1,536261950,16945678950
43,0,34200,1167000
43,1,99850200,3339287800
44,0,1200,42800
44,1,15889500,563366700
45,0,20,740
45,1,2118740,79738340
46,1,230300,9207400
47,1,19600,832800
48,1,1225,55325
49,1,50,2400
50,1,1,51
