partition,components,shared,activation16
00000000,1,1,0
00000001,2,1,0
00000010,2,1,0
00000011,2,1,0
00000012,3,1,0
00000100,2,1,0
00000101,2,1,0
00000102,3,1,0
00000110,2,1,0
00000111,2,1,0
00000112,3,1,0
00000120,3,1,0
00000121,3,1,0
00000122,3,1,0
00000123,4,1,0
00001000,2,1,0
00001001,2,1,0
00001002,3,1,0
00001010,2,1,0
00001011,2,1,0
00001012,3,1,0
00001020,3,1,0
00001021,3,1,0
00001022,3,1,0
00001023,4,1,0
00001100,2,1,0
00001101,2,1,0
00001102,3,1,0
00001110,2,1,0
00001111,2,0,0
00001112,3,0,0
00001120,3,1,0
00001121,3,0,0
00001122,3,0,0
00001123,4,0,0
00001200,3,1,0
00001201,3,1,0
00001202,3,1,0
00001203,4,1,0
00001210,3,1,0
00001211,3,0,0
00001212,3,0,0
00001213,4,0,0
00001220,3,1,0
00001221,3,0,0
00001222,3,0,0
00001223,4,0,0
00001230,4,1,0
00001231,4,0,0
00001232,4,0,0
00001233,4,0,0
00001234,5,0,0
00010000,2,1,0
00010001,2,2,0
00010002,3,1,0
00010010,2,2,0
00010011,2,2,0
00010012,3,2,0
00010020,3,1,0
00010021,3,2,0
00010022,3,1,0
00010023,4,1,0
00010100,2,2,0
00010101,2,2,0
00010102,3,2,0
00010110,2,2,0
00010111,2,2,0
00010112,3,2,0
00010120,3,2,0
00010121,3,2,0
00010122,3,2,0
00010123,4,2,0
00010200,3,1,0
00010201,3,2,0
00010202,3,1,0
00010203,4,1,0
00010210,3,2,0
00010211,3,2,0
00010212,3,2,0
00010213,4,2,0
00010220,3,1,0
00010221,3,2,0
00010222,3,1,0
00010223,4,1,0
00010230,4,1,0
00010231,4,2,0
00010232,4,1,0
00010233,4,1,0
00010234,5,1,0
00011000,2,2,0
00011001,2,2,0
00011002,3,2,0
00011010,2,2,0
00011011,2,2,0
00011012,3,2,0
00011020,3,2,0
00011021,3,2,0
00011022,3,2,0
00011023,4,2,0
00011100,2,2,0
00011101,2,2,0
00011102,3,2,0
00011110,2,2,0
00011111,2,1,0
00011112,3,1,0
00011120,3,2,0
00011121,3,1,0
00011122,3,1,0
00011123,4,1,0
00011200,3,2,0
00011201,3,2,0
00011202,3,2,0
00011203,4,2,0
00011210,3,2,0
00011211,3,1,0
00011212,3,1,0
00011213,4,1,0
00011220,3,2,0
00011221,3,1,0
00011222,3,1,0
00011223,4,1,0
00011230,4,2,0
00011231,4,1,0
00011232,4,1,0
00011233,4,1,0
00011234,5,1,0
00012000,3,1,0
00012001,3,2,0
00012002,3,1,0
00012003,4,1,0
00012010,3,2,0
00012011,3,2,0
00012012,3,2,0
00012013,4,2,0
00012020,3,1,0
00012021,3,2,0
00012022,3,1,0
00012023,4,1,0
00012030,4,1,0
00012031,4,2,0
00012032,4,1,0
00012033,4,1,0
00012034,5,1,0
00012100,3,2,0
00012101,3,2,0
00012102,3,2,0
00012103,4,2,0
00012110,3,2,0
00012111,3,1,0
00012112,3,1,0
00012113,4,1,0
00012120,3,2,0
00012121,3,1,0
00012122,3,1,0
00012123,4,1,0
00012130,4,2,0
00012131,4,1,0
00012132,4,1,0
00012133,4,1,0
00012134,5,1,0
00012200,3,1,0
00012201,3,2,0
00012202,3,1,0
00012203,4,1,0
00012210,3,2,0
00012211,3,1,0
00012212,3,1,0
00012213,4,1,0
00012220,3,1,0
00012221,3,1,0
00012222,3,0,0
00012223,4,0,0
00012230,4,1,0
00012231,4,1,0
00012232,4,0,0
00012233,4,0,0
00012234,5,0,0
00012300,4,1,0
00012301,4,2,0
00012302,4,1,0
00012303,4,1,0
00012304,5,1,0
00012310,4,2,0
00012311,4,1,0
00012312,4,1,0
00012313,4,1,0
00012314,5,1,0
00012320,4,1,0
00012321,4,1,0
00012322,4,0,0
00012323,4,0,0
00012324,5,0,0
00012330,4,1,0
00012331,4,1,0
00012332,4,0,0
00012333,4,0,0
00012334,5,0,0
00012340,5,1,0
00012341,5,1,0
00012342,5,0,0
00012343,5,0,0
00012344,5,0,0
00012345,6,0,0
00100000,2,1,0
00100001,2,2,0
00100002,3,1,0
00100010,2,2,0
00100011,2,2,0
00100012,3,2,0
00100020,3,1,0
00100021,3,2,0
00100022,3,1,0
00100023,4,1,0
00100100,2,2,0
00100101,2,2,0
00100102,3,2,0
00100110,2,2,0
00100111,2,2,0
00100112,3,2,0
00100120,3,2,0
00100121,3,2,0
00100122,3,2,0
00100123,4,2,0
00100200,3,1,0
00100201,3,2,0
00100202,3,1,0
00100203,4,1,0
00100210,3,2,0
00100211,3,2,0
00100212,3,2,0
00100213,4,2,0
00100220,3,1,0
00100221,3,2,0
00100222,3,1,0
00100223,4,1,0
00100230,4,1,0
00100231,4,2,0
00100232,4,1,0
00100233,4,1,0
00100234,5,1,0
00101000,2,2,0
00101001,2,2,0
00101002,3,2,0
00101010,2,2,0
00101011,2,2,0
00101012,3,2,0
00101020,3,2,0
00101021,3,2,0
00101022,3,2,0
00101023,4,2,0
00101100,2,2,0
00101101,2,2,0
00101102,3,2,0
00101110,2,2,0
00101111,2,1,0
00101112,3,1,0
00101120,3,2,0
00101121,3,1,0
00101122,3,1,0
00101123,4,1,0
00101200,3,2,0
00101201,3,2,0
00101202,3,2,0
00101203,4,2,0
00101210,3,2,0
00101211,3,1,0
00101212,3,1,0
00101213,4,1,0
00101220,3,2,0
00101221,3,1,0
00101222,3,1,0
00101223,4,1,0
00101230,4,2,0
00101231,4,1,0
00101232,4,1,0
00101233,4,1,0
00101234,5,1,0
00102000,3,1,0
00102001,3,2,0
00102002,3,1,0
00102003,4,1,0
00102010,3,2,0
00102011,3,2,0
00102012,3,2,0
00102013,4,2,0
00102020,3,1,0
00102021,3,2,0
00102022,3,1,0
00102023,4,1,0
00102030,4,1,0
00102031,4,2,0
00102032,4,1,0
00102033,4,1,0
00102034,5,1,0
00102100,3,2,0
00102101,3,2,0
00102102,3,2,0
00102103,4,2,0
00102110,3,2,0
00102111,3,1,0
00102112,3,1,0
00102113,4,1,0
00102120,3,2,0
00102121,3,1,0
00102122,3,1,0
00102123,4,1,0
00102130,4,2,0
00102131,4,1,0
00102132,4,1,0
00102133,4,1,0
00102134,5,1,0
00102200,3,1,0
00102201,3,2,0
00102202,3,1,0
00102203,4,1,0
00102210,3,2,0
00102211,3,1,0
00102212,3,1,0
00102213,4,1,0
00102220,3,1,0
00102221,3,1,0
00102222,3,0,0
00102223,4,0,0
00102230,4,1,0
00102231,4,1,0
00102232,4,0,0
00102233,4,0,0
00102234,5,0,0
00102300,4,1,0
00102301,4,2,0
00102302,4,1,0
00102303,4,1,0
00102304,5,1,0
00102310,4,2,0
00102311,4,1,0
00102312,4,1,0
00102313,4,1,0
00102314,5,1,0
00102320,4,1,0
00102321,4,1,0
00102322,4,0,0
00102323,4,0,0
00102324,5,0,0
00102330,4,1,0
00102331,4,1,0
00102332,4,0,0
00102333,4,0,0
00102334,5,0,0
00102340,5,1,0
00102341,5,1,0
00102342,5,0,0
00102343,5,0,0
00102344,5,0,0
00102345,6,0,0
00110000,2,1,0
00110001,2,2,0
00110002,3,1,0
00110010,2,2,0
00110011,2,2,1
00110012,3,2,-2
00110020,3,1,0
00110021,3,2,-2
00110022,3,1,0
00110023,4,1,0
00110100,2,2,0
00110101,2,2,2
00110102,3,2,-4
00110110,2,2,1
00110111,2,2,0
00110112,3,2,-2
00110120,3,2,-2
00110121,3,2,-4
00110122,3,2,-3
00110123,4,2,-2
00110200,3,1,0
00110201,3,2,-4
00110202,3,1,0
00110203,4,1,0
00110210,3,2,-2
