k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,10080,-10080,10080,2209,6720,-6720,6720
5,42504,-42496,42496,64240,-64208,64208,13108,42752,-42720,42720
6,134596,-134444,134444,293744,-293168,293168,55328,194720,-194144,194144
7,346104,-344664,344664,1027032,-1021656,1021656,176484,676456,-671176,671176
8,735471,-726631,726631,2854860,-2821228,2821228,440816,1861208,-1829176,1829176
9,1307504,-1268688,1268720,6463012,-6306500,6306692,880896,4146528,-4003712,4003904
10,1961256,-1832568,1833288,12037836,-11462124,11465836,1425398,7557216,-7059520,7063232
11,2496144,-2163420,2170588,18302476,-16592196,16625572,1876144,11251136,-9854936,9887960
12,2704156,-2023294,2065024,22064836,-18055476,18245044,2004716,13491152,-10367744,10550528
13,2496144,-1394472,1550184,20210956,-13214436,13948036,1727312,12737552,-7417040,8096976
14,1961256,-567710,948618,13686692,-5180652,7010060,1191112,9319816,-2794728,4420904
15,1307504,51200,563080,7035408,-91632,2807504,656264,5316776,240688,2125840
16,735471,275571,377505,2887096,978912,1328960,288910,2391608,888680,1142936
17,346104,226952,237128,940268,572580,589692,99944,835680,521120,534176
18,134596,113932,114240,233184,183936,183936,26138,218688,173152,173152
19,42504,40344,40344,41440,37152,37152,4852,40320,36096,36096
20,10626,10522,10522,4704,4512,4512,570,4672,4480,4480
21,2024,2024,2024,256,256,256,32,256,256,256
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
