k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,0,0,0,0,0,0,0
3,2024,-2024,2024,0,0,0,0,0,0,0
4,10626,-10626,10626,0,0,0,0,0,0,0
5,42504,-42496,42496,128,-128,128,32,64,-64,64
6,134596,-134444,134444,1952,-1952,1952,488,992,-992,992
7,346104,-344664,344664,14080,-14080,14080,3504,7168,-7168,7168
8,735471,-726631,726631,65968,-65904,65904,16204,32768,-32704,32704
9,1307504,-1268688,1268720,220000,-218720,218720,52780,105152,-103968,103968
10,1961256,-1832568,1833288,523024,-512144,512144,121216,243360,-234144,234144
11,2496144,-2163420,2170588,852368,-801744,801744,190880,401472,-361728,361728
12,2704156,-2023294,2065024,911360,-779552,781344,200372,460864,-360576,362368
13,2496144,-1394472,1550184,617200,-418448,428880,138140,360992,-207776,218208
14,1961256,-567710,948618,274416,-102000,128624,64056,195520,-53856,80480
15,1307504,51200,563080,89728,288,29984,21732,76320,4544,25728
16,735471,275571,377505,23120,7600,9552,5712,21792,7808,9344
17,346104,226952,237128,4416,2656,2656,1100,4352,2656,2656
18,134596,113932,114240,544,448,448,136,544,448,448
19,42504,40344,40344,32,32,32,8,32,32,32
20,10626,10522,10522,0,0,0,0,0,0,0
21,2024,2024,2024,0,0,0,0,0,0,0
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
