k,count,sum_q,sum_e,sum_G16,sum_G16_q,sum_G16_E,nonzero_G16_count,sum_G16_contact,sum_G16_q_contact,sum_G16_E_contact
0,1,-1,1,0,0,0,0,0,0,0
1,24,-24,24,0,0,0,0,0,0,0
2,276,-276,276,48,-48,48,12,32,-32,32
3,2024,-2024,2024,1008,-1008,1008,236,672,-672,672
4,10626,-10626,10626,9920,-9920,9920,2173,6624,-6624,6624
5,42504,-42496,42496,60736,-60704,60704,12468,40640,-40608,40608
6,134596,-134444,134444,258720,-258208,258208,49986,173440,-172928,172928
7,346104,-344664,344664,811856,-807760,807760,148640,544672,-540608,540608
8,735471,-726631,726631,1941600,-1919936,1919936,339303,1298240,-1277152,1277152
9,1307504,-1268688,1268720,3606096,-3521520,3521584,605572,2382528,-2302912,2302976
10,1961256,-1832568,1833288,5202256,-4949808,4950960,847260,3361152,-3134112,3135264
11,2496144,-2163420,2170588,5677536,-5110720,5119136,915488,3577952,-3093856,3102240
12,2704156,-2023294,2065024,4462576,-3559952,3596432,741251,2790784,-2052512,2087904
13,2496144,-1394472,1550184,2406144,-1447360,1539968,435748,1565472,-798496,886304
14,1961256,-567710,948618,904032,-258752,397600,185054,649440,-124352,253440
15,1307504,51200,563080,259952,20944,90384,59188,210816,30272,73472
16,735471,275571,377505,60336,23344,27024,14620,53568,22528,24832
17,346104,226952,237128,10496,6656,6656,2604,9856,6336,6336
18,134596,113932,114240,1184,992,992,296,1152,960,960
19,42504,40344,40344,64,64,64,16,64,64,64
20,10626,10522,10522,0,0,0,0,0,0,0
21,2024,2024,2024,0,0,0,0,0,0,0
22,276,276,276,0,0,0,0,0,0,0
23,24,24,24,0,0,0,0,0,0,0
24,1,1,1,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0
