key	g16
36936	1
37000	-2
37384	2
37440	1
37512	-4
37896	-4
37952	-2
37960	-2
38024	-3
38536	-2
41032	-2
41096	-8
41480	-4
41536	-2
41608	-18
41992	-16
42048	-8
42056	-9
42120	-9
42632	10
45192	4
45704	8
46088	8
46144	4
46152	4
46216	6
46728	8
50824	4
69704	-2
69768	-8
70152	-4
70208	-2
70280	-18
70664	-16
70720	-8
70728	-9
70792	-9
71304	10
73864	-2
74376	-6
74760	-4
74816	-2
74824	-3
74888	-2
77960	4
78472	12
78856	8
78912	4
78920	6
78984	4
79496	10
102536	4
103048	8
103432	8
103488	4
103496	4
103560	6
104072	8
106632	4
107144	12
107528	8
107584	4
107592	6
107656	4
108168	10
112264	-2
116360	4
136840	4
145032	4
266312	2
266376	-4
266760	4
266816	2
266888	-8
267272	-8
267328	-4
267336	-4
267400	-6
267912	-4
270408	-4
270472	-16
270856	-8
270912	-4
270984	-36
271368	-32
271424	-16
271432	-18
271496	-18
272008	20
274568	8
275080	16
275464	16
275520	8
275528	8
275592	12
276104	16
280200	8
294984	1
295048	-2
295432	2
295488	1
295560	-4
295944	-4
296000	-2
296008	-2
296072	-3
296584	-2
303176	-2
303240	-9
303624	-4
303680	-2
303752	-16
304136	-18
304192	-9
304200	-8
304264	-9
304776	8
307336	4
307848	8
308232	8
308288	4
308296	4
308360	6
308872	10
312968	4
327752	-2
327816	-8
328200	-4
328256	-2
328328	-18
328712	-16
328768	-8
328776	-9
328840	-9
329352	10
331848	-4
331912	-18
332296	-8
332352	-4
332424	-32
332808	-36
332864	-18
332872	-16
332936	-18
333448	16
335944	-3
336008	-9
336392	-6
336448	-3
336520	-18
336904	-18
336960	-9
336968	-9
337032	-8
337544	10
340104	10
340616	16
341000	20
341056	10
341064	8
341128	10
341640	26
345736	8
360584	4
361096	8
361480	8
361536	4
361544	4
361608	6
362120	8
364680	8
365192	16
365576	16
365632	8
365640	8
365704	12
366216	20
368712	-2
368776	8
369160	-4
369216	-2
369288	20
369672	16
369728	8
369736	10
369800	10
370312	43
372872	6
373384	12
373768	12
373824	6
373832	6
373896	9
374408	10
378504	4
394888	4
398984	8
403080	4
405640	4
406152	8
406536	8
406592	4
406600	4
406664	6
407176	8
411272	6
444040	4
528456	-4
528520	-16
528904	-8
528960	-4
529032	-36
529416	-32
529472	-16
529480	-18
529544	-18
530056	20
532616	-4
533128	-12
533512	-8
533568	-4
533576	-6
533640	-4
536712	8
537224	24
537608	16
537664	8
537672	12
537736	8
538248	20
557128	-2
557192	-8
557576	-4
557632	-2
557704	-18
558088	-16
