n,a,b,orientation,batch,samples,kind,k,count
100,7,1,first,0,10000,minus,20,1
100,7,1,first,0,10000,minus,21,1
100,7,1,first,0,10000,minus,22,1
100,7,1,first,0,10000,minus,23,1
100,7,1,first,0,10000,minus,24,1
100,7,1,first,0,10000,minus,25,3
100,7,1,first,0,10000,minus,27,2
100,7,1,first,0,10000,minus,28,8
100,7,1,first,0,10000,minus,29,8
100,7,1,first,0,10000,minus,30,8
100,7,1,first,0,10000,minus,31,10
100,7,1,first,0,10000,minus,32,15
100,7,1,first,0,10000,minus,33,24
100,7,1,first,0,10000,minus,34,30
100,7,1,first,0,10000,minus,35,32
100,7,1,first,0,10000,minus,36,39
100,7,1,first,0,10000,minus,37,65
100,7,1,first,0,10000,minus,38,62
100,7,1,first,0,10000,minus,39,86
100,7,1,first,0,10000,minus,40,95
100,7,1,first,0,10000,minus,41,123
100,7,1,first,0,10000,minus,42,152
100,7,1,first,0,10000,minus,43,165
100,7,1,first,0,10000,minus,44,225
100,7,1,first,0,10000,plus,44,1
100,7,1,first,0,10000,minus,45,230
100,7,1,first,0,10000,minus,46,246
100,7,1,first,0,10000,plus,46,1
100,7,1,first,0,10000,minus,47,306
100,7,1,first,0,10000,minus,48,370
100,7,1,first,0,10000,plus,48,5
100,7,1,first,0,10000,minus,49,377
100,7,1,first,0,10000,plus,49,4
100,7,1,first,0,10000,minus,50,441
100,7,1,first,0,10000,plus,50,16
100,7,1,first,0,10000,minus,51,458
100,7,1,first,0,10000,plus,51,26
100,7,1,first,0,10000,minus,52,545
100,7,1,first,0,10000,plus,52,43
100,7,1,first,0,10000,minus,53,605
100,7,1,first,0,10000,plus,53,62
100,7,1,first,0,10000,minus,54,592
100,7,1,first,0,10000,plus,54,102
100,7,1,first,0,10000,minus,55,640
100,7,1,first,0,10000,plus,55,146
100,7,1,first,0,10000,minus,56,634
100,7,1,first,0,10000,plus,56,201
100,7,1,first,0,10000,minus,57,561
100,7,1,first,0,10000,plus,57,229
100,7,1,first,0,10000,minus,58,568
100,7,1,first,0,10000,plus,58,302
