n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
100,7,1,first,0,10000,531977,657612,28783897,43636002,35024085,125635,2371729
100,5,5,second,0,10000,534241,657899,29000055,43683483,35193238,123658,2297062
100,7,1,first,1,10000,533351,658050,28925793,43698136,35138854,124699,2346221
100,5,5,second,1,10000,534373,658683,29014125,43777771,35240063,124310,2311770
100,7,1,first,2,10000,532515,658123,28840021,43704745,35091077,125608,2362612
100,5,5,second,2,10000,533699,656672,28927627,43514478,35090638,122973,2260829
100,7,1,first,3,10000,533025,657134,28892787,43563468,35068729,124109,2318797
100,5,5,second,3,10000,534698,658308,29040022,43739502,35238598,123610,2302328
100,7,1,first,4,10000,533226,657703,28909586,43640465,35114433,124477,2321185
100,5,5,second,4,10000,534386,659067,29018868,43834945,35261965,124681,2329883
100,7,1,first,5,10000,532660,656482,28852148,43476976,35019231,123822,2290662
100,5,5,second,5,10000,534845,658791,29062317,43807803,35274376,123946,2321368
100,7,1,first,6,10000,532771,657166,28864729,43571214,35052659,124395,2330625
100,5,5,second,6,10000,535360,658920,29108040,43811638,35308508,123560,2302662
100,7,1,first,7,10000,533805,658307,28983085,43725129,35184432,124502,2339350
100,5,5,second,7,10000,535268,658104,29109378,43710448,35274779,122836,2270268
100,7,1,first,8,10000,534062,658510,29004520,43750642,35219306,124448,2316550
100,5,5,second,8,10000,534262,657647,29004930,43652777,35185295,123385,2287117
100,7,1,first,9,10000,533112,657089,28891612,43562965,35080289,123977,2293999
100,5,5,second,9,10000,534021,658996,28969653,43833144,35235278,124975,2332241
100,7,1,first,10,10000,533499,658591,28950907,43758351,35175247,125092,2358764
100,5,5,second,10,10000,534268,658136,29001406,43711282,35205998,123868,2300692
100,7,1,first,11,10000,534629,657140,29066081,43563170,35174875,122511,2279501
100,5,5,second,11,10000,534906,657957,29074770,43692205,35235142,123051,2296691
100,7,1,first,12,10000,532883,657486,28880933,43620438,35082211,124603,2336949
100,5,5,second,12,10000,535120,659182,29101364,43850940,35319207,124062,2313890
100,7,1,first,13,10000,533136,657300,28908298,43589774,35089842,124164,2318388
100,5,5,second,13,10000,535356,658974,29129056,43829544,35329132,123618,2300336
100,7,1,first,14,10000,533669,658057,28966197,43685177,35157557,124388,2336260
100,5,5,second,14,10000,532892,658439,28855326,43757627,35126530,125547,2359893
100,7,1,first,15,10000,533161,658186,28902717,43702680,35133570,125025,2338257
100,5,5,second,15,10000,535132,658516,29084844,43759312,35279347,123384,2285462
100,7,1,first,16,10000,533093,657205,28893549,43575619,35072701,124112,2323766
100,5,5,second,16,10000,534428,660133,29027932,43984991,35326323,125705,2360277
100,7,1,first,17,10000,533108,657454,28890798,43606548,35079283,124346,2338780
100,5,5,second,17,10000,535128,658271,29092452,43736153,35267463,123143,2293679
100,7,1,first,18,10000,532902,657580,28886952,43626472,35081318,124678,2350788
100,5,5,second,18,10000,534832,658895,29055096,43819179,35274176,124063,2325923
100,7,1,first,19,10000,533057,657574,28891347,43628814,35092059,124517,2336043
100,5,5,second,19,10000,533353,658113,28902303,43707781,35139770,124760,2330544
100,7,1,first,20,10000,531438,658082,28733936,43693966,35001728,126644,2424446
100,5,5,second,20,10000,533972,658590,28980534,43781078,35216820,124618,2327972
100,7,1,first,21,10000,533511,657276,28945123,43595120,35110793,123765,2318657
100,5,5,second,21,10000,533961,658933,28973935,43814683,35221098,124972,2346422
100,7,1,first,22,10000,532880,657203,28885138,43581043,35065183,124323,2335815
100,5,5,second,22,10000,534487,658101,29032869,43709083,35220704,123614,2300544
100,7,1,first,23,10000,532816,658152,28881812,43702416,35110395,125336,2363438
100,5,5,second,23,10000,534502,659465,29042310,43907725,35287411,124963,2375213
100,7,1,first,24,10000,532452,656645,28826524,43501607,35009187,124193,2309757
100,5,5,second,24,10000,534747,658257,29043569,43720223,35246110,123510,2271572
100,7,1,first,25,10000,533598,657394,28944840,43595334,35117339,123796,2305496
100,5,5,second,25,10000,534930,658252,29066770,43724102,35254042,123322,2282788
100,7,1,first,26,10000,534913,657950,29077075,43674562,35241358,123037,2268921
100,5,5,second,26,10000,535706,660185,29154886,43990865,35404118,124479,2337515
100,7,1,first,27,10000,532958,656948,28881956,43543006,35057920,123990,2309122
100,5,5,second,27,10000,534446,658937,29025494,43819077,35256343,124491,2331885
100,7,1,first,28,10000,533161,658042,28913213,43683462,35129318,124881,2338039
100,5,5,second,28,10000,534720,659893,29041590,43948765,35325575,125173,2339205
100,7,1,first,29,10000,533529,657123,28938047,43561077,35095735,123594,2307654
100,5,5,second,29,10000,535140,658964,29098856,43828836,35308582,123824,2310528
100,7,1,first,30,10000,532601,658299,28844967,43732603,35100609,125698,2376352
100,5,5,second,30,10000,534374,659650,29012998,43921322,35288400,125276,2357520
100,7,1,first,31,10000,533161,657033,28901509,43558125,35074422,123872,2310790
100,5,5,second,31,10000,534681,658761,29050019,43798881,35263413,124080,2322074
100,7,1,first,32,10000,534448,658148,29045058,43701764,35215979,123700,2314864
100,5,5,second,32,10000,535348,658509,29117104,43771765,35298501,123161,2291867
100,7,1,first,33,10000,533095,657802,28898889,43661380,35111607,124707,2337055
100,5,5,second,33,10000,535156,658662,29092426,43779284,35291593,123506,2288524
100,7,1,first,34,10000,532960,657209,28880248,43577803,35068697,124249,2320657
100,5,5,second,34,10000,534216,660023,29009196,43977827,35308354,125807,2370315
100,7,1,first,35,10000,533057,657348,28905297,43597266,35082809,124291,2336945
100,5,5,second,35,10000,535559,658498,29135789,43768610,35312445,122939,2279509
100,7,1,first,36,10000,533982,658485,29001356,43754639,35206098,124503,2343799
100,5,5,second,36,10000,534899,658054,29065021,43700694,35246362,123155,2272991
100,7,1,first,37,10000,533715,657363,28972913,43610763,35130000,123648,2323676
100,5,5,second,37,10000,534911,658567,29068803,43775915,35267929,123656,2308860
100,7,1,first,38,10000,534091,656754,29001809,43526220,35119785,122663,2288459
100,5,5,second,38,10000,535278,660110,29106982,43984774,35374877,124832,2342002
100,7,1,first,39,10000,533174,657469,28902790,43612589,35094128,124295,2327123
100,5,5,second,39,10000,534290,659177,29001978,43861423,35266008,124887,2331385
100,7,1,first,40,10000,532802,657404,28863568,43601878,35064772,124602,2335902
100,5,5,second,40,10000,533846,659249,28973684,43867479,35234390,125403,2372383
100,7,1,first,41,10000,532610,658004,28854422,43684162,35089986,125394,2358612
100,5,5,second,41,10000,533783,658011,28953599,43703677,35176823,124228,2303630
100,7,1,first,42,10000,533335,657054,28920351,43551830,35080474,123719,2311233
100,5,5,second,42,10000,535288,658108,29098570,43714546,35272919,122820,2267278
100,7,1,first,43,10000,532775,657747,28870725,43655177,35082920,124972,2360062
100,5,5,second,43,10000,534433,659158,29030927,43844896,35265032,124725,2345759
100,7,1,first,44,10000,532086,656791,28795626,43524747,34983709,124705,2352955
100,5,5,second,44,10000,533870,659171,28970958,43855117,35235970,125301,2354135
100,7,1,first,45,10000,533178,658368,28921152,43731632,35149812,125190,2353160
100,5,5,second,45,10000,534927,658543,29064809,43771873,35264922,123616,2306838
100,7,1,first,46,10000,532290,657665,28820058,43635951,35045683,125375,2364643
100,5,5,second,46,10000,534625,659058,29038647,43844556,35274051,124433,2335101
100,7,1,first,47,10000,532381,657742,28818655,43662706,35059909,125361,2361543
100,5,5,second,47,10000,534662,658677,29048060,43786555,35261470,124015,2311675
100,7,1,first,48,10000,532706,657346,28854132,43595110,35053616,124640,2342010
100,5,5,second,48,10000,534928,658847,29074032,43810169,35282735,123919,2318731
100,7,1,first,49,10000,534292,656723,29019002,43515289,35124008,122431,2286275
100,5,5,second,49,10000,534926,658312,29067124,43745668,35261047,123386,2290698
100,7,1,first,50,10000,532305,658730,28824857,43783466,35095069,126425,2418185
100,5,5,second,50,10000,533128,658702,28873842,43804686,35154938,125574,2368652
100,7,1,first,51,10000,533689,658055,28953295,43685587,35161840,124366,2315202
100,5,5,second,51,10000,534826,658893,29060328,43818421,35283231,124067,2312287
100,7,1,first,52,10000,532869,657515,28871919,43621047,35067254,124646,2358458
100,5,5,second,52,10000,534434,658585,29029644,43768129,35242609,124151,2312555
100,7,1,first,53,10000,532298,657379,28810714,43596091,35032280,125081,2342245
100,5,5,second,53,10000,534627,658670,29043019,43789660,35259180,124043,2314319
100,7,1,first,54,10000,533920,656948,28987534,43539114,35119041,123028,2288566
100,5,5,second,54,10000,534184,659121,29000612,43853849,35256911,124937,2340639
100,7,1,first,55,10000,533117,657203,28910583,43570095,35082052,124086,2316574
100,5,5,second,55,10000,534550,658580,29037326,43774278,35256883,124030,2297838
100,7,1,first,56,10000,532725,657288,28863555,43580882,35057984,124563,2328469
100,5,5,second,56,10000,533767,659670,28943163,43912084,35247343,125903,2360561
100,7,1,first,57,10000,533276,657539,28921232,43623725,35105431,124263,2334095
100,5,5,second,57,10000,534229,659573,29003609,43903905,35278393,125344,2350728
100,7,1,first,58,10000,533984,657792,29000478,43667676,35170612,123808,2326930
100,5,5,second,58,10000,536236,658164,29212758,43716724,35342309,121928,2244864
100,7,1,first,59,10000,532272,658287,28818296,43729151,35083921,126015,2379605
100,5,5,second,59,10000,533762,658861,28949116,43821319,35216939,125099,2336557
100,7,1,first,60,10000,531830,656648,28768304,43498144,34962699,124818,2341050
100,5,5,second,60,10000,534138,657907,28980840,43680497,35184780,123769,2291777
100,7,1,first,61,10000,534002,656656,28992968,43498378,35109827,122654,2271692
100,5,5,second,61,10000,535751,659153,29158709,43852031,35362421,123402,2285898
100,7,1,first,62,10000,532396,658112,28832326,43703650,35084190,125716,2367596
100,5,5,second,62,10000,533869,658934,28962959,43832772,35220119,125065,2355493
100,7,1,first,63,10000,532708,658185,28863234,43710601,35099867,125477,2374101
100,5,5,second,63,10000,535423,659307,29128483,43875407,35343281,123884,2317328
100,7,1,first,64,10000,534440,658575,29038076,43760969,35232002,124135,2335041
100,5,5,second,64,10000,533620,658891,28952786,43815037,35198008,125271,2371807
100,7,1,first,65,10000,533374,657497,28937098,43616025,35113086,124123,2326951
100,5,5,second,65,10000,535305,658462,29107305,43770114,35295796,123157,2285827
100,7,1,first,66,10000,533466,657097,28935052,43566191,35102788,123631,2295667
100,5,5,second,66,10000,533812,658788,28957988,43808524,35206477,124976,2353558
100,7,1,first,67,10000,532878,658670,28875742,43768894,35142773,125792,2359090
100,5,5,second,67,10000,533036,658555,28871150,43768639,35147771,125519,2344247
100,7,1,first,68,10000,534386,657619,29030892,43628005,35183053,123233,2292791
100,5,5,second,68,10000,534776,658043,29061566,43701841,35237296,123267,2288815
100,7,1,first,69,10000,532230,658304,28814548,43719058,35077973,126074,2377660
100,5,5,second,69,10000,533629,658586,28958281,43779506,35188270,124957,2361247
100,7,1,first,70,10000,533441,657653,28937051,43629547,35119806,124212,2326986
100,5,5,second,70,10000,535629,658509,29135389,43758819,35317993,122880,2258222
100,7,1,first,71,10000,533540,657903,28945870,43674283,35143492,124363,2333169
100,5,5,second,71,10000,534604,658385,29043640,43739829,35251033,123781,2281403
100,7,1,first,72,10000,533989,657318,28997129,43593458,35144388,123329,2301811
100,5,5,second,72,10000,534293,658970,28997261,43823898,35250709,124677,2319741
100,7,1,first,73,10000,532635,657341,28852693,43587711,35056062,124706,2328280
100,5,5,second,73,10000,536527,658975,29244815,43827229,35402084,122448,2267876
100,7,1,first,74,10000,534181,657645,29015667,43629841,35173087,123464,2299334
100,5,5,second,74,10000,534982,659474,29080730,43894778,35322342,124492,2330824
100,7,1,first,75,10000,533199,657748,28916799,43656130,35122247,124549,2328435
100,5,5,second,75,10000,534015,657721,28965809,43659299,35162544,123706,2300020
100,7,1,first,76,10000,532985,656749,28887573,43521859,35048285,123764,2312862
100,5,5,second,76,10000,534294,658202,29004724,43724028,35207615,123908,2313522
100,7,1,first,77,10000,533016,657479,28888516,43611593,35084736,124463,2330637
100,5,5,second,77,10000,535272,658389,29101102,43741915,35292373,123117,2258271
100,7,1,first,78,10000,532809,658490,28863309,43737882,35129660,125681,2341871
100,5,5,second,78,10000,533514,658342,28934506,43741764,35169897,124828,2336476
100,7,1,first,79,10000,532178,657644,28808296,43640612,35031817,125466,2385274
100,5,5,second,79,10000,535085,658446,29095387,43766038,35273618,123361,2314189
100,7,1,first,80,10000,533409,656728,28935567,43516134,35073710,123319,2304281
100,5,5,second,80,10000,534825,657629,29041681,43654803,35212894,122804,2270696
100,7,1,first,81,10000,532439,658127,28830505,43701019,35079610,125688,2372304
100,5,5,second,81,10000,533921,659000,28958853,43826682,35222253,125079,2341029
100,7,1,first,82,10000,533320,657132,28932372,43564198,35093912,123812,2308746
100,5,5,second,82,10000,535172,658283,29100386,43740015,35283827,123111,2272747
100,7,1,first,83,10000,533716,656842,28965848,43527812,35101311,123126,2291038
100,5,5,second,83,10000,534856,658421,29066158,43748575,35253092,123565,2308549
100,7,1,first,84,10000,533778,657472,28965730,43607928,35136317,123694,2301024
100,5,5,second,84,10000,534996,660675,29089332,44048213,35382528,125679,2372489
100,7,1,first,85,10000,533412,657795,28937904,43649337,35128471,124383,2330299
100,5,5,second,85,10000,534212,658666,28988898,43783116,35222101,124454,2327812
100,7,1,first,86,10000,532276,658235,28802190,43726223,35070349,125959,2387715
100,5,5,second,86,10000,534229,658342,29001201,43738542,35216305,124113,2307133
100,7,1,first,87,10000,533979,657379,28998757,43597479,35149863,123400,2296510
100,5,5,second,87,10000,534428,658906,29003750,43815340,35254057,124478,2310976
100,7,1,first,88,10000,532970,658168,28889790,43694276,35118166,125198,2347734
100,5,5,second,88,10000,534269,659008,29000885,43835568,35251004,124739,2334445
100,7,1,first,89,10000,532389,657992,28826911,43687490,35075404,125603,2363593
100,5,5,second,89,10000,534463,658373,29027529,43738443,35225663,123910,2314646
100,7,1,first,90,10000,534110,657034,29005616,43548622,35138036,122924,2278166
100,5,5,second,90,10000,534476,657842,29024974,43668392,35209729,123366,2273908
100,7,1,first,91,10000,532444,656945,28836548,43545255,35022566,124501,2336671
100,5,5,second,91,10000,534647,658123,29048007,43717943,35234588,123476,2296774
100,7,1,first,92,10000,532432,657325,28833330,43592677,35039929,124893,2346149
100,5,5,second,92,10000,534569,658861,29028403,43813043,35263901,124292,2313644
100,7,1,first,93,10000,533347,657976,28916375,43677814,35136858,124629,2320473
100,5,5,second,93,10000,534202,658316,28986094,43748406,35207356,124114,2319788
100,7,1,first,94,10000,533526,657478,28940270,43610172,35121468,123952,2307506
100,5,5,second,94,10000,534014,659512,28973744,43892922,35255636,125498,2355394
100,7,1,first,95,10000,534201,658424,29010077,43740150,35214972,124223,2320283
100,5,5,second,95,10000,534812,657384,29066412,43608504,35198299,122572,2278318
100,7,1,first,96,10000,534275,657540,29021917,43623572,35168667,123265,2308155
100,5,5,second,96,10000,534055,659174,28985517,43862426,35253384,125119,2341175
100,7,1,first,97,10000,532486,658031,28839852,43689443,35080016,125545,2369263
100,5,5,second,97,10000,534355,658233,29023785,43729393,35217241,123878,2318696
100,7,1,first,98,10000,533297,656030,28922967,43419326,35031141,122733,2280011
100,5,5,second,98,10000,534250,658697,29005238,43794643,35236001,124447,2327879
100,7,1,first,99,10000,533304,658037,28921168,43696735,35135318,124733,2347267
100,5,5,second,99,10000,533725,659382,28955307,43869900,35238546,125657,2348115
100,7,1,first,100,10000,533844,658412,28965188,43736868,35192662,124568,2316732
100,5,5,second,100,10000,535091,658617,29091121,43778787,35289748,123526,2290412
100,7,1,first,101,10000,533165,658022,28912407,43694942,35126343,124857,2354663
100,5,5,second,101,10000,533152,658800,28878588,43809026,35163327,125648,2360960
100,7,1,first,102,10000,534516,657673,29047374,43637537,35196848,123157,2291215
100,5,5,second,102,10000,534659,658181,29047029,43713213,35236444,123522,2287354
100,7,1,first,103,10000,533826,657267,28972152,43585709,35127018,123441,2303825
100,5,5,second,103,10000,532901,658992,28858719,43828918,35158023,126091,2371591
