n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
100,8,-6,first,0,10000,561265,633066,31814329,40356908,35671268,71801,828701
100,10,0,second,0,10000,561566,632879,31848274,40334625,35684037,71313,814825
100,8,-6,first,1,10000,561764,632263,31867072,40259805,35662191,70499,802495
100,10,0,second,1,10000,561395,632720,31831435,40317086,35668123,71325,812275
100,8,-6,first,2,10000,561379,632906,31835909,40338766,35674029,71527,826617
100,10,0,second,2,10000,561571,633470,31852751,40405744,35714393,71899,829709
100,8,-6,first,3,10000,561724,633026,31864878,40351550,35700604,71302,815220
100,10,0,second,3,10000,562032,633507,31901658,40413331,35744093,71475,826803
100,8,-6,first,4,10000,561528,633386,31838618,40399552,35701727,71858,834716
100,10,0,second,4,10000,561065,631924,31785429,40204308,35591615,70859,806507
100,8,-6,first,5,10000,562041,632818,31893047,40323810,35710665,70777,795527
100,10,0,second,5,10000,561760,632993,31872126,40351415,35705234,71233,813073
100,8,-6,first,6,10000,561048,632177,31786196,40247873,35612941,71129,808187
100,10,0,second,6,10000,561846,633111,31886156,40360035,35714223,71265,817745
100,8,-6,first,7,10000,561250,632543,31806104,40294365,35642732,71293,815005
100,10,0,second,7,10000,561765,632612,31873677,40294356,35679497,70847,809039
100,8,-6,first,8,10000,561891,632116,31879197,40242682,35662348,70225,797183
100,10,0,second,8,10000,561393,632580,31835605,40294998,35651598,71187,827407
100,8,-6,first,9,10000,561609,631985,31851973,40214835,35629598,70376,807612
100,10,0,second,9,10000,560816,631674,31763504,40180480,35568464,70858,807056
100,8,-6,first,10,10000,561573,632026,31848723,40227076,35636637,70453,802525
100,10,0,second,10,10000,561823,632393,31876365,40267641,35670578,70570,802850
100,8,-6,first,11,10000,562182,632279,31908934,40248331,35686745,70097,783775
100,10,0,second,11,10000,561303,631562,31820697,40169646,35599255,70259,791833
100,8,-6,first,12,10000,561224,632545,31807806,40290275,35643619,71321,810843
100,10,0,second,12,10000,561457,631979,31835471,40217287,35622594,70522,807570
100,8,-6,first,13,10000,561175,632664,31807417,40310518,35651338,71489,815259
100,10,0,second,13,10000,561746,633106,31866480,40362716,35702856,71360,823484
100,8,-6,first,14,10000,562295,632692,31930357,40315190,35722900,70397,799747
100,10,0,second,14,10000,562482,632882,31946444,40338306,35744077,70400,796596
100,8,-6,first,15,10000,561597,631745,31844455,40186767,35620796,70148,789630
100,10,0,second,15,10000,562374,632991,31937188,40340883,35737642,70617,802787
100,8,-6,first,16,10000,562045,632122,31894205,40238286,35671099,70077,790293
100,10,0,second,16,10000,560947,632181,31783263,40247969,35609163,71234,812906
100,8,-6,first,17,10000,561085,632010,31795323,40224174,35604904,70925,809689
100,10,0,second,17,10000,561061,632329,31799725,40269815,35626514,71268,816512
100,8,-6,first,18,10000,561560,631790,31851856,40195090,35623120,70230,800706
100,10,0,second,18,10000,562087,633115,31900927,40363575,35729115,71028,806272
100,8,-6,first,19,10000,561480,632212,31832948,40255596,35642850,70732,802844
100,10,0,second,19,10000,560300,632366,31707874,40270886,35574060,72066,830640
100,8,-6,first,20,10000,561938,631923,31876046,40209607,35652665,69985,780323
100,10,0,second,20,10000,560794,631053,31763350,40101661,35533482,70259,798047
100,8,-6,first,21,10000,561635,632306,31856653,40263758,35655579,70671,809253
100,10,0,second,21,10000,561908,633077,31891018,40359403,35717645,71169,815131
100,8,-6,first,22,10000,561387,631912,31818821,40216056,35616708,70525,801461
100,10,0,second,22,10000,561378,632218,31823782,40245954,35633628,70840,802480
100,8,-6,first,23,10000,561078,631768,31779704,40195962,35588973,70690,797720
100,10,0,second,23,10000,562009,633090,31890703,40357118,35719289,71081,809243
100,8,-6,first,24,10000,561952,632406,31886960,40275498,35683714,70454,795030
100,10,0,second,24,10000,561473,632484,31842793,40287502,35658174,71011,813947
100,8,-6,first,25,10000,561013,631441,31784691,40153401,35571884,70428,794324
100,10,0,second,25,10000,562475,633174,31943041,40374490,35754668,70699,808195
100,8,-6,first,26,10000,561843,632706,31885491,40311930,35695660,70863,806101
100,10,0,second,26,10000,561346,631374,31825298,40138422,35590637,70028,782446
100,8,-6,first,27,10000,562064,632327,31900272,40271227,35688076,70263,795347
100,10,0,second,27,10000,560796,631688,31766932,40179000,35567931,70892,810070
100,8,-6,first,28,10000,561076,632503,31793630,40291853,35636686,71427,812111
100,10,0,second,28,10000,561315,632483,31826479,40284511,35647300,71168,816390
100,8,-6,first,29,10000,561836,632475,31871380,40285389,35676653,70639,803463
100,10,0,second,29,10000,562111,632989,31905323,40339013,35719760,70878,804816
100,8,-6,first,30,10000,561166,632086,31804622,40243368,35617934,70920,812122
100,10,0,second,30,10000,561270,632566,31810336,40292854,35644431,71296,814328
100,8,-6,first,31,10000,562258,631984,31918796,40212848,35675487,69726,780670
100,10,0,second,31,10000,562887,632963,31990107,40347741,35772627,70076,792594
100,8,-6,first,32,10000,561331,631688,31822471,40189474,35612313,70357,787319
100,10,0,second,32,10000,562111,632899,31910095,40339889,35722192,70788,805600
100,8,-6,first,33,10000,561395,631953,31825309,40217623,35619138,70558,804656
100,10,0,second,33,10000,561653,632230,31853067,40253256,35651776,70577,802771
100,8,-6,first,34,10000,561416,632065,31824180,40229411,35624352,70649,804887
100,10,0,second,34,10000,561808,632404,31879594,40272392,35675597,70596,800792
100,8,-6,first,35,10000,561337,631789,31812057,40199313,35610455,70452,790460
100,10,0,second,35,10000,562099,632939,31910269,40334717,35723785,70840,797416
100,8,-6,first,36,10000,561625,632948,31854291,40346676,35689812,71323,821343
100,10,0,second,36,10000,562240,632927,31924976,40338151,35731243,70687,800641
100,8,-6,first,37,10000,562405,633405,31940375,40402349,35767473,71000,807778
100,10,0,second,37,10000,561367,631215,31828057,40123269,35580880,69848,789566
100,8,-6,first,38,10000,561060,631768,31792720,40195398,35592454,70708,803210
