batch,start_replica,samples,plus_re,plus_im,minus_re,minus_im,mirror_plus_re,mirror_plus_im,reflection_null_re,reflection_null_im
0,0,2000,-1855.8268908361783,-1367.1155376115762,493.7574140080592,-4572.0460622542705,-1855.8268908361783,1367.1155376115762,0.0,0.0
1,2000,2000,4053.444185374867,-1315.9199518287742,-1485.1395365628473,6813.9895573041,4053.444185374867,1315.9199518287742,0.0,0.0
2,4000,2000,2426.71467867935,-3613.6053100535823,5066.805231718593,1051.9226986395377,2426.71467867935,3613.6053100535823,0.0,0.0
3,6000,2000,-1968.1116292502704,1423.337364061331,-689.021659117625,4763.076269249332,-1968.1116292502704,-1423.337364061331,0.0,0.0
4,8000,2000,-2557.111046343721,-2851.517639132059,-11155.366711632078,-9139.54584711638,-2557.111046343721,2851.517639132059,0.0,0.0
5,10000,2000,4846.103049429106,2596.132977452428,-3169.818893921577,6518.831655301927,4846.103049429106,-2596.132977452428,0.0,0.0
6,12000,2000,-2150.8610463437135,-5164.39502331734,564.2220926874297,-10502.595070610556,-2150.8610463437135,5164.39502331734,0.0,0.0
7,14000,2000,-7771.103049429112,3978.440541024499,-1823.7232585005643,12075.93284117767,-7771.103049429112,-3978.440541024499,0.0,0.0
8,16000,2000,-2812.715261585942,-11090.877717556203,7335.547817710533,2689.6149238912403,-2812.715261585942,11090.877717556203,0.0,0.0
9,18000,2000,6111.201016476364,9945.473072477855,9970.449850663257,626.7993271014448,6111.201016476364,-9945.473072477855,0.0,0.0
10,20000,2000,-782.1258743598383,6449.154326333174,-1376.7220926873997,4522.403670255413,-782.1258743598383,-6449.154326333174,0.0,0.0
11,22000,2000,9044.596218327624,-1840.6247409817888,-573.2779073125448,-427.156528596797,9044.596218327624,1840.6247409817888,0.0,0.0
12,24000,2000,109.48633779699423,-3775.5080252944017,-2846.5484006170595,-1977.9462418605717,109.48633779699423,3775.5080252944017,0.0,0.0
13,26000,2000,5008.603049429124,-3752.9599679910402,-4455.166278062275,11436.454608449236,5008.603049429124,3752.9599679910402,0.0,0.0
14,28000,2000,5833.617877445222,-8434.456599536612,2166.582556124587,-4115.762041903254,5833.617877445222,8434.456599536612,0.0,0.0
15,30000,2000,2496.110463437181,-7540.370302020461,-8084.909446960788,3641.47624164106,2496.110463437181,7540.370302020461,0.0,0.0
