batch,replica_first,samples,field_sha256,translation_sha256,ap6_bp0_r1_plus_re,ap6_bp0_r1_plus_im,ap6_bp0_r2_plus_re,ap6_bp0_r2_plus_im,ap5_bp1_r1_plus_re,ap5_bp1_r1_plus_im,ap5_bp1_r2_plus_re,ap5_bp1_r2_plus_im,ap4_bp2_r1_plus_re,ap4_bp2_r1_plus_im,ap4_bp2_r2_plus_re,ap4_bp2_r2_plus_im,ap3_bp3_r1_plus_re,ap3_bp3_r1_plus_im,ap3_bp3_r2_plus_re,ap3_bp3_r2_plus_im,ap2_bp4_r1_plus_re,ap2_bp4_r1_plus_im,ap2_bp4_r2_plus_re,ap2_bp4_r2_plus_im,ap1_bp5_r1_plus_re,ap1_bp5_r1_plus_im,ap1_bp5_r2_plus_re,ap1_bp5_r2_plus_im,ap0_bp6_r1_plus_re,ap0_bp6_r1_plus_im,ap0_bp6_r2_plus_re,ap0_bp6_r2_plus_im,am6_bp0_r1_minus_re,am6_bp0_r1_minus_im,am6_bp0_r2_minus_re,am6_bp0_r2_minus_im,am5_bp1_r1_minus_re,am5_bp1_r1_minus_im,am5_bp1_r2_minus_re,am5_bp1_r2_minus_im,am4_bp2_r1_minus_re,am4_bp2_r1_minus_im,am4_bp2_r2_minus_re,am4_bp2_r2_minus_im,am3_bp3_r1_minus_re,am3_bp3_r1_minus_im,am3_bp3_r2_minus_re,am3_bp3_r2_minus_im,am2_bp4_r1_minus_re,am2_bp4_r1_minus_im,am2_bp4_r2_minus_re,am2_bp4_r2_minus_im,am1_bp5_r1_minus_re,am1_bp5_r1_minus_im,am1_bp5_r2_minus_re,am1_bp5_r2_minus_im,ap0_bp6_r1_minus_re,ap0_bp6_r1_minus_im,ap0_bp6_r2_minus_re,ap0_bp6_r2_minus_im
0,0,3000,dade3beae92d5f360105dea684596961ec544f394c67c0da9047aa5808b57f04,cbb52a052fc4d6ed579a15cb87d919117c4a4f32ad6a61c54f96624fe3f65a9a,-3.1644966347745807,-7.534869956206791,5.824496634774576,4.280623172279043,2.478359213500126,-1.740035509097591,5.16164078649988,7.494016041287841,1.3960679774997862,-2.2413724170714504,-3.076067977499797,-4.539631007911455,2.2022291236000378,-1.6538964718969549,2.9177708763999695,-8.382399803173717,3.1455106965997857,1.3033453430469073,-1.5055106965997769,9.37492884862375,4.333575741549828,1.0994859832813284,0.6664242584501725,-1.949135852773698,4.373312629199908,2.0429903308286317,2.2266873708001023,5.626205693728296,-6.36603692129964,2.3521419480295673,1.3260369212996324,-7.378579013354787,5.632298567374701,0.7682062194721159,-0.8522985673746969,-1.838439339321364,-6.666199533674755,1.017232556713272,-1.433800466325252,-7.940732833030127,4.081903898849795,-4.75516443666968,-0.12190389884979971,4.631674770558926,1.1418033988749876,-5.471106852047829,0.9181966011250109,3.6634669117483867,2.2713466179497948,-3.7146116321765654,-2.1113466179497924,1.331788429931184,-3.506524758424987,-4.517120536679437,-3.1934752415750083,5.7776831045938195
1,3000,3000,9f7e504255b05054fa5d2d48ae590ec63f850cb21ad808995f02bcfcd42ab1fd,20ae73437ae9de1c4b65156abcc2de25fd38ef0b11a5ee8bfead27a03837df1b,-4.767840320174626,-1.8446812620915698,3.1478403201746294,5.536709405530346,2.78020099994962,1.4516566652269876,-5.180200999949625,-0.7325932884637093,1.99209756742507,1.1359086908375375,3.46790243257493,-4.134696052442041,2.7300310562001533,2.3297496216036313,5.949968943799854,-3.344288668855865,-1.003606797749978,4.586271503471128,-0.5563932022500164,7.040320567733321,4.283080573050124,-2.1414671785581776,6.876919426949879,-1.638938169412777,0.7632815729997557,5.101902972392902,-4.603281572999744,3.9943192236335436,-2.4607272246494745,13.399547001849403,8.540727224649503,5.284708141915605,3.063444185374863,2.2812253931307245,0.15655581462513696,2.093325274709006,6.034953415699769,-4.614523428043553,1.2050465843002212,-6.058892104340314,0.6958048651498567,-6.430261133821007,-2.2558048651498632,-7.969676389344234,7.98948110667451,-6.9070405655431735,-2.6094811066745023,-3.795627830272752,7.202368011149362,-1.840559361846805,-6.482368011149358,-1.1901013551450486,4.693575741549832,-2.8948332403522112,1.0264242584501775,3.152767119619184
2,6000,3000,f9b79e3dddc582d84c351a4c6f714059510d1fd49011c176ab3ebe6654283b92,88c3e0aefedc08d5d44ee7090ae29e5f4f7e3f96aacea7269f92a5066ec34ce7,4.345673308974898,0.24328488390077752,2.154326691025109,-1.584554342793391,-3.7932505167996022,-5.9475039591462595,4.793250516799599,-1.5202620352885026,-4.985673308974901,-3.655987760506296,-2.794326691025098,-0.2091733611818814,1.9563932022500181,1.3558003094527167,2.403606797749977,1.8893928974376686,-8.148103432524545,0.9904090229246001,1.2881034325245586,-0.07134400682289845,-0.16567330897490412,-4.966575965183096,2.025673308974896,0.295166363370984,0.7442956348249491,-3.9900061610768986,-0.2842956348249562,-6.303796541336692,-9.057484039224242,2.2971846344745805,6.997484039224252,9.042839308266723,12.741942286424305,8.650506343143835,-1.88194228642431,-3.9591337445492147,9.58938060669971,-4.832868511068898,2.9706193933003155,2.3755803406155014,-3.8203014999244376,-4.897970595121564,8.120301499924436,-4.9197443073115625,0.14658687082528532,-2.7222007315326318,6.27341312917471,-5.8882614732400675,-0.6136378539501288,5.72549231800564,-3.386362146049874,-4.925722050264145,0.4423917359751498,1.7704074561954368,3.617608264024846,-8.053549369007907
3,9000,3000,62a8e0d206d024833a859f29a1123023807ffee1e199d9b97deaac2e62ec01a4,e5f06dfca91acbaf6393d77bd032db42cebe23c793c3fe321d1a866d0e429bbd,-1.3070509831248405,3.8979623984294407,2.04705098312484,-0.6927403124044358,0.15422619105029142,11.223158524024518,6.32577380894971,0.46980074990990456,0.2641330224498363,-2.6510478870215954,-3.224133022449829,-0.2189636972612783,-2.9007893370497864,-1.7382247936901118,1.660789337049789,5.02419889799369,-5.616756814574751,3.4953386277973237,-0.5632431854252402,-1.5724528218766878,-2.8752786404500097,1.649228974922005,-2.964721359549996,-2.9237037791605545,0.48996894379984846,1.5069684132002712,-2.7299689437998427,5.557791485978643,0.42068883707497323,1.290507063088161,-0.1606888370749764,-0.7270429974351931,5.636594202199641,-0.9335958666618067,-1.8765942021996462,1.0001993590039915,5.935216528049687,2.5479035423171053,-0.41521652804970166,-7.099872360757474,-1.2977087639996616,-6.002815707119546,5.857708763999671,-7.810646809730868,0.9562927022752092,0.21484179701649764,5.383707297724793,4.075762873653799,2.777345151674919,-4.817646028767075,1.1226548483250736,-4.0289312157822685,1.4682660448996707,1.8284578409300996,-5.508266044899673,4.442155099041594
4,12000,3000,be59ebee513d4863d1137afc0e14b3ff7853d83657727b39203c8af4ba1516cf,3f4b82faf9280f53300b3567f190109eb269b476cc28e799e0b60821ddf5d4f8,-0.5490553819494592,-5.603813367302374,10.989055381949473,-1.9913000136702916,1.2567568145747627,-1.8077580851055441,-3.7967568145747626,1.5639727317749326,4.968065044950043,5.055881091069172,5.951934955049951,0.4960507967629829,-3.0370820393250013,-4.133267661658298,-2.9029179606750057,5.752051671976688,3.13049516849971,2.0252203740773167,-3.130495168499705,1.1465088034647337,4.854589803375031,-2.78656605654328,5.52541019662497,0.17043946878837313,4.095317028024521,0.8227081908975932,-6.2353170280245145,3.3474096302409784,-1.551973342624466,0.7629652355615658,9.851973342624476,0.8921233375069184,-1.913776741499455,-1.574764006713994,9.713776741499474,0.7616549895839224,-5.418722825824867,3.117345350922668,-2.6012771741751353,1.5060404918463706,-0.5251470842750485,-4.717740790253803,-1.3748529157249574,-1.1282383772835798,-1.474489303400218,-1.229071537150763,-6.125510696599784,-6.8580888851461985,1.110131556174964,0.877783649258682,0.3498684438250341,-5.5034076593592465,0.7316097302997291,3.561441650709673,-5.171609730299726,2.148518877876196
5,15000,3000,b354da7d516e65fe25b8c29cf014c8b90e8beabec5d6b95262c892a1cff2f4b2,141b0424a004e2aa4670d4f3be58670335cfbb8473c6d583bc86721c25a91bf7,8.740564612274357,-0.8862637393604383,-4.720564612274374,3.81582711666748,-0.37448930340021847,2.527321931298652,-5.025510696599789,-5.535399159552718,0.44462085957518016,-3.0164391735497134,4.335379140424817,-2.179700601521856,3.9651470842750447,-0.05600337971499174,4.814852915724962,0.17568045269892393,-2.9021670111997393,1.4096836666422712,2.822167011199728,1.2918173090658043,-0.5265247584249872,-4.097964037767872,-0.21347524157501452,-0.42975661153876377,3.674690303349844,7.295633955045032,0.36530969665015667,2.8266101949144176,-2.295216528049695,1.7321740332317652,4.055216528049702,-3.3981720260454167,-2.595642252774746,3.026111364823005,2.8156422527747442,-4.385960557014741,-3.3814781741247626,-6.149007006774192,1.7614781741247607,2.718770463029555,7.064659247149692,-4.352349503725684,0.5353407528503082,0.8324985269769909,1.9553791404248095,-4.8313671027793825,-1.935379140424826,-2.9859490816457557,4.805936421324829,0.08849534933827907,1.0940635786751736,-0.31331864474603865,-0.639937887599705,-8.508937413163814,5.799937887599703,1.9437037065512874
6,18000,3000,85f6c89bd5d2d537593cbc0e8b922adf61081f5e30dc09c2b50e87288106f217,e3936fae9f974d3b3850d78e84d3a6c42c4f53668dc0375e48e2820652d06c78,3.1305572809000104,-5.843358675582108,3.3094427190999878,2.2242210745560707,-1.351246117974984,2.9240130862785247,-0.948753882025021,4.540941253889103,1.838560213449752,0.32148942772983213,-3.438560213449751,-1.1156363869370443,-0.8113466179497951,-2.339658102489126,3.5713466179497835,-5.2312522366501275,-0.964396134799768,-6.185857166254466,4.044396134799763,-5.55798264829051,2.565084971874736,-6.511277331917208,-3.0250849718747466,-2.3944242537322484,7.3631189606246386,1.453967850064285,-0.46311896062463553,-4.989586905844953,1.7870509831248447,7.638824077459069,-1.5670509831248423,4.142748690619727,-1.908916494400135,0.848840092944567,-4.771083505599871,1.9440860311750279,4.36328157299975,-3.828046782390286,-1.0032815729997515,-5.204811027485191,5.725084971874743,5.953245412486651,0.13491502812526338,-2.9974771156268636,4.010394668524894,-0.31350980705790876,1.7296053314751112,4.5903934037159155,0.908815994425319,-4.003918397401072,7.751184005574673,-0.5819256541459927,-1.575804865149867,-5.141446641334205,1.3758048651498604,1.3436987885360168
7,21000,3000,6a7ebf4dc0ee6f8964d6f56cbe65276e982b08486b0eca1f57193c5916490517,f36e9420228927b2b424bc0b3bf7cc2852912d4aefe6b0b9bd00a0f26f8d633d,1.7809519494249013,-0.6921216981684988,-0.3209519494249,1.8854621595047591,-0.4886533820502039,4.208660551220219,-4.8713466179498015,0.7610363753479924,-1.1346903033498454,-0.57880469276088,2.174690303349847,0.8514605848998401,4.2495432190747975,2.040870308303195,0.09045678092519484,5.204310558055352,-3.135541752799937,-7.568481009495864,-1.704458247200066,0.4220132804790448,7.059674775249769,-5.00118795733182,2.1403252247502347,0.010909419745166113,2.1843961347997656,2.2792965329171593,-2.824396134799779,-3.0074586140181223,6.380425724725055,2.4335855980498184,7.319574275274949,-2.4915178379783867,-3.798985938174798,8.881807850934022,0.5389859381747992,5.278966688575231,2.649643719049619,-1.413923711693153,-5.489643719049619,-2.1356075804116887,1.3109208932247474,2.89471509554611,-4.0109208932247595,-10.723368151640514,8.723544685349669,1.2038224291573563,1.8364553146503204,-2.8835414959833088,5.132035455024769,1.5052307152985598,0.1679645449752315,-4.221881155802685,4.032422792175298,0.9304749052766926,10.4275772078247,2.1522584534972293
8,24000,3000,d2ba55d604d8103fe77080e1dae75a9b94ff2defec64cf9311627e71f9fcc235,43712dfb0d3ef36b873a7e5d84c9a117d592f79f800f06d9a270cbac7497978d,-2.411872842649654,-5.0379199720059935,5.011872842649641,-0.6952426595536123,-1.1824301235496566,-2.1125966397498264,6.062430123549667,3.1630579251284217,-5.210657780874825,4.295154022839145,-1.409342219125176,7.596423626950298,0.8920975674250673,0.643288162577626,2.367902432574922,0.6604395050930089,-7.208954881974645,-1.4519659723449452,0.3489548819746498,-2.1591189905033903,-0.13590536512467252,3.4894790296508402,6.795905365124679,-4.625314702982612,-4.327352483049285,3.373350369976078,10.967352483049297,2.4528569630906385,-1.2775077640500414,-1.0496515088307947,-2.0824922359499682,-4.17111875999823,-2.8378713763747783,6.1207550822017796,1.8578713763747847,-1.7373419996365547,-0.3442956348249538,-0.7298546517023345,0.6842956348249553,4.753663028380156,3.6238699100999066,1.9299375052386492,1.6561300899000906,-10.26817126979646,-0.8791485505499128,7.895211421136221,0.9991485505499093,-4.2682123442443825,-2.018134488724706,2.861222187063145,4.1981344887247065,-7.011377011419216,-2.661702898900176,-4.483936935314438,-6.418297101099823,-0.8260203145945701
9,27000,3000,44a40e0c13d9b888abf7ad7acaaf875cf4c5a200e56cbbf3c8b6a7e238c90b3b,f440d9abe527c9c73c9d1b7919b4661d8e0eca8ec4923283ce5dcda8df1f916e,8.99118400557468,-0.5012187631677718,2.1488159944253176,-4.463046017178009,4.087577207824704,-1.7752661154822558,-2.307577207824705,1.426334539727816,0.3174072640752265,4.764144996201252,5.102592735924772,-4.73127070195424,2.857244651700111,-0.4024326083202568,5.182755348299897,-5.5586012625264445,-1.6310213931995627,-1.106155357975617,7.671021393199568,-2.208261833212233,3.805773808949714,7.355950397316657,-2.3657738089497107,-8.75476977151409,4.37479080332466,7.199468292152781,-2.9147908033246597,2.556884101848702,-5.372073842599282,-5.720442496406961,10.012073842599284,6.8740481264900435,1.7148529157249583,-2.71996256420109,0.8651470842750404,2.1042346944541737,6.2304567809251825,-4.000488128897999,10.389543219074813,-0.8426711876801248,1.4820665112249134,-7.354257826715293,-0.2620665112249141,-1.2856484038013527,-0.3240325224750295,-8.873136598520388,-0.8159674775249823,-8.270274898937641,0.5745898033750324,-6.1966484411935285,1.2454101966249687,-2.988569573601042,1.8975698764503437,2.0910140898717016,9.142430123549662,1.9757682242505081
