dps,min_train,holdout,model,n_min,train_max,test_min,test_max,intercept,rmse,max_abs,source
60,5,2,4,5,8,9,10,0.592753715247352600917917502066,0.00000448292524520491706274311086762,0.00000502375518008730521675883834762,audit_dps060_nmin05_h02.json
60,5,2,4,5,9,10,11,0.592752079055661870402538682138,0.00000389933759740717635940610166242,0.00000424240594786154631100190174417,audit_dps060_nmin05_h02.json
60,5,2,4,5,10,11,12,0.592750960348625511418921332200,0.00000343054961559043165984443863683,0.00000365528933491496341694922876374,audit_dps060_nmin05_h02.json
60,5,2,4,5,11,12,13,0.592750159887728144016696885401,0.00000304917199665242177772583072331,0.00000320085504213600302401070446343,audit_dps060_nmin05_h02.json
60,5,2,4,5,12,13,14,0.592749565150223204361709076299,0.00000273470539595526174989259234396,0.00000283985197044652376750308625034,audit_dps060_nmin05_h02.json
60,5,2,4,5,13,14,15,0.592749109322166468155933918831,0.00000247217409990780800758258250413,0.00000254680997481356934323988196805,audit_dps060_nmin05_h02.json
60,5,2,4,5,14,15,16,0.592748750829941170461550441674,0.00000225054358717350535384060616213,0.00000230464858519413833443387273149,audit_dps060_nmin05_h02.json
60,5,2,4,5,15,16,17,0.592748462719889095428671470387,0.00000206156104897725656623554897446,0.00000210152465460930836144667852776,audit_dps060_nmin05_h02.json
60,5,2,4,5,16,17,18,0.592748226884340109203932757145,0.00000189895897087324589705113318667,0.00000192897624377586507328504814220,audit_dps060_nmin05_h02.json
60,5,2,4,5,17,18,19,0.592748030778583028010245441049,0.00000175790948650488669855628662179,0.00000178079811938107250090452558947,audit_dps060_nmin05_h02.json
60,5,2,4,5,18,19,20,0.592747865476678796508858470792,0.00000163464546638917306348747827231,0.00000165233738816261774930520597776,audit_dps060_nmin05_h02.json
60,5,2,4,5,19,20,21,0.592747724477661657733776999221,0.00000152619293290772404451150481502,0.00000154003772214029982475879970845,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,9,10,11,0.592745878613768057464436492398,0.0000000334816392686930639317582549751,0.0000000450928350609414940475933177417,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,10,11,12,0.592745888899793003856440920188,0.0000000520214282215381612481711063740,0.0000000634999694910058691528544232809,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,11,12,13,0.592745907935452192295032696135,0.0000000589495223157623394986205495166,0.0000000682525184521984683751180284275,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,12,13,14,0.592745926562198665131844629350,0.0000000603850706758667836875635954324,0.0000000675384348248996551385065843133,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,13,14,15,0.592745942648229061974233043875,0.0000000592289353198553630370060320416,0.0000000646445847858935859035671951464,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,14,15,16,0.592745956036506115300520134170,0.0000000568812573115768544325532903793,0.0000000609761779254104342771230778140,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,15,16,17,0.592745967081069469776641798183,0.0000000540426016395100928194544423118,0.0000000571544646784142888603199846602,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,16,17,18,0.592745976210574944153198025673,0.0000000510703593233510229171428256715,0.0000000534538243723672291022376919759,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,17,18,19,0.592745983806296128037433436283,0.0000000481463199617530018104513050847,0.0000000499885014002960198585564707954,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,18,19,20,0.592745990178296226976734166674,0.0000000453596814032200270540299854217,0.0000000467970017151831685127818172531,audit_dps060_nmin05_h02.json
60,5,2,"4,6",5,19,20,21,0.592745995570724424900829270381,0.0000000427499436415487906385380408193,0.0000000438819463862718605728285045574,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,10,11,12,0.592745819924832062663964960669,0.0000000836999028705136771042507248117,0.0000000996955061776761210038067995353,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,11,12,13,0.592745895818990518980652268347,0.0000000651827114523960441985395833362,0.0000000751801938159098404660212542240,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,12,13,14,0.592745940171558971932929214709,0.0000000527025431023920144302785335932,0.0000000591770267601248586805259180636,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,13,14,15,0.592745967948583787267911868822,0.0000000438067882986072059738487313976,0.0000000481287773999435998240846388474,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,14,15,16,0.592745986330058282423962937448,0.0000000371956695108042745373023721930,0.0000000401583030993670004409309969834,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,15,16,17,0.592745999053966732571583496108,0.0000000321209979684055275963191196468,0.0000000342000363397580159274752529770,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,16,17,18,0.592746008197252298321130349571,0.0000000281240881546927243077095762620,0.0000000296138898620016188201238201515,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,17,18,19,0.592746014977685734782274642894,0.0000000249092545031562454595006382150,0.0000000259970123680533311033785967862,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,18,19,20,0.592746020142425427078500810114,0.0000000222779162250410630315684367398,0.0000000230856410384003991112696623351,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",5,19,20,21,0.592746024168048519287048252559,0.0000000200921027319044824746415727125,0.0000000207011087005552475159133667021,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,11,12,13,0.592746178381571851042241600002,0.0000000271339389265388804405333031787,0.0000000336676672577901223249761031214,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,12,13,14,0.592746141913548764409206859514,0.0000000228159719668005497591133376705,0.0000000275237530687643154561814833747,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,13,14,15,0.592746119085853833579094845664,0.0000000197468303034033260460763603337,0.0000000232183804744441111487133527509,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,14,15,16,0.592746103927811940965064281974,0.0000000174355863925508589834526550768,0.0000000200423336862108702511288264677,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,15,16,17,0.592746093388842029753984786695,0.0000000156200519193683396895272134360,0.0000000176075376578098291638689446674,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,16,17,18,0.592746085783814970989469593039,0.0000000141478292481742912266414895884,0.0000000156835912534953259763522289245,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,17,18,19,0.592746080124307467671538534276,0.0000000129244665837278971974448544813,0.0000000141255050368783143503779058103,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,18,19,20,0.592746075801854084719031633912,0.0000000118883106760541665759915285163,0.0000000128378707377195182834388758988,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",5,19,20,21,0.592746072426554709448705320776,0.0000000109973294877546337119940761727,0.0000000117555887161719767051142299386,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,12,13,14,0.592746021359473013027479713989,0.00000000450069949745480556236410509763,0.00000000569318570707845147650913506988,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,13,14,15,0.592746030752946961524382416511,0.00000000365990811688797485126008752914,0.00000000451381346337469724923137241586,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,14,15,16,0.592746036380013456071260989956,0.00000000308775678577983133110972131277,0.00000000371746712764329279751499086172,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,15,16,17,0.592746039980896882199991492002,0.00000000267277963034705177694944424279,0.00000000314713775789946493201682037129,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,16,17,18,0.592746042405588856254103238120,0.00000000235689210535667069275302734072,0.00000000272016244554128018412031499801,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,17,18,19,0.592746044106047385507145181009,0.00000000210730661240086682840608806572,0.00000000238928993953729570308872971716,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,18,19,20,0.592746045339025776778250759551,0.00000000190430324036918563559215175074,0.00000000212573438505485651399331569952,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",5,19,20,21,0.592746046258342045716735864871,0.00000000173538140107898228055106311312,0.00000000191104511557614869208262765206,audit_dps060_nmin05_h02.json
60,5,3,4,5,8,9,11,0.592753715247352600917917502066,0.00000495553427941205065134212772281,0.00000578608006124116854524967123811,audit_dps060_nmin05_h03.json
60,5,3,4,5,9,10,12,0.592752079055661870402538682138,0.00000419348002612979756789994616896,0.00000472717217705705764076502056490,audit_dps060_nmin05_h03.json
60,5,3,4,5,10,11,13,0.592750960348625511418921332200,0.00000362154857923995085351216499062,0.00000397611632190626471546360280591,audit_dps060_nmin05_h03.json
60,5,3,4,5,11,12,14,0.592750159887728144016696885401,0.00000317769746858220929851478042481,0.00000342029002793077626247593290258,audit_dps060_nmin05_h03.json
60,5,3,4,5,12,13,15,0.592749565150223204361709076299,0.00000282383560795466829611988568197,0.00000299414685961201365691011198522,audit_dps060_nmin05_h03.json
60,5,3,4,5,13,14,16,0.592749109322166468155933918831,0.00000253559386151486161469166600988,0.00000265789750200145609079352766244,audit_dps060_nmin05_h03.json
60,5,3,4,5,14,15,17,0.592748750829941170461550441674,0.00000229668237605759097162047494654,0.00000238628517448041958906273134148,audit_dps060_nmin05_h03.json
60,5,3,4,5,15,16,18,0.592748462719889095428671470387,0.00000209578461942912717201438054533,0.00000216260759172501319286251002404,audit_dps060_nmin05_h03.json
60,5,3,4,5,16,17,19,0.592748226884340109203932757145,0.00000192478177318316821172806549693,0.00000197541496324556306643571827614,audit_dps060_nmin05_h03.json
60,5,3,4,5,17,18,20,0.592748030778583028010245441049,0.00000177769169599314186103114002704,0.00000181660996708736860555925634850,audit_dps060_nmin05_h03.json
60,5,3,4,5,18,19,21,0.592747865476678796508858470792,0.00000165000749619991868750260850041,0.00000168031027223379783716054582282,audit_dps060_nmin05_h03.json
60,5,3,"4,6",5,9,10,12,0.592745878613768057464436492398,0.0000000497885485185867288460105010987,0.0000000720739783453446909614797018809,audit_dps060_nmin05_h03.json
