k,configuration_count,sum_clusters_G,sum_clusters_Gstar_complement,wrap_H_G,wrap_V_G,wrap_E_G,wrap_B_G,wrap_H_Gstar,wrap_V_Gstar,wrap_E_Gstar,wrap_B_Gstar
0,1,0,1,0,0,0,0,1,1,1,1
1,25,25,25,0,0,0,0,25,25,25,25
2,300,550,300,0,0,0,0,300,300,300,300
3,2300,5750,2300,0,0,0,0,2300,2300,2300,2300
4,12650,37975,12650,0,0,0,0,12650,12650,12650,12650
5,53130,177635,53130,5,5,10,0,53125,53125,53130,53120
6,177100,625300,177100,100,100,200,0,177000,177000,177100,176900
7,480700,1717700,480700,1000,1000,2000,0,479700,479700,480700,478700
8,1081575,3767900,1081600,6500,6500,13000,0,1075075,1075075,1081575,1068575
9,2042975,6698700,2043375,30325,30325,60625,25,2012650,2012650,2042950,1982350
10,3268760,9746040,3271820,107695,107695,213880,1510,3161975,3161975,3268160,3055790
11,4457400,11687850,4472200,302025,302025,587750,16300,4165275,4165275,4451000,3879550
12,5200300,11647575,5250975,678075,678075,1269225,86925,4569025,4569025,5160175,3977875
13,5200300,9773725,5330625,1209075,1209075,2132950,285200,4114225,4114225,5038100,3190350
14,4457400,7044650,4717300,1679925,1679925,2734300,625550,2970175,2970175,4024550,1915800
15,3268760,4449220,3675220,1788325,1788325,2628910,947740,1660325,1660325,2500910,819740
16,2042975,2480625,2538800,1452900,1452900,1901400,1004400,687425,687425,1135925,238925
17,1081575,1211300,1543750,910225,910225,1065675,754775,201000,201000,356450,45550
18,480700,510150,801500,446200,446200,480150,412250,39300,39300,73250,5350
19,177100,181900,339650,172775,172775,177100,168450,4675,4675,9000,350
20,53130,53630,112145,52875,52875,53130,52620,265,265,520,10
21,12650,12675,27500,12650,12650,12650,12650,0,0,0,0
22,2300,2300,4700,2300,2300,2300,2300,0,0,0,0
23,300,300,500,300,300,300,300,0,0,0,0
24,25,25,25,25,25,25,25,0,0,0,0
25,1,1,0,1,1,1,1,0,0,0,0
