observable,mode,L1,L2,w1,w2,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
H,shared,16,24,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,163335.876937,0.592953143402485953,0.592951772858526434,0.000594815505915159125,0.000133004790529722406,20,1.49230769230769231,1.27023270476726233,1.23146017311214501,24,0.000483016437642430554,32,0.592684645356142514,0.000268498046343438554,0.000268498046343438554,1.95220242802706787,ok
H,shared,24,32,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,970681.782861,0.592583618342198404,0.592583458051833824,0.000922043555711191111,0.000206175206878583777,20,1.92571428571428571,1.53433625881096899,1.49906394086949123,32,0.000615079537685620566,48,0.592727716312626995,-0.000144097970428590634,0.000144097970428590634,-0.883047859981295914,ok
H,shared,32,48,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,2613374.03077,0.592738318394223175,0.592739479645568950,0.000919019048372084859,0.000205498906477714919,20,1.49230769230769231,1.27023270476726233,1.25931939953012604,48,0.000729774391401408445,64,0.592725646126560646,0.0000126722676625289385,0.0000126722676625289385,0.126894674555014387,ok
H,shared,48,64,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,15530908.5257,0.592724687926152793,0.592726007534052446,0.000636447871068383806,0.000142314070384392789,20,1.92571428571428571,1.53433625881096899,1.42507230173380146,64,0.000446607424966477280,96,0.592872924315839933,-0.000148236389687139966,0.000148236389687139966,-0.940066404778385592,ok
H,shared,64,96,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,41813984.4923,0.592909177408585604,0.592912047653078084,0.000816097491397499630,0.000182484946703185902,20,1.49230769230769231,1.27023270476726233,1.15725948355528304,96,0.000705198361296050782,128,0.592692551895070086,0.000216625513515517646,0.000216625513515517646,1.37569003509092522,ok
H,shared,96,128,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,248494536.411,0.592609065231742328,0.592591530373804227,0.00117373706038110072,0.000262455585472291643,20,1.92571428571428571,1.53433625881096899,1.66673596165450003,128,0.000704212957171680850,192,0.592760921825630005,-0.000151856593887676754,0.000151856593887676754,-0.746097042685655007,ok
H,shared,128,192,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,669023751.877,0.592777751346998600,0.592847120476440355,0.00114989098189982106,0.000257123440224198015,20,1.49230769230769231,1.27023270476726233,1.26329080249444318,192,0.000910234587024058594,256,0.592777028564663633,7.22782334967446154e-7,7.22782334967446154e-7,0.00360142622888014261,ok
H,shared,192,256,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,3975912582.58,0.592784483683873484,0.592765931868472021,0.00114907590057425206,0.000256941182499081724,20,1.92571428571428571,1.53433625881096899,1.28026747357259361,256,0.000897527996526967351,,,,,,ok
V,shared,16,24,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,163335.876937,0.592953143402485953,0.592951772858526434,0.000594815505915156504,0.000133004790529721820,20,1.49230769230769231,1.27023270476726233,1.23146017311215921,24,0.000483016437642422856,32,0.592684645356142514,0.000268498046343438554,0.000268498046343438554,1.95220242802705017,ok
V,shared,24,32,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,970681.782861,0.592583618342198404,0.592583458051833824,0.000922043555711202345,0.000206175206878586289,20,1.92571428571428571,1.53433625881096899,1.49906394086949575,32,0.000615079537685626204,48,0.592727716312626995,-0.000144097970428590634,0.000144097970428590634,-0.883047859981296207,ok
V,shared,32,48,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,2613374.03077,0.592738318394223175,0.592739479645568936,0.000919019048372094215,0.000205498906477717011,20,1.49230769230769231,1.27023270476726233,1.25931939953013923,48,0.000729774391401408228,64,0.592725646126560646,0.0000126722676625289385,0.0000126722676625289385,0.126894674555019760,ok
V,shared,48,64,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,15530908.5257,0.592724687926152793,0.592726007534052500,0.000636447871068373934,0.000142314070384390582,20,1.92571428571428571,1.53433625881096899,1.42507230173383956,64,0.000446607424966458414,96,0.592872924315839933,-0.000148236389687139966,0.000148236389687139966,-0.940066404778383810,ok
V,shared,64,96,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,41813984.4923,0.592909177408585604,0.592912047653078062,0.000816097491397493345,0.000182484946703184496,20,1.49230769230769231,1.27023270476726233,1.15725948355527182,96,0.000705198361296052192,128,0.592692551895070086,0.000216625513515517646,0.000216625513515517646,1.37569003509088568,ok
V,shared,96,128,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,248494536.411,0.592609065231742328,0.592591530373804208,0.00117373706038113710,0.000262455585472299778,20,1.92571428571428571,1.53433625881096899,1.66673596165450370,128,0.000704212957171701124,192,0.592760921825630005,-0.000151856593887676754,0.000151856593887676754,-0.746097042685641000,ok
V,shared,128,192,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,669023751.877,0.592777751346998600,0.592847120476440345,0.00114989098189983827,0.000257123440224201865,20,1.49230769230769231,1.27023270476726233,1.26329080249443832,192,0.000910234587024075724,256,0.592777028564663633,7.22782334967446154e-7,7.22782334967446154e-7,0.00360142622888020487,ok
V,shared,192,256,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,3975912582.58,0.592784483683873484,0.592765931868471994,0.00114907590057421509,0.000256941182499073458,20,1.92571428571428571,1.53433625881096899,1.28026747357257453,256,0.000897527996526951847,,,,,,ok
either,shared,16,24,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,163335.876937,0.592953143402485953,0.592951772858526441,0.000594815505915150777,0.000133004790529720539,20,1.49230769230769231,1.27023270476726233,1.23146017311216850,24,0.000483016437642414562,32,0.592684645356142514,0.000268498046343438554,0.000268498046343438554,1.95220242802704518,ok
either,shared,24,32,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,970681.782861,0.592583618342198404,0.592583458051833821,0.000922043555711207756,0.000206175206878587499,20,1.92571428571428571,1.53433625881096899,1.49906394086950085,32,0.000615079537685627722,48,0.592727716312626995,-0.000144097970428590634,0.000144097970428590634,-0.883047859981317479,ok
either,shared,32,48,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,2613374.03077,0.592738318394223175,0.592739479645568923,0.000919019048372069771,0.000205498906477711545,20,1.49230769230769231,1.27023270476726233,1.25931939953013605,48,0.000729774391401390664,64,0.592725646126560646,0.0000126722676625289385,0.0000126722676625289385,0.126894674555017108,ok
either,shared,48,64,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,15530908.5257,0.592724687926152793,0.592726007534052456,0.000636447871068388204,0.000142314070384393773,20,1.92571428571428571,1.53433625881096899,1.42507230173384175,64,0.000446607424966467739,96,0.592872924315839933,-0.000148236389687139966,0.000148236389687139966,-0.940066404778373633,ok
either,shared,64,96,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,41813984.4923,0.592909177408585604,0.592912047653078090,0.000816097491397513226,0.000182484946703188942,20,1.49230769230769231,1.27023270476726233,1.15725948355528755,96,0.000705198361296059781,128,0.592692551895070086,0.000216625513515517646,0.000216625513515517646,1.37569003509097874,ok
either,shared,96,128,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,248494536.411,0.592609065231742328,0.592591530373804257,0.00117373706038107523,0.000262455585472285944,20,1.92571428571428571,1.53433625881096899,1.66673596165452875,128,0.000704212957171653419,192,0.592760921825630005,-0.000151856593887676754,0.000151856593887676754,-0.746097042685638812,ok
either,shared,128,192,-0.246153846153846153846154,1.24615384615384615384615,1.49230769230769231,1.27023270476726233,669023751.877,0.592777751346998600,0.592847120476440349,0.00114989098189983639,0.000257123440224201444,20,1.49230769230769231,1.27023270476726233,1.26329080249443264,192,0.000910234587024078327,256,0.592777028564663633,7.22782334967446154e-7,7.22782334967446154e-7,0.00360142622888017423,ok
either,shared,192,256,-0.462857142857142857142857,1.46285714285714285714286,1.92571428571428571,1.53433625881096899,3975912582.58,0.592784483683873484,0.592765931868471956,0.00114907590057423448,0.000256941182499077793,20,1.92571428571428571,1.53433625881096899,1.28026747357258516,256,0.000897527996526959544,,,,,,ok
