observable,mode,L1,L2,L3,w1,w2,w3,sum_abs_weights,l2_norm,condition_number,combined_pooled,combined_batch_mean,batch_sd,batch_se,n_batches,noise_amp_l1,noise_amp_l2,noise_amp_empirical,ref_L,ref_batch_sd,withheld_L,withheld_true,signed_error,abs_error,standardized_error,status
H,shared,16,24,32,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,552738203.994,0.592528401953879575,0.592528422506006193,0.00107878882742886195,0.000241224515149822500,20,2.43645320197044335,1.82878637285847411,1.75390134337431408,32,0.000615079537685620566,48,0.592727716312626995,-0.000199314358747419674,0.000199314358747419674,-1.22141982591402317,ok
H,shared,24,32,48,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,4022565574.01,0.592759452281111805,0.592760794070942601,0.00107004428890159141,0.000239269176891938218,20,1.95925058548009368,1.49673279933677567,1.46626724849408885,48,0.000729774391401408445,64,0.592725646126560646,0.0000338061545511587981,0.0000338061545511587981,0.338520389086361590,ok
H,shared,32,48,64,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,35374949850.2,0.592722651189544575,0.592723994459917796,0.000779297662256670966,0.000174256254751258844,20,2.43645320197044335,1.82878637285847411,1.74492768971578493,64,0.000446607424966477280,96,0.592872924315839933,-0.000150273126295357951,0.000150273126295357951,-0.952982718139828105,ok
H,shared,48,64,96,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,257443771103.,0.592934380889792272,0.592937462969884865,0.000885730903753362036,0.000198055451056484113,20,1.95925058548009368,1.49673279933677567,1.25600249853887779,96,0.000705198361296050782,128,0.592692551895070086,0.000241828994722185763,0.000241828994722185763,1.53574587238790661,ok
H,shared,64,96,128,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,2.26399560959e+12,0.592564220883478391,0.592543636987246065,0.00142232046591718580,0.000318040524758000022,20,2.43645320197044335,1.82878637285847411,2.01973061050967958,128,0.000704212957171680850,192,0.592760921825630005,-0.000196700942151614458,0.000196700942151614458,-0.966424884660284348,ok
H,shared,96,128,192,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,1.64763996481e+13,0.592800795898263119,0.592882037157128350,0.00133567326147351738,0.000298665620838363578,20,1.95925058548009368,1.49673279933677567,1.46739453819305806,192,0.000910234587024058594,256,0.592777028564663633,0.0000237673335994855063,0.0000237673335994855063,0.118426107660180458,ok
H,shared,128,192,256,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,1.44895714291e+14,0.592785489665245593,0.592753800237396293,0.00128608693272541950,0.000287577780654823687,20,2.43645320197044335,1.82878637285847411,1.43292124335062723,256,0.000897527996526967351,,,,,,ok
V,shared,16,24,32,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,552738203.994,0.592528401953879575,0.592528422506006193,0.00107878882742887579,0.000241224515149825593,20,2.43645320197044335,1.82878637285847411,1.75390134337432049,32,0.000615079537685626204,48,0.592727716312626995,-0.000199314358747419674,0.000199314358747419674,-1.22141982591402357,ok
V,shared,24,32,48,0.0632318501170960187353630,-0.479625292740046838407494,1.41639344262295081967213,1.95925058548009368,1.49673279933677567,4022565574.01,0.592759452281111805,0.592760794070942586,0.00107004428890160866,0.000239269176891942074,20,1.95925058548009368,1.49673279933677567,1.46626724849411292,48,0.000729774391401408228,64,0.592725646126560646,0.0000338061545511587981,0.0000338061545511587981,0.338520389086375923,ok
V,shared,32,48,64,0.0367816091954022988505747,-0.718226600985221674876847,1.68144499178981937602627,2.43645320197044335,1.82878637285847411,35374949850.2,0.592722651189544575,0.592723994459917860,0.000779297662256666731,0.000174256254751257897,20,2.43645320197044335,1.82878637285847411,1.74492768971584916,64,0.000446607424966458414,96,0.592872924315839933,-0.000150273126295357951,0.000150273126295357951,-0.952982718139826298,ok
