method,observable,mode,sizes,sum_abs_weights,l2_norm,condition_number,batch_sd_combined,batch_se_combined,ref_L,ref_batch_sd,empirical_noise_amp,n_batches,note
L4_cancel,H,shared,16 24,1.49230769230769231,1.27023270476726233,163335.876937,0.000594815505915159125,0.000133004790529722406,24,0.000483016437642430554,1.23146017311214501,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,24 32,1.92571428571428571,1.53433625881096899,970681.782861,0.000922043555711191111,0.000206175206878583777,32,0.000615079537685620566,1.49906394086949123,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,32 48,1.49230769230769231,1.27023270476726233,2613374.03077,0.000919019048372084859,0.000205498906477714919,48,0.000729774391401408445,1.25931939953012604,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,48 64,1.92571428571428571,1.53433625881096899,15530908.5257,0.000636447871068383806,0.000142314070384392789,64,0.000446607424966477280,1.42507230173380146,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,64 96,1.49230769230769231,1.27023270476726233,41813984.4923,0.000816097491397499630,0.000182484946703185902,96,0.000705198361296050782,1.15725948355528304,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,96 128,1.92571428571428571,1.53433625881096899,248494536.411,0.00117373706038110072,0.000262455585472291643,128,0.000704212957171680850,1.66673596165450003,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,128 192,1.49230769230769231,1.27023270476726233,669023751.877,0.00114989098189982106,0.000257123440224198015,192,0.000910234587024058594,1.26329080249444318,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,shared,192 256,1.92571428571428571,1.53433625881096899,3975912582.58,0.00114907590057425206,0.000256941182499081724,256,0.000897527996526967351,1.28026747357259361,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,16 24,1.49230769230769231,1.27023270476726233,163335.876937,0.000594815505915156504,0.000133004790529721820,24,0.000483016437642422856,1.23146017311215921,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,24 32,1.92571428571428571,1.53433625881096899,970681.782861,0.000922043555711202345,0.000206175206878586289,32,0.000615079537685626204,1.49906394086949575,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,32 48,1.49230769230769231,1.27023270476726233,2613374.03077,0.000919019048372094215,0.000205498906477717011,48,0.000729774391401408228,1.25931939953013923,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,48 64,1.92571428571428571,1.53433625881096899,15530908.5257,0.000636447871068373934,0.000142314070384390582,64,0.000446607424966458414,1.42507230173383956,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,64 96,1.49230769230769231,1.27023270476726233,41813984.4923,0.000816097491397493345,0.000182484946703184496,96,0.000705198361296052192,1.15725948355527182,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,96 128,1.92571428571428571,1.53433625881096899,248494536.411,0.00117373706038113710,0.000262455585472299778,128,0.000704212957171701124,1.66673596165450370,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,128 192,1.49230769230769231,1.27023270476726233,669023751.877,0.00114989098189983827,0.000257123440224201865,192,0.000910234587024075724,1.26329080249443832,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,shared,192 256,1.92571428571428571,1.53433625881096899,3975912582.58,0.00114907590057421509,0.000256941182499073458,256,0.000897527996526951847,1.28026747357257453,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,16 24,1.49230769230769231,1.27023270476726233,163335.876937,0.000594815505915150777,0.000133004790529720539,24,0.000483016437642414562,1.23146017311216850,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,24 32,1.92571428571428571,1.53433625881096899,970681.782861,0.000922043555711207756,0.000206175206878587499,32,0.000615079537685627722,1.49906394086950085,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,32 48,1.49230769230769231,1.27023270476726233,2613374.03077,0.000919019048372069771,0.000205498906477711545,48,0.000729774391401390664,1.25931939953013605,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,48 64,1.92571428571428571,1.53433625881096899,15530908.5257,0.000636447871068388204,0.000142314070384393773,64,0.000446607424966467739,1.42507230173384175,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,64 96,1.49230769230769231,1.27023270476726233,41813984.4923,0.000816097491397513226,0.000182484946703188942,96,0.000705198361296059781,1.15725948355528755,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,96 128,1.92571428571428571,1.53433625881096899,248494536.411,0.00117373706038107523,0.000262455585472285944,128,0.000704212957171653419,1.66673596165452875,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,128 192,1.49230769230769231,1.27023270476726233,669023751.877,0.00114989098189983639,0.000257123440224201444,192,0.000910234587024078327,1.26329080249443264,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,shared,192 256,1.92571428571428571,1.53433625881096899,3975912582.58,0.00114907590057423448,0.000256941182499077793,256,0.000897527996526959544,1.28026747357258516,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,16 24,1.49230769230769231,1.27023270476726233,163335.876937,0.000594815505915167710,0.000133004790529724326,24,0.000483016437642433481,1.23146017311215532,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,24 32,1.92571428571428571,1.53433625881096899,970681.782861,0.000922043555711213778,0.000206175206878588846,32,0.000615079537685631408,1.49906394086950166,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,32 48,1.49230769230769231,1.27023270476726233,2613374.03077,0.000919019048372105522,0.000205498906477719539,48,0.000729774391401414734,1.25931939953014350,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,48 64,1.92571428571428571,1.53433625881096899,15530908.5257,0.000636447871068411100,0.000142314070384398893,64,0.000446607424966474244,1.42507230173387226,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,64 96,1.49230769230769231,1.27023270476726233,41813984.4923,0.000816097491397492503,0.000182484946703184308,96,0.000705198361296051758,1.15725948355527134,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,96 128,1.92571428571428571,1.53433625881096899,248494536.411,0.00117373706038113480,0.000262455585472299262,128,0.000704212957171701124,1.66673596165450043,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,128 192,1.49230769230769231,1.27023270476726233,669023751.877,0.00114989098189983827,0.000257123440224201865,192,0.000910234587024075724,1.26329080249443832,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,shared,192 256,1.92571428571428571,1.53433625881096899,3975912582.58,0.00114907590057423272,0.000256941182499077399,256,0.000897527996526964206,1.28026747357257654,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,16 24,1.49230769230769231,1.27023270476726233,163335.876937,0.00518560242689503444,0.00115953595308251807,24,0.00404449065766765859,1.28213979603686912,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,24 32,1.92571428571428571,1.53433625881096899,970681.782861,0.0106786027421072744,0.00244983948479273358,32,0.00649639975734365212,1.64377241872099721,19,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,32 48,1.49230769230769231,1.27023270476726233,2613374.03077,0.00765579310781389662,0.00191394827695347416,48,0.00619742605159961848,1.23531818598107497,16,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,48 64,1.92571428571428571,1.53433625881096899,15530908.5257,0.00942489380392615936,0.00243349711615863245,64,0.00633264880872097622,1.48830198683159457,15,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,64 96,1.49230769230769231,1.27023270476726233,41813984.4923,0.00831005979304828371,0.00277001993101609457,96,0.00730448601744539995,1.13766523383045141,9,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,96 128,1.92571428571428571,1.53433625881096899,248494536.411,nan,nan,128,0.00610497735649816013,nan,1,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,128 192,1.49230769230769231,1.27023270476726233,669023751.877,nan,nan,192,0.00955277377038051337,nan,1,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,shared,192 256,1.92571428571428571,1.53433625881096899,3975912582.58,0.0148270807558885649,0.00741354037794428244,256,0.00995121304857325174,1.48997722021581955,4,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,independent,32 64,1.13333333333333333,1.06874796945875982,2236962.13333,0.000455404571664304602,0.000101831557950555963,64,0.000435262542561525717,1.04627558572865651,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,independent,64 128,1.13333333333333333,1.06874796945875982,35791394.1333,0.000885509747980877233,0.000198005999122394864,128,0.000837934032588291038,1.05677739958315067,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,H,independent,128 256,1.13333333333333333,1.06874796945875982,572662306.133,0.000864445887843919458,0.000193295976808916302,256,0.000822170538932418221,1.05141919700308823,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,independent,32 64,1.13333333333333333,1.06874796945875982,2236962.13333,0.000495702689497741400,0.000110842491034642086,64,0.000461691219622858441,1.07366713601932022,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,independent,64 128,1.13333333333333333,1.06874796945875982,35791394.1333,0.000565418166719817531,0.000126431345649882129,128,0.000536873355027907024,1.05316861309018908,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,V,independent,128 256,1.13333333333333333,1.06874796945875982,572662306.133,0.000723567456994244160,0.000161794602014578560,256,0.000692392511534370967,1.04502496046756514,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,independent,32 64,1.13333333333333333,1.06874796945875982,2236962.13333,0.000369519502432869412,0.0000826270726451794925,64,0.000349194925158893496,1.05820410266480151,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,independent,64 128,1.13333333333333333,1.06874796945875982,35791394.1333,0.000682032388156297077,0.000152507078277400273,128,0.000641217105269309244,1.06365282920805043,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,either,independent,128 256,1.13333333333333333,1.06874796945875982,572662306.133,0.000829081595010803218,0.000185388280533810648,256,0.000793039399021862367,1.04544817827890446,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,independent,32 64,1.13333333333333333,1.06874796945875982,2236962.13333,0.000449399291794252421,0.000100488736549221185,64,0.000436631108214223214,1.02924249633117021,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,independent,64 128,1.13333333333333333,1.06874796945875982,35791394.1333,0.000629766159083281774,0.000140819994163916469,128,0.000582273794265104221,1.08156363086564512,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,both,independent,128 256,1.13333333333333333,1.06874796945875982,572662306.133,0.000830474538375641522,0.000185699752139069222,256,0.000777981548291696297,1.06747330987374974,20,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,independent,32 64,1.13333333333333333,1.06874796945875982,2236962.13333,0.00715858542058632221,0.00164229212773891516,64,0.00671004768298332638,1.06684568557396202,19,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,independent,64 128,1.13333333333333333,1.06874796945875982,35791394.1333,0.0102836299861215262,0.00388684678832630934,128,0.00951615504297585214,1.08064968883752786,7,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
L4_cancel,M,independent,128 256,1.13333333333333333,1.06874796945875982,572662306.133,0.00719585493699733312,0.00359792746849866656,256,0.00928632699143108233,0.774887094072530165,4,"empirical amp = batch_sd(sum w_i p_Li[b]) / batch_sd(p_Lmax); sizes independent across L, matching covariance is inside each p_L"
