observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,A,4,16,16,1,16,,,,,,,,24,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",16,16,1,16,,,,,,,,24,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,16,1,16,,,,,,,,24,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,24,2,16 24,0.592953143402485953,-16.6650442285028838,nan,nan,163335.876937,0.0,0.0,32,0.592684645356142514,0.592937250377823455,0.000252605021680941144,0.000252605021680941144,0.000137535965783419130,1.83664701986914284,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,24,2,16 24,,,,,,,,32,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,24,2,16 24,,,,,,,,32,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,24,24,1,24,,,,,,,,32,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",24,24,1,24,,,,,,,,32,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,24,1,24,,,,,,,,32,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,32,3,16 24 32,0.592795103387685210,-5.14373237690167217,nan,nan,158374.879238,0.0000942746224182724010,0.000123313838550498263,48,0.592727716312626995,0.592794134410804554,0.0000664180981775590261,0.0000664180981775590261,0.000163182514741208720,0.407017248648800031,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,32,3,16 24 32,0.592528401953879575,214.720505245896026,-52108.7216380240311,nan,552738203.994,0.0,0.0,48,0.592727716312626995,0.592564590502891277,-0.000163125809735717567,0.000163125809735717567,0.000163182514741208720,-0.999652505627940092,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,32,3,16 24 32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,24,32,2,24 32,0.592583618342198404,105.934502173458704,nan,nan,970681.782861,0.0,0.0,48,0.592727716312626995,0.592603574295570080,-0.000124142017056914657,0.000124142017056914657,0.000163182514741208720,-0.760755631531917380,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,32,2,24 32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,32,2,24 32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,32,32,1,32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",32,32,1,32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,32,1,32,,,,,,,,48,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,48,4,16 24 32 48,0.592768379498851543,-3.05886949067153199,nan,nan,164052.689775,0.0000856236133883879769,0.000143753780123873919,64,0.592725646126560646,0.592768197176022138,0.0000425510494614916015,0.0000425510494614916015,0.0000998644561481179939,0.426088030744194884,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,48,4,16 24 32 48,0.592661430037032675,127.395567730645213,-31965.8160577891592,nan,431019910.478,0.0000427917194009862304,0.0000685080757482450197,64,0.592725646126560646,0.592668558240747741,-0.0000570878858129053614,0.0000570878858129053614,0.0000998644561481179939,-0.571653699572880687,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,48,4,16 24 32 48,0.592772337780130525,-381.778697915466927,363542.314400714643,-68362189.8436045865,1.59758324499e+12,0.0,0.0,64,0.592725646126560646,0.592754629362112576,0.0000289832355519300750,0.0000289832355519300750,0.0000998644561481179939,0.290225738664639808,ok
H,shared,torus_shared:wrapping_H,A,4,24,48,3,24 32 48,0.592673189929518918,71.1491300617017591,nan,nan,838016.807658,0.0000412517864729706888,0.0000563976713508968697,64,0.592725646126560646,0.592677430748142324,-0.0000482153784183221276,0.0000482153784183221276,0.0000998644561481179939,-0.482808201016080690,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,48,3,24 32 48,0.592759452281111805,-240.489304259188906,165937.723497051995,nan,4022565574.01,0.0,0.0,64,0.592725646126560646,0.592747532713244672,0.0000218865866840262866,0.0000218865866840262866,0.0000998644561481179939,0.219162928715741597,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,48,3,24 32 48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,32,48,2,32 48,0.592738318394223175,-56.2802595784671242,nan,nan,2613374.03077,0.0,0.0,64,0.592725646126560646,0.592734963829343134,9.31770278248762981e-6,9.31770278248762981e-6,0.0000998644561481179939,0.0933034949759071767,ok
H,shared,torus_shared:wrapping_H,B,"4,6",32,48,2,32 48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,48,2,32 48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,48,48,1,48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",48,48,1,48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",48,48,1,48,,,,,,,,64,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,64,5,16 24 32 48 64,0.592756063383290970,-2.08171993101645740,nan,nan,173025.709388,0.0000782491139024619080,0.000153124686990463809,96,0.592872924315839933,0.592756038873626375,-0.000116885442213557631,0.000116885442213557631,0.000157687147347942627,-0.741249012233352807,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,64,5,16 24 32 48 64,0.592688835066538264,108.229955913465473,-27512.7113511642316,nan,419236469.945,0.0000426158938256786713,0.0000817826304459841517,96,0.592872924315839933,0.592690074191303441,-0.000182850124536492078,0.000182850124536492078,0.000157687147347942627,-1.15957532120881352,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,64,5,16 24 32 48 64,0.592750158453528710,-315.000185113354413,315099.902182750795,-60242020.4018549540,1.43699837922e+12,7.65462634975800383e-6,0.0000132721801564545652,96,0.592872924315839933,0.592746843918029305,-0.000126080397810628001,0.000126080397810628001,0.000157687147347942627,-0.799560394940919670,ok
