k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,2000,0,2000,0,0,0,0,2000,2000,2000,2000,0,2000,0,0,0,0,0
1,2000,2000,2000,0,0,0,0,2000,2000,2000,2000,2000,2000,2000,0,0,0,0
2,2000,3995,2000,0,0,0,0,2000,2000,2000,2000,7985,2000,3995,0,0,0,0
3,2000,5979,2000,0,0,0,0,2000,2000,2000,2000,17895,2000,5979,0,0,0,0
4,2000,7951,2000,0,0,0,0,2000,2000,2000,2000,31657,2000,7951,0,0,0,0
5,2000,9912,2000,0,0,0,0,2000,2000,2000,2000,49210,2000,9912,0,0,0,0
6,2000,11875,2000,0,0,0,0,2000,2000,2000,2000,70627,2000,11875,0,0,0,0
7,2000,13823,2000,0,0,0,0,2000,2000,2000,2000,95709,2000,13823,0,0,0,0
8,2000,15772,2000,0,0,0,0,2000,2000,2000,2000,124596,2000,15772,0,0,0,0
9,2000,17700,2000,0,0,0,0,2000,2000,2000,2000,156938,2000,17700,0,0,0,0
10,2000,19625,2000,0,0,0,0,2000,2000,2000,2000,192941,2000,19625,0,0,0,0
11,2000,21557,2000,0,0,0,0,2000,2000,2000,2000,232783,2000,21557,0,0,0,0
12,2000,23472,2000,0,0,0,0,2000,2000,2000,2000,275976,2000,23472,0,0,0,0
13,2000,25390,2000,0,0,0,0,2000,2000,2000,2000,322906,2000,25390,0,0,0,0
14,2000,27285,2000,0,0,0,0,2000,2000,2000,2000,372899,2000,27285,0,0,0,0
15,2000,29179,2000,0,0,0,0,2000,2000,2000,2000,426475,2000,29179,0,0,0,0
16,2000,31051,2000,0,0,0,0,2000,2000,2000,2000,482955,2000,31051,0,0,0,0
17,2000,32927,2000,0,0,0,0,2000,2000,2000,2000,543103,2000,32927,0,0,0,0
18,2000,34790,2000,0,0,0,0,2000,2000,2000,2000,606306,2000,34790,0,0,0,0
19,2000,36637,2000,0,0,0,0,2000,2000,2000,2000,672459,2000,36637,0,0,0,0
20,2000,38490,2000,0,0,0,0,2000,2000,2000,2000,742196,2000,38490,0,0,0,0
21,2000,40330,2000,0,0,0,0,2000,2000,2000,2000,814850,2000,40330,0,0,0,0
22,2000,42169,2000,0,0,0,0,2000,2000,2000,2000,890889,2000,42169,0,0,0,0
23,2000,43986,2000,0,0,0,0,2000,2000,2000,2000,969374,2000,43986,0,0,0,0
24,2000,45803,2000,0,0,0,0,2000,2000,2000,2000,1051135,2000,45803,0,0,0,0
25,2000,47597,2000,0,0,0,0,2000,2000,2000,2000,1135111,2000,47597,0,0,0,0
26,2000,49411,2000,0,0,0,0,2000,2000,2000,2000,1223285,2000,49411,0,0,0,0
27,2000,51205,2000,0,0,0,0,2000,2000,2000,2000,1313711,2000,51205,0,0,0,0
28,2000,53000,2000,0,0,0,0,2000,2000,2000,2000,1407448,2000,53000,0,0,0,0
29,2000,54804,2000,0,0,0,0,2000,2000,2000,2000,1504868,2000,54804,0,0,0,0
30,2000,56582,2000,0,0,0,0,2000,2000,2000,2000,1604110,2000,56582,0,0,0,0
31,2000,58346,2000,0,0,0,0,2000,2000,2000,2000,1705766,2000,58346,0,0,0,0
32,2000,60132,2000,0,0,0,0,2000,2000,2000,2000,1811832,2000,60132,0,0,0,0
33,2000,61867,2000,0,0,0,0,2000,2000,2000,2000,1917825,2000,61867,0,0,0,0
34,2000,63602,2000,0,0,0,0,2000,2000,2000,2000,2026906,2000,63602,0,0,0,0
