L,observable,mode,batch,root,status,replicas
16,H,shared,0,0.593021845177774454,ok,5000
16,H,shared,1,0.593441092813686399,ok,5000
16,H,shared,2,0.593006958112654470,ok,5000
16,H,shared,3,0.592465043702304017,ok,5000
16,H,shared,4,0.592841296663797479,ok,5000
16,H,shared,5,0.592188299645582283,ok,5000
16,H,shared,6,0.593153223122331985,ok,5000
16,H,shared,7,0.592580257743588135,ok,5000
16,H,shared,8,0.592669731541073164,ok,5000
16,H,shared,9,0.592318390115183835,ok,5000
16,H,shared,10,0.593052059551817612,ok,5000
16,H,shared,11,0.592267933104762223,ok,5000
16,H,shared,12,0.593185227468109755,ok,5000
16,H,shared,13,0.591876397540597843,ok,5000
16,H,shared,14,0.592150720525093766,ok,5000
16,H,shared,15,0.592307221898471958,ok,5000
16,H,shared,16,0.592982488170290978,ok,5000
16,H,shared,17,0.592930548505503641,ok,5000
16,H,shared,18,0.593149047788739558,ok,5000
16,H,shared,19,0.592379834988835619,ok,5000
16,M,shared,0,0.594024137369447702,ok,5000
16,M,shared,1,0.588492797458901373,outside_requested_interval,5000
16,M,shared,2,0.591301989973451292,ok,5000
16,M,shared,3,0.594066932231571698,ok,5000
16,M,shared,4,0.594289498677398997,ok,5000
16,M,shared,5,0.592110061727608938,ok,5000
16,M,shared,6,0.593329567994031137,ok,5000
16,M,shared,7,0.593382104667306010,ok,5000
16,M,shared,8,0.594882234374286778,ok,5000
16,M,shared,9,0.595190063314933404,outside_requested_interval,5000
16,M,shared,10,0.593334566274332564,ok,5000
16,M,shared,11,0.594975765072200069,ok,5000
16,M,shared,12,0.595801557279995064,outside_requested_interval,5000
16,M,shared,13,0.594307431103485273,ok,5000
16,M,shared,14,0.593243544599731276,ok,5000
16,M,shared,15,0.592485253250364607,ok,5000
16,M,shared,16,0.594542623634073619,ok,5000
16,M,shared,17,0.595768575694988423,outside_requested_interval,5000
16,M,shared,18,0.591306599918593134,ok,5000
16,M,shared,19,0.590643023366470565,ok,5000
16,V,shared,0,0.593021845177774454,ok,5000
16,V,shared,1,0.593441092813686399,ok,5000
16,V,shared,2,0.593006958112654470,ok,5000
16,V,shared,3,0.592465043702304017,ok,5000
16,V,shared,4,0.592841296663797479,ok,5000
16,V,shared,5,0.592188299645582283,ok,5000
16,V,shared,6,0.593153223122331985,ok,5000
16,V,shared,7,0.592580257743588135,ok,5000
16,V,shared,8,0.592669731541073164,ok,5000
16,V,shared,9,0.592318390115183835,ok,5000
16,V,shared,10,0.593052059551817612,ok,5000
16,V,shared,11,0.592267933104762223,ok,5000
16,V,shared,12,0.593185227468109755,ok,5000
16,V,shared,13,0.591876397540597843,ok,5000
16,V,shared,14,0.592150720525093766,ok,5000
16,V,shared,15,0.592307221898471958,ok,5000
16,V,shared,16,0.592982488170290978,ok,5000
16,V,shared,17,0.592930548505503641,ok,5000
16,V,shared,18,0.593149047788739558,ok,5000
16,V,shared,19,0.592379834988835619,ok,5000
16,both,shared,0,0.593021845177774454,ok,5000
16,both,shared,1,0.593441092813686399,ok,5000
16,both,shared,2,0.593006958112654470,ok,5000
16,both,shared,3,0.592465043702304017,ok,5000
16,both,shared,4,0.592841296663797479,ok,5000
16,both,shared,5,0.592188299645582283,ok,5000
16,both,shared,6,0.593153223122331985,ok,5000
16,both,shared,7,0.592580257743588135,ok,5000
16,both,shared,8,0.592669731541073164,ok,5000
16,both,shared,9,0.592318390115183724,ok,5000
16,both,shared,10,0.593052059551817834,ok,5000
16,both,shared,11,0.592267933104762223,ok,5000
16,both,shared,12,0.593185227468109755,ok,5000
16,both,shared,13,0.591876397540597843,ok,5000
16,both,shared,14,0.592150720525093766,ok,5000
16,both,shared,15,0.592307221898471958,ok,5000
16,both,shared,16,0.592982488170290978,ok,5000
16,both,shared,17,0.592930548505503641,ok,5000
16,both,shared,18,0.593149047788739558,ok,5000
16,both,shared,19,0.592379834988835619,ok,5000
16,either,shared,0,0.593021845177774454,ok,5000
16,either,shared,1,0.593441092813686399,ok,5000
16,either,shared,2,0.593006958112654470,ok,5000
16,either,shared,3,0.592465043702304017,ok,5000
16,either,shared,4,0.592841296663797479,ok,5000
16,either,shared,5,0.592188299645582283,ok,5000
16,either,shared,6,0.593153223122331985,ok,5000
16,either,shared,7,0.592580257743588135,ok,5000
16,either,shared,8,0.592669731541073164,ok,5000
16,either,shared,9,0.592318390115183613,ok,5000
16,either,shared,10,0.593052059551817834,ok,5000
16,either,shared,11,0.592267933104762223,ok,5000
16,either,shared,12,0.593185227468109755,ok,5000
16,either,shared,13,0.591876397540597843,ok,5000
16,either,shared,14,0.592150720525093766,ok,5000
16,either,shared,15,0.592307221898471958,ok,5000
16,either,shared,16,0.592982488170290978,ok,5000
16,either,shared,17,0.592930548505503641,ok,5000
16,either,shared,18,0.593149047788739558,ok,5000
16,either,shared,19,0.592379834988835619,ok,5000
24,H,shared,0,0.593527037433601912,ok,3000
24,H,shared,1,0.593340660534133146,ok,3000
24,H,shared,2,0.591992746272919312,ok,3000
24,H,shared,3,0.593287484199690907,ok,3000
24,H,shared,4,0.592408720784048271,ok,3000
24,H,shared,5,0.593050992012613021,ok,3000
24,H,shared,6,0.592260868987142475,ok,3000
24,H,shared,7,0.593375699056162498,ok,3000
24,H,shared,8,0.592630761894783475,ok,3000
24,H,shared,9,0.593297916329164288,ok,3000
24,H,shared,10,0.592826830245435810,ok,3000
24,H,shared,11,0.593023016956187421,ok,3000
24,H,shared,12,0.593321904028061731,ok,3000
24,H,shared,13,0.592109130684540963,ok,3000
24,H,shared,14,0.593306407770197497,ok,3000
24,H,shared,15,0.592654050079539196,ok,3000
24,H,shared,16,0.593334521140979065,ok,3000
24,H,shared,17,0.592977041991749054,ok,3000
24,H,shared,18,0.593088693250171328,ok,3000
24,H,shared,19,0.592219918904033582,ok,3000
24,M,shared,0,0.590327111420859030,ok,3000
24,M,shared,1,0.598398042911771011,outside_requested_interval,3000
24,M,shared,2,0.590730037239081796,ok,3000
24,M,shared,3,0.585132722787897963,outside_requested_interval,3000
24,M,shared,4,0.596651742912957861,outside_requested_interval,3000
24,M,shared,5,0.598738965120066080,outside_requested_interval,3000
24,M,shared,6,0.594725529678767240,ok,3000
