n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
325,17,6,first,0,100000,18508601,20074347,3442479603,4045418171,3723515869,1565746,40866036
325,18,1,second,0,100000,18515587,20077233,3445033521,4046643451,3725563405,1561646,40550162
325,17,6,first,1,100000,18518478,20082514,3446145852,4048818862,3727054423,1564036,40855868
325,18,1,second,1,100000,18519301,20080119,3446371839,4047645229,3726708222,1560818,40600624
325,17,6,first,2,100000,18521756,20079944,3447221886,4047781384,3727281519,1558188,40440232
325,18,1,second,2,100000,18510125,20076345,3443028439,4046288519,3724276753,1566220,40763452
325,17,6,first,3,100000,18522837,20085781,3447625073,4050033219,3728514681,1562944,40628930
325,18,1,second,3,100000,18524003,20085661,3448159393,4049995191,3728767747,1561658,40619090
325,17,6,first,4,100000,18510536,20081235,3443218762,4048270745,3725127825,1570699,41233857
325,18,1,second,4,100000,18515450,20083007,3444995638,4049044247,3726533385,1567557,40973115
325,17,6,first,5,100000,18517836,20083065,3445777554,4048935653,3726960510,1565229,40792187
325,18,1,second,5,100000,18513842,20082255,3444469746,4048867049,3726143629,1568413,41049537
325,17,6,first,6,100000,18513964,20078143,3444462180,4046967113,3725371848,1564179,40685597
325,18,1,second,6,100000,18511046,20083936,3443213538,4049173738,3725708898,1572890,40969480
325,17,6,first,7,100000,18512493,20079662,3443936971,4047603506,3725261719,1567169,41017039
325,18,1,second,7,100000,18516585,20081107,3445339619,4048181295,3726383398,1564522,40754118
325,17,6,first,8,100000,18522070,20079806,3447444562,4047701814,3727303869,1557736,40538638
325,18,1,second,8,100000,18520030,20083438,3446672644,4048920436,3727448245,1563408,40696590
325,17,6,first,9,100000,18519268,20082696,3446450080,4048839712,3727316675,1563428,40656442
325,18,1,second,9,100000,18524214,20084749,3448199404,4049553373,3728596415,1560535,40559947
325,17,6,first,10,100000,18516492,20080210,3445425078,4047940870,3726307502,1563718,40750944
325,18,1,second,10,100000,18517386,20081664,3445828314,4048412498,3726737506,1564278,40765800
325,17,6,first,11,100000,18515363,20079241,3444941861,4047381125,3725840439,1563878,40642108
325,18,1,second,11,100000,18521143,20083255,3447143249,4049018271,3727776867,1562112,40607786
325,17,6,first,12,100000,18512127,20069005,3443650627,4043332981,3723307362,1556878,40368884
325,18,1,second,12,100000,18520279,20080718,3446937505,4047965778,3727173420,1560439,40556443
325,17,6,first,13,100000,18518871,20080010,3446332581,4047741160,3726679030,1561139,40715681
325,18,1,second,13,100000,18508819,20079034,3442614521,4047333496,3724440983,1570215,41066051
325,17,6,first,14,100000,18515160,20075491,3444972838,4046079375,3725213627,1560331,40624959
325,18,1,second,14,100000,18517643,20084984,3445826651,4049745304,3727317014,1567341,40937927
325,17,6,first,15,100000,18522092,20085539,3447415508,4049998089,3728319967,1563447,40773663
325,18,1,second,15,100000,18524344,20075993,3448281318,4046227653,3727101726,1551649,40305519
325,17,6,first,16,100000,18517170,20075858,3445529356,4046001936,3725537722,1558688,40455848
325,18,1,second,16,100000,18516202,20084212,3445278800,4049429900,3726870568,1568010,40967564
325,17,6,first,17,100000,18516943,20076491,3445684115,4046323323,3725713405,1559548,40580628
325,18,1,second,17,100000,18520396,20081555,3446961022,4048356967,3727242724,1561159,40832541
325,17,6,first,18,100000,18514689,20079944,3444666253,4047780938,3725811644,1565255,40823903
325,18,1,second,18,100000,18517386,20085412,3445752808,4050018090,3727420519,1568026,40929860
325,17,6,first,19,100000,18519916,20080379,3446682348,4047829283,3726920987,1560463,40669657
325,18,1,second,19,100000,18526113,20088232,3448974025,4050875322,3729585015,1562119,40679317
325,17,6,first,20,100000,18518620,20084027,3446155240,4049316219,3727331614,1565407,40808231
325,18,1,second,20,100000,18519052,20082861,3446281684,4048753041,3727154928,1563809,40724869
325,17,6,first,21,100000,18513338,20073888,3444142050,4045265132,3724428454,1560550,40550274
325,18,1,second,21,100000,18516481,20078676,3445456129,4047190776,3725964478,1562195,40717949
325,17,6,first,22,100000,18522083,20084351,3447491949,4049530743,3728122816,1562268,40777060
325,18,1,second,22,100000,18519687,20079901,3446458429,4047802069,3726831834,1560214,40596830
325,17,6,first,23,100000,18523569,20087900,3448068905,4050922038,3729102787,1564331,40785369
325,18,1,second,23,100000,18518696,20084067,3446212698,4049538299,3727429363,1565371,40892271
325,17,6,first,24,100000,18523896,20083803,3448117442,4049250371,3728429442,1559907,40508929
325,18,1,second,24,100000,18517319,20082664,3445718609,4048944796,3726927842,1565345,40807721
325,17,6,first,25,100000,18525457,20084480,3448746043,4049520356,3728829299,1559023,40607801
325,18,1,second,25,100000,18516504,20080710,3445230644,4048021694,3726226304,1564206,40799730
325,17,6,first,26,100000,18515457,20077778,3444982369,4046836198,3725541443,1562321,40735681
325,18,1,second,26,100000,18520127,20080430,3446754959,4047898768,3727020795,1560303,40612137
325,17,6,first,27,100000,18515671,20081886,3445282437,4048680408,3726505435,1566215,40951975
325,18,1,second,27,100000,18508780,20082816,3442652790,4048795170,3725143816,1574036,41160328
325,17,6,first,28,100000,18528422,20088281,3449738732,4050975937,3730111326,1559859,40492017
325,18,1,second,28,100000,18512725,20078983,3444034999,4047352311,3725295615,1566258,40796080
325,17,6,first,29,100000,18517112,20084758,3445628688,4049723486,3727194566,1567646,40963042
325,18,1,second,29,100000,18526560,20086160,3449129922,4050053414,3729332637,1559600,40518062
325,17,6,first,30,100000,18518027,20082068,3446010617,4048635968,3726931894,1564041,40782797
325,18,1,second,30,100000,18517863,20085791,3445979915,4050195431,3727660113,1567928,40855120
325,17,6,first,31,100000,18512285,20077522,3443986125,4046680970,3724895959,1565237,40875177
