n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
425,16,13,first,0,10000,2430570,2614807,593200524,686006239,636785084,184237,5636595
425,19,8,second,0,10000,2429684,2616686,592742372,686963114,636926379,187002,5852728
425,16,13,first,1,10000,2431016,2617340,593388344,687341562,637457240,186324,5815426
425,19,8,second,1,10000,2429717,2612479,592726405,684800693,635978469,182762,5570160
425,16,13,first,2,10000,2429800,2617115,592832332,687210093,637079343,187315,5883739
425,19,8,second,2,10000,2430686,2616562,593246126,686938426,637204540,185876,5775472
425,16,13,first,3,10000,2430670,2616357,593258158,686773109,637093868,185687,5843531
425,19,8,second,3,10000,2430208,2617479,593006516,687338427,637241395,187271,5862153
425,16,13,first,4,10000,2432336,2616608,594029802,686967298,637689161,184272,5618778
425,19,8,second,4,10000,2431306,2615598,593593054,686454024,637161228,184292,5724622
425,16,13,first,5,10000,2428118,2614556,592059660,685922942,636063189,186438,5856224
425,19,8,second,5,10000,2428383,2615521,592063899,686415125,636354554,187138,5769916
425,16,13,first,6,10000,2431606,2614272,593636582,685730948,636871272,182666,5624986
425,19,8,second,6,10000,2429962,2616542,592920760,686950856,636994905,186580,5881806
425,16,13,first,7,10000,2430242,2614715,592990106,685957437,636626248,184473,5695047
425,19,8,second,7,10000,2429983,2614622,592936005,685937586,636579638,184639,5714315
425,16,13,first,8,10000,2431110,2613368,593419924,685276092,636553342,182258,5589332
425,19,8,second,8,10000,2428770,2613175,592293462,685169871,635858843,184405,5745647
425,16,13,first,9,10000,2432168,2616425,593926972,686845275,637534982,184257,5702283
425,19,8,second,9,10000,2430345,2612077,593053267,684608337,636041348,181732,5578908
425,16,13,first,10,10000,2430174,2613943,592987824,685594805,636434603,183769,5713423
425,19,8,second,10,10000,2429971,2614623,592922835,685918931,636573610,184652,5694546
425,16,13,first,11,10000,2430085,2616056,592921349,686664828,636949371,185971,5687435
425,19,8,second,11,10000,2426883,2609839,591366969,683386977,634560158,182956,5633630
425,16,13,first,12,10000,2430284,2616840,592962172,687014674,637072547,186556,5831752
425,19,8,second,12,10000,2429057,2616534,592354397,686915122,636731452,187477,5806615
425,16,13,first,13,10000,2428308,2615653,592113404,686457609,636344355,187345,5882303
425,19,8,second,13,10000,2428001,2614512,591985047,685837898,636010582,186511,5801781
425,16,13,first,14,10000,2428493,2614365,592111941,685792089,636066225,185872,5771580
425,19,8,second,14,10000,2428751,2615623,592297149,686440239,636413447,186872,5910494
425,16,13,first,15,10000,2428870,2615561,592423252,686451701,636510243,186691,5854467
425,19,8,second,15,10000,2428933,2613712,592412727,685423772,636065260,184779,5705979
425,16,13,first,16,10000,2432766,2616202,594237304,686689766,637669299,183436,5588472
425,19,8,second,16,10000,2430103,2617001,592964319,687098123,637109960,186898,5842522
425,16,13,first,17,10000,2430229,2616356,592975331,686817902,637009531,186127,5774171
425,19,8,second,17,10000,2429953,2617739,592886777,687543957,637274497,187786,5881740
425,16,13,first,18,10000,2428468,2612951,592149966,684999669,635718240,184483,5713155
425,19,8,second,18,10000,2429536,2614932,592691436,686045118,636510516,185396,5715522
425,16,13,first,19,10000,2429994,2615998,592885970,686667076,636858489,186004,5836068
425,19,8,second,19,10000,2431095,2616307,593478863,686827659,637266328,185212,5773866
425,16,13,first,20,10000,2427621,2616797,591806923,687071379,636434239,189176,6009824
425,19,8,second,20,10000,2428622,2615641,592266656,686476929,636439438,187019,5864709
425,16,13,first,21,10000,2428342,2613254,592054276,685220382,635785065,184912,5704528
425,19,8,second,21,10000,2429472,2614708,592634394,685971970,636437620,185236,5731124
425,16,13,first,22,10000,2430011,2615272,592954621,686269514,636728155,185261,5767825
425,19,8,second,22,10000,2430960,2615013,593367012,686123191,636898012,184053,5694179
425,16,13,first,23,10000,2429942,2613757,592878168,685448903,636330944,183815,5665183
425,19,8,second,23,10000,2427215,2613760,591560029,685447044,635584852,186545,5837369
425,16,13,first,24,10000,2429597,2616218,592617341,686697836,636738518,186621,5838141
425,19,8,second,24,10000,2428193,2612395,592107155,684768949,635598382,184202,5679340
425,16,13,first,25,10000,2429806,2615310,592847376,686283738,636667928,185504,5795258
425,19,8,second,25,10000,2429663,2615673,592768189,686463409,636732117,186010,5767364
425,16,13,first,26,10000,2432217,2617637,593972345,687451127,637840572,185420,5742328
425,19,8,second,26,10000,2428789,2614386,592338655,685780240,636165518,185597,5787859
425,16,13,first,27,10000,2430502,2617131,593174032,687242035,637284299,186629,5847469
425,19,8,second,27,10000,2429905,2615339,592880343,686301197,636704888,185434,5771764
425,16,13,first,28,10000,2430937,2614571,593335313,685824333,636764417,183634,5630812
425,19,8,second,28,10000,2430018,2616597,592900866,686969845,637016456,186579,5837799
425,16,13,first,29,10000,2431062,2616902,593410068,687116204,637382563,185840,5761146
425,19,8,second,29,10000,2426660,2612788,591339126,684939278,635221663,186128,5835078
425,16,13,first,30,10000,2428953,2615145,592448225,686220669,636415336,186192,5838222
425,19,8,second,30,10000,2430758,2613568,593282324,685315844,636530490,182810,5537188
425,16,13,first,31,10000,2429756,2616633,592850702,687013173,636971443,186877,5920989
425,19,8,second,31,10000,2431012,2613814,593396278,685448254,636613278,182802,5617976
425,16,13,first,32,10000,2433841,2617034,594729449,687149608,638121908,183193,5635241
425,19,8,second,32,10000,2429092,2615446,592505648,686340302,636492711,186354,5860528
425,16,13,first,33,10000,2429434,2613137,592607594,685166533,636058740,183703,5656647
425,19,8,second,33,10000,2428645,2614055,592252177,685631459,636058616,185410,5766404
425,16,13,first,34,10000,2430579,2616169,593245697,686705561,637101471,185590,5748316
425,19,8,second,34,10000,2430613,2615635,593227581,686450627,636983440,185022,5711328
425,16,13,first,35,10000,2429823,2613558,592733445,685310840,636196166,183735,5651953
425,19,8,second,35,10000,2429201,2614804,592559361,686013274,636375953,185603,5820729
425,16,13,first,36,10000,2429786,2615194,592902574,686192278,636654408,185408,5786036
425,19,8,second,36,10000,2427800,2611668,591808622,684327732,635275179,183868,5585996
425,16,13,first,37,10000,2429673,2615693,592759555,686443505,636719633,186020,5763794
425,19,8,second,37,10000,2430398,2615608,593084348,686384792,636867009,185210,5735122
425,16,13,first,38,10000,2427883,2611796,591800897,684381406,635268257,183913,5645789
425,19,8,second,38,10000,2430984,2617057,593406842,687243933,637428026,186073,5794723
425,16,13,first,39,10000,2430191,2616164,592938907,686662476,636919749,185973,5761885
425,19,8,second,39,10000,2429008,2616328,592426264,686726252,636639596,187320,5873324
425,16,13,first,40,10000,2429454,2613007,592626660,685096791,636052763,183553,5617925
425,19,8,second,40,10000,2427845,2613896,591878865,685523592,635809608,186051,5783241
425,16,13,first,41,10000,2430517,2615637,593189949,686470237,636957484,185120,5745218
425,19,8,second,41,10000,2431144,2615146,593411866,686148108,636953133,184002,5653708
425,16,13,first,42,10000,2430922,2616851,593338788,687114425,637354759,185929,5743695
