n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
130,11,3,0,1000,536,-624,526400,566016,9568,321,5384,3084,357,5352,3124,692,5468,2996,526,5544,2984,523,5276,3136
130,11,3,1,1000,-108,1036,525072,539760,9408,321,4624,3908,347,4612,4112,666,4592,4424,501,4580,4336,512,4624,4200
130,11,3,2,1000,328,152,524896,515104,-6912,323,5048,2836,364,5164,2820,690,5208,3184,520,5364,2884,534,5008,3120
130,11,3,3,1000,-1052,940,520208,485360,6144,317,4720,3196,355,4616,3156,685,4564,3536,523,4628,3064,517,4552,3628
130,11,3,4,1000,636,716,540592,548432,13952,314,5232,3408,354,5112,3472,693,5356,4080,523,5424,3724,524,5044,3828
130,11,3,5,1000,356,428,545776,602576,-800,331,4948,3848,374,5136,3800,705,5148,3648,544,4964,3732,535,5320,3716
130,11,3,6,1000,300,84,521552,534256,-22304,319,4700,2432,364,4820,2308,718,4692,3284,538,4740,2780,544,4772,2812
130,11,3,7,1000,-548,-732,474800,497744,9472,301,4164,2864,340,4176,2640,683,3976,2508,524,3956,2140,499,4196,3008
130,11,3,8,1000,204,-348,536304,514256,-7392,312,5248,3088,348,5304,2864,681,4892,2792,519,4796,2976,510,5400,2680
130,11,3,9,1000,-484,-1652,537840,520016,-544,296,4768,2280,335,4768,2188,670,4852,1948,498,4540,2132,507,5080,2004
130,11,3,10,1000,620,-644,537424,521840,-13344,314,5248,2544,351,5112,2604,698,5412,2332,520,5480,2184,529,5044,2752
130,11,3,11,1000,-336,904,524736,495168,-16832,317,4608,3436,362,4732,3484,709,4504,3412,531,4888,3492,540,4348,3404
130,11,3,12,1000,1444,284,529488,540016,5600,327,5336,3004,367,5352,3340,698,5492,3764,537,5492,3328,528,5352,3776
130,11,3,13,1000,612,1244,487632,537008,10304,331,4880,3436,368,4768,3496,708,4888,4112,548,5040,3704,528,4616,3904
130,11,3,14,1000,-1092,188,488176,509264,-9504,321,4496,2996,358,4412,3164,679,4188,3152,512,3900,3428,525,4700,2888
130,11,3,15,1000,-544,-264,495488,545664,1728,302,3976,3408,338,3940,3412,677,4352,2868,524,4244,2732,491,4048,3548
130,11,3,16,1000,216,720,540896,539744,-9184,303,4656,3676,332,4744,3768,695,4976,3788,512,4772,3548,515,4948,4008
130,11,3,17,1000,700,1676,478256,507408,14368,345,5104,3764,383,5180,3840,718,5056,4168,561,5216,3908,540,5020,4100
130,11,3,18,1000,-312,-1024,510112,501600,12288,323,4232,3076,354,4336,3080,674,4612,3100,525,4192,3516,503,4756,2664
130,11,3,19,1000,32,-1536,514304,527744,-4096,306,4544,2800,343,4668,2624,681,4776,2292,512,4896,2528,512,4548,2388
130,11,3,20,1000,-172,116,500400,493392,15744,333,5008,3692,376,5036,3572,674,4828,3484,521,4596,3528,529,5268,3528
130,11,3,21,1000,1196,-588,526992,519024,-2944,298,4684,3004,337,4900,2728,703,5460,2944,513,4952,2780,527,5408,2892
130,11,3,22,1000,-200,-312,497952,533344,25280,310,4868,3292,355,4896,3236,700,4252,2596,527,4724,2680,528,4424,3152
130,11,3,23,1000,-1048,568,501184,519680,-9632,307,4268,3224,346,4112,3352,688,3392,3480,517,3848,3228,517,3656,3604
130,11,3,24,1000,520,-488,516544,520256,512,323,5280,2980,368,5360,2976,689,5096,2772,535,5212,3056,522,5244,2692
130,11,3,25,1000,132,132,462128,545680,-4320,322,4408,3400,362,4208,3544,693,4184,3628,534,3960,3880,521,4432,3292
130,11,3,26,1000,-1012,-500,515120,541392,-24640,320,4108,2804,355,3948,2824,678,3432,3304,508,3700,3084,525,3680,3044
130,11,3,27,1000,-328,-600,532832,520672,-22048,313,5148,2656,349,4992,2812,671,4680,2364,507,4824,2444,513,4848,2732
130,11,3,28,1000,-168,112,510592,508032,-25664,304,4412,2972,340,4428,3036,721,3976,3276,531,4108,3432,530,4296,2880
130,11,3,29,1000,-768,664,541408,514784,8032,297,4080,3676,331,4272,3652,677,4100,3712,505,4348,3736,503,4024,3628
130,11,3,30,1000,-1516,-1052,529552,508976,13792,303,4572,2768,342,4248,2776,651,4524,2176,498,4264,2704,495,4508,2248
130,11,3,31,1000,-1304,-96,525824,512320,2528,295,4172,3248,333,4236,3384,655,4240,3508,495,4476,3392,493,4000,3500
130,11,3,32,1000,-72,368,542464,524224,21536,330,5020,3780,360,5008,3744,688,5100,3524,526,4960,3408,522,5148,3860
130,11,3,33,1000,-528,152,534592,510592,-24800,317,4600,2836,351,4712,2932,689,4724,2760,525,4560,2868,515,4876,2824
130,11,3,34,1000,464,496,530560,520704,-5056,319,5172,3016,351,5080,3180,695,4688,3476,524,4928,3304,522,4840,3352
130,11,3,35,1000,-32,-592,535040,521216,8640,304,4908,2620,342,5064,2544,679,5204,2768,501,4944,2844,520,5324,2468
130,11,3,36,1000,-1012,-316,512752,513936,19840,309,3928,3484,347,4088,3356,675,3872,3356,504,4020,3420,518,3940,3292
130,11,3,37,1000,-180,1452,552368,537104,20832,333,5616,3588,365,5580,3608,689,5148,4488,515,5436,4008,539,5292,4088
130,11,3,38,1000,-192,-592,513120,520288,-23456,314,4480,3048,344,4476,3036,700,4404,2476,505,4268,2672,539,4612,2840
130,11,3,39,1000,232,-56,527968,522400,35840,308,4704,3712,346,4804,3732,692,4532,3948,515,4444,3760,523,4892,3920
130,11,3,40,1000,568,-24,536480,531616,-8416,333,4936,3356,364,5036,3308,690,5028,3140,511,4876,3328,543,5188,3120
130,11,3,41,1000,144,496,499072,512192,-27040,309,4628,3096,349,4556,3264,703,4580,3312,518,4664,3408,534,4472,3168
130,11,3,42,1000,-372,828,518064,477648,-3072,326,4176,3248,367,4340,3400,697,4612,3664,538,4756,3348,526,4196,3716
130,11,3,43,1000,824,120,537952,501472,-37472,321,5244,2544,362,5144,2728,673,4784,3036,526,4980,2780,509,4948,2984
130,11,3,44,1000,-476,92,509264,515888,16384,318,4812,3516,350,5072,3368,685,4696,3308,509,4776,3428,526,4992,3248
130,11,3,45,1000,-1140,684,518192,490192,8576,336,4628,3852,374,4776,3944,674,4104,3952,535,4404,3656,513,4476,4240
130,11,3,46,1000,104,-656,481152,529600,-45856,318,3656,3320,358,3692,3468,696,4360,2784,527,4284,3192,527,3768,3060
130,11,3,47,1000,-124,364,519408,481552,21440,315,4744,3388,353,4972,3232,679,5088,3372,501,5284,3424,531,4776,3180
130,11,3,48,1000,-360,1440,528832,571456,-26688,318,4344,4144,354,4436,4292,699,4144,4348,523,4320,4404,530,4260,4236
130,11,3,49,1000,-740,124,549456,575600,14432,324,5148,3860,357,5140,3680,665,4780,3280,525,4948,3328,497,4972,3632
130,11,3,50,1000,-136,-584,496192,511872,17632,308,4388,2924,346,4488,2848,699,4460,2648,506,4488,2832,539,4460,2664
130,11,3,51,1000,868,-252,520016,509680,-18720,323,4632,2716,371,4652,2824,703,5380,2480,533,5168,2548,541,4864,2756
130,11,3,52,1000,884,-516,543856,505744,-3392,291,5664,2380,334,5832,2200,696,5716,2300,518,5604,2548,512,5944,1952
130,11,3,53,1000,404,-532,537040,540208,-16896,301,5056,2588,335,4996,2752,675,5464,2860,506,5392,2672,504,5068,2940
130,11,3,54,1000,-404,-988,497840,532304,-4672,311,4012,2856,359,4036,2976,696,4216,2696,536,4084,2540,519,4168,3132
130,11,3,55,1000,-232,-48,522080,517408,9664,280,4344,3008,326,4500,3116,695,4508,3416,519,4576,3292,502,4432,3240
130,11,3,56,1000,56,200,509088,496224,-4160,314,4796,2868,350,4644,2836,708,4592,3480,518,4728,2992,540,4508,3324
130,11,3,57,1000,460,-932,474928,515216,28320,286,4636,2508,331,4780,2448,683,4868,2840,517,4656,2900,497,4992,2388
130,11,3,58,1000,348,-292,531344,523248,-320,317,4972,2760,351,5072,2756,689,5088,3092,510,5020,3076,530,5140,2772
130,11,3,59,1000,-1284,-1908,469200,470896,7776,303,4132,2080,343,4088,1860,663,3496,1940,512,3876,1788,494,3708,2012
130,11,3,60,1000,-52,188,505776,541968,7904,303,4152,3356,350,4204,3332,704,4480,3472,518,4392,3592,536,4292,3212
130,11,3,61,1000,-360,752,511552,491840,-2624,302,4424,3032,342,4436,3084,688,4328,4032,515,4180,3600,515,4584,3516
130,11,3,62,1000,-664,720,539872,515872,-10624,320,4824,3504,361,4924,3488,698,4128,3760,528,4628,3604,531,4424,3644
130,11,3,63,1000,0,-992,512800,499040,15936,304,4684,3116,337,4616,3116,680,4900,2644,504,5136,2832,513,4380,2928
130,11,3,64,1000,392,-64,523072,546688,-30496,328,4912,3368,366,4976,3376,715,4772,2944,529,4632,3412,552,5116,2908
130,11,3,65,1000,600,-336,567296,504064,-25024,306,5544,2520,348,5488,2600,677,5516,2200,519,5140,2864,506,5864,1936
130,11,3,66,1000,-956,1116,558032,564464,-12000,317,4724,3800,348,4644,3668,691,4072,4396,525,4388,3696,514,4328,4368
130,11,3,67,1000,532,132,545776,521296,10016,346,5384,3168,382,5268,3396,694,5312,3448,549,5044,3488,527,5536,3356
130,11,3,68,1000,-1720,-416,531104,520736,-10720,313,4108,3152,343,4020,3144,665,4176,2868,495,4076,2936,513,4120,3076
130,11,3,69,1000,-804,-1036,519216,521616,-20256,296,4196,2700,337,4024,2972,675,3964,2240,509,4080,2532,503,3908,2680
130,11,3,70,1000,956,612,484816,500400,-10688,308,4816,3472,344,4928,3464,685,5016,3788,520,4952,3848,509,4992,3404
130,11,3,71,1000,-592,-384,541120,519744,-6720,309,4484,2832,354,4416,2960,678,4156,3284,518,4412,2876,514,4160,3368
130,11,3,72,1000,-1364,-548,543824,526512,-8000,264,3972,2932,297,4036,3112,664,3624,3296,464,3984,3176,497,3676,3232
130,11,3,73,1000,440,352,516640,517152,-2144,301,4704,3036,341,4448,3012,691,5060,2968,500,4748,2772,532,4760,3208
130,11,3,74,1000,392,1152,490368,542784,-22496,318,4456,3872,357,4424,3892,672,4020,4580,510,4048,3920,519,4396,4552
130,11,3,75,1000,-264,504,525376,502656,-12448,333,5076,3144,374,5120,3184,692,4612,3332,545,4952,3340,521,4780,3176
130,11,3,76,1000,448,-576,526976,514816,-1152,301,4572,3336,336,4464,3288,688,5052,3060,533,4816,3068,491,4700,3280
130,11,3,77,1000,-104,-864,514208,504608,12896,304,4692,2948,346,4732,2916,705,4312,2700,522,4564,2876,529,4480,2740
130,11,3,78,1000,4,-1124,528176,529744,-5376,343,5084,3056,382,4932,3068,686,4588,2740,528,4776,2952,540,4744,2856
130,11,3,79,1000,-124,-436,500880,507888,-31744,316,4512,2456,350,4580,2340,675,4680,2780,510,4448,2280,515,4812,2840
130,11,3,80,1000,-1060,-852,528400,502960,-16352,307,4640,2836,347,4396,2752,679,4048,1988,528,4288,2432,498,4156,2308
130,11,3,81,1000,664,120,488896,526784,-38656,298,4236,3356,341,4444,3056,673,4620,3088,504,4444,3028,510,4620,3116
130,11,3,82,1000,232,384,507488,494304,-16096,317,4968,3012,358,4940,2844,686,4848,2872,519,5040,2764,525,4748,2952
130,11,3,83,1000,-748,372,529616,535536,-4512,309,4748,3384,345,4800,3356,698,3996,3268,525,4536,3260,518,4260,3364
130,11,3,84,1000,-452,-844,561552,532336,-7296,309,4752,2876,335,4756,2712,693,4800,2476,518,4936,2632,510,4620,2556
130,11,3,85,1000,-1344,1120,512256,544320,-24096,295,4448,2964,338,4464,2952,688,3400,4016,507,4072,3476,519,3792,3492
130,11,3,86,1000,864,464,495776,522208,-768,322,4672,3728,363,4724,3824,701,5048,3612,530,4940,4084,534,4832,3352
130,11,3,87,1000,912,-464,549760,542848,-16960,296,5340,2908,331,5308,2720,694,4864,2840,518,5428,2628,507,4744,2932
130,11,3,88,1000,224,864,556352,507584,-16512,308,5056,3360,355,5020,3368,674,5188,3740,516,5276,3404,513,4932,3704
130,11,3,89,1000,108,-508,527664,504080,-20128,336,4464,2976,370,4112,3128,715,4276,2600,537,4020,3016,548,4368,2712
130,11,3,90,1000,800,296,477440,481792,18048,319,4740,3024,353,4856,3052,696,5116,3132,516,5020,3068,533,4952,3116
130,11,3,91,1000,-628,-492,501744,477776,1440,275,4296,2420,313,4304,2372,674,4376,2672,490,4292,2404,497,4388,2640
