n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
130,11,3,0,100000,-9724,6956,51785232,51731760,-89568,31322,468188,322148,35179,466148,323224,68942,463628,318388,51946,464932,319420,52175,464844,322192
130,11,3,1,100000,-4888,3832,52010944,52391104,33472,31161,467524,322536,35026,467256,326096,68613,472612,325400,51753,467820,327816,51886,472048,323680
130,11,3,2,100000,1212,6668,51297808,51861424,-105184,31153,464548,321616,35014,465192,321264,68931,469584,317428,52179,469888,318860,51766,464888,319832
130,11,3,3,100000,24,-5752,52125664,52268128,148640,31034,471684,318780,34898,471808,317536,68706,471136,315936,52037,469932,319840,51567,473012,313632
130,11,3,4,100000,3156,1412,52112304,52231824,-18848,31115,476136,320276,34932,475584,319664,68762,479620,318212,51712,479524,316924,51982,475680,320952
130,11,3,5,100000,-11132,-20372,51905680,52106288,-115680,31120,472308,304356,34902,471056,303760,68500,470560,304440,51887,472548,304248,51515,469068,303952
130,11,3,6,100000,-1276,236,51868656,52134928,-24448,31117,465976,319948,34920,465208,320472,68913,467212,322120,51842,466636,325028,51991,465784,317564
130,11,3,7,100000,5280,-9016,52034496,51806208,127520,31169,476032,314284,35012,475932,311468,68607,478020,309088,51817,475512,308380,51802,478440,312176
130,11,3,8,100000,-6084,3788,51887600,51952208,1120,31048,470744,315728,34809,469040,316620,68577,469540,320272,51725,465632,319772,51661,472948,317120
130,11,3,9,100000,-12572,-16796,52169392,52628048,-354368,30814,465940,313524,34634,465416,311824,68266,464568,308880,51494,460976,313088,51406,469008,307616
130,11,3,10,100000,6740,-8020,52583216,51750544,-369632,31360,477540,314532,35166,479052,314908,68816,479732,307068,52085,479724,313560,51897,479060,308416
130,11,3,11,100000,-4596,-12676,52066704,51738800,-8352,31051,471088,309316,34858,469140,311404,68521,468232,307508,51934,469652,309892,51445,467720,309020
130,11,3,12,100000,-1220,3588,51500496,52318448,3488,31222,470816,322224,34988,470728,322824,68772,469204,326276,51819,467304,327164,51941,472628,321936
130,11,3,13,100000,3160,4160,52028864,52153024,6208,31141,474148,323016,34974,474320,323688,68873,472736,315524,52033,474320,315796,51814,472736,323416
130,11,3,14,100000,-10888,-5496,52228992,52651392,187008,31209,470732,322160,34997,471760,320684,68538,473700,320436,51791,471048,320652,51744,474412,320468
130,11,3,15,100000,684,13524,52137840,51716048,-324512,31315,472856,318148,35068,472160,319072,68867,476620,320376,51956,474344,321152,51979,474436,318296
130,11,3,16,100000,4964,11996,52273808,52175216,106048,31598,482692,322836,35324,481012,325804,68926,477300,334500,52067,479536,330820,52183,478776,329484
130,11,3,17,100000,1116,-5852,51690288,51777360,-298112,31064,469172,309140,34866,470276,309588,68800,473956,308316,51868,471784,310040,51798,472448,307864
130,11,3,18,100000,7340,12124,51856048,51789840,258912,31475,473516,326232,35291,473412,327592,68923,477352,332164,52035,472732,331656,52179,478032,328100
130,11,3,19,100000,-4356,-5700,51641552,51651376,40896,31316,471516,312436,35042,471352,312928,68956,466740,314836,51981,468604,312464,52017,469488,315300
130,11,3,20,100000,5788,-3908,52298512,51888304,308960,31488,481896,316800,35329,483380,316168,69169,480088,314868,52173,481500,314008,52325,481968,317028
130,11,3,21,100000,5580,-3812,51737616,52425328,46080,31248,477964,315876,35010,476204,318244,68779,472832,324132,51723,473132,319656,52066,475904,322720
130,11,3,22,100000,5160,-5992,52377504,52170528,264224,31333,474756,322984,35152,476200,323144,68855,481372,321352,52052,478316,323116,51955,479256,321380
130,11,3,23,100000,-3392,6672,51701984,52557600,33664,30988,469852,322676,34848,469104,321912,68650,471928,321568,51879,474272,320684,51619,466760,322796
130,11,3,24,100000,-13760,13056,52180384,51864864,-344032,31026,466856,317560,34994,465708,318476,68634,466648,324648,51732,463412,324548,51896,468944,318576
130,11,3,25,100000,-3360,-5552,52021440,52297792,-135872,31052,470336,315624,34871,469812,316568,68724,470688,315664,51867,470724,314984,51728,469776,317248
130,11,3,26,100000,-17332,948,51893136,52351024,-53856,30861,460252,316968,34743,458984,318052,68514,460608,321968,51651,461304,320020,51606,458288,320000
130,11,3,27,100000,-11836,1820,52271312,52230064,214848,31245,472220,320440,34991,470208,321508,68750,468196,326828,51916,469208,324504,51825,469196,323832
130,11,3,28,100000,-11228,-4180,51881296,52444016,-81376,30918,464208,317400,34718,465424,317696,68759,465124,319216,51845,465428,318048,51632,465120,318864
130,11,3,29,100000,2772,10628,52016880,52109712,126464,31419,477840,326284,35144,476988,326060,68960,469924,328900,51991,475904,323236,52113,471008,331724
