n,a,b,batch,samples,sum_score_t,sum_score_lambda,sum_score_t2,sum_score_lambda2,sum_score_cross,cross_wraps,cross_score_t,cross_score_lambda,both_wraps,both_score_t,both_score_lambda,either_wraps,either_score_t,either_score_lambda,direction_0_wraps,direction_0_score_t,direction_0_score_lambda,direction_1_wraps,direction_1_score_t,direction_1_score_lambda
130,9,7,0,100000,-9724,6956,51785232,51731760,-89568,31205,467704,318068,35169,467732,320696,68559,463000,324164,51830,467828,322644,51898,462904,322216
130,9,7,1,100000,-4888,3832,52010944,52391104,33472,31299,475516,322552,35109,477940,321320,68841,474172,321696,52039,475972,321032,51911,476140,321984
130,9,7,2,100000,1212,6668,51297808,51861424,-105184,31258,470956,319260,35139,468300,319672,68733,465412,322424,51837,468532,321976,52035,465180,320120
130,9,7,3,100000,24,-5752,52125664,52268128,148640,31178,476892,317292,35066,477944,317632,68417,471552,320196,51860,474760,317848,51623,474736,319980
130,9,7,4,100000,3156,1412,52112304,52231824,-18848,31251,472840,318100,35032,473740,316212,68488,479200,320152,51790,479916,317652,51730,473024,318712
130,9,7,5,100000,-11132,-20372,51905680,52106288,-115680,30921,468088,311876,34852,466232,315384,68287,464500,306344,51477,467392,311948,51662,463340,309780
130,9,7,6,100000,-1276,236,51868656,52134928,-24448,31366,473972,317700,35276,475976,319496,68571,473996,319784,51886,476584,322136,51961,473388,317144
130,9,7,7,100000,5280,-9016,52034496,51806208,127520,31162,476320,314568,35058,476828,313028,68728,478904,307544,51924,476024,311096,51862,479708,309476
130,9,7,8,100000,-6084,3788,51887600,51952208,1120,31214,470336,324072,35129,469596,325720,68357,474608,326796,51643,473936,326900,51843,470268,325616
130,9,7,9,100000,-12572,-16796,52169392,52628048,-354368,31057,469036,308888,35049,466360,311204,68503,461924,312472,51615,464380,312664,51937,463904,311012
130,9,7,10,100000,6740,-8020,52583216,51750544,-369632,31219,479876,307656,35151,480480,307988,68731,485000,304116,51906,484108,306308,51976,481372,305796
130,9,7,11,100000,-4596,-12676,52066704,51738800,-8352,31133,469696,311084,35009,469936,312972,68666,468956,308892,51867,466804,312248,51808,472088,309616
130,9,7,12,100000,-1220,3588,51500496,52318448,3488,31161,466728,319580,35179,467180,320184,68961,467152,320100,52100,469076,317268,52040,465256,323016
130,9,7,13,100000,3160,4160,52028864,52153024,6208,31419,475364,324496,35248,476112,323728,68864,475916,321628,52106,475344,324792,52006,476684,320564
130,9,7,14,100000,-10888,-5496,52228992,52651392,187008,31261,474640,318500,35152,473840,317616,68427,467024,324204,51864,471448,321736,51715,469416,320084
130,9,7,15,100000,684,13524,52137840,51716048,-324512,31084,475492,319060,35009,476860,318296,68865,471824,321516,51836,473788,323108,52038,474896,316704
