batch,counter_first,counter_last_exclusive,samples,ES_num_sum,ED_num_sum,OS_num_sum,OD_num_sum,ambient_ES_num_sum,ambient_ED_num_sum,ambient_OS_num_sum,ambient_OD_num_sum
0,18000000000,18000000200,200,-21597,13,-13485,-11,-799,-1,-9,1
1,18000000200,18000000400,200,-21758,-26,-13774,-90,-799,1,-3,-27
2,18000000400,18000000600,200,-21212,-94,-13608,-134,-800,0,-14,46
3,18000000600,18000000800,200,-21747,-235,-13911,-131,-800,0,-28,4
4,18000000800,18000001000,200,-21797,-103,-13679,7,-800,0,40,-16
5,18000001000,18000001200,200,-21531,-1,-13543,-53,-798,0,-26,28
6,18000001200,18000001400,200,-21756,28,-14058,-22,-800,0,58,-14
7,18000001400,18000001600,200,-21513,-29,-13693,-81,-800,0,6,22
8,18000001600,18000001800,200,-21728,64,-13774,-10,-800,0,-6,-30
9,18000001800,18000002000,200,-21719,29,-13801,139,-800,0,16,-24
10,18000002000,18000002200,200,-21667,35,-14193,49,-800,0,26,2
11,18000002200,18000002400,200,-21624,16,-13590,158,-799,-1,5,31
12,18000002400,18000002600,200,-21346,-140,-13282,-60,-799,-1,17,-9
13,18000002600,18000002800,200,-21619,73,-13901,-5,-800,0,-22,26
14,18000002800,18000003000,200,-21132,-26,-13228,-90,-800,0,2,2
15,18000003000,18000003200,200,-21447,103,-13643,59,-799,1,-17,15
16,18000003200,18000003400,200,-21466,138,-13532,44,-800,0,-32,12
17,18000003400,18000003600,200,-21888,132,-14218,166,-800,0,18,-26
18,18000003600,18000003800,200,-21282,188,-13362,-4,-799,-1,19,29
19,18000003800,18000004000,200,-21326,16,-13410,36,-800,0,-2,2
20,18000004000,18000004200,200,-21533,-141,-13687,-79,-799,-1,-59,-37
21,18000004200,18000004400,200,-21710,24,-13954,-8,-800,0,6,10
22,18000004400,18000004600,200,-21476,-54,-13828,-86,-800,0,-10,-2
23,18000004600,18000004800,200,-21806,-62,-14280,-80,-798,0,-12,-30
24,18000004800,18000005000,200,-21385,-25,-13343,-27,-799,-1,-25,5
25,18000005000,18000005200,200,-21137,-137,-13579,-119,-800,0,4,16
26,18000005200,18000005400,200,-21238,82,-13586,106,-800,0,22,-58
27,18000005400,18000005600,200,-21807,37,-14583,-99,-800,0,78,34
28,18000005600,18000005800,200,-21245,95,-13315,57,-799,-1,-5,-3
29,18000005800,18000006000,200,-21146,-182,-13358,-190,-798,0,-4,6
30,18000006000,18000006200,200,-21740,-66,-13920,6,-800,0,-12,-8
31,18000006200,18000006400,200,-21485,-97,-14231,-75,-800,0,58,2
32,18000006400,18000006600,200,-21399,-53,-13503,59,-799,1,3,-9
33,18000006600,18000006800,200,-21323,-67,-14021,-69,-800,0,-2,-34
34,18000006800,18000007000,200,-21557,-35,-13793,-15,-800,0,-56,-8
35,18000007000,18000007200,200,-21059,-1,-13517,-35,-800,0,4,52
36,18000007200,18000007400,200,-21513,139,-13499,-7,-800,0,56,-44
37,18000007400,18000007600,200,-21548,-6,-13390,-20,-800,0,6,10
38,18000007600,18000007800,200,-21808,64,-14008,0,-800,0,18,10
39,18000007800,18000008000,200,-21851,-77,-14273,45,-800,0,-28,-28
40,18000008000,18000008200,200,-21616,162,-14628,-10,-799,-1,43,-3
41,18000008200,18000008400,200,-21637,13,-13735,3,-800,0,-8,8
42,18000008400,18000008600,200,-21383,3,-13817,33,-799,1,-15,-27
43,18000008600,18000008800,200,-21643,-37,-13803,39,-800,0,14,-6
44,18000008800,18000009000,200,-21166,-72,-13398,-52,-799,-1,1,-25
45,18000009000,18000009200,200,-21935,93,-14573,15,-799,1,33,-7
46,18000009200,18000009400,200,-21578,36,-13832,46,-800,0,18,42
47,18000009400,18000009600,200,-21253,45,-13957,25,-799,1,23,19
48,18000009600,18000009800,200,-21337,-27,-13747,19,-800,0,-2,-34
49,18000009800,18000010000,200,-21668,-66,-13350,-144,-800,0,-16,12
50,18000010000,18000010200,200,-21676,-48,-13944,-64,-800,0,-16,-4
51,18000010200,18000010400,200,-20885,23,-13117,75,-799,-1,-23,-33
52,18000010400,18000010600,200,-21624,-44,-13916,-56,-800,0,38,26
53,18000010600,18000010800,200,-21573,-3,-13499,-1,-800,0,-14,10
54,18000010800,18000011000,200,-21680,-12,-13912,112,-798,2,8,24
55,18000011000,18000011200,200,-21513,-83,-14423,55,-799,-1,-7,43
56,18000011200,18000011400,200,-21916,-42,-13888,-22,-799,1,-7,29
57,18000011400,18000011600,200,-21414,-6,-13196,-92,-799,-1,-31,-1
58,18000011600,18000011800,200,-21348,-28,-13982,-90,-800,0,8,8
59,18000011800,18000012000,200,-21222,4,-13642,12,-799,-1,29,15
60,18000012000,18000012200,200,-21666,-100,-13370,-4,-800,0,-4,-8
61,18000012200,18000012400,200,-21420,130,-13356,-78,-800,0,-44,-28
62,18000012400,18000012600,200,-21469,-31,-14019,63,-800,0,48,-20
63,18000012600,18000012800,200,-21227,15,-13457,45,-799,-1,9,-5
64,18000012800,18000013000,200,-21767,101,-14283,-31,-800,0,70,14
65,18000013000,18000013200,200,-21542,120,-13656,-26,-800,0,-30,2
66,18000013200,18000013400,200,-21339,-1,-13603,51,-800,0,2,22
67,18000013400,18000013600,200,-21715,-73,-14365,-107,-800,0,-14,10
68,18000013600,18000013800,200,-21457,33,-13351,7,-800,0,-2,38
69,18000013800,18000014000,200,-21789,77,-14071,19,-799,-1,35,-7
70,18000014000,18000014200,200,-21352,-78,-13638,40,-800,0,68,-12
71,18000014200,18000014400,200,-21400,30,-14000,-14,-800,0,-6,-2
72,18000014400,18000014600,200,-21290,-12,-13320,-46,-800,0,-16,8
73,18000014600,18000014800,200,-21439,87,-13037,1,-800,0,-4,24
74,18000014800,18000015000,200,-21516,16,-14076,16,-800,0,62,22
75,18000015000,18000015200,200,-21383,65,-13557,-25,-799,1,-31,-43
76,18000015200,18000015400,200,-21475,99,-13617,77,-800,0,50,-18
77,18000015400,18000015600,200,-21148,-40,-13118,22,-800,0,-26,-46
78,18000015600,18000015800,200,-21690,66,-14356,4,-800,0,20,-44
79,18000015800,18000016000,200,-21685,7,-14083,225,-800,0,-2,-30
80,18000016000,18000016200,200,-21173,-131,-13319,-105,-800,0,-32,8
81,18000016200,18000016400,200,-21182,-28,-13424,26,-800,0,24,12
82,18000016400,18000016600,200,-21560,-148,-13648,-108,-799,-1,-57,13
83,18000016600,18000016800,200,-21493,9,-13421,-3,-800,0,-12,-4
84,18000016800,18000017000,200,-21502,82,-14022,-130,-800,0,14,10
85,18000017000,18000017200,200,-21553,-25,-13817,47,-800,0,-38,34
86,18000017200,18000017400,200,-21320,-154,-13940,-190,-799,1,-43,-7
87,18000017400,18000017600,200,-21602,-102,-13468,-20,-799,-1,19,-51
88,18000017600,18000017800,200,-21678,126,-13314,114,-800,0,14,-6
89,18000017800,18000018000,200,-21594,176,-14182,-12,-800,0,48,-44
90,18000018000,18000018200,200,-21223,61,-13273,23,-800,0,-22,-10
91,18000018200,18000018400,200,-21563,-15,-14135,-111,-799,1,11,-13
92,18000018400,18000018600,200,-21166,-72,-13654,8,-800,0,-2,22
93,18000018600,18000018800,200,-21169,-35,-13645,-39,-800,0,-32,-4
94,18000018800,18000019000,200,-20738,30,-12936,-76,-800,0,-28,36
95,18000019000,18000019200,200,-21283,-69,-13479,-101,-800,0,-42,22
96,18000019200,18000019400,200,-21321,13,-13739,35,-800,0,6,38
97,18000019400,18000019600,200,-21526,-42,-13450,-58,-800,0,2,6
98,18000019600,18000019800,200,-21391,73,-13961,15,-799,1,19,-25
99,18000019800,18000020000,200,-21521,-13,-14087,61,-798,0,56,-6
