n,a,b,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_global_twice,global_twice_score_t,global_twice_score_lambda,black_pivotal,white_pivotal,black_h4,white_h4,h4_plus,h4_minus,h4_plus_score_t,h4_plus_score_lambda,h4_minus_score_t,h4_minus_score_lambda
130,11,3,1,0,0,200,200,176,-600,-10,1696,1344,14,14,-2,-3,-5,1,-84,16,-44,-80
130,11,3,2,0,0,200,200,176,-600,-10,1696,1344,14,14,-4,-6,-10,2,-20,12,-12,-172
130,11,3,4,0,0,200,200,176,-600,-10,1696,1344,14,14,-3,3,0,-6,44,84,-28,-60
170,13,1,1,0,0,200,200,-8,-328,-11,2236,1216,11,13,0,-1,-1,1,-72,-52,-136,-28
170,13,1,2,0,0,200,200,-8,-328,-11,2236,1216,11,13,-5,-4,-9,-1,36,-128,-228,-56
170,13,1,4,0,0,200,200,-8,-328,-11,2236,1216,11,13,-1,0,-1,-1,24,-140,-40,-76
130,11,3,1,1,200,400,200,424,48,0,2308,1484,12,7,0,1,1,-1,48,-4,-16,36
130,11,3,2,1,200,400,200,424,48,0,2308,1484,12,7,-3,0,-3,-3,12,-24,-4,56
130,11,3,4,1,200,400,200,424,48,0,2308,1484,12,7,0,-1,-1,1,68,-64,4,-56
170,13,1,1,1,200,400,200,356,-124,-2,2196,1204,13,14,0,-3,-3,3,-64,28,32,36
170,13,1,2,1,200,400,200,356,-124,-2,2196,1204,13,14,-2,-8,-10,6,-108,180,-28,-28
170,13,1,4,1,200,400,200,356,-124,-2,2196,1204,13,14,-1,-3,-4,2,-104,-32,-24,-56
130,11,3,1,2,400,600,200,268,-148,1,2020,1728,12,9,-2,2,0,-4,-44,4,52,-12
130,11,3,2,2,400,600,200,268,-148,1,2020,1728,12,9,-5,-3,-8,-2,-12,36,-92,44
130,11,3,4,2,400,600,200,268,-148,1,2020,1728,12,9,-3,-2,-5,-1,68,40,-20,48
170,13,1,1,2,400,600,200,504,-288,5,2356,1680,12,12,-2,-4,-6,2,24,32,-112,-104
170,13,1,2,2,400,600,200,504,-288,5,2356,1680,12,12,-2,-2,-4,0,-40,72,40,-120
170,13,1,4,2,400,600,200,504,-288,5,2356,1680,12,12,2,-3,-1,5,-132,64,4,64
130,11,3,1,3,600,800,200,-76,548,5,1588,1616,11,8,0,0,0,0,56,-48,-8,0
130,11,3,2,3,600,800,200,-76,548,5,1588,1616,11,8,-3,-3,-6,0,-16,16,-96,-56
130,11,3,4,3,600,800,200,-76,548,5,1588,1616,11,8,1,-3,-2,4,24,72,72,16
170,13,1,1,3,600,800,200,-176,816,-9,1504,1916,6,7,-2,0,-2,-2,-116,44,4,-12
170,13,1,2,3,600,800,200,-176,816,-9,1504,1916,6,7,-4,-3,-7,-1,-76,72,-92,-64
170,13,1,4,3,600,800,200,-176,816,-9,1504,1916,6,7,0,-2,-2,2,48,8,-80,40
130,11,3,1,4,800,1000,200,-468,28,-11,2212,1064,18,16,0,1,1,-1,-36,72,28,-80
130,11,3,2,4,800,1000,200,-468,28,-11,2212,1064,18,16,-5,-8,-13,3,8,-20,-72,-116
130,11,3,4,4,800,1000,200,-468,28,-11,2212,1064,18,16,-1,1,0,-2,-36,36,68,-12
170,13,1,1,4,800,1000,200,-428,-140,-3,2344,1588,6,8,1,-2,-1,3,56,100,-56,-44
170,13,1,2,4,800,1000,200,-428,-140,-3,2344,1588,6,8,-3,-4,-7,1,-36,96,-36,-64
170,13,1,4,4,800,1000,200,-428,-140,-3,2344,1588,6,8,1,2,3,-1,8,-36,0,84
130,11,3,1,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,-1,1,0,-2,12,-4,36,-4
130,11,3,2,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,-3,-3,-6,0,124,44,4,-52
130,11,3,4,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,1,0,1,1,-32,-68,32,76
170,13,1,1,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,0,-2,-2,2,48,48,32,-80
170,13,1,2,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,-3,-8,-11,5,16,-12,-136,-20
170,13,1,4,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,2,0,2,2,56,32,40,-80
130,11,3,1,6,1200,1400,200,348,572,5,2148,1248,10,13,-2,-2,-4,0,-52,-28,4,28
130,11,3,2,6,1200,1400,200,348,572,5,2148,1248,10,13,-4,-7,-11,3,56,-108,-48,-28
130,11,3,4,6,1200,1400,200,348,572,5,2148,1248,10,13,-2,1,-1,-3,44,8,76,-96
170,13,1,1,6,1200,1400,200,332,492,3,2204,1056,15,12,-3,-3,-6,0,-80,-8,-96,48
170,13,1,2,6,1200,1400,200,332,492,3,2204,1056,15,12,-3,-4,-7,1,36,-48,-164,184
170,13,1,4,6,1200,1400,200,332,492,3,2204,1056,15,12,-1,-6,-7,5,36,-160,-132,8
130,11,3,1,7,1400,1600,200,324,172,3,2428,1368,7,10,2,-1,1,3,24,52,-24,-68
130,11,3,2,7,1400,1600,200,324,172,3,2428,1368,7,10,1,-2,-1,3,24,-20,-48,68
130,11,3,4,7,1400,1600,200,324,172,3,2428,1368,7,10,1,-2,-1,3,-40,76,24,-20
170,13,1,1,7,1400,1600,200,616,200,-1,2168,1276,12,13,-2,-2,-4,0,0,40,120,-16
170,13,1,2,7,1400,1600,200,616,200,-1,2168,1276,12,13,-6,-6,-12,0,-16,0,-56,-56
170,13,1,4,7,1400,1600,200,616,200,-1,2168,1276,12,13,-2,3,1,-5,-224,-60,16,-52
130,11,3,1,8,1600,1800,200,276,-268,-9,1712,1316,13,16,-2,1,-1,-3,20,-8,4,-32
130,11,3,2,8,1600,1800,200,276,-268,-9,1712,1316,13,16,-2,-6,-8,4,-28,20,-12,4
130,11,3,4,8,1600,1800,200,276,-268,-9,1712,1316,13,16,1,1,2,0,-4,44,60,84
170,13,1,1,8,1600,1800,200,80,-376,12,2224,1272,6,12,-3,-1,-4,-2,-84,-36,-60,44
170,13,1,2,8,1600,1800,200,80,-376,12,2224,1272,6,12,-3,-2,-5,-1,-64,36,-176,20
170,13,1,4,8,1600,1800,200,80,-376,12,2224,1272,6,12,1,1,2,0,40,32,0,-16
130,11,3,1,9,1800,2000,200,-180,156,-4,1704,1200,7,7,1,0,1,1,4,24,20,8
130,11,3,2,9,1800,2000,200,-180,156,-4,1704,1200,7,7,-3,-3,-6,0,-72,32,-40,-40
130,11,3,4,9,1800,2000,200,-180,156,-4,1704,1200,7,7,2,4,6,-2,20,36,-4,-4
170,13,1,1,9,1800,2000,200,24,-32,-8,1596,1412,7,9,-3,-1,-4,-2,4,20,-52,-28
