geometry_id,lambda_num,lambda_den,level,span_L,nx,ny,vertices,edges,batch,seed,sample_begin,samples,sum_J,sum_J2,count_1234,sum_J_1234,sum_J2_1234,count_12_34,sum_J_12_34,sum_J2_12_34,count_14_23,sum_J_14_23,sum_J2_14_23
lambda_1_4,1,4,1,15,91,61,5551,10950,0,202608290263,0,1000,6669929,44488823235,17,113221,754077009,4,26675,177890047,1,6715,45091225
lambda_1_4,1,4,1,15,91,61,5551,10950,1,202608290263,1000,1000,6668367,44468037931,15,99955,666076471,11,73255,487862185,3,19952,132695296
lambda_1_4,1,4,1,15,91,61,5551,10950,2,202608290263,2000,1000,6667707,44459247415,24,159558,1060803240,10,66789,446090661,1,6698,44863204
lambda_1_4,1,4,1,15,91,61,5551,10950,3,202608290263,3000,1000,6667930,44462199956,14,93066,618674646,7,46576,309906896,2,13341,88991153
lambda_1_4,1,4,1,15,91,61,5551,10950,4,202608290263,4000,1000,6669940,44488994130,28,186355,1240314903,13,86849,580227845,1,6629,43943641
lambda_1_4,1,4,1,15,91,61,5551,10950,5,202608290263,5000,1000,6669218,44479319028,19,126602,843603950,6,39887,265169563,0,0,0
lambda_1_4,1,4,1,15,91,61,5551,10950,6,202608290263,6000,1000,6666717,44446014141,17,113186,753612568,9,59923,398976067,0,0,0
lambda_1_4,1,4,1,15,91,61,5551,10950,7,202608290263,7000,1000,6669492,44483050818,17,113324,755442834,7,46731,311981229,0,0,0
lambda_1_4,1,4,1,15,91,61,5551,10950,8,202608290263,8000,1000,6665640,44431699542,17,113260,754587790,12,79758,530123044,2,13363,89287849
lambda_1_4,1,4,1,15,91,61,5551,10950,9,202608290263,9000,1000,6667225,44452773795,20,133173,886772807,9,60156,402088354,1,6651,44235801
lambda_1_4,1,4,1,15,91,61,5551,10950,10,202608290263,10000,1000,6667563,44457290301,12,79945,532607723,8,53296,355066696,1,6671,44502241
lambda_1_4,1,4,1,15,91,61,5551,10950,11,202608290263,11000,1000,6667940,44462317906,25,166316,1106472898,8,53384,356238368,1,6683,44662489
lambda_1_4,1,4,1,15,91,61,5551,10950,12,202608290263,12000,1000,6667875,44461469795,11,73230,487524068,11,73257,487886041,0,0,0
lambda_1_4,1,4,1,15,91,61,5551,10950,13,202608290263,13000,1000,6668889,44474953013,22,146353,973622171,11,73322,488745720,2,13360,89245378
lambda_1_4,1,4,1,15,91,61,5551,10950,14,202608290263,14000,1000,6667450,44455845076,14,93192,620351566,10,66602,443587522,1,6695,44823025
lambda_1_4,1,4,1,15,91,61,5551,10950,15,202608290263,15000,1000,6668212,44465941660,25,166438,1108083546,9,60046,400616170,1,6616,43771456
lambda_1_4,1,4,1,15,91,61,5551,10950,16,202608290263,16000,1000,6667950,44462521412,24,160066,1067571950,4,26700,178222796,0,0,0
lambda_1_4,1,4,1,15,91,61,5551,10950,17,202608290263,17000,1000,6669235,44479592715,11,73334,488903982,11,73483,490897051,1,6676,44568976
lambda_1_4,1,4,1,15,91,61,5551,10950,18,202608290263,18000,1000,6669032,44476920772,22,146699,978224283,12,79928,532386822,1,6632,43983424
lambda_1_4,1,4,1,15,91,61,5551,10950,19,202608290263,19000,1000,6667990,44463021480,17,113049,751790417,13,86635,577362709,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,0,202608290263,0,1000,5822263,33899529261,18,104803,610220829,7,40626,235782656,1,5815,33814225
lambda_1_3,1,3,1,14,85,57,4845,9548,1,202608290263,1000,1000,5823531,33914288045,25,145507,846902991,9,52417,305290085,1,5852,34245904
lambda_1_3,1,3,1,14,85,57,4845,9548,2,202608290263,2000,1000,5821514,33890836012,12,69798,405987746,7,40698,236625076,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,3,202608290263,3000,1000,5822797,33905735339,24,139742,813675434,5,29237,170963733,2,11614,67443380
lambda_1_3,1,3,1,14,85,57,4845,9548,4,202608290263,4000,1000,5821148,33886592830,17,99082,577488522,14,81435,473695363,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,5,202608290263,5000,1000,5821719,33893223719,20,116370,677111598,7,40728,236974150,2,11684,68260666
lambda_1_3,1,3,1,14,85,57,4845,9548,6,202608290263,6000,1000,5821486,33890476532,13,75734,441213462,5,29056,168851440,3,17483,101885525
lambda_1_3,1,3,1,14,85,57,4845,9548,7,202608290263,7000,1000,5822595,33903385631,24,139766,813961264,6,34926,203308642,3,17483,101887955
lambda_1_3,1,3,1,14,85,57,4845,9548,8,202608290263,8000,1000,5821912,33895562860,18,104693,608939131,8,46502,270309202,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,9,202608290263,9000,1000,5821675,33892629987,19,110555,643297325,2,11631,67640081,1,5806,33709636
lambda_1_3,1,3,1,14,85,57,4845,9548,10,202608290263,10000,1000,5821292,33888248966,15,87255,507572753,6,34900,203004894,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,11,202608290263,11000,1000,5821748,33893505234,21,122365,713022889,6,34971,203834139,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,12,202608290263,12000,1000,5821914,33895491986,30,174287,1012552299,7,40836,238229836,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,13,202608290263,13000,1000,5821438,33889915944,29,168783,982364257,12,69766,405619838,1,5811,33767721
lambda_1_3,1,3,1,14,85,57,4845,9548,14,202608290263,14000,1000,5821213,33887352145,14,81392,473201024,8,46792,273688242,0,0,0
lambda_1_3,1,3,1,14,85,57,4845,9548,15,202608290263,15000,1000,5821929,33895659955,20,116206,675207782,9,52352,304535186,0,0,0
