batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,omega_over_2_re,omega_over_2_im,omega_plus_1_over_2_re,omega_plus_1_over_2_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
0,0,100,5878656a1c64d4473e2bf907c46b1900d436fb20b03aae8f61fe2598a26ed682,54.0,0.0,-22.833053878099438,-42.79342350003123,-23.348636562420744,41.93648774336661,25,54,21,0,28,53,19,0,30,48,22,0
1,100,100,e6aec8ff0c544e6f5f6ee3fc59c5bb0a0ae72e1f66fe69ea005cb99db3708a88,41.54650887573964,0.8747928994082845,-20.864139521000613,-39.31210904514177,-16.864298972483432,37.59823753181254,25,46,29,0,25,49,26,0,28,47,25,0
2,200,100,065ed351e260f7fd8db33f55ea502c60ff50cf016bb16971e4c61c1020de4af3,41.581750476491464,-0.6116556137946891,-24.894906260936143,-44.50729501336045,-21.802207412422508,41.07955198670201,26,48,26,0,23,51,26,0,23,51,26,0
3,300,100,fe5ea729e5739bf99c33eb62ae79883956742aab79cbbd148f0f38c07de57e39,47.03100591715976,-1.749585798816569,-20.895145438160377,-35.81293744750863,-17.410728122481665,34.95600169084402,24,50,26,0,34,46,20,0,30,45,25,0
4,400,100,77e50d42e43d51a309eb4d959a554aec95c9e36a93b14e66010fcd528964410e,51.03100591715976,1.749585798816569,-19.957157272479904,-35.812937447508624,-20.317630645260973,40.186901944550044,24,54,22,0,30,41,29,0,22,54,24,0
5,500,100,48870e7252380e8267ab0f6b390e73a7167ef5366de9b920ffc65b1b83e6e717,53.51550295857988,-0.8747928994082845,-21.41064839674026,-33.18855874928377,-20.44141513667577,36.63415891868589,16,55,29,0,28,44,28,0,21,51,28,0
6,600,100,9b29165ea2c687d4559689789fcadaaaed446e1cf0dfe4ec3b5fb4c51e3f9c43,52.03100591715976,-1.749585798816569,-22.89490626093614,-42.75770921454387,-24.894746809453306,46.22116652668967,24,55,21,0,24,53,23,0,20,57,23,0
7,700,100,54528bc0b4e7feedfc37e79183eebc1a383cb927eb921630a1147152ba41b6b3,41.06201183431952,0.0,-21.895065712418962,-41.04383770121466,-25.25561881094146,45.43565934099975,20,47,33,0,25,48,27,0,18,55,27,0
8,800,100,e838e124b5fd552204420b6ff71e1afd872e6f00870324180e70c5cd4de2076f,53.54650887573964,-2.6243786982248536,-19.44165431390002,-33.18855874928377,-15.988322641122485,28.850308537729703,18,58,24,0,30,43,27,0,35,36,29,0
9,900,100,903f3eeb98718b3c75717e979006959951d1dc12daf93c7aecfe3a5912faafa7,41.612756393651225,-1.13793018502188,-24.410409219516023,-40.13333051631902,-19.895145438160373,39.31210904514177,21,51,28,0,27,50,23,0,27,47,26,0
10,1000,100,8389431dc6ce7dc059936d3c17a8b55b52cf56c7a8377c02f52bb5282316969d,49.51550295857988,0.8747928994082845,-22.50318779377106,-43.57893068572113,-21.410568670998845,40.16904480180637,23,51,26,0,25,52,23,0,22,47,31,0
11,1100,100,ef822fb824d50d44363a76769410ad737b198c3fc729d44583393ee440c999f7,50.0,0.0,-19.534353162413645,-34.866715977125644,-17.926231081061555,34.081208791435735,25,50,25,0,32,46,22,0,33,43,24,0
12,1200,100,20c20be6fa049b9931b11d70f1dc1bcbdd8eb8c3e2123d6ec237b4e33e3732a3,56.51550295857988,0.8747928994082845,-24.833053878099445,-42.79342350003123,-20.503426970995303,38.38374471750245,24,58,18,0,22,51,27,0,29,45,26,0
13,1300,100,c0fc9653e796dc6824501930917f5a9402bebfabf3fe8388676b2eaaabc9d7ed,37.54650887573964,0.8747928994082845,-22.410488945257434,-40.1511876590627,-20.41064839674026,36.68773034691691,32,42,26,0,28,49,23,0,26,45,29,0
14,1400,100,0649da18225f0450deb2324c45acf8dc88e889c0a7ef0439a4f1ac177a00f0c8,49.51550295857988,-0.8747928994082845,-18.565518531056235,-33.15284446379643,-23.41048894525743,36.652016061429556,28,51,21,0,38,38,24,0,32,48,20,0
15,1500,100,097ace54a48330605a234dbd70ce6721e1870ecd88082833ad6ed113b1540457,48.5775147928994,0.8747928994082845,-23.80204796093968,-46.29259509766437,-20.95707754673849,34.04549450594838,24,56,20,0,23,55,22,0,25,43,32,0
16,1600,100,8c969f5693cad4bce158ff688d74c8b3387a629524816f4db2949582bc4bf027,36.612756393651225,-2.887515983838449,-20.317630645260966,-41.93648774336662,-23.894985986677558,34.027637363204704,25,46,29,0,20,54,26,0,28,49,23,0
17,1700,100,0d1f622195b4126c1ae57b616c9d3389d2f7b8b349dc9bba6c7f7cd3cdd6567c,38.03100591715976,1.749585798816569,-18.08078231241187,-35.72365173379025,-21.771121769521333,41.061694843958335,25,41,34,0,30,46,24,0,22,57,21,0
18,1800,100,64125a89d5c0b4cf2f2dd60d1cc07f4396ed4028b2b78096147f460a7045f59f,44.03100591715976,1.749585798816569,-23.86405979525921,-42.793423500031224,-23.641833715031428,40.068842537500196,26,47,27,0,27,49,24,0,26,50,24,0
19,1900,100,a86bac618340884f6ab196ef8d5f577b04b32b2b02bb207cd987937984a5d62f,48.51550295857988,-0.8747928994082845,-19.41048894525742,-40.1511876590627,-26.678183743783475,48.07789518196828,21,50,29,0,29,52,19,0,21,58,21,0
