batch,replica_first,samples,common_field_sha256,2omega_re,2omega_im,omega_over_2_re,omega_over_2_im,omega_plus_1_over_2_re,omega_plus_1_over_2_im,2omega_rank0,2omega_rank1,2omega_rank2,2omega_invalid,omega_over_2_rank0,omega_over_2_rank1,omega_over_2_rank2,omega_over_2_invalid,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
0,0,1000,eedbcd4a1bdee6150818f23eb13c2512fd920685982b24f656077309cfbe955b,476.9580571660005,-6.12355029585799,-219.49708627418866,-388.55069738419786,-206.21875055142345,392.21058326652434,223,518,259,0,274,478,248,0,254,491,255,0
1,1000,1000,21c7f479aaac9652ac953f02223e25fa385184e16c15da1da9a46dda81ad322b,458.86080373092915,2.3612414126112578,-213.3216119697278,-401.4404480196545,-220.60456682680658,383.2553091516731,253,492,255,0,274,492,234,0,264,485,251,0
2,2000,1000,b075011dd84ecee74ffd1b367fa1389b29a9aa3cb196c374843d0ec7110f1287,444.5003303581481,0.26313728561359584,-223.4343569081965,-400.637083691221,-202.9922242398477,390.0859974700902,256,491,253,0,241,507,252,0,248,483,269,0
3,3000,1000,4ed1a421216e4565e42d759228422f006925f23cdf712ef464f094c96da46fac,437.4693244409884,-0.2631372856135954,-226.66610030667746,-393.6456810881104,-213.1675390928258,378.9101183479628,266,481,253,0,242,491,267,0,259,471,270,0
4,4000,1000,63fd9a716c08a85dc7032e99d0f1244fbadd49c2314e31cf843f91a33c3631cc,482.8255621301774,0.8747928994082845,-214.55909810850807,-379.80276839011475,-206.85269388982582,367.5268941050672,235,514,251,0,267,477,256,0,283,472,245,0
5,5000,1000,2c83d80f5a72727ca171ea03cb01eb3937e14db152828ae4d953bf472a13d37c,457.3763066895091,0.26313728561359584,-208.40454687715783,-390.4074260394766,-220.7954680869088,403.4043195313954,255,492,253,0,272,480,248,0,256,499,245,0
6,6000,1000,00ff11df27dc20d5909df9fe9cef74124f3235e1c8f0db9af9424872167fa648,455.4073126066689,0.2631372856135954,-208.5702971129371,-366.591589185272,-215.1879040857467,393.99588335082836,268,493,239,0,278,449,273,0,253,479,268,0
7,7000,1000,1039f72b1e433f06f0109622df0fb6def2bfb113736816837cf50face0efc440,474.86080373092915,4.110827211427827,-208.2076636995316,-381.35194966031906,-227.0427181667729,396.22740490869205,238,508,254,0,247,476,277,0,256,499,245,0
8,8000,1000,e85c95f428c83a52520e238574f4313c01a555280aef52381c48d460b3a7161e,435.34106508875726,-3.499171597633138,-217.1566589913626,-397.44148352023035,-231.84312477745414,410.4042200600752,264,468,268,0,273,489,238,0,260,504,236,0
9,9000,1000,81ca4de570a1b68cf36db6697e085f8438c81f312bbd434992ecf2ad2648cb37,458.43408284023656,3.4991715976331377,-206.98174276709148,-378.963689776194,-218.32209032417617,385.80131868676705,258,500,242,0,264,486,250,0,268,469,263,0
10,10000,1000,626ecfda47fd3f363d50eebf549a691b8c17df0766cbb37054336e180260cdf3,426.34106508875726,3.4991715976331377,-210.03319340291355,-380.0706255312702,-210.2916424872064,370.18004649662356,258,459,283,0,252,487,261,0,288,459,253,0
11,11000,1000,95f7e08690d050ff5e97dc72c900c299ec52ad1b47d8642f08d8ef650d30713b,440.12155811898344,-13.121893491124263,-224.95001931825925,-405.0467624737498,-227.27151217633698,410.66513660907475,253,494,253,0,253,498,249,0,253,509,238,0
12,12000,1000,ff7db1c53135b3be142edfdc84f9df61fff80839f28196e844dee74314c8cbb6,460.4073126066689,5.511894682063302,-216.82120961821764,-377.91726604150466,-229.7332968011066,412.1165342399911,268,498,234,0,267,483,250,0,273,502,225,0
13,13000,1000,e472b2d5f2fc4a068740e4ca7d46107616ecc6eacbf520a055ace3388e56d97f,458.34530077234933,2.0127230844301645,-223.36460965355747,-393.18713576365224,-208.98432936804537,377.35157786058426,270,490,240,0,250,501,249,0,261,471,268,0
14,14000,1000,19dc691585c7b9ce61776db6b0bf5120c7fd11e8e31d96d13820b46546f29bfa,448.7635502958579,-6.12355029585799,-203.7453727886908,-372.85799662307943,-224.5789847469805,405.2789053294179,256,474,270,0,270,461,269,0,255,495,250,0
15,15000,1000,4559ebe3e3a3338d52132939bcc843280d42d028e34e6e9145c5d93acc13e146,458.9228155652487,6.386687581471586,-205.52833136857257,-381.60592561716265,-205.0749199700537,377.24981826286484,264,498,238,0,268,480,252,0,273,473,254,0
16,16000,1000,d3a0cdd53a57183db2bb71690a33eafbdc5f4b193832e1c9e027eb6f12a93c6e,473.9228155652487,4.637101782655018,-195.13991703403394,-352.98237667635743,-217.60667507331203,388.5343975748676,245,513,242,0,261,449,290,0,274,493,233,0
17,17000,1000,169e36e64d0cf3de37eda62ccbf56d6b5a0f0f18ab0a7d52096412925810cc95,492.9185798816567,0.8747928994082845,-214.15657926562133,-390.42528318222037,-202.10026287265552,377.9172660415048,236,533,231,0,266,495,239,0,265,471,264,0
18,18000,1000,f0ded6544e7da6f113816c90052b6077ff05a03ad75eccf27419e9971c8f314e,441.9228155652487,7.609998809060963,-225.26592888752032,-397.35375513992534,-213.88912364431934,384.3017328863621,263,481,256,0,256,506,238,0,286,473,241,0
19,19000,1000,daacb51ee86f4f4b4ad8fe9997ea7b23fd23f809bb129f5c4603e744861f6b73,450.28328893802984,-2.0127230844301645,-221.97515888438085,-406.3215031387781,-205.93167540049643,381.59656639998826,278,476,246,0,246,500,254,0,247,474,279,0
20,20000,1000,ca69acb0044693ca9e8f14b08dd00c55904ff8842a28cfea228f126cd7f8d21b,487.76778597944997,0.6116556137946891,-216.92231753372624,-391.34826425111726,-226.06316288543493,404.3326838590348,247,512,241,0,280,469,251,0,256,507,237,0
