batch,replica_first,samples,field_sha256,translation_sha256,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im
0,0,200,1aff08fc21a29adf71f8dbc9582addb209066b245e795af54e73a61d9f286b4c,aaa3587f8c8794ec002accac8303f939b1fecfc84df1fc034ca68d8a7c6a1ada,7.57391076790106e-18,0.0,0.0,-0.002472135954999575,0.0076084521303612295,0.0,0.0,-0.0024721359549995767,0.0076084521303612295,0.0,0.0,-0.0024721359549995815,-0.007608452130361227,0.0,0.0,-0.002472135954999584,-0.007608452130361228,0.0,0.0,0.00647213595499958,0.004702282018339781,0.0,0.0,-0.0024721359549995815,-0.007608452130361227
1,200,200,500a3d7b7a2717f8635fc69d8caa57ee5c4a51fd00e4276c4c95676aeb1c052f,04129bcbce0aa44de1d10349b3e3b4de54da638845c01408e32250fae5877826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,400,200,e0a757969bc3f939bfdd542fd91733190ef8a2153f5016218ba3a3eb4109e590,ac233ae381e01d755608e2088d18590db110b8e3a468e396606f37b0dac05f9b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,600,200,e6e5284f75ae53ca853cdac36a7784193d52408d87a92239b82a29f960400656,a7b8ebc423bda95a44675fda2f9bde37da8ac130ba10c804aeee94313ac30cf9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,800,200,a08b53282a67f9615d60c21d7386bb6fb4b09ee30082a62a3f3c2b057fdafd79,08fd333b27661066fe4cd255ff617c737b70b33b175c5647a9c959322c53a807,8.673617379884035e-18,0.0,0.0,-0.014472135954999582,-0.01051462224238267,0.0,0.0,-0.0034164078649987356,0.010514622242382672,0.0,0.0,-0.014472135954999575,0.010514622242382676,0.0,0.0,-0.0034164078649987412,-0.010514622242382674,0.0,0.0,0.023416407864998733,-0.017013016167040807,0.0,0.0,-0.017888543819998316,4.2246417610183676e-18
5,1000,200,7a2aa02aed1741de0878f9847fcade2ea0543969e9a9530e64bff1736bd02a14,07b19e457ff730c65aa1ebf4d1339e1cd3725e17da6d2144024af8d2cf0b2515,7.006328859705253e-18,0.00494427190999916,-5.204170427930421e-18,0.0,0.0,-0.004000000000000005,-0.012310734148701014,0.0,0.0,0.004944271909999157,-1.734723475976807e-18,0.0,0.0,-0.0039999999999999975,0.012310734148701014,0.0,0.0,-0.009527864045000422,-0.004702282018339781,0.0,0.0,-0.003999999999999997,0.002906170112021443,0.0,0.0
6,1200,200,9f1b85f115a6320aa3a116d6a4ee42fd40b2098be2c708bef36c092d5ef30cfd,88134763fe9066df7f05b816d88aeb5f6fe3b4221680b6ac9d4719d9bb7ce88d,6.992893892674703e-18,0.0064721359549995815,0.004702282018339782,0.0,0.0,0.00647213595499958,0.004702282018339784,0.0,0.0,0.006472135954999578,-0.0047022820183397875,0.0,0.0,0.006472135954999576,-0.00470228201833979,0.0,0.0,0.006472135954999577,-0.004702282018339787,0.0,0.0,-0.008,2.0614622111096262e-18,0.0,0.0
7,1400,200,7d6adbf88723182c03f4c687a269ebf0f6b820da0ca0bb29466ee60ce0b69c56,bb4026dbc45f50bab5710fdf6ad848bb0fca8410ec382aac212dc499facdd264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1600,200,14de7310c10b8b3d7d43ba9f0c268fc4231b104394a8e5e5123bb94673c325be,4065668248eb8321dc0e35375c3bea14dff61ac55b9dfbc4c07a187fac4b8719,1.7085044840333033e-17,-1.024235400549561e-17,-0.015216904260722457,0.00647213595499958,-0.004702282018339787,0.008944271909999153,-0.012310734148701014,-0.002472135954999578,0.00760845213036123,5.1271882438199465e-18,0.015216904260722456,0.00647213595499958,0.004702282018339785,0.008944271909999168,0.012310734148701007,-0.0024721359549995797,-0.0076084521303612295,-0.005527864045000416,0.007608452130361231,0.00647213595499958,-0.004702282018339787,0.014472135954999582,0.004702282018339779,0.00647213595499958,-0.004702282018339787
9,1800,200,8c054acc701d8ea8bc42c02b6e43a8827df40876456b0915b457c395a9954164,63f547dab90e5a3a96c14e930f30158d6ce8d7442813cd54916d29d695930806,1.0868011426688115e-17,0.003999999999999997,-0.012310734148701014,0.006472135954999577,-0.004702282018339787,0.004000000000000003,0.012310734148701012,-0.002472135954999577,0.0076084521303612295,0.004000000000000006,0.012310734148701008,0.0064721359549995815,0.004702282018339781,0.003999999999999994,-0.012310734148701015,-0.0024721359549995836,-0.007608452130361227,-0.010472135954999578,0.0076084521303612295,-0.008,2.0614622111096262e-18,-0.010472135954999582,-0.007608452130361224,-0.0024721359549995823,-0.007608452130361227
