batch,replica_first,samples,field_sha256,translation_sha256,pair_imaginary_max,conjugacy_max_abs,d1_C113_plus_re,d1_C113_plus_im,d1_C122_plus_re,d1_C122_plus_im,d1_C244_plus_re,d1_C244_plus_im,d1_C334_plus_re,d1_C334_plus_im,d1_G1_plus,d1_G2_plus,d1_V1_plus,d1_V2_plus,d1_C113_minus_re,d1_C113_minus_im,d1_C122_minus_re,d1_C122_minus_im,d1_C244_minus_re,d1_C244_minus_im,d1_C334_minus_re,d1_C334_minus_im,d1_G1_minus,d1_G2_minus,d1_V1_minus,d1_V2_minus,d2_C113_plus_re,d2_C113_plus_im,d2_C122_plus_re,d2_C122_plus_im,d2_C244_plus_re,d2_C244_plus_im,d2_C334_plus_re,d2_C334_plus_im,d2_G1_plus,d2_G2_plus,d2_V1_plus,d2_V2_plus,d2_C113_minus_re,d2_C113_minus_im,d2_C122_minus_re,d2_C122_minus_im,d2_C244_minus_re,d2_C244_minus_im,d2_C334_minus_re,d2_C334_minus_im,d2_G1_minus,d2_G2_minus,d2_V1_minus,d2_V2_minus,d3_C113_plus_re,d3_C113_plus_im,d3_C122_plus_re,d3_C122_plus_im,d3_C244_plus_re,d3_C244_plus_im,d3_C334_plus_re,d3_C334_plus_im,d3_G1_plus,d3_G2_plus,d3_V1_plus,d3_V2_plus,d3_C113_minus_re,d3_C113_minus_im,d3_C122_minus_re,d3_C122_minus_im,d3_C244_minus_re,d3_C244_minus_im,d3_C334_minus_re,d3_C334_minus_im,d3_G1_minus,d3_G2_minus,d3_V1_minus,d3_V2_minus
0,0,100,5c3efd10ec97e14246d3078675222ac665b28bd9c03f064ff63f058eff3df3a0,42702f0e7ae3c5bc2c8b032d6dea7b614077199aa100f77d5c75d1a1482076bf,5.774361402770914e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24000000000000005,0.24000000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018541019662496848,0.04854101966249685,0.32,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00618033988749895,0.016180339887498948,0.30666666666666664,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038196601125010544,0.02618033988749895,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00618033988749895,0.016180339887498948,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498946,-0.01618033988749895,0.3384262134833347,0.3682404531833319
1,100,100,a321ff268a89300634f9031ca15eab6cdc32f8ae1d4434c00ab08c6a3746dae9,631677f92c3b8f632a6372f4f3bdf846bbbb2b8e25c7335923b5b736cdbbf094,1.0408340855860843e-17,6.992893892674703e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032360679774997896,-0.012360679774997899,0.4298142396999971,0.37018576030000283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010000000000000005,-0.010000000000000005,0.33648090636666383,0.27685242696666945,-0.006472135954999577,0.004702282018339787,-0.006472135954999576,0.0047022820183397875,-0.0064721359549995815,-0.004702282018339781,-0.00647213595499958,-0.004702282018339781,0.032360679774997896,-0.0123606797749979,0.3466666666666667,0.3466666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02236067977499789,0.0223606797749979,0.33648090636666383,0.27685242696666945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022360679774997897,-0.022360679774997897,0.31999999999999995,0.31999999999999995
2,200,100,24996cb1f6aebb09f3c5922913835419f51b7f42d1ef1fabc1812c6413a1cf7f,3338335a0bd3faa484467e77c23c22054da747545114cb377c73f8750808a220,1.1548722805541828e-17,7.330938211459557e-18,0.008,-1.931504989747936e-18,0.008,-3.7163555829354544e-18,0.008,-4.965752352717419e-18,0.008,-3.614582628524102e-18,0.04000000000000001,0.039999999999999994,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00618033988749895,0.016180339887498948,0.33842621348333474,0.368240453183332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013819660112501056,-0.03618033988749894,0.31999999999999995,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016180339887498948,0.00618033988749895,0.3999999999999999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006180339887498948,0.016180339887498948,0.30666666666666664,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.020000000000000004,0.4133333333333332,0.4133333333333331
3,300,100,6aeb5612f5d3356737316cecb0f89bf258b23d4590d0ea23987146a43b5e9f27,d022278231e787ec698c37cad3743eee000cefd6fc2dec2314a3a10a6fd68fbd,5.774361402770914e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04618033988749896,0.023819660112501046,0.3250928801500015,0.35490711984999856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10618033988749896,0.08381966011250105,0.45842621348333484,0.4882404531833319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4482404531833317,0.41842621348333453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.30666666666666664,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498948,-0.016180339887498944,0.42157378651666516,0.39175954681666797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019999999999999997,0.020000000000000004,0.4215737865166651,0.391759546816668
4,400,100,3ea29265297123905ca3754774528feca549e1a988b9a2a2b766653905eec43c,d2f7c5462b448b9e0e4f217207e3b2d5ddd6cd7692c24fe0b5c21015ef20303a,1.0408340855860843e-17,7.46132779436365e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05236067977499789,-0.007639320225002112,0.41842621348333486,0.4482404531833319,0.002472135954999582,0.007608452130361227,0.0024721359549995836,0.007608452130361226,0.002472135954999575,-0.0076084521303612295,0.0024721359549995763,-0.007608452130361227,0.02854101966249685,-0.03854101966249685,0.40509288015000133,0.4349071198499984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003819660112501049,-0.026180339887498953,0.32000000000000006,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34981423969999714,0.29018576030000287,-0.006472135954999577,0.004702282018339788,0.0024721359549995823,0.0076084521303612295,-0.0064721359549995815,-0.004702282018339782,0.002472135954999576,-0.007608452130361232,0.022360679774997897,-0.0223606797749979,0.3949071198499985,0.3650928801500013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05854101966249684,0.00854101966249684,0.41333333333333333,0.41333333333333333
5,500,100,bcda174cfcb49911683525a1390019f65af12e65fe312d101f935946635fcdb6,fd35017c3e827b6a9a8d85e55cdf75198206b9d77611fd3ba30cd4d3c4c89056,7.806255641895632e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.019999999999999997,0.3466666666666667,0.34666666666666657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053819660112501055,0.07618033988749895,0.3517595468166681,0.3815737865166652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.019999999999999997,0.30666666666666664,0.30666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.030000000000000006,0.2584262134833348,0.2882404531833319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020000000000000004,-0.020000000000000004,0.2666666666666667,0.2666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032360679774997896,0.012360679774997899,0.3384262134833348,0.3682404531833319
6,600,100,fe2fae006ee259a6038a65fe7a0f5a6870164151d7d7b7e495786afec7e3f8c7,d9546d819325867e4ed68f76db0ca092bacc9ced98ad158b6da85c8188ca7159,1.0408340855860843e-17,7.330938211459557e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00618033988749895,-0.016180339887498948,0.20000000000000004,0.2,0.0024721359549995784,-0.007608452130361231,0.00247213595499958,0.0076084521303612295,0.00247213595499958,0.0076084521303612295,0.0024721359549995784,-0.007608452130361231,0.03381966011250106,0.056180339887498945,0.3035190936333362,0.36314757303333045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999998,-0.009999999999999998,0.32000000000000006,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038196601125010544,0.02618033988749895,0.29842621348333476,0.32824045318333195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013819660112501055,0.03618033988749894,0.30666666666666664,0.30666666666666664,-0.008,4.965752352717419e-18,-0.008,3.614582628524102e-18,-0.008,1.931504989747936e-18,-0.008,3.7163555829354544e-18,0.0,0.0,0.36,0.3599999999999999
7,700,100,811de23dcd7b60f4681f7c6df4d16a53a247561719baebaa79796933ed174022,7a0cf0ab0f452128ef568e3885a30fd99f9363a9097a11c4284410975323aba2,5.774361402770914e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013819660112501048,0.036180339887498955,0.29333333333333333,0.29333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016180339887498948,0.006180339887498948,0.24509288015000144,0.2749071198499986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003819660112501056,-0.026180339887498943,0.3517595468166681,0.3815737865166653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31999999999999995,0.31999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0423606797749979,0.0023606797749979,0.31490711984999853,0.28509288015000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003819660112501056,-0.026180339887498946,0.2533333333333334,0.2533333333333334
8,800,100,e78389fbfa5327a8b5fa4b24ef0528498840754637bf7fd8d443a105d5a3bacf,489c994e0cd87fab8bb0aedf38042e81a684552a4f0d785cf273e9da4bcfe414,5.774361402770914e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029999999999999995,0.030000000000000006,0.31490711984999864,0.28509288015000145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027639320225002095,0.07236067977499791,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04236067977499791,0.0023606797749979027,0.368240453183332,0.3384262134833348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01381966011250105,0.036180339887498955,0.3384262134833347,0.3682404531833319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29333333333333333,0.29333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016180339887498948,0.00618033988749895,0.33333333333333326,0.33333333333333326
9,900,100,6cec57c82f9843d3a9dd86752e411daa68969a41de38c28d35d432634bcacf01,5639d97e44e6a332d4ca9c928468e5b30cf0fc8b150151efb0a63f2c3408e14b,8.673617379884035e-18,7.410741937918042e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.020000000000000007,0.3866666666666666,0.3866666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498949,-0.016180339887498944,0.2933333333333334,0.2933333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.938893903907228e-18,0.0,0.3599999999999999,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498956,-0.016180339887498958,0.29333333333333345,0.29333333333333345,0.002472135954999577,-0.0076084521303612295,0.002472135954999582,0.007608452130361227,0.0024721359549995836,0.007608452130361227,0.002472135954999575,-0.0076084521303612295,0.06618033988749895,0.04381966011250104,0.45333333333333337,0.45333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000005,0.009999999999999997,0.33333333333333337,0.33333333333333337
