batch,replica_first,samples,field_sha256,translation_sha256,pair_imaginary_max,conjugacy_max_abs,d1_C113_plus_re,d1_C113_plus_im,d1_C122_plus_re,d1_C122_plus_im,d1_C244_plus_re,d1_C244_plus_im,d1_C334_plus_re,d1_C334_plus_im,d1_G1_plus,d1_G2_plus,d1_V1_plus,d1_V2_plus,d1_C113_minus_re,d1_C113_minus_im,d1_C122_minus_re,d1_C122_minus_im,d1_C244_minus_re,d1_C244_minus_im,d1_C334_minus_re,d1_C334_minus_im,d1_G1_minus,d1_G2_minus,d1_V1_minus,d1_V2_minus,d2_C113_plus_re,d2_C113_plus_im,d2_C122_plus_re,d2_C122_plus_im,d2_C244_plus_re,d2_C244_plus_im,d2_C334_plus_re,d2_C334_plus_im,d2_G1_plus,d2_G2_plus,d2_V1_plus,d2_V2_plus,d2_C113_minus_re,d2_C113_minus_im,d2_C122_minus_re,d2_C122_minus_im,d2_C244_minus_re,d2_C244_minus_im,d2_C334_minus_re,d2_C334_minus_im,d2_G1_minus,d2_G2_minus,d2_V1_minus,d2_V2_minus,d3_C113_plus_re,d3_C113_plus_im,d3_C122_plus_re,d3_C122_plus_im,d3_C244_plus_re,d3_C244_plus_im,d3_C334_plus_re,d3_C334_plus_im,d3_G1_plus,d3_G2_plus,d3_V1_plus,d3_V2_plus,d3_C113_minus_re,d3_C113_minus_im,d3_C122_minus_re,d3_C122_minus_im,d3_C244_minus_re,d3_C244_minus_im,d3_C334_minus_re,d3_C334_minus_im,d3_G1_minus,d3_G2_minus,d3_V1_minus,d3_V2_minus
0,0,100,5c3efd10ec97e14246d3078675222ac665b28bd9c03f064ff63f058eff3df3a0,42702f0e7ae3c5bc2c8b032d6dea7b614077199aa100f77d5c75d1a1482076bf,7.509084878747721e-18,3.903127820947816e-18,0.006472135954999581,0.004702282018339784,-0.0024721359549995828,-0.007608452130361229,0.006472135954999578,-0.004702282018339787,-0.002472135954999579,0.007608452130361229,-0.016180339887498948,0.006180339887498949,0.3784262134833347,0.4082404531833318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023606797749978897,-0.042360679774997884,0.45333333333333314,0.45333333333333314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.060000000000000005,0.4266666666666666,0.4266666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003819660112501063,0.02618033988749896,0.46157378651666514,0.4317595468166681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29842621348333476,0.32824045318333195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007639320225002098,-0.0523606797749979,0.3549071198499986,0.32509288015000143
1,100,100,a321ff268a89300634f9031ca15eab6cdc32f8ae1d4434c00ab08c6a3746dae9,631677f92c3b8f632a6372f4f3bdf846bbbb2b8e25c7335923b5b736cdbbf094,8.673617379884035e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05618033988749896,0.03381966011250106,0.5282404531833319,0.4984262134833347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020000000000000004,0.019999999999999997,0.46981423969999714,0.41018576030000276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03618033988749894,0.013819660112501056,0.4082404531833319,0.3784262134833347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036180339887498955,0.013819660112501048,0.43999999999999995,0.43999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016180339887498948,0.006180339887498953,0.41842621348333464,0.44824045318333183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498948,-0.016180339887498948,0.4082404531833318,0.3784262134833347
2,200,100,24996cb1f6aebb09f3c5922913835419f51b7f42d1ef1fabc1812c6413a1cf7f,3338335a0bd3faa484467e77c23c22054da747545114cb377c73f8750808a220,1.480566293639968e-17,1.0551910960100405e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013819660112501051,-0.036180339887498955,0.4666666666666667,0.4666666666666667,0.004,-0.0029061701120214455,0.004000000000000007,0.01231073414870101,0.004000000000000002,0.0029061701120214447,0.003999999999999997,-0.012310734148701015,-0.008541019662496832,0.058541019662496856,0.5733333333333331,0.573333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00618033988749895,0.016180339887498948,0.3815737865166652,0.3517595468166681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013819660112501056,0.036180339887498955,0.46157378651666514,0.43175954681666795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45648090636666355,0.39685242696666934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00618033988749895,-0.016180339887498948,0.38157378651666507,0.351759546816668
3,300,100,6aeb5612f5d3356737316cecb0f89bf258b23d4590d0ea23987146a43b5e9f27,d022278231e787ec698c37cad3743eee000cefd6fc2dec2314a3a10a6fd68fbd,7.39799782690005e-18,9.341771812940338e-18,0.0064721359549995815,0.004702282018339781,0.00647213595499958,0.004702282018339781,0.006472135954999577,-0.004702282018339787,0.006472135954999576,-0.0047022820183397875,0.017639320225002114,0.062360679774997894,0.4768524269666694,0.5364809063666638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0823606797749979,0.03763932022500212,0.5968524269666693,0.6564809063666637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006180339887498944,-0.01618033988749894,0.5384262134833345,0.5682404531833316,0.002472135954999584,0.007608452130361228,-0.006472135954999576,0.004702282018339786,0.0024721359549995767,-0.0076084521303612295,-0.006472135954999582,-0.0047022820183397806,0.050901699437494737,-0.06090169943749474,0.5066666666666666,0.5066666666666666,0.008000000000000004,-1.0672857760993245e-18,0.016944271909999163,0.012310734148701008,0.007999999999999998,-1.1251950241002882e-18,0.01694427190999916,-0.012310734148701017,-0.020000000000000004,-0.02000000000000001,0.575278640450004,0.6647213595499956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0323606797749979,-0.012360679774997892,0.4933333333333332,0.4933333333333333
4,400,100,3ea29265297123905ca3754774528feca549e1a988b9a2a2b766653905eec43c,d2f7c5462b448b9e0e4f217207e3b2d5ddd6cd7692c24fe0b5c21015ef20303a,1.1548722805541828e-17,1.3985787785349405e-17,-0.01694427190999915,0.012310734148701024,-0.008,2.9288239490980298e-18,-0.016944271909999163,-0.012310734148701007,-0.008,4.202154362262689e-18,0.09,0.09,0.6399999999999999,0.6399999999999999,-0.0009442719099991507,0.01231073414870102,-0.0009442719099991646,-0.012310734148701012,-0.0009442719099991611,-0.012310734148701014,-0.0009442719099991524,0.012310734148701019,0.0023606797749978967,-0.04236067977499791,0.5250928801500014,0.5549071198499985,0.006472135954999578,-0.0047022820183397875,0.006472135954999576,-0.00470228201833979,0.0064721359549995815,0.004702282018339782,0.00647213595499958,0.004702282018339784,-0.038541019662496845,0.02854101966249685,0.46666666666666645,0.46666666666666645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008541019662496839,0.05854101966249685,0.46666666666666645,0.46666666666666656,-0.006472135954999577,0.004702282018339788,0.0024721359549995823,0.0076084521303612295,-0.0064721359549995815,-0.004702282018339782,0.002472135954999576,-0.007608452130361232,0.02,0.02,0.5917595468166679,0.621573786516665,-0.007999999999999998,2.033277944159288e-18,-0.0024721359549995784,0.007608452130361229,-0.008,2.3651858587421377e-18,-0.002472135954999583,-0.007608452130361229,0.019999999999999993,0.020000000000000004,0.5784262134833343,0.6082404531833315
5,500,100,bcda174cfcb49911683525a1390019f65af12e65fe312d101f935946635fcdb6,fd35017c3e827b6a9a8d85e55cdf75198206b9d77611fd3ba30cd4d3c4c89056,9.660508541682953e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999999,0.3999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05236067977499789,0.0076393202250021105,0.48824045318333176,0.45842621348333457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013819660112501055,0.03618033988749894,0.4266666666666665,0.4266666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999992,-0.010000000000000007,0.4349071198499984,0.4050928801500012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04000000000000001,0.04,0.4349071198499984,0.4050928801500012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016180339887498948,-0.006180339887498948,0.549814239699997,0.4901857603000028
6,600,100,fe2fae006ee259a6038a65fe7a0f5a6870164151d7d7b7e495786afec7e3f8c7,d9546d819325867e4ed68f76db0ca092bacc9ced98ad158b6da85c8188ca7159,1.3010426069826053e-17,1.1311309917709262e-17,0.008944271909999153,-0.01231073414870102,0.008944271909999166,0.01231073414870101,0.008944271909999161,0.012310734148701014,0.008944271909999154,-0.012310734148701017,0.06000000000000001,0.06,0.44000000000000006,0.44000000000000006,-5.061251225872426e-18,-0.015216904260722459,0.008944271909999161,0.012310734148701012,1.0555555465059962e-18,0.015216904260722457,0.008944271909999156,-0.012310734148701017,0.060000000000000005,0.06,0.509814239699997,0.4501857603000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03381966011250105,-0.056180339887498945,0.4133333333333332,0.4133333333333332,3.6576407604712066e-18,0.015216904260722456,-0.014472135954999578,0.00470228201833979,-7.653669157238055e-18,-0.015216904260722456,-0.014472135954999582,-0.00470228201833978,-0.05854101966249683,0.008541019662496846,0.6196284793999941,0.5003715206000056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016180339887498948,-0.006180339887498948,0.3599999999999999,0.3599999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009999999999999995,-0.009999999999999998,0.6062951460666608,0.48703818726667203
7,700,100,811de23dcd7b60f4681f7c6df4d16a53a247561719baebaa79796933ed174022,7a0cf0ab0f452128ef568e3885a30fd99f9363a9097a11c4284410975323aba2,6.938893903907228e-18,6.2546344413855015e-18,-0.010472135954999578,0.007608452130361232,0.004000000000000001,-0.002906170112021445,-0.010472135954999582,-0.007608452130361227,0.004000000000000001,0.0029061701120214425,0.0947213595499958,0.005278640450004198,0.4984262134833346,0.5282404531833318,-0.00647213595499958,0.004702282018339787,-0.012000000000000002,-0.00290617011202144,-0.00647213595499958,-0.004702282018339781,-0.011999999999999997,0.0029061701120214473,0.05000000000000001,0.05000000000000001,0.5149071198499985,0.4850928801500014,-0.016,4.730371717484275e-18,-0.004944271909999153,0.015216904260722459,-0.015999999999999997,4.066555888318576e-18,-0.00494427190999916,-0.015216904260722454,0.03708203932499368,-0.0970820393249937,0.56,0.5599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.010000000000000007,0.5199999999999998,0.5199999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04236067977499791,-0.0023606797749979036,0.5066666666666667,0.5066666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018541019662496844,0.04854101966249684,0.44509288015000137,0.47490711984999845
8,800,100,e78389fbfa5327a8b5fa4b24ef0528498840754637bf7fd8d443a105d5a3bacf,489c994e0cd87fab8bb0aedf38042e81a684552a4f0d785cf273e9da4bcfe414,1.3877787807814457e-17,2.742838647325548e-18,-0.006472135954999581,-0.004702282018339785,-0.00647213595499958,0.0047022820183397875,-0.00647213595499958,0.0047022820183397875,-0.006472135954999581,-0.004702282018339785,0.036180339887498955,0.013819660112501062,0.4050928801500014,0.4349071198499986,0.002472135954999578,-0.00760845213036123,0.002472135954999578,-0.00760845213036123,0.0024721359549995797,0.0076084521303612295,0.0024721359549995797,0.0076084521303612295,0.02,0.019999999999999993,0.4349071198499985,0.40509288015000133,0.00247213595499958,0.0076084521303612295,0.0024721359549995784,-0.007608452130361231,0.0024721359549995784,-0.007608452130361231,0.00247213595499958,0.0076084521303612295,0.010000000000000005,0.010000000000000002,0.4666666666666665,0.4666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061803398874989484,-0.016180339887498948,0.45842621348333457,0.48824045318333176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003819660112501056,-0.026180339887498946,0.3815737865166651,0.35175954681666805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00618033988749895,0.016180339887498948,0.5149071198499984,0.48509288015000135
9,900,100,6cec57c82f9843d3a9dd86752e411daa68969a41de38c28d35d432634bcacf01,5639d97e44e6a332d4ca9c928468e5b30cf0fc8b150151efb0a63f2c3408e14b,1.3877787807814457e-17,7.46132779436365e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01527864045000421,0.1047213595499958,0.5568524269666693,0.6164809063666635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10381966011250106,0.12618033988749894,0.4584262134833348,0.488240453183332,0.0024721359549995754,-0.007608452130361229,-0.0064721359549995815,-0.004702282018339782,0.0024721359549995815,0.007608452130361227,-0.006472135954999577,0.004702282018339788,0.023819660112501046,0.04618033988749895,0.573333333333333,0.573333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023819660112501053,0.04618033988749895,0.43685242696666937,0.49648090636666364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03618033988749894,0.01381966011250105,0.5599999999999998,0.5599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013819660112501062,0.036180339887498934,0.5333333333333331,0.533333333333333
