n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
144,12,0,first,0,1000,81153,90000,6639519,8148266,7328545,8847,130695
144,8,0,second,0,1000,76993,94599,6020945,9021063,7290767,17606,460474
144,12,0,first,1,1000,80822,90181,6584716,8179387,7311656,9359,140791
144,8,0,second,1,1000,77003,94505,6018123,9000891,7283431,17502,452152
144,12,0,first,2,1000,81203,90516,6643387,8240574,7372482,9313,138997
144,8,0,second,2,1000,76595,94827,5952875,9062713,7269357,18232,476874
144,12,0,first,3,1000,80924,90437,6601780,8228001,7343368,9513,143045
144,8,0,second,3,1000,75901,94812,5846771,9060606,7197412,18911,512553
144,12,0,first,4,1000,80800,90491,6585474,8240585,7337280,9691,151499
144,8,0,second,4,1000,76309,94260,5907813,8956466,7199984,17951,464311
144,12,0,first,5,1000,81288,90366,6659918,8213014,7369801,9078,133330
144,8,0,second,5,1000,76617,94772,5955543,9058760,7263110,18155,488083
144,12,0,first,6,1000,80920,90288,6599820,8207630,7331741,9368,143968
144,8,0,second,6,1000,76646,94674,5963418,9037946,7261124,18028,479116
144,12,0,first,7,1000,81245,90340,6661105,8206758,7366715,9095,134433
144,8,0,second,7,1000,76866,94158,5986332,8937200,7239627,17292,444278
144,12,0,first,8,1000,81032,90321,6618944,8207279,7343066,9289,140091
144,8,0,second,8,1000,76753,94642,5974811,9029040,7266156,17889,471539
144,12,0,first,9,1000,80934,89951,6603516,8138523,7304055,9017,133929
144,8,0,second,9,1000,76483,94583,5942469,9016677,7239066,18100,481014
144,12,0,first,10,1000,81178,90457,6650028,8226863,7365097,9279,146697
144,8,0,second,10,1000,76482,95060,5942694,9107170,7278518,18578,492828
144,12,0,first,11,1000,81282,90708,6662302,8281304,7398352,9426,146902
144,8,0,second,11,1000,76062,94348,5866374,8970800,7182344,18286,472486
144,12,0,first,12,1000,81267,90034,6659887,8152164,7342728,8767,126595
144,8,0,second,12,1000,76467,94480,5934015,8994464,7225689,18013,477101
144,12,0,first,13,1000,80895,90156,6598499,8175932,7315534,9261,143363
144,8,0,second,13,1000,76140,94596,5889694,9024714,7207430,18456,499548
144,12,0,first,14,1000,81340,90418,6666418,8225002,7379675,9078,132070
144,8,0,second,14,1000,76572,94327,5948478,8973047,7229849,17755,461827
144,12,0,first,15,1000,81021,90467,6614901,8234445,7354197,9446,140952
144,8,0,second,15,1000,76808,94389,5989800,8973033,7251712,17581,459409
144,12,0,first,16,1000,81528,90405,6700772,8219917,7394518,8877,131653
144,8,0,second,16,1000,75763,94207,5829243,8944279,7137129,18444,499264
144,12,0,first,17,1000,80883,90010,6598215,8149506,7307442,9127,132837
144,8,0,second,17,1000,76564,94323,5944920,8967403,7230977,17759,450369
144,12,0,first,18,1000,80900,90212,6597584,8184450,7321703,9312,138628
144,8,0,second,18,1000,77180,94327,6037356,8968449,7284254,17147,437297
144,12,0,first,19,1000,81336,90601,6670074,8255011,7394430,9265,136225
144,8,0,second,19,1000,76849,94462,5988619,8993220,7264498,17613,452843
