n,a,b,orientation,batch,samples,kind,k,count
144,12,0,first,0,2000,minus,49,1
144,12,0,first,0,2000,minus,55,1
144,12,0,first,0,2000,minus,56,1
144,12,0,first,0,2000,minus,57,1
144,12,0,first,0,2000,minus,58,5
144,12,0,first,0,2000,minus,59,4
144,12,0,first,0,2000,minus,60,3
144,12,0,first,0,2000,minus,61,5
144,12,0,first,0,2000,plus,61,1
144,12,0,first,0,2000,minus,62,2
144,12,0,first,0,2000,minus,63,8
144,12,0,first,0,2000,minus,64,5
144,12,0,first,0,2000,minus,65,16
144,12,0,first,0,2000,minus,66,11
144,12,0,first,0,2000,minus,67,24
144,12,0,first,0,2000,minus,68,24
144,12,0,first,0,2000,minus,69,22
144,12,0,first,0,2000,plus,69,3
144,12,0,first,0,2000,minus,70,21
144,12,0,first,0,2000,plus,70,3
144,12,0,first,0,2000,minus,71,35
144,12,0,first,0,2000,plus,71,1
144,12,0,first,0,2000,minus,72,44
144,12,0,first,0,2000,minus,73,52
144,12,0,first,0,2000,plus,73,6
144,12,0,first,0,2000,minus,74,59
144,12,0,first,0,2000,plus,74,5
144,12,0,first,0,2000,minus,75,58
144,12,0,first,0,2000,plus,75,6
144,12,0,first,0,2000,minus,76,99
144,12,0,first,0,2000,plus,76,11
144,12,0,first,0,2000,minus,77,90
144,12,0,first,0,2000,plus,77,14
144,12,0,first,0,2000,minus,78,102
144,12,0,first,0,2000,plus,78,18
144,12,0,first,0,2000,minus,79,125
144,12,0,first,0,2000,plus,79,28
144,12,0,first,0,2000,minus,80,105
144,12,0,first,0,2000,plus,80,33
144,12,0,first,0,2000,minus,81,114
144,12,0,first,0,2000,plus,81,39
144,12,0,first,0,2000,minus,82,103
144,12,0,first,0,2000,plus,82,59
144,12,0,first,0,2000,minus,83,91
144,12,0,first,0,2000,plus,83,74
144,12,0,first,0,2000,minus,84,87
144,12,0,first,0,2000,plus,84,68
144,12,0,first,0,2000,minus,85,93
144,12,0,first,0,2000,plus,85,81
144,12,0,first,0,2000,minus,86,106
144,12,0,first,0,2000,plus,86,97
144,12,0,first,0,2000,minus,87,92
144,12,0,first,0,2000,plus,87,103
144,12,0,first,0,2000,minus,88,90
144,12,0,first,0,2000,plus,88,129
144,12,0,first,0,2000,minus,89,78
144,12,0,first,0,2000,plus,89,116
144,12,0,first,0,2000,minus,90,44
144,12,0,first,0,2000,plus,90,137
144,12,0,first,0,2000,minus,91,45
144,12,0,first,0,2000,plus,91,136
144,12,0,first,0,2000,minus,92,37
144,12,0,first,0,2000,plus,92,128
144,12,0,first,0,2000,minus,93,23
144,12,0,first,0,2000,plus,93,86
144,12,0,first,0,2000,minus,94,19
144,12,0,first,0,2000,plus,94,128
144,12,0,first,0,2000,minus,95,15
144,12,0,first,0,2000,plus,95,75
144,12,0,first,0,2000,minus,96,16
144,12,0,first,0,2000,plus,96,76
144,12,0,first,0,2000,minus,97,8
144,12,0,first,0,2000,plus,97,63
144,12,0,first,0,2000,minus,98,6
144,12,0,first,0,2000,plus,98,48
144,12,0,first,0,2000,minus,99,4
144,12,0,first,0,2000,plus,99,51
144,12,0,first,0,2000,minus,100,1
144,12,0,first,0,2000,plus,100,30
144,12,0,first,0,2000,minus,101,2
