n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
144,12,0,first,0,2000,162165,180802,13257589,16437094,14709375,18637,275933
144,6,0,second,0,2000,136091,203552,9521141,20892316,13834855,67461,2743747
144,12,0,first,1,2000,162039,180858,13235663,16452450,14705135,18819,277843
144,6,0,second,1,2000,136368,203546,9545422,20884794,13873442,67178,2683332
144,12,0,first,2,2000,162289,180964,13281471,16473436,14733475,18675,287957
144,6,0,second,2,2000,136757,203793,9594869,20937063,13915555,67036,2700822
144,12,0,first,3,2000,162007,180870,13238445,16455736,14702458,18863,289265
144,6,0,second,3,2000,135732,203102,9461046,20799690,13774326,67370,2712084
144,12,0,first,4,2000,161910,180745,13210314,16425877,14675404,18835,285383
144,6,0,second,4,2000,135196,204003,9385684,20974139,13777486,68807,2804851
144,12,0,first,5,2000,162551,180588,13314313,16406200,14727383,18037,265747
144,6,0,second,5,2000,137227,203829,9656211,20940723,13968282,66602,2660370
144,12,0,first,6,2000,161584,180815,13163468,16442965,14654416,19231,297601
144,6,0,second,6,2000,134723,204397,9319585,21059235,13761692,69674,2855436
144,12,0,first,7,2000,162610,181028,13329374,16486952,14768367,18418,279592
144,6,0,second,7,2000,135670,203190,9453718,20807550,13772071,67520,2717126
144,12,0,first,8,2000,162319,180971,13281143,16470377,14735071,18652,281378
144,6,0,second,8,2000,136937,203601,9613585,20889671,13933817,66664,2635622
144,12,0,first,9,2000,161901,180780,13214931,16435412,14680824,18879,288695
144,6,0,second,9,2000,136588,203403,9577890,20860151,13877292,66815,2683457
144,12,0,first,10,2000,162228,181122,13265546,16495698,14731943,18894,297358
144,6,0,second,10,2000,136313,203235,9534001,20816617,13844836,66922,2660946
144,12,0,first,11,2000,162044,180912,13241772,16466190,14708480,18868,291002
144,6,0,second,11,2000,135958,202812,9478748,20736426,13781433,66854,2652308
144,12,0,first,12,2000,162033,181294,13235779,16528686,14733936,19261,296593
144,6,0,second,12,2000,136304,203338,9535616,20839424,13852922,67034,2669196
144,12,0,first,13,2000,162287,180544,13281331,16397434,14702550,18257,273665
144,6,0,second,13,2000,137247,203377,9674035,20853839,13948267,66130,2631340
144,12,0,first,14,2000,162933,181791,13383561,16625155,14860636,18858,287444
144,6,0,second,14,2000,136162,203614,9521554,20898286,13850446,67452,2718948
144,12,0,first,15,2000,161945,180138,13219667,16319302,14634674,18193,269621
144,6,0,second,15,2000,136653,203604,9601607,20894610,13890375,66951,2715467
144,12,0,first,16,2000,162001,180804,13231755,16437916,14690185,18803,289301
144,6,0,second,16,2000,136160,203592,9515744,20884054,13836994,67432,2725810
144,12,0,first,17,2000,161765,180961,13194721,16465741,14683306,19196,293850
144,6,0,second,17,2000,136592,203714,9585460,20916584,13906134,67122,2689776
144,12,0,first,18,2000,161465,180537,13151361,16400195,14626936,19072,297684
144,6,0,second,18,2000,135997,203973,9490771,20966281,13865073,67976,2726906
144,12,0,first,19,2000,161860,180842,13206088,16446722,14682509,18982,287792
144,6,0,second,19,2000,135717,204120,9456399,21012190,13842665,68403,2783259
144,12,0,first,20,2000,162160,180998,13260124,16477702,14722835,18838,292156
144,6,0,second,20,2000,136754,203584,9600526,20896170,13916576,66830,2663544
144,12,0,first,21,2000,161984,180377,13228316,16363747,14657799,18393,276465
144,6,0,second,21,2000,135840,203732,9478946,20920662,13833772,67892,2732064
144,12,0,first,22,2000,162286,181248,13277012,16527230,14752700,18962,298842
144,6,0,second,22,2000,137321,204100,9675367,21010170,14005528,66779,2674481
144,12,0,first,23,2000,161938,180568,13214198,16403026,14667402,18630,282420
144,6,0,second,23,2000,135142,203617,9381556,20896257,13753628,68475,2770557
144,12,0,first,24,2000,161857,180446,13205539,16376850,14649502,18589,283385
144,6,0,second,24,2000,136324,203450,9541578,20865264,13859721,67126,2687400
144,12,0,first,25,2000,162848,180692,13370706,16422330,14764829,17844,263378
144,6,0,second,25,2000,136281,203911,9546929,20955409,13885708,67630,2730922
144,12,0,first,26,2000,161440,180145,13142592,16327103,14591575,18705,286545
144,6,0,second,26,2000,136349,203005,9547517,20776835,13829884,66656,2664584
144,12,0,first,27,2000,162139,180605,13251439,16404667,14691795,18466,272516
144,6,0,second,27,2000,136855,203001,9596139,20770297,13873357,66146,2619722
144,12,0,first,28,2000,161956,180896,13228642,16461236,14699260,18940,291358
144,6,0,second,28,2000,136269,203891,9530485,20954231,13876437,67622,2731842
144,12,0,first,29,2000,162159,181063,13261097,16490291,14729707,18904,291974
144,6,0,second,29,2000,136708,203996,9604742,20968606,13930279,67288,2712790
144,12,0,first,30,2000,162753,180952,13349375,16473152,14776881,18199,268765
144,6,0,second,30,2000,136753,204136,9597921,21002034,13951532,67383,2696891
144,12,0,first,31,2000,162334,180508,13281080,16385772,14698591,18174,269670
144,6,0,second,31,2000,135400,203720,9410834,20922398,13778477,68320,2776278
144,12,0,first,32,2000,162368,180851,13289038,16453739,14733255,18483,276267
144,6,0,second,32,2000,136193,204501,9525651,21081629,13923365,68308,2760550
144,12,0,first,33,2000,161896,180754,13212500,16442246,14680575,18858,293596
144,6,0,second,33,2000,136256,202509,9519004,20672259,13781893,66253,2627477
144,12,0,first,34,2000,162422,180710,13295418,16419172,14722407,18288,269776
144,6,0,second,34,2000,136105,203912,9523827,20959676,13874382,67807,2734739
144,12,0,first,35,2000,162237,181533,13267635,16577881,14770122,19296,305272
144,6,0,second,35,2000,136032,203818,9491934,20938848,13851443,67786,2727896
144,12,0,first,36,2000,161941,180837,13216747,16446979,14689954,18896,283818
144,6,0,second,36,2000,135735,204289,9462577,21040773,13850072,68554,2803206
144,12,0,first,37,2000,161865,180540,13207231,16398068,14661089,18675,283121
144,6,0,second,37,2000,136949,203291,9623955,20827847,13904471,66342,2642860
144,12,0,first,38,2000,161548,180375,13152626,16365043,14615226,18827,287217
144,6,0,second,38,2000,135968,203578,9499992,20883266,13831833,67610,2719592
144,12,0,first,39,2000,161982,180991,13232484,16473491,14705606,19009,294763
144,6,0,second,39,2000,135699,203745,9450271,20929479,13812965,68046,2753820
144,12,0,first,40,2000,162313,181310,13282335,16532548,14759168,18997,296547
144,6,0,second,40,2000,136367,203831,9535807,20946903,13883669,67464,2715372
144,12,0,first,41,2000,162552,181046,13319756,16481036,14758544,18494,283704
144,6,0,second,41,2000,136780,203231,9598066,20822061,13890878,66451,2638371
144,12,0,first,42,2000,162105,180589,13249087,16407219,14688147,18484,280012
144,6,0,second,42,2000,136160,204656,9518000,21115378,13917824,68496,2797730
144,12,0,first,43,2000,162647,181094,13333395,16492526,14774475,18447,276971
144,6,0,second,43,2000,136768,203230,9594416,20819762,13883839,66462,2646500
144,12,0,first,44,2000,162405,180575,13296585,16399377,14714261,18170,267440
144,6,0,second,44,2000,136303,202918,9523495,20748704,13819724,66615,2632751
144,12,0,first,45,2000,162498,180484,13310940,16382450,14713193,17986,267004
144,6,0,second,45,2000,137475,203291,9696399,20831391,13962899,65816,2601992
144,12,0,first,46,2000,162569,180731,13320741,16428527,14739260,18162,270748
144,6,0,second,46,2000,136907,202798,9617771,20733192,13873581,65891,2603801
144,12,0,first,47,2000,162170,181029,13259666,16484447,14728004,18859,288105
144,6,0,second,47,2000,135684,203783,9464410,20931205,13808837,68099,2777941
144,12,0,first,48,2000,162365,180653,13286435,16418771,14715026,18288,275154
144,6,0,second,48,2000,135771,203903,9457215,20959081,13831241,68132,2753814
144,12,0,first,49,2000,162008,180878,13226274,16456950,14696246,18870,290732
144,6,0,second,49,2000,135708,203169,9452788,20815503,13774442,67461,2719407
