N,batch_deleted,first_primary,first_iota_pair,first_smith_site_pair,second_primary,second_iota_pair,second_smith_site_pair
325,0,-0.06879254902709332,-0.06879254902709332,-0.0688373707219528,-0.082547980310518,-0.082547980310518,-0.08247309592961878
325,1,-0.0663832687395621,-0.0663832687395621,-0.06641265514623008,-0.08202138624970418,-0.08202138624970418,-0.08194887638003603
325,2,-0.06856075387871671,-0.06856075387871671,-0.06861143074034115,-0.08046722136007381,-0.08046722136007381,-0.08040895658297637
325,3,-0.06506387195041001,-0.06506387195041001,-0.06509044165117026,-0.08209224455351749,-0.08209224455351749,-0.08203330966875934
325,4,-0.06812795017304786,-0.06812795017304786,-0.06816150394886769,-0.0814892314733635,-0.0814892314733635,-0.08142854568551945
325,5,-0.06695974693248553,-0.06695974693248553,-0.06698834706265057,-0.0810712774403168,-0.0810712774403168,-0.08100933083288658
325,6,-0.06660914261975846,-0.06660914261975846,-0.06664980181915987,-0.08135807993910808,-0.08135807993910808,-0.08129810411179009
325,7,-0.06638476969426023,-0.06638476969426023,-0.06642247005441589,-0.08059858639999364,-0.08059858639999364,-0.08054390477169034
325,8,-0.06785033106277845,-0.06785033106277845,-0.06788566860141658,-0.081094954607161,-0.081094954607161,-0.08103156187079223
325,9,-0.06692098827601035,-0.06692098827601035,-0.06695036157467744,-0.0826160671881488,-0.0826160671881488,-0.0825525765050364
325,10,-0.0654595316748782,-0.0654595316748782,-0.06549255126354112,-0.0803151998521217,-0.0803151998521217,-0.080243854282526
325,11,-0.06773021129382246,-0.06773021129382246,-0.0677582114864086,-0.08082044651264879,-0.08082044651264879,-0.08075815525704551
325,12,-0.06529368988477945,-0.06529368988477945,-0.06532313383301248,-0.07879848747337653,-0.07879848747337653,-0.07874647730695805
325,13,-0.06803871588918704,-0.06803871588918704,-0.06807095526443944,-0.08121758187280184,-0.08121758187280184,-0.08115934734565586
325,14,-0.06839845222474485,-0.06839845222474485,-0.0684344245648988,-0.08221713932345764,-0.08221713932345764,-0.0821577030441813
325,15,-0.06764217994973852,-0.06764217994973852,-0.06767585085107417,-0.08045266262611571,-0.08045266262611571,-0.08038490874584607
325,16,-0.06730870930917887,-0.06730870930917887,-0.06734405166831621,-0.0805481351288001,-0.0805481351288001,-0.08048564110818773
325,17,-0.06818616277889639,-0.06818616277889639,-0.0682250788939548,-0.07991444763592617,-0.07991444763592617,-0.07985253893700199
325,18,-0.06777593219651948,-0.06777593219651948,-0.06780347440348702,-0.08063081599621459,-0.08063081599621459,-0.08056773322996104
325,19,-0.06577466271731042,-0.06577466271731042,-0.06577387046730003,-0.07982368318011421,-0.07982368318011421,-0.07976579528662232
325,20,-0.0673099383470218,-0.0673099383470218,-0.06734655723503626,-0.08195560079354232,-0.08195560079354232,-0.08188991939940567
325,21,-0.06654914239221893,-0.06654914239221893,-0.06657989904790565,-0.08223778683526074,-0.08223778683526074,-0.0821722588787363
325,22,-0.06872269037628224,-0.06872269037628224,-0.0687516137292167,-0.08091401542138539,-0.08091401542138539,-0.080861597574259
325,23,-0.06734174152660821,-0.06734174152660821,-0.06737615114838294,-0.08076539994399383,-0.08076539994399383,-0.08070955807130717
325,24,-0.06592453652015637,-0.06592453652015637,-0.06596022412678268,-0.08255909390041982,-0.08255909390041982,-0.08250078113323378
325,25,-0.06644650308241626,-0.06644650308241626,-0.06647974978785096,-0.08163388841164104,-0.08163388841164104,-0.08158134343110429
325,26,-0.06715334414693198,-0.06715334414693198,-0.06718979032896509,-0.08046781593241963,-0.08046781593241963,-0.08041779036977982
325,27,-0.06724747587906299,-0.06724747587906299,-0.06727067945538004,-0.08057982900621768,-0.08057982900621768,-0.08052983277098932
325,28,-0.06685281761949928,-0.06685281761949928,-0.06688786366290163,-0.0806395236066309,-0.0806395236066309,-0.08057123537015168
325,29,-0.06719830234433631,-0.06719830234433631,-0.06723430363915035,-0.0817044658561226,-0.0817044658561226,-0.08164432903724661
325,30,-0.0656225730001053,-0.0656225730001053,-0.06565299547358373,-0.08212105036791018,-0.08212105036791018,-0.08206161360595701
325,31,-0.06847094439930447,-0.06847094439930447,-0.06850004864814273,-0.08057368848780987,-0.08057368848780987,-0.08050216131716738
325,32,-0.06660091682102312,-0.06660091682102312,-0.06663482695988616,-0.08088142615819477,-0.08088142615819477,-0.0808195650295276
325,33,-0.06767296601038354,-0.06767296601038354,-0.06770195253473688,-0.08218138676907993,-0.08218138676907993,-0.08212178267367308
325,34,-0.06630633771962181,-0.06630633771962181,-0.06633681455836986,-0.0819464682043412,-0.0819464682043412,-0.0818866540882357
325,35,-0.06801550685534015,-0.06801550685534015,-0.0680544036711047,-0.08173956480957398,-0.08173956480957398,-0.08167333456493957
325,36,-0.06885326460533721,-0.06885326460533721,-0.06888535658818457,-0.08028254383555546,-0.08028254383555546,-0.0802211467857878
325,37,-0.06590333181917091,-0.06590333181917091,-0.065944387481897,-0.07986426323672172,-0.07986426323672172,-0.07979999068676334
325,38,-0.06743103436655935,-0.06743103436655935,-0.06746496774271694,-0.0799888567543617,-0.0799888567543617,-0.0799357403684576
325,39,-0.06739352560357535,-0.06739352560357535,-0.06743062265558313,-0.0819450146652699,-0.0819450146652699,-0.0818829206547474
325,40,-0.06723975751017763,-0.06723975751017763,-0.06727268392097002,-0.08107762827659466,-0.08107762827659466,-0.08101324483993319
325,41,-0.06608975162398345,-0.06608975162398345,-0.0661020091544407,-0.08054440651438169,-0.08054440651438169,-0.08047770185378808
325,42,-0.06683671895639506,-0.06683671895639506,-0.06687065932015192,-0.08314663381992886,-0.08314663381992886,-0.0830871360509902
325,43,-0.06713171648114143,-0.06713171648114143,-0.06716975180789508,-0.08158129458332192,-0.08158129458332192,-0.08151901941578768
325,44,-0.06886236980810141,-0.06886236980810141,-0.0688996033164483,-0.08107775840907508,-0.08107775840907508,-0.08102550006955171
325,45,-0.06596864089194251,-0.06596864089194251,-0.06599847383502562,-0.08134306616630986,-0.08134306616630986,-0.08127872103294616
325,46,-0.06737544683515842,-0.06737544683515842,-0.06741067671847864,-0.08255218641041864,-0.08255218641041864,-0.08248577980324195
325,47,-0.06778281793451411,-0.06778281793451411,-0.06780937363764661,-0.08101662474742174,-0.08101662474742174,-0.08095154508466332
325,48,-0.06648734690630421,-0.06648734690630421,-0.06652507312669415,-0.08233812364312028,-0.08233812364312028,-0.08228181724497133
325,49,-0.06712843995146787,-0.06712843995146787,-0.06716191817660426,-0.08141429862201945,-0.08141429862201945,-0.08135652020144135
325,50,-0.06682631654157012,-0.06682631654157012,-0.06686278092567192,-0.08248335488092938,-0.08248335488092938,-0.08243315604708323
325,51,-0.06630292426710677,-0.06630292426710677,-0.06633964753934912,-0.08201329209356682,-0.08201329209356682,-0.08195989517993872
325,52,-0.06736731776561158,-0.06736731776561158,-0.06739924500901659,-0.08260410826285396,-0.08260410826285396,-0.08253793440886356
325,53,-0.0680345150138113,-0.0680345150138113,-0.06806911175413985,-0.08234235120096879,-0.08234235120096879,-0.0822763247321424
325,54,-0.06896233627531648,-0.06896233627531648,-0.06899737093343762,-0.08167342851226292,-0.08167342851226292,-0.08161745216853729
325,55,-0.06747335712652294,-0.06747335712652294,-0.06750992470398681,-0.08291176648441638,-0.08291176648441638,-0.08285637826740279
325,56,-0.06775326856416071,-0.06775326856416071,-0.06778921452988057,-0.08183587886829377,-0.08183587886829377,-0.08177731895437497
325,57,-0.06679758072708801,-0.06679758072708801,-0.06683118083212379,-0.0818856913654809,-0.0818856913654809,-0.08183198521638388
325,58,-0.06869615883919605,-0.06869615883919605,-0.06872833180303636,-0.08079534811867714,-0.08079534811867714,-0.08074024689929216
325,59,-0.06686549655292233,-0.06686549655292233,-0.06689241900179044,-0.08145870010761525,-0.08145870010761525,-0.0813967966455039
325,60,-0.06764613286580688,-0.06764613286580688,-0.06767669180567296,-0.08094261290088987,-0.08094261290088987,-0.08089155505939492
325,61,-0.06685601401291377,-0.06685601401291377,-0.06689473015783007,-0.08054576606495696,-0.08054576606495696,-0.08048927003187709
