n,a,b,orientation,batch,samples,kind,k,count
65,8,1,first,0,1000,minus,24,2
65,8,1,first,0,1000,minus,25,1
65,8,1,first,0,1000,minus,26,6
65,8,1,first,0,1000,minus,27,11
65,8,1,first,0,1000,minus,28,12
65,8,1,first,0,1000,minus,29,16
65,8,1,first,0,1000,plus,29,1
65,8,1,first,0,1000,minus,30,25
65,8,1,first,0,1000,minus,31,31
65,8,1,first,0,1000,plus,31,2
65,8,1,first,0,1000,minus,32,58
65,8,1,first,0,1000,plus,32,2
65,8,1,first,0,1000,minus,33,56
65,8,1,first,0,1000,plus,33,6
65,8,1,first,0,1000,minus,34,90
65,8,1,first,0,1000,plus,34,11
65,8,1,first,0,1000,minus,35,88
65,8,1,first,0,1000,plus,35,23
65,8,1,first,0,1000,minus,36,100
65,8,1,first,0,1000,plus,36,23
65,8,1,first,0,1000,minus,37,114
65,8,1,first,0,1000,plus,37,49
65,8,1,first,0,1000,minus,38,99
65,8,1,first,0,1000,plus,38,54
65,8,1,first,0,1000,minus,39,82
65,8,1,first,0,1000,plus,39,68
65,8,1,first,0,1000,minus,40,75
65,8,1,first,0,1000,plus,40,121
65,8,1,first,0,1000,minus,41,56
65,8,1,first,0,1000,plus,41,129
65,8,1,first,0,1000,minus,42,30
65,8,1,first,0,1000,plus,42,89
65,8,1,first,0,1000,minus,43,31
65,8,1,first,0,1000,plus,43,107
65,8,1,first,0,1000,minus,44,10
65,8,1,first,0,1000,plus,44,81
65,8,1,first,0,1000,minus,45,1
65,8,1,first,0,1000,plus,45,72
65,8,1,first,0,1000,minus,46,6
65,8,1,first,0,1000,plus,46,54
65,8,1,first,0,1000,plus,47,46
65,8,1,first,0,1000,plus,48,17
65,8,1,first,0,1000,plus,49,17
65,8,1,first,0,1000,plus,50,19
65,8,1,first,0,1000,plus,51,3
65,8,1,first,0,1000,plus,52,3
65,8,1,first,0,1000,plus,53,3
65,7,4,second,0,1000,minus,21,1
65,7,4,second,0,1000,minus,22,1
65,7,4,second,0,1000,minus,23,1
65,7,4,second,0,1000,minus,24,2
65,7,4,second,0,1000,minus,25,3
65,7,4,second,0,1000,minus,26,7
65,7,4,second,0,1000,minus,27,9
65,7,4,second,0,1000,minus,28,14
65,7,4,second,0,1000,plus,28,1
65,7,4,second,0,1000,minus,29,22
65,7,4,second,0,1000,minus,30,31
65,7,4,second,0,1000,plus,30,1
65,7,4,second,0,1000,minus,31,28
65,7,4,second,0,1000,minus,32,43
65,7,4,second,0,1000,plus,32,3
65,7,4,second,0,1000,minus,33,56
65,7,4,second,0,1000,plus,33,5
65,7,4,second,0,1000,minus,34,76
65,7,4,second,0,1000,plus,34,12
65,7,4,second,0,1000,minus,35,96
65,7,4,second,0,1000,plus,35,22
65,7,4,second,0,1000,minus,36,87
65,7,4,second,0,1000,plus,36,42
65,7,4,second,0,1000,minus,37,101
65,7,4,second,0,1000,plus,37,40
65,7,4,second,0,1000,minus,38,108
65,7,4,second,0,1000,plus,38,67
65,7,4,second,0,1000,minus,39,104
65,7,4,second,0,1000,plus,39,84
65,7,4,second,0,1000,minus,40,72
65,7,4,second,0,1000,plus,40,92
65,7,4,second,0,1000,minus,41,48
65,7,4,second,0,1000,plus,41,132
65,7,4,second,0,1000,minus,42,38
65,7,4,second,0,1000,plus,42,99
65,7,4,second,0,1000,minus,43,29
65,7,4,second,0,1000,plus,43,97
65,7,4,second,0,1000,minus,44,13
65,7,4,second,0,1000,plus,44,89
65,7,4,second,0,1000,minus,45,7
65,7,4,second,0,1000,plus,45,66
65,7,4,second,0,1000,minus,46,1
65,7,4,second,0,1000,plus,46,53
65,7,4,second,0,1000,minus,47,1
65,7,4,second,0,1000,plus,47,35
65,7,4,second,0,1000,plus,48,20
65,7,4,second,0,1000,minus,49,1
65,7,4,second,0,1000,plus,49,19
65,7,4,second,0,1000,plus,50,10
65,7,4,second,0,1000,plus,51,4
65,7,4,second,0,1000,plus,52,3
65,7,4,second,0,1000,plus,53,3
65,7,4,second,0,1000,plus,54,1
65,8,1,first,1,1000,minus,22,1
65,8,1,first,1,1000,minus,23,1
65,8,1,first,1,1000,minus,24,6
65,8,1,first,1,1000,minus,25,3
65,8,1,first,1,1000,minus,26,8
65,8,1,first,1,1000,minus,27,13
65,8,1,first,1,1000,minus,28,14
65,8,1,first,1,1000,minus,29,24
65,8,1,first,1,1000,plus,29,1
65,8,1,first,1,1000,minus,30,20
65,8,1,first,1,1000,plus,30,1
65,8,1,first,1,1000,minus,31,36
65,8,1,first,1,1000,plus,31,3
65,8,1,first,1,1000,minus,32,51
65,8,1,first,1,1000,plus,32,4
65,8,1,first,1,1000,minus,33,73
65,8,1,first,1,1000,plus,33,8
65,8,1,first,1,1000,minus,34,83
65,8,1,first,1,1000,plus,34,12
65,8,1,first,1,1000,minus,35,80
65,8,1,first,1,1000,plus,35,24
65,8,1,first,1,1000,minus,36,109
65,8,1,first,1,1000,plus,36,31
65,8,1,first,1,1000,minus,37,110
65,8,1,first,1,1000,plus,37,54
65,8,1,first,1,1000,minus,38,87
65,8,1,first,1,1000,plus,38,66
65,8,1,first,1,1000,minus,39,87
65,8,1,first,1,1000,plus,39,73
65,8,1,first,1,1000,minus,40,64
65,8,1,first,1,1000,plus,40,101
65,8,1,first,1,1000,minus,41,43
65,8,1,first,1,1000,plus,41,98
65,8,1,first,1,1000,minus,42,39
65,8,1,first,1,1000,plus,42,95
65,8,1,first,1,1000,minus,43,23
65,8,1,first,1,1000,plus,43,119
65,8,1,first,1,1000,minus,44,17
65,8,1,first,1,1000,plus,44,80
65,8,1,first,1,1000,minus,45,6
65,8,1,first,1,1000,plus,45,75
65,8,1,first,1,1000,minus,46,2
65,8,1,first,1,1000,plus,46,48
65,8,1,first,1,1000,plus,47,39
65,8,1,first,1,1000,plus,48,31
65,8,1,first,1,1000,plus,49,13
65,8,1,first,1,1000,plus,50,8
65,8,1,first,1,1000,plus,51,7
65,8,1,first,1,1000,plus,52,7
65,8,1,first,1,1000,plus,53,2
65,7,4,second,1,1000,minus,23,3
65,7,4,second,1,1000,minus,24,4
65,7,4,second,1,1000,minus,25,5
65,7,4,second,1,1000,minus,26,6
65,7,4,second,1,1000,minus,27,9
65,7,4,second,1,1000,plus,27,1
65,7,4,second,1,1000,minus,28,12
65,7,4,second,1,1000,minus,29,20
65,7,4,second,1,1000,plus,29,2
65,7,4,second,1,1000,minus,30,26
65,7,4,second,1,1000,minus,31,58
65,7,4,second,1,1000,plus,31,2
65,7,4,second,1,1000,minus,32,48
65,7,4,second,1,1000,plus,32,2
65,7,4,second,1,1000,minus,33,83
65,7,4,second,1,1000,plus,33,8
65,7,4,second,1,1000,minus,34,66
65,7,4,second,1,1000,plus,34,15
65,7,4,second,1,1000,minus,35,91
65,7,4,second,1,1000,plus,35,27
65,7,4,second,1,1000,minus,36,97
65,7,4,second,1,1000,plus,36,30
65,7,4,second,1,1000,minus,37,110
65,7,4,second,1,1000,plus,37,54
65,7,4,second,1,1000,minus,38,93
65,7,4,second,1,1000,plus,38,82
65,7,4,second,1,1000,minus,39,77
65,7,4,second,1,1000,plus,39,94
65,7,4,second,1,1000,minus,40,74
65,7,4,second,1,1000,plus,40,87
65,7,4,second,1,1000,minus,41,38
65,7,4,second,1,1000,plus,41,108
65,7,4,second,1,1000,minus,42,39
65,7,4,second,1,1000,plus,42,103
65,7,4,second,1,1000,minus,43,24
65,7,4,second,1,1000,plus,43,93
65,7,4,second,1,1000,minus,44,12
65,7,4,second,1,1000,plus,44,80
65,7,4,second,1,1000,minus,45,4
65,7,4,second,1,1000,plus,45,67
65,7,4,second,1,1000,minus,46,1
65,7,4,second,1,1000,plus,46,52
65,7,4,second,1,1000,plus,47,38
65,7,4,second,1,1000,plus,48,14
65,7,4,second,1,1000,plus,49,16
65,7,4,second,1,1000,plus,50,13
65,7,4,second,1,1000,plus,51,5
65,7,4,second,1,1000,plus,52,3
65,7,4,second,1,1000,plus,53,4
65,8,1,first,2,1000,minus,20,2
65,8,1,first,2,1000,minus,21,1
65,8,1,first,2,1000,minus,22,4
65,8,1,first,2,1000,minus,23,3
65,8,1,first,2,1000,minus,24,5
65,8,1,first,2,1000,minus,25,5
65,8,1,first,2,1000,minus,26,7
65,8,1,first,2,1000,minus,27,15
65,8,1,first,2,1000,minus,28,15
65,8,1,first,2,1000,plus,28,1
65,8,1,first,2,1000,minus,29,24
65,8,1,first,2,1000,plus,29,1
65,8,1,first,2,1000,minus,30,28
65,8,1,first,2,1000,plus,30,1
65,8,1,first,2,1000,minus,31,49
65,8,1,first,2,1000,plus,31,3
65,8,1,first,2,1000,minus,32,51
65,8,1,first,2,1000,plus,32,5
65,8,1,first,2,1000,minus,33,68
65,8,1,first,2,1000,plus,33,14
65,8,1,first,2,1000,minus,34,83
65,8,1,first,2,1000,plus,34,11
65,8,1,first,2,1000,minus,35,86
65,8,1,first,2,1000,plus,35,12
65,8,1,first,2,1000,minus,36,106
65,8,1,first,2,1000,plus,36,36
65,8,1,first,2,1000,minus,37,80
65,8,1,first,2,1000,plus,37,50
65,8,1,first,2,1000,minus,38,90
65,8,1,first,2,1000,plus,38,76
65,8,1,first,2,1000,minus,39,75
65,8,1,first,2,1000,plus,39,90
65,8,1,first,2,1000,minus,40,72
65,8,1,first,2,1000,plus,40,85
65,8,1,first,2,1000,minus,41,55
65,8,1,first,2,1000,plus,41,99
65,8,1,first,2,1000,minus,42,31
65,8,1,first,2,1000,plus,42,110
