n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,1000,36309,41862,1333023,1766138,1525611,5553,47939
65,7,4,second,0,1000,36359,41665,1338299,1749783,1521376,5306,45330
65,8,1,first,1,1000,36043,41714,1315763,1754956,1510398,5671,49923
65,7,4,second,1,1000,35928,41465,1306918,1734147,1496451,5537,48163
65,8,1,first,2,1000,35751,41626,1296915,1747984,1494811,5875,55277
65,7,4,second,2,1000,36048,41894,1314738,1771690,1516129,5846,54170
65,8,1,first,3,1000,36233,41688,1330527,1752812,1518009,5455,47321
65,7,4,second,3,1000,36325,41719,1336703,1754789,1522392,5394,46708
65,8,1,first,4,1000,36245,41674,1330575,1751588,1517394,5429,47375
65,7,4,second,4,1000,36450,41862,1345554,1767308,1533189,5412,46484
65,8,1,first,5,1000,36147,41659,1324071,1750443,1513223,5512,48068
65,7,4,second,5,1000,36216,41838,1328166,1765300,1521494,5622,50478
65,8,1,first,6,1000,35956,41875,1311408,1767785,1512464,5919,54265
65,7,4,second,6,1000,36207,41876,1328051,1768308,1522650,5669,51059
65,8,1,first,7,1000,36244,41697,1328798,1752765,1517378,5453,46807
65,7,4,second,7,1000,36140,41643,1321900,1749305,1511276,5503,48653
65,8,1,first,8,1000,36314,41611,1335108,1746027,1518568,5297,43999
65,7,4,second,8,1000,36288,41850,1333496,1765938,1525597,5562,48240
65,8,1,first,9,1000,36149,41660,1324661,1749752,1513270,5511,47873
65,7,4,second,9,1000,36238,41815,1329226,1763341,1522085,5577,48397
65,8,1,first,10,1000,36222,41861,1330096,1767293,1523931,5639,49527
65,7,4,second,10,1000,36278,41816,1333524,1764032,1524158,5538,49240
65,8,1,first,11,1000,36198,41673,1326970,1751495,1515703,5475,47059
65,7,4,second,11,1000,36130,41718,1322110,1754598,1513788,5588,49132
65,8,1,first,12,1000,36101,41623,1322119,1748321,1510952,5522,48536
65,7,4,second,12,1000,36243,41800,1329279,1762200,1521220,5557,49039
65,8,1,first,13,1000,36121,41904,1322747,1771508,1520487,5783,53281
65,7,4,second,13,1000,36260,42059,1330046,1784175,1530762,5799,52697
65,8,1,first,14,1000,36185,41625,1326067,1746879,1512952,5440,47042
65,7,4,second,14,1000,35993,41716,1312329,1756538,1508562,5723,51743
65,8,1,first,15,1000,35976,41593,1310542,1744831,1502558,5617,50257
65,7,4,second,15,1000,36168,41621,1323866,1746899,1512667,5453,45431
65,8,1,first,16,1000,35980,41445,1311912,1732031,1497995,5465,47953
65,7,4,second,16,1000,36142,41708,1322038,1755232,1513491,5566,50288
65,8,1,first,17,1000,36168,41997,1326412,1778681,1525454,5829,54185
65,7,4,second,17,1000,36501,41890,1348565,1768420,1535655,5389,45675
65,8,1,first,18,1000,36009,41616,1314917,1747262,1506138,5607,49903
65,7,4,second,18,1000,36098,41822,1321130,1764026,1517051,5724,51054
65,8,1,first,19,1000,36302,41836,1334034,1764276,1525400,5534,47510
65,7,4,second,19,1000,36328,41785,1335288,1760137,1524411,5457,46603
