size,N,batch,first_direct_count,first_samples,first_D,second_direct_count,second_samples,second_D
N85,85,0,191,10000,0.0191,144,10000,0.0144
N85,85,1,146,10000,0.0146,148,10000,0.0148
N85,85,2,158,10000,0.0158,143,10000,0.0143
N85,85,3,160,10000,0.016,149,10000,0.0149
N85,85,4,126,10000,0.0126,125,10000,0.0125
N85,85,5,185,10000,0.0185,146,10000,0.0146
N85,85,6,144,10000,0.0144,169,10000,0.0169
N85,85,7,170,10000,0.017,166,10000,0.0166
N85,85,8,156,10000,0.0156,145,10000,0.0145
N85,85,9,168,10000,0.0168,163,10000,0.0163
N85,85,10,173,10000,0.0173,155,10000,0.0155
N85,85,11,150,10000,0.015,158,10000,0.0158
N85,85,12,141,10000,0.0141,165,10000,0.0165
N85,85,13,138,10000,0.0138,131,10000,0.0131
N85,85,14,160,10000,0.016,160,10000,0.016
N85,85,15,159,10000,0.0159,158,10000,0.0158
N85,85,16,153,10000,0.0153,162,10000,0.0162
N85,85,17,144,10000,0.0144,159,10000,0.0159
N85,85,18,145,10000,0.0145,144,10000,0.0144
N85,85,19,158,10000,0.0158,162,10000,0.0162
N170,170,0,874,100000,0.00874,869,100000,0.00869
N170,170,1,887,100000,0.00887,891,100000,0.00891
N170,170,2,894,100000,0.00894,837,100000,0.00837
N170,170,3,885,100000,0.00885,862,100000,0.00862
N170,170,4,890,100000,0.0089,807,100000,0.00807
N170,170,5,806,100000,0.00806,828,100000,0.00828
N170,170,6,830,100000,0.0083,813,100000,0.00813
N170,170,7,864,100000,0.00864,861,100000,0.00861
N170,170,8,821,100000,0.00821,860,100000,0.0086
N170,170,9,882,100000,0.00882,836,100000,0.00836
N170,170,10,852,100000,0.00852,862,100000,0.00862
N170,170,11,823,100000,0.00823,845,100000,0.00845
N170,170,12,896,100000,0.00896,817,100000,0.00817
N170,170,13,899,100000,0.00899,859,100000,0.00859
N170,170,14,899,100000,0.00899,830,100000,0.0083
N170,170,15,888,100000,0.00888,838,100000,0.00838
N170,170,16,877,100000,0.00877,880,100000,0.0088
N170,170,17,849,100000,0.00849,854,100000,0.00854
N170,170,18,858,100000,0.00858,835,100000,0.00835
N170,170,19,809,100000,0.00809,852,100000,0.00852
N170,170,20,834,100000,0.00834,899,100000,0.00899
N170,170,21,862,100000,0.00862,829,100000,0.00829
N170,170,22,791,100000,0.00791,807,100000,0.00807
N170,170,23,841,100000,0.00841,879,100000,0.00879
N170,170,24,801,100000,0.00801,926,100000,0.00926
N170,170,25,882,100000,0.00882,822,100000,0.00822
N170,170,26,822,100000,0.00822,823,100000,0.00823
N170,170,27,823,100000,0.00823,844,100000,0.00844
N170,170,28,872,100000,0.00872,847,100000,0.00847
N170,170,29,841,100000,0.00841,840,100000,0.0084
N170,170,30,814,100000,0.00814,834,100000,0.00834
N170,170,31,853,100000,0.00853,901,100000,0.00901
N170,170,32,832,100000,0.00832,826,100000,0.00826
N170,170,33,852,100000,0.00852,833,100000,0.00833
N170,170,34,850,100000,0.0085,813,100000,0.00813
N170,170,35,818,100000,0.00818,780,100000,0.0078
N170,170,36,863,100000,0.00863,831,100000,0.00831
N170,170,37,836,100000,0.00836,855,100000,0.00855
N170,170,38,847,100000,0.00847,882,100000,0.00882
N170,170,39,905,100000,0.00905,889,100000,0.00889
N170,170,40,848,100000,0.00848,831,100000,0.00831
N170,170,41,867,100000,0.00867,792,100000,0.00792
N170,170,42,859,100000,0.00859,866,100000,0.00866
N170,170,43,922,100000,0.00922,834,100000,0.00834
N170,170,44,899,100000,0.00899,792,100000,0.00792
N170,170,45,866,100000,0.00866,830,100000,0.0083
N170,170,46,866,100000,0.00866,841,100000,0.00841
N170,170,47,831,100000,0.00831,880,100000,0.0088
N170,170,48,815,100000,0.00815,871,100000,0.00871
N170,170,49,823,100000,0.00823,923,100000,0.00923
N170,170,50,806,100000,0.00806,862,100000,0.00862
N170,170,51,838,100000,0.00838,855,100000,0.00855
N170,170,52,810,100000,0.0081,870,100000,0.0087
