n,a,b,orientation,batch,samples,tau1,tau2,kind,ell_x,ell_y,count
65,8,1,first,0,500,16,38,LINE,1,0,1
65,8,1,first,0,500,22,34,LINE,1,0,1
65,8,1,first,0,500,23,47,LINE,1,0,1
65,8,1,first,0,500,24,41,LINE,0,1,1
65,8,1,first,0,500,24,41,LINE,1,0,1
65,8,1,first,0,500,24,45,LINE,0,1,1
65,8,1,first,0,500,25,38,LINE,0,1,1
65,8,1,first,0,500,25,40,LINE,1,0,1
65,8,1,first,0,500,25,43,LINE,0,1,1
65,8,1,first,0,500,25,52,LINE,1,0,1
65,8,1,first,0,500,26,37,LINE,1,0,1
65,8,1,first,0,500,26,40,LINE,0,1,1
65,8,1,first,0,500,27,33,LINE,0,1,1
65,8,1,first,0,500,27,40,LINE,0,1,1
65,8,1,first,0,500,27,42,LINE,1,0,1
65,8,1,first,0,500,27,43,LINE,0,1,1
65,8,1,first,0,500,27,47,LINE,0,1,1
65,8,1,first,0,500,27,52,LINE,0,1,1
65,8,1,first,0,500,28,34,LINE,0,1,1
65,8,1,first,0,500,28,38,LINE,0,1,2
65,8,1,first,0,500,28,38,LINE,1,0,1
65,8,1,first,0,500,28,39,LINE,0,1,1
65,8,1,first,0,500,28,40,LINE,0,1,1
65,8,1,first,0,500,28,41,LINE,0,1,1
65,8,1,first,0,500,28,41,LINE,1,0,1
65,8,1,first,0,500,28,42,LINE,1,0,2
65,8,1,first,0,500,28,44,LINE,0,1,1
65,8,1,first,0,500,29,32,LINE,0,1,1
65,8,1,first,0,500,29,39,LINE,0,1,1
65,8,1,first,0,500,29,39,LINE,1,0,1
65,8,1,first,0,500,29,40,LINE,1,0,1
65,8,1,first,0,500,29,44,LINE,1,0,3
65,8,1,first,0,500,29,45,LINE,1,0,1
65,8,1,first,0,500,29,46,LINE,1,0,3
65,8,1,first,0,500,29,47,LINE,0,1,1
65,8,1,first,0,500,30,34,LINE,1,0,1
65,8,1,first,0,500,30,34,LINE,1,1,1
65,8,1,first,0,500,30,36,LINE,0,1,1
65,8,1,first,0,500,30,37,LINE,1,1,1
65,8,1,first,0,500,30,38,LINE,0,1,1
65,8,1,first,0,500,30,40,LINE,0,1,1
65,8,1,first,0,500,30,40,LINE,1,0,1
65,8,1,first,0,500,30,41,LINE,0,1,2
65,8,1,first,0,500,30,43,LINE,0,1,1
65,8,1,first,0,500,30,45,LINE,0,1,2
