n,a,b,orientation,batch,samples,kind,k,count
65,8,1,first,0,500,minus,16,1
65,8,1,first,0,500,minus,22,1
65,8,1,first,0,500,minus,23,1
65,8,1,first,0,500,minus,24,3
65,8,1,first,0,500,minus,25,4
65,8,1,first,0,500,minus,26,2
65,8,1,first,0,500,minus,27,6
65,8,1,first,0,500,minus,28,11
65,8,1,first,0,500,minus,29,12
65,8,1,first,0,500,minus,30,16
65,8,1,first,0,500,minus,31,20
65,8,1,first,0,500,minus,32,24
65,8,1,first,0,500,plus,32,2
65,8,1,first,0,500,minus,33,30
65,8,1,first,0,500,plus,33,3
65,8,1,first,0,500,minus,34,45
65,8,1,first,0,500,plus,34,6
65,8,1,first,0,500,minus,35,43
65,8,1,first,0,500,plus,35,7
65,8,1,first,0,500,minus,36,51
65,8,1,first,0,500,plus,36,16
65,8,1,first,0,500,minus,37,49
65,8,1,first,0,500,plus,37,26
65,8,1,first,0,500,minus,38,43
65,8,1,first,0,500,plus,38,45
65,8,1,first,0,500,minus,39,34
65,8,1,first,0,500,plus,39,34
65,8,1,first,0,500,minus,40,39
65,8,1,first,0,500,plus,40,55
65,8,1,first,0,500,minus,41,25
65,8,1,first,0,500,plus,41,58
65,8,1,first,0,500,minus,42,16
65,8,1,first,0,500,plus,42,47
65,8,1,first,0,500,minus,43,10
65,8,1,first,0,500,plus,43,41
65,8,1,first,0,500,minus,44,9
65,8,1,first,0,500,plus,44,45
65,8,1,first,0,500,minus,45,5
65,8,1,first,0,500,plus,45,30
65,8,1,first,0,500,plus,46,28
65,8,1,first,0,500,plus,47,22
65,8,1,first,0,500,plus,48,15
65,8,1,first,0,500,plus,49,6
65,8,1,first,0,500,plus,50,7
65,8,1,first,0,500,plus,51,2
65,8,1,first,0,500,plus,52,5
65,8,1,second,0,500,minus,16,1
65,8,1,second,0,500,minus,22,1
65,8,1,second,0,500,minus,23,1
65,8,1,second,0,500,minus,24,3
65,8,1,second,0,500,minus,25,4
65,8,1,second,0,500,minus,26,2
65,8,1,second,0,500,minus,27,6
65,8,1,second,0,500,minus,28,11
65,8,1,second,0,500,minus,29,12
65,8,1,second,0,500,minus,30,16
65,8,1,second,0,500,minus,31,20
65,8,1,second,0,500,minus,32,24
65,8,1,second,0,500,plus,32,2
65,8,1,second,0,500,minus,33,30
65,8,1,second,0,500,plus,33,3
65,8,1,second,0,500,minus,34,45
65,8,1,second,0,500,plus,34,6
65,8,1,second,0,500,minus,35,43
65,8,1,second,0,500,plus,35,7
65,8,1,second,0,500,minus,36,51
65,8,1,second,0,500,plus,36,16
65,8,1,second,0,500,minus,37,49
65,8,1,second,0,500,plus,37,26
65,8,1,second,0,500,minus,38,43
65,8,1,second,0,500,plus,38,45
65,8,1,second,0,500,minus,39,34
65,8,1,second,0,500,plus,39,34
65,8,1,second,0,500,minus,40,39
65,8,1,second,0,500,plus,40,55
65,8,1,second,0,500,minus,41,25
65,8,1,second,0,500,plus,41,58
65,8,1,second,0,500,minus,42,16
65,8,1,second,0,500,plus,42,47
65,8,1,second,0,500,minus,43,10
65,8,1,second,0,500,plus,43,41
65,8,1,second,0,500,minus,44,9
65,8,1,second,0,500,plus,44,45
65,8,1,second,0,500,minus,45,5
65,8,1,second,0,500,plus,45,30
65,8,1,second,0,500,plus,46,28
65,8,1,second,0,500,plus,47,22
65,8,1,second,0,500,plus,48,15
65,8,1,second,0,500,plus,49,6
65,8,1,second,0,500,plus,50,7
65,8,1,second,0,500,plus,51,2
65,8,1,second,0,500,plus,52,5
65,8,1,first,1,500,minus,20,1
65,8,1,first,1,500,minus,22,1
65,8,1,first,1,500,minus,23,2
65,8,1,first,1,500,minus,24,1
65,8,1,first,1,500,minus,25,1
65,8,1,first,1,500,minus,26,5
65,8,1,first,1,500,minus,27,3
65,8,1,first,1,500,minus,28,10
65,8,1,first,1,500,minus,29,16
65,8,1,first,1,500,minus,30,19
65,8,1,first,1,500,plus,30,1
65,8,1,first,1,500,minus,31,15
65,8,1,first,1,500,minus,32,22
65,8,1,first,1,500,plus,32,1
65,8,1,first,1,500,minus,33,32
65,8,1,first,1,500,plus,33,2
65,8,1,first,1,500,minus,34,34
65,8,1,first,1,500,plus,34,9
65,8,1,first,1,500,minus,35,46
65,8,1,first,1,500,plus,35,10
65,8,1,first,1,500,minus,36,37
65,8,1,first,1,500,plus,36,16
65,8,1,first,1,500,minus,37,48
65,8,1,first,1,500,plus,37,15
65,8,1,first,1,500,minus,38,51
65,8,1,first,1,500,plus,38,33
65,8,1,first,1,500,minus,39,50
65,8,1,first,1,500,plus,39,33
65,8,1,first,1,500,minus,40,37
65,8,1,first,1,500,plus,40,43
65,8,1,first,1,500,minus,41,30
65,8,1,first,1,500,plus,41,60
65,8,1,first,1,500,minus,42,22
65,8,1,first,1,500,plus,42,59
65,8,1,first,1,500,minus,43,10
65,8,1,first,1,500,plus,43,50
65,8,1,first,1,500,minus,44,3
65,8,1,first,1,500,plus,44,45
65,8,1,first,1,500,minus,45,2
65,8,1,first,1,500,plus,45,43
65,8,1,first,1,500,minus,46,1
65,8,1,first,1,500,plus,46,20
65,8,1,first,1,500,plus,47,18
65,8,1,first,1,500,minus,48,1
65,8,1,first,1,500,plus,48,16
65,8,1,first,1,500,plus,49,10
65,8,1,first,1,500,plus,50,7
65,8,1,first,1,500,plus,51,5
65,8,1,first,1,500,plus,53,3
65,8,1,first,1,500,plus,54,1
65,8,1,second,1,500,minus,20,1
65,8,1,second,1,500,minus,22,1
65,8,1,second,1,500,minus,23,2
65,8,1,second,1,500,minus,24,1
65,8,1,second,1,500,minus,25,1
65,8,1,second,1,500,minus,26,5
65,8,1,second,1,500,minus,27,3
65,8,1,second,1,500,minus,28,10
65,8,1,second,1,500,minus,29,16
65,8,1,second,1,500,minus,30,19
65,8,1,second,1,500,plus,30,1
65,8,1,second,1,500,minus,31,15
65,8,1,second,1,500,minus,32,22
65,8,1,second,1,500,plus,32,1
65,8,1,second,1,500,minus,33,32
65,8,1,second,1,500,plus,33,2
65,8,1,second,1,500,minus,34,34
65,8,1,second,1,500,plus,34,9
65,8,1,second,1,500,minus,35,46
65,8,1,second,1,500,plus,35,10
65,8,1,second,1,500,minus,36,37
65,8,1,second,1,500,plus,36,16
65,8,1,second,1,500,minus,37,48
65,8,1,second,1,500,plus,37,15
65,8,1,second,1,500,minus,38,51
65,8,1,second,1,500,plus,38,33
65,8,1,second,1,500,minus,39,50
65,8,1,second,1,500,plus,39,33
65,8,1,second,1,500,minus,40,37
65,8,1,second,1,500,plus,40,43
65,8,1,second,1,500,minus,41,30
65,8,1,second,1,500,plus,41,60
65,8,1,second,1,500,minus,42,22
65,8,1,second,1,500,plus,42,59
65,8,1,second,1,500,minus,43,10
65,8,1,second,1,500,plus,43,50
65,8,1,second,1,500,minus,44,3
65,8,1,second,1,500,plus,44,45
65,8,1,second,1,500,minus,45,2
65,8,1,second,1,500,plus,45,43
65,8,1,second,1,500,minus,46,1
65,8,1,second,1,500,plus,46,20
65,8,1,second,1,500,plus,47,18
65,8,1,second,1,500,minus,48,1
65,8,1,second,1,500,plus,48,16
65,8,1,second,1,500,plus,49,10
65,8,1,second,1,500,plus,50,7
65,8,1,second,1,500,plus,51,5
65,8,1,second,1,500,plus,53,3
65,8,1,second,1,500,plus,54,1
65,8,1,first,2,500,minus,20,1
65,8,1,first,2,500,minus,22,1
65,8,1,first,2,500,minus,23,1
65,8,1,first,2,500,minus,25,1
65,8,1,first,2,500,minus,26,1
65,8,1,first,2,500,minus,27,5
65,8,1,first,2,500,minus,28,9
65,8,1,first,2,500,minus,29,13
65,8,1,first,2,500,plus,29,1
65,8,1,first,2,500,minus,30,9
65,8,1,first,2,500,minus,31,17
65,8,1,first,2,500,plus,31,1
65,8,1,first,2,500,minus,32,24
65,8,1,first,2,500,plus,32,2
65,8,1,first,2,500,minus,33,34
65,8,1,first,2,500,plus,33,3
65,8,1,first,2,500,minus,34,36
65,8,1,first,2,500,plus,34,7
65,8,1,first,2,500,minus,35,53
65,8,1,first,2,500,plus,35,11
65,8,1,first,2,500,minus,36,55
65,8,1,first,2,500,plus,36,22
65,8,1,first,2,500,minus,37,49
65,8,1,first,2,500,plus,37,29
65,8,1,first,2,500,minus,38,50
65,8,1,first,2,500,plus,38,38
65,8,1,first,2,500,minus,39,31
65,8,1,first,2,500,plus,39,38
65,8,1,first,2,500,minus,40,44
65,8,1,first,2,500,plus,40,52
65,8,1,first,2,500,minus,41,23
65,8,1,first,2,500,plus,41,61
65,8,1,first,2,500,minus,42,22
65,8,1,first,2,500,plus,42,57
65,8,1,first,2,500,minus,43,10
65,8,1,first,2,500,plus,43,40
65,8,1,first,2,500,minus,44,5
65,8,1,first,2,500,plus,44,32
65,8,1,first,2,500,minus,45,3
65,8,1,first,2,500,plus,45,38
65,8,1,first,2,500,minus,46,2
65,8,1,first,2,500,plus,46,18
65,8,1,first,2,500,minus,47,1
65,8,1,first,2,500,plus,47,19
65,8,1,first,2,500,plus,48,13
65,8,1,first,2,500,plus,49,12
65,8,1,first,2,500,plus,50,2
65,8,1,first,2,500,plus,51,1
65,8,1,first,2,500,plus,52,1
65,8,1,first,2,500,plus,53,2
65,8,1,second,2,500,minus,20,1
65,8,1,second,2,500,minus,22,1
65,8,1,second,2,500,minus,23,1
65,8,1,second,2,500,minus,25,1
65,8,1,second,2,500,minus,26,1
65,8,1,second,2,500,minus,27,5
65,8,1,second,2,500,minus,28,9
65,8,1,second,2,500,minus,29,13
65,8,1,second,2,500,plus,29,1
65,8,1,second,2,500,minus,30,9
65,8,1,second,2,500,minus,31,17
65,8,1,second,2,500,plus,31,1
65,8,1,second,2,500,minus,32,24
65,8,1,second,2,500,plus,32,2
65,8,1,second,2,500,minus,33,34
65,8,1,second,2,500,plus,33,3
65,8,1,second,2,500,minus,34,36
65,8,1,second,2,500,plus,34,7
65,8,1,second,2,500,minus,35,53
65,8,1,second,2,500,plus,35,11
65,8,1,second,2,500,minus,36,55
65,8,1,second,2,500,plus,36,22
65,8,1,second,2,500,minus,37,49
65,8,1,second,2,500,plus,37,29
65,8,1,second,2,500,minus,38,50
65,8,1,second,2,500,plus,38,38
65,8,1,second,2,500,minus,39,31
65,8,1,second,2,500,plus,39,38
65,8,1,second,2,500,minus,40,44
65,8,1,second,2,500,plus,40,52
65,8,1,second,2,500,minus,41,23
65,8,1,second,2,500,plus,41,61
65,8,1,second,2,500,minus,42,22
65,8,1,second,2,500,plus,42,57
65,8,1,second,2,500,minus,43,10
65,8,1,second,2,500,plus,43,40
65,8,1,second,2,500,minus,44,5
65,8,1,second,2,500,plus,44,32
65,8,1,second,2,500,minus,45,3
65,8,1,second,2,500,plus,45,38
65,8,1,second,2,500,minus,46,2
65,8,1,second,2,500,plus,46,18
65,8,1,second,2,500,minus,47,1
65,8,1,second,2,500,plus,47,19
65,8,1,second,2,500,plus,48,13
65,8,1,second,2,500,plus,49,12
65,8,1,second,2,500,plus,50,2
65,8,1,second,2,500,plus,51,1
65,8,1,second,2,500,plus,52,1
65,8,1,second,2,500,plus,53,2
65,8,1,first,3,500,minus,23,3
65,8,1,first,3,500,minus,24,1
65,8,1,first,3,500,minus,25,1
65,8,1,first,3,500,minus,26,1
65,8,1,first,3,500,minus,27,1
65,8,1,first,3,500,minus,28,6
65,8,1,first,3,500,minus,29,12
65,8,1,first,3,500,minus,30,20
65,8,1,first,3,500,minus,31,19
65,8,1,first,3,500,minus,32,24
65,8,1,first,3,500,plus,32,4
65,8,1,first,3,500,minus,33,38
65,8,1,first,3,500,plus,33,3
65,8,1,first,3,500,minus,34,49
65,8,1,first,3,500,plus,34,5
65,8,1,first,3,500,minus,35,40
65,8,1,first,3,500,plus,35,16
65,8,1,first,3,500,minus,36,49
65,8,1,first,3,500,plus,36,17
65,8,1,first,3,500,minus,37,47
65,8,1,first,3,500,plus,37,26
65,8,1,first,3,500,minus,38,46
65,8,1,first,3,500,plus,38,32
65,8,1,first,3,500,minus,39,40
65,8,1,first,3,500,plus,39,42
65,8,1,first,3,500,minus,40,25
65,8,1,first,3,500,plus,40,55
65,8,1,first,3,500,minus,41,37
65,8,1,first,3,500,plus,41,53
65,8,1,first,3,500,minus,42,18
65,8,1,first,3,500,plus,42,39
65,8,1,first,3,500,minus,43,14
65,8,1,first,3,500,plus,43,55
65,8,1,first,3,500,minus,44,5
65,8,1,first,3,500,plus,44,40
65,8,1,first,3,500,minus,45,3
65,8,1,first,3,500,plus,45,38
65,8,1,first,3,500,minus,46,1
65,8,1,first,3,500,plus,46,26
65,8,1,first,3,500,plus,47,13
65,8,1,first,3,500,plus,48,14
65,8,1,first,3,500,plus,49,11
65,8,1,first,3,500,plus,50,5
65,8,1,first,3,500,plus,51,2
65,8,1,first,3,500,plus,52,4
65,8,1,second,3,500,minus,23,3
65,8,1,second,3,500,minus,24,1
65,8,1,second,3,500,minus,25,1
65,8,1,second,3,500,minus,26,1
65,8,1,second,3,500,minus,27,1
65,8,1,second,3,500,minus,28,6
65,8,1,second,3,500,minus,29,12
65,8,1,second,3,500,minus,30,20
65,8,1,second,3,500,minus,31,19
65,8,1,second,3,500,minus,32,24
65,8,1,second,3,500,plus,32,4
65,8,1,second,3,500,minus,33,38
65,8,1,second,3,500,plus,33,3
65,8,1,second,3,500,minus,34,49
65,8,1,second,3,500,plus,34,5
65,8,1,second,3,500,minus,35,40
65,8,1,second,3,500,plus,35,16
65,8,1,second,3,500,minus,36,49
65,8,1,second,3,500,plus,36,17
65,8,1,second,3,500,minus,37,47
65,8,1,second,3,500,plus,37,26
65,8,1,second,3,500,minus,38,46
65,8,1,second,3,500,plus,38,32
65,8,1,second,3,500,minus,39,40
65,8,1,second,3,500,plus,39,42
65,8,1,second,3,500,minus,40,25
65,8,1,second,3,500,plus,40,55
65,8,1,second,3,500,minus,41,37
65,8,1,second,3,500,plus,41,53
65,8,1,second,3,500,minus,42,18
65,8,1,second,3,500,plus,42,39
65,8,1,second,3,500,minus,43,14
65,8,1,second,3,500,plus,43,55
65,8,1,second,3,500,minus,44,5
65,8,1,second,3,500,plus,44,40
65,8,1,second,3,500,minus,45,3
65,8,1,second,3,500,plus,45,38
65,8,1,second,3,500,minus,46,1
65,8,1,second,3,500,plus,46,26
65,8,1,second,3,500,plus,47,13
65,8,1,second,3,500,plus,48,14
65,8,1,second,3,500,plus,49,11
65,8,1,second,3,500,plus,50,5
65,8,1,second,3,500,plus,51,2
65,8,1,second,3,500,plus,52,4
65,8,1,first,4,500,minus,19,1
65,8,1,first,4,500,minus,24,1
65,8,1,first,4,500,minus,25,4
65,8,1,first,4,500,minus,26,3
65,8,1,first,4,500,minus,27,4
65,8,1,first,4,500,minus,28,5
65,8,1,first,4,500,minus,29,9
65,8,1,first,4,500,minus,30,8
65,8,1,first,4,500,plus,30,1
65,8,1,first,4,500,minus,31,28
65,8,1,first,4,500,minus,32,27
65,8,1,first,4,500,plus,32,3
65,8,1,first,4,500,minus,33,29
65,8,1,first,4,500,plus,33,7
65,8,1,first,4,500,minus,34,28
65,8,1,first,4,500,plus,34,7
65,8,1,first,4,500,minus,35,41
65,8,1,first,4,500,plus,35,13
65,8,1,first,4,500,minus,36,53
65,8,1,first,4,500,plus,36,13
65,8,1,first,4,500,minus,37,59
65,8,1,first,4,500,plus,37,27
65,8,1,first,4,500,minus,38,47
65,8,1,first,4,500,plus,38,21
65,8,1,first,4,500,minus,39,42
65,8,1,first,4,500,plus,39,34
65,8,1,first,4,500,minus,40,39
65,8,1,first,4,500,plus,40,42
65,8,1,first,4,500,minus,41,25
65,8,1,first,4,500,plus,41,59
65,8,1,first,4,500,minus,42,22
65,8,1,first,4,500,plus,42,52
65,8,1,first,4,500,minus,43,10
65,8,1,first,4,500,plus,43,54
65,8,1,first,4,500,minus,44,10
65,8,1,first,4,500,plus,44,51
65,8,1,first,4,500,minus,45,1
65,8,1,first,4,500,plus,45,38
65,8,1,first,4,500,minus,46,3
65,8,1,first,4,500,plus,46,26
65,8,1,first,4,500,minus,47,1
65,8,1,first,4,500,plus,47,22
65,8,1,first,4,500,plus,48,12
65,8,1,first,4,500,plus,49,5
65,8,1,first,4,500,plus,50,6
65,8,1,first,4,500,plus,51,4
65,8,1,first,4,500,plus,52,2
65,8,1,first,4,500,plus,54,1
65,8,1,second,4,500,minus,19,1
65,8,1,second,4,500,minus,24,1
65,8,1,second,4,500,minus,25,4
65,8,1,second,4,500,minus,26,3
65,8,1,second,4,500,minus,27,4
65,8,1,second,4,500,minus,28,5
65,8,1,second,4,500,minus,29,9
65,8,1,second,4,500,minus,30,8
65,8,1,second,4,500,plus,30,1
65,8,1,second,4,500,minus,31,28
65,8,1,second,4,500,minus,32,27
65,8,1,second,4,500,plus,32,3
65,8,1,second,4,500,minus,33,29
65,8,1,second,4,500,plus,33,7
65,8,1,second,4,500,minus,34,28
65,8,1,second,4,500,plus,34,7
65,8,1,second,4,500,minus,35,41
65,8,1,second,4,500,plus,35,13
65,8,1,second,4,500,minus,36,53
