n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,8,1,first,0,500,17913,20879,651171,878969,750783,2966,28574
65,8,1,second,0,500,17913,20879,651171,878969,750783,2966,28574
65,8,1,first,1,500,18029,21021,659115,891057,760982,2992,28208
65,8,1,second,1,500,18029,21021,659115,891057,760982,2992,28208
65,8,1,first,2,500,18099,20692,663197,863464,752693,2593,21275
65,8,1,second,2,500,18099,20692,663197,863464,752693,2593,21275
65,8,1,first,3,500,18051,20809,659667,873351,755063,2758,22892
65,8,1,second,3,500,18051,20809,659667,873351,755063,2758,22892
65,8,1,first,4,500,18170,20913,668674,882095,763431,2743,23907
65,8,1,second,4,500,18170,20913,668674,882095,763431,2743,23907
65,8,1,first,5,500,17958,20921,653896,882817,754582,2963,27549
65,8,1,second,5,500,17958,20921,653896,882817,754582,2963,27549
65,8,1,first,6,500,18133,20934,665111,883838,762352,2801,24245
65,8,1,second,6,500,18133,20934,665111,883838,762352,2801,24245
65,8,1,first,7,500,17964,20815,655262,874171,751795,2851,25843
65,8,1,second,7,500,17964,20815,655262,874171,751795,2851,25843
65,8,1,first,8,500,18073,20987,662257,888381,762279,2914,26080
65,8,1,second,8,500,18073,20987,662257,888381,762279,2914,26080
65,8,1,first,9,500,18152,20882,666842,878486,761002,2730,23324
65,8,1,second,9,500,18152,20882,666842,878486,761002,2730,23324
65,8,1,first,10,500,18157,20927,668175,882617,763251,2770,24290
65,8,1,second,10,500,18157,20927,668175,882617,763251,2770,24290
65,8,1,first,11,500,18093,20807,662949,873413,756926,2714,22510
65,8,1,second,11,500,18093,20807,662949,873413,756926,2714,22510
65,8,1,first,12,500,18177,20923,668921,882375,764326,2746,22644
65,8,1,second,12,500,18177,20923,668921,882375,764326,2746,22644
65,8,1,first,13,500,18208,20959,671436,885987,767140,2751,23143
65,8,1,second,13,500,18208,20959,671436,885987,767140,2751,23143
65,8,1,first,14,500,18050,20976,659428,886366,759297,2926,27200
65,8,1,second,14,500,18050,20976,659428,886366,759297,2926,27200
65,8,1,first,15,500,18163,20988,668307,887486,765687,2825,24419
65,8,1,second,15,500,18163,20988,668307,887486,765687,2825,24419
65,8,1,first,16,500,18040,20993,659320,889571,761008,2953,26875
65,8,1,second,16,500,18040,20993,659320,889571,761008,2953,26875
65,8,1,first,17,500,18025,20792,657897,871296,752793,2767,23607
65,8,1,second,17,500,18025,20792,657897,871296,752793,2767,23607
65,8,1,first,18,500,18170,20921,669722,883531,764705,2751,23843
65,8,1,second,18,500,18170,20921,669722,883531,764705,2751,23843
65,8,1,first,19,500,18072,20877,661124,879117,757936,2805,24369
65,8,1,second,19,500,18072,20877,661124,879117,757936,2805,24369
