n,a,b,orientation,batch,samples,kind,k,count
65,7,4,first,0,500,minus,22,1
65,7,4,first,0,500,minus,25,1
65,7,4,first,0,500,minus,26,3
65,7,4,first,0,500,minus,27,4
65,7,4,first,0,500,minus,28,5
65,7,4,first,0,500,minus,29,10
65,7,4,first,0,500,plus,29,1
65,7,4,first,0,500,minus,30,11
65,7,4,first,0,500,minus,31,16
65,7,4,first,0,500,plus,31,1
65,7,4,first,0,500,minus,32,26
65,7,4,first,0,500,plus,32,4
65,7,4,first,0,500,minus,33,31
65,7,4,first,0,500,plus,33,7
65,7,4,first,0,500,minus,34,42
65,7,4,first,0,500,plus,34,6
65,7,4,first,0,500,minus,35,43
65,7,4,first,0,500,plus,35,8
65,7,4,first,0,500,minus,36,65
65,7,4,first,0,500,plus,36,11
65,7,4,first,0,500,minus,37,53
65,7,4,first,0,500,plus,37,24
65,7,4,first,0,500,minus,38,51
65,7,4,first,0,500,plus,38,35
65,7,4,first,0,500,minus,39,38
65,7,4,first,0,500,plus,39,34
65,7,4,first,0,500,minus,40,37
65,7,4,first,0,500,plus,40,62
65,7,4,first,0,500,minus,41,18
65,7,4,first,0,500,plus,41,57
65,7,4,first,0,500,minus,42,19
65,7,4,first,0,500,plus,42,52
65,7,4,first,0,500,minus,43,12
65,7,4,first,0,500,plus,43,53
65,7,4,first,0,500,minus,44,9
65,7,4,first,0,500,plus,44,44
65,7,4,first,0,500,minus,45,4
65,7,4,first,0,500,plus,45,27
65,7,4,first,0,500,plus,46,20
65,7,4,first,0,500,minus,47,1
65,7,4,first,0,500,plus,47,17
65,7,4,first,0,500,plus,48,11
65,7,4,first,0,500,plus,49,10
65,7,4,first,0,500,plus,50,8
65,7,4,first,0,500,plus,51,4
65,7,4,first,0,500,plus,52,3
65,7,4,first,0,500,plus,53,1
65,7,4,second,0,500,minus,22,1
65,7,4,second,0,500,minus,25,1
65,7,4,second,0,500,minus,26,3
65,7,4,second,0,500,minus,27,4
65,7,4,second,0,500,minus,28,5
65,7,4,second,0,500,minus,29,10
65,7,4,second,0,500,plus,29,1
65,7,4,second,0,500,minus,30,11
65,7,4,second,0,500,minus,31,16
65,7,4,second,0,500,plus,31,1
65,7,4,second,0,500,minus,32,26
65,7,4,second,0,500,plus,32,4
65,7,4,second,0,500,minus,33,31
65,7,4,second,0,500,plus,33,7
65,7,4,second,0,500,minus,34,42
65,7,4,second,0,500,plus,34,6
65,7,4,second,0,500,minus,35,43
65,7,4,second,0,500,plus,35,8
65,7,4,second,0,500,minus,36,65
65,7,4,second,0,500,plus,36,11
65,7,4,second,0,500,minus,37,53
65,7,4,second,0,500,plus,37,24
65,7,4,second,0,500,minus,38,51
65,7,4,second,0,500,plus,38,35
65,7,4,second,0,500,minus,39,38
65,7,4,second,0,500,plus,39,34
65,7,4,second,0,500,minus,40,37
65,7,4,second,0,500,plus,40,62
65,7,4,second,0,500,minus,41,18
65,7,4,second,0,500,plus,41,57
65,7,4,second,0,500,minus,42,19
65,7,4,second,0,500,plus,42,52
65,7,4,second,0,500,minus,43,12
65,7,4,second,0,500,plus,43,53
65,7,4,second,0,500,minus,44,9
65,7,4,second,0,500,plus,44,44
65,7,4,second,0,500,minus,45,4
65,7,4,second,0,500,plus,45,27
65,7,4,second,0,500,plus,46,20
65,7,4,second,0,500,minus,47,1
65,7,4,second,0,500,plus,47,17
65,7,4,second,0,500,plus,48,11
65,7,4,second,0,500,plus,49,10
65,7,4,second,0,500,plus,50,8
65,7,4,second,0,500,plus,51,4
65,7,4,second,0,500,plus,52,3
65,7,4,second,0,500,plus,53,1
65,7,4,first,1,500,minus,24,1
65,7,4,first,1,500,minus,25,1
65,7,4,first,1,500,minus,27,4
65,7,4,first,1,500,minus,28,6
65,7,4,first,1,500,minus,29,11
65,7,4,first,1,500,minus,30,15
65,7,4,first,1,500,minus,31,19
65,7,4,first,1,500,plus,31,1
65,7,4,first,1,500,minus,32,20
65,7,4,first,1,500,plus,32,2
65,7,4,first,1,500,minus,33,35
65,7,4,first,1,500,plus,33,2
65,7,4,first,1,500,minus,34,34
65,7,4,first,1,500,plus,34,3
65,7,4,first,1,500,minus,35,38
65,7,4,first,1,500,plus,35,10
65,7,4,first,1,500,minus,36,44
65,7,4,first,1,500,plus,36,14
65,7,4,first,1,500,minus,37,41
65,7,4,first,1,500,plus,37,19
65,7,4,first,1,500,minus,38,58
65,7,4,first,1,500,plus,38,29
65,7,4,first,1,500,minus,39,44
65,7,4,first,1,500,plus,39,44
65,7,4,first,1,500,minus,40,40
65,7,4,first,1,500,plus,40,44
65,7,4,first,1,500,minus,41,31
65,7,4,first,1,500,plus,41,48
65,7,4,first,1,500,minus,42,24
65,7,4,first,1,500,plus,42,55
65,7,4,first,1,500,minus,43,12
65,7,4,first,1,500,plus,43,59
65,7,4,first,1,500,minus,44,12
65,7,4,first,1,500,plus,44,30
65,7,4,first,1,500,minus,45,6
65,7,4,first,1,500,plus,45,46
65,7,4,first,1,500,minus,46,2
65,7,4,first,1,500,plus,46,33
65,7,4,first,1,500,minus,47,2
65,7,4,first,1,500,plus,47,29
65,7,4,first,1,500,plus,48,12
65,7,4,first,1,500,plus,49,9
65,7,4,first,1,500,plus,50,4
65,7,4,first,1,500,plus,51,3
65,7,4,first,1,500,plus,52,3
65,7,4,first,1,500,plus,57,1
65,7,4,second,1,500,minus,24,1
65,7,4,second,1,500,minus,25,1
65,7,4,second,1,500,minus,27,4
65,7,4,second,1,500,minus,28,6
65,7,4,second,1,500,minus,29,11
65,7,4,second,1,500,minus,30,15
65,7,4,second,1,500,minus,31,19
65,7,4,second,1,500,plus,31,1
65,7,4,second,1,500,minus,32,20
65,7,4,second,1,500,plus,32,2
65,7,4,second,1,500,minus,33,35
65,7,4,second,1,500,plus,33,2
65,7,4,second,1,500,minus,34,34
65,7,4,second,1,500,plus,34,3
65,7,4,second,1,500,minus,35,38
65,7,4,second,1,500,plus,35,10
