n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
65,7,4,first,0,500,18153,20824,666403,874776,759147,2671,22885
65,7,4,second,0,500,18153,20824,666403,874776,759147,2671,22885
65,7,4,first,1,500,18364,21067,682776,894599,777209,2703,22957
65,7,4,second,1,500,18364,21067,682776,894599,777209,2703,22957
65,7,4,first,2,500,18146,20903,666246,881127,761570,2757,24233
65,7,4,second,2,500,18146,20903,666246,881127,761570,2757,24233
65,7,4,first,3,500,17995,20746,655427,868650,750075,2751,23927
65,7,4,second,3,500,17995,20746,655427,868650,750075,2751,23927
65,7,4,first,4,500,17959,20798,653171,872624,750174,2839,25447
65,7,4,second,4,500,17959,20798,653171,872624,750174,2839,25447
65,7,4,first,5,500,17993,20865,656701,877893,753944,2872,26706
65,7,4,second,5,500,17993,20865,656701,877893,753944,2872,26706
65,7,4,first,6,500,18225,20860,672685,877548,764022,2635,22189
65,7,4,second,6,500,18225,20860,672685,877548,764022,2635,22189
65,7,4,first,7,500,18001,20875,656179,878853,754620,2874,25792
65,7,4,second,7,500,18001,20875,656179,878853,754620,2874,25792
65,7,4,first,8,500,17987,20744,655441,868444,749853,2757,24179
65,7,4,second,8,500,17987,20744,655441,868444,749853,2757,24179
65,7,4,first,9,500,17979,20743,653637,867483,748399,2764,24322
65,7,4,second,9,500,17979,20743,653637,867483,748399,2764,24322
65,7,4,first,10,500,18181,20839,669201,876343,761640,2658,22264
65,7,4,second,10,500,18181,20839,669201,876343,761640,2658,22264
65,7,4,first,11,500,18019,20850,658505,877240,754674,2831,26397
65,7,4,second,11,500,18019,20850,658505,877240,754674,2831,26397
65,7,4,first,12,500,18161,20874,667557,878414,761325,2713,23321
65,7,4,second,12,500,18161,20874,667557,878414,761325,2713,23321
65,7,4,first,13,500,18032,20806,658318,873606,753746,2774,24432
65,7,4,second,13,500,18032,20806,658318,873606,753746,2774,24432
65,7,4,first,14,500,18113,20943,665419,885177,762364,2830,25868
65,7,4,second,14,500,18113,20943,665419,885177,762364,2830,25868
65,7,4,first,15,500,18082,20825,661678,875269,756459,2743,24029
65,7,4,second,15,500,18082,20825,661678,875269,756459,2743,24029
65,7,4,first,16,500,18267,20872,675041,877552,765401,2605,21791
65,7,4,second,16,500,18267,20872,675041,877552,765401,2605,21791
65,7,4,first,17,500,18113,21050,664461,894228,765392,2937,27905
65,7,4,second,17,500,18113,21050,664461,894228,765392,2937,27905
65,7,4,first,18,500,18135,20986,666731,888012,764120,2851,26503
65,7,4,second,18,500,18135,20986,666731,888012,764120,2851,26503
65,7,4,first,19,500,18109,20857,664629,878073,759276,2748,24150
65,7,4,second,19,500,18109,20857,664629,878073,759276,2748,24150
