n,batch,samples,p_ref,channel,a1,b1,a2,b2,first_primal_sum,first_matching_sum,second_primal_sum,second_matching_sum
85,0,10000,0.59274605078999998,cross,9,2,7,6,3151,3122,3118,3099
85,0,10000,0.59274605078999998,both,9,2,7,6,3489,3460,3505,3486
85,0,10000,0.59274605078999998,either,9,2,7,6,6878,6849,6901,6882
85,0,10000,0.59274605078999998,direction_0,9,2,7,6,5180,5151,5200,5181
85,0,10000,0.59274605078999998,direction_1,9,2,7,6,5187,5158,5206,5187
85,1,10000,0.59274605078999998,cross,9,2,7,6,3164,3111,3221,3040
85,1,10000,0.59274605078999998,both,9,2,7,6,3552,3499,3608,3427
85,1,10000,0.59274605078999998,either,9,2,7,6,6889,6836,6960,6779
85,1,10000,0.59274605078999998,direction_0,9,2,7,6,5224,5171,5275,5094
85,1,10000,0.59274605078999998,direction_1,9,2,7,6,5217,5164,5293,5112
85,2,10000,0.59274605078999998,cross,9,2,7,6,3120,3163,3134,3155
85,2,10000,0.59274605078999998,both,9,2,7,6,3494,3537,3480,3501
85,2,10000,0.59274605078999998,either,9,2,7,6,6837,6880,6845,6866
85,2,10000,0.59274605078999998,direction_0,9,2,7,6,5205,5248,5142,5163
85,2,10000,0.59274605078999998,direction_1,9,2,7,6,5126,5169,5183,5204
85,3,10000,0.59274605078999998,cross,9,2,7,6,3102,3230,3059,3170
85,3,10000,0.59274605078999998,both,9,2,7,6,3491,3619,3497,3608
85,3,10000,0.59274605078999998,either,9,2,7,6,6770,6898,6830,6941
85,3,10000,0.59274605078999998,direction_0,9,2,7,6,5123,5251,5144,5255
85,3,10000,0.59274605078999998,direction_1,9,2,7,6,5138,5266,5183,5294
85,4,10000,0.59274605078999998,cross,9,2,7,6,3170,3079,3173,3122
85,4,10000,0.59274605078999998,both,9,2,7,6,3574,3483,3567,3516
85,4,10000,0.59274605078999998,either,9,2,7,6,6921,6830,6878,6827
85,4,10000,0.59274605078999998,direction_0,9,2,7,6,5250,5159,5182,5131
85,4,10000,0.59274605078999998,direction_1,9,2,7,6,5245,5154,5263,5212
85,5,10000,0.59274605078999998,cross,9,2,7,6,3173,3073,3153,3087
85,5,10000,0.59274605078999998,both,9,2,7,6,3530,3430,3558,3492
