n,a,b,orientation,batch,samples,kind,k,count
305,17,4,first,0,1000,minus,118,1
305,17,4,first,0,1000,minus,135,1
305,17,4,first,0,1000,plus,136,1
305,17,4,first,0,1000,minus,137,2
305,17,4,first,0,1000,minus,138,1
305,17,4,first,0,1000,minus,140,1
305,17,4,first,0,1000,minus,142,3
305,17,4,first,0,1000,minus,143,1
305,17,4,first,0,1000,minus,144,2
305,17,4,first,0,1000,minus,145,3
305,17,4,first,0,1000,plus,145,1
305,17,4,first,0,1000,minus,146,3
305,17,4,first,0,1000,plus,146,1
305,17,4,first,0,1000,minus,147,6
305,17,4,first,0,1000,plus,147,1
305,17,4,first,0,1000,minus,148,1
305,17,4,first,0,1000,minus,149,3
305,17,4,first,0,1000,minus,150,4
305,17,4,first,0,1000,minus,151,8
305,17,4,first,0,1000,minus,152,5
305,17,4,first,0,1000,minus,153,10
305,17,4,first,0,1000,plus,153,1
305,17,4,first,0,1000,minus,154,7
305,17,4,first,0,1000,plus,154,3
305,17,4,first,0,1000,minus,155,12
305,17,4,first,0,1000,minus,156,6
305,17,4,first,0,1000,plus,156,1
305,17,4,first,0,1000,minus,157,9
305,17,4,first,0,1000,minus,158,12
305,17,4,first,0,1000,plus,158,1
305,17,4,first,0,1000,minus,159,13
305,17,4,first,0,1000,plus,159,4
305,17,4,first,0,1000,minus,160,17
305,17,4,first,0,1000,plus,160,2
305,17,4,first,0,1000,minus,161,12
305,17,4,first,0,1000,plus,161,1
305,17,4,first,0,1000,minus,162,17
305,17,4,first,0,1000,plus,162,2
305,17,4,first,0,1000,minus,163,18
305,17,4,first,0,1000,plus,163,1
305,17,4,first,0,1000,minus,164,19
305,17,4,first,0,1000,plus,164,3
305,17,4,first,0,1000,minus,165,23
305,17,4,first,0,1000,plus,165,2
305,17,4,first,0,1000,minus,166,21
305,17,4,first,0,1000,plus,166,4
305,17,4,first,0,1000,minus,167,20
305,17,4,first,0,1000,plus,167,5
305,17,4,first,0,1000,minus,168,26
305,17,4,first,0,1000,plus,168,9
305,17,4,first,0,1000,minus,169,25
305,17,4,first,0,1000,plus,169,6
305,17,4,first,0,1000,minus,170,32
305,17,4,first,0,1000,plus,170,13
305,17,4,first,0,1000,minus,171,22
305,17,4,first,0,1000,plus,171,12
305,17,4,first,0,1000,minus,172,38
305,17,4,first,0,1000,plus,172,7
305,17,4,first,0,1000,minus,173,30
305,17,4,first,0,1000,plus,173,15
305,17,4,first,0,1000,minus,174,35
305,17,4,first,0,1000,plus,174,13
305,17,4,first,0,1000,minus,175,36
305,17,4,first,0,1000,plus,175,27
305,17,4,first,0,1000,minus,176,33
305,17,4,first,0,1000,plus,176,20
305,17,4,first,0,1000,minus,177,36
305,17,4,first,0,1000,plus,177,24
305,17,4,first,0,1000,minus,178,27
305,17,4,first,0,1000,plus,178,20
305,17,4,first,0,1000,minus,179,28
305,17,4,first,0,1000,plus,179,25
305,17,4,first,0,1000,minus,180,38
305,17,4,first,0,1000,plus,180,23
305,17,4,first,0,1000,minus,181,34
305,17,4,first,0,1000,plus,181,29
305,17,4,first,0,1000,minus,182,24
305,17,4,first,0,1000,plus,182,25
305,17,4,first,0,1000,minus,183,35
305,17,4,first,0,1000,plus,183,28
305,17,4,first,0,1000,minus,184,33
305,17,4,first,0,1000,plus,184,38
305,17,4,first,0,1000,minus,185,33
305,17,4,first,0,1000,plus,185,26
305,17,4,first,0,1000,minus,186,23
305,17,4,first,0,1000,plus,186,32
305,17,4,first,0,1000,minus,187,27
305,17,4,first,0,1000,plus,187,29
305,17,4,first,0,1000,minus,188,17
305,17,4,first,0,1000,plus,188,38
305,17,4,first,0,1000,minus,189,15
305,17,4,first,0,1000,plus,189,33
305,17,4,first,0,1000,minus,190,14
305,17,4,first,0,1000,plus,190,44
305,17,4,first,0,1000,minus,191,10
305,17,4,first,0,1000,plus,191,29
305,17,4,first,0,1000,minus,192,13
305,17,4,first,0,1000,plus,192,36
305,17,4,first,0,1000,minus,193,13
305,17,4,first,0,1000,plus,193,28
305,17,4,first,0,1000,minus,194,7
305,17,4,first,0,1000,plus,194,36
305,17,4,first,0,1000,minus,195,9
305,17,4,first,0,1000,plus,195,44
305,17,4,first,0,1000,minus,196,2
305,17,4,first,0,1000,plus,196,17
305,17,4,first,0,1000,minus,197,3
305,17,4,first,0,1000,plus,197,25
305,17,4,first,0,1000,minus,198,2
305,17,4,first,0,1000,plus,198,35
305,17,4,first,0,1000,minus,199,3
305,17,4,first,0,1000,plus,199,13
305,17,4,first,0,1000,minus,200,5
305,17,4,first,0,1000,plus,200,19
305,17,4,first,0,1000,minus,201,3
305,17,4,first,0,1000,plus,201,12
305,17,4,first,0,1000,minus,202,1
305,17,4,first,0,1000,plus,202,19
305,17,4,first,0,1000,minus,203,1
305,17,4,first,0,1000,plus,203,9
305,17,4,first,0,1000,minus,204,1
305,17,4,first,0,1000,plus,204,12
305,17,4,first,0,1000,minus,205,2
305,17,4,first,0,1000,plus,205,12
305,17,4,first,0,1000,plus,206,11
305,17,4,first,0,1000,plus,207,14
305,17,4,first,0,1000,plus,208,4
305,17,4,first,0,1000,minus,209,2
305,17,4,first,0,1000,plus,209,7
305,17,4,first,0,1000,minus,210,1
305,17,4,first,0,1000,plus,210,7
305,17,4,first,0,1000,plus,211,11
305,17,4,first,0,1000,plus,212,4
305,17,4,first,0,1000,plus,213,6
305,17,4,first,0,1000,plus,214,4
305,17,4,first,0,1000,plus,215,3
305,17,4,first,0,1000,plus,217,3
305,17,4,first,0,1000,plus,218,1
305,17,4,first,0,1000,plus,219,1
305,17,4,first,0,1000,plus,221,1
305,17,4,first,0,1000,plus,222,1
305,17,4,first,0,1000,plus,223,2
305,17,4,first,0,1000,plus,224,1
305,17,4,first,0,1000,plus,225,1
305,17,4,first,0,1000,plus,226,1
305,17,4,first,0,1000,plus,229,1
305,16,7,second,0,1000,minus,132,1
305,16,7,second,0,1000,minus,134,2
305,16,7,second,0,1000,minus,136,3
305,16,7,second,0,1000,minus,138,1
305,16,7,second,0,1000,minus,139,1
305,16,7,second,0,1000,minus,140,1
305,16,7,second,0,1000,minus,142,2
305,16,7,second,0,1000,minus,143,2
305,16,7,second,0,1000,minus,144,2
305,16,7,second,0,1000,minus,145,4
305,16,7,second,0,1000,minus,146,3
305,16,7,second,0,1000,minus,147,4
305,16,7,second,0,1000,minus,148,3
305,16,7,second,0,1000,minus,149,7
305,16,7,second,0,1000,minus,150,7
305,16,7,second,0,1000,minus,151,5
305,16,7,second,0,1000,minus,152,12
305,16,7,second,0,1000,plus,152,1
305,16,7,second,0,1000,minus,153,9
305,16,7,second,0,1000,minus,154,8
305,16,7,second,0,1000,minus,155,11
305,16,7,second,0,1000,plus,155,1
305,16,7,second,0,1000,minus,156,15
305,16,7,second,0,1000,plus,156,1
305,16,7,second,0,1000,minus,157,6
305,16,7,second,0,1000,plus,157,1
305,16,7,second,0,1000,minus,158,15
305,16,7,second,0,1000,minus,159,16
305,16,7,second,0,1000,minus,160,11
305,16,7,second,0,1000,plus,160,2
305,16,7,second,0,1000,minus,161,14
305,16,7,second,0,1000,plus,161,3
305,16,7,second,0,1000,minus,162,18
305,16,7,second,0,1000,plus,162,2
305,16,7,second,0,1000,minus,163,14
305,16,7,second,0,1000,plus,163,5
305,16,7,second,0,1000,minus,164,14
305,16,7,second,0,1000,plus,164,1
305,16,7,second,0,1000,minus,165,18
305,16,7,second,0,1000,plus,165,2
305,16,7,second,0,1000,minus,166,32
305,16,7,second,0,1000,plus,166,3
305,16,7,second,0,1000,minus,167,18
305,16,7,second,0,1000,plus,167,7
305,16,7,second,0,1000,minus,168,24
305,16,7,second,0,1000,plus,168,5
305,16,7,second,0,1000,minus,169,28
305,16,7,second,0,1000,plus,169,7
305,16,7,second,0,1000,minus,170,27
305,16,7,second,0,1000,plus,170,10
305,16,7,second,0,1000,minus,171,29
305,16,7,second,0,1000,plus,171,12
305,16,7,second,0,1000,minus,172,36
305,16,7,second,0,1000,plus,172,13
305,16,7,second,0,1000,minus,173,37
305,16,7,second,0,1000,plus,173,12
305,16,7,second,0,1000,minus,174,28
305,16,7,second,0,1000,plus,174,14
305,16,7,second,0,1000,minus,175,30
