n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
325,18,1,first,0,1000,185105,201166,34419525,40618426,37311194,16061,415563
325,17,6,second,0,1000,185257,201525,34492017,40779229,37415799,16268,439648
325,18,1,first,1,1000,184776,200056,34316300,40184730,37049462,15280,402106
325,17,6,second,1,1000,185062,200848,34408850,40495786,37253633,15786,397370
325,18,1,first,2,1000,185546,200843,34596366,40495317,37356080,15297,379523
325,17,6,second,2,1000,185709,200380,34649439,40307868,37300279,14671,356749
325,18,1,first,3,1000,184760,200361,34305476,40303589,37101545,15601,405975
325,17,6,second,3,1000,184849,200177,34329923,40231583,37090117,15328,381272
325,18,1,first,4,1000,185154,201338,34465130,40689204,37356890,16184,440554
325,17,6,second,4,1000,185459,200751,34549023,40466969,37311981,15292,392030
325,18,1,first,5,1000,185335,201048,34526011,40595820,37348982,15713,423867
325,17,6,second,5,1000,185563,201269,34610417,40673691,37435038,15706,414032
325,18,1,first,6,1000,184837,200646,34332527,40417810,37166747,15809,416843
325,17,6,second,6,1000,185346,200630,34527838,40418066,37276153,15284,393598
325,18,1,first,7,1000,184154,200669,34085284,40435533,37030063,16515,460691
325,17,6,second,7,1000,184631,199935,34248895,40126759,36996217,15304,383220
325,18,1,first,8,1000,185025,200524,34387751,40369578,37181722,15499,393885
325,17,6,second,8,1000,185594,201007,34610940,40539865,37372237,15413,406331
325,18,1,first,9,1000,185386,201310,34526700,40683804,37397993,15924,414518
325,17,6,second,9,1000,184857,201026,34343323,40566348,37238517,16169,432637
325,18,1,first,10,1000,185895,200921,34711631,40515957,37428760,15026,370068
325,17,6,second,10,1000,185824,200828,34690694,40488304,37399147,15004,380704
325,18,1,first,11,1000,185746,200791,34676606,40483479,37390527,15045,379031
325,17,6,second,11,1000,184777,200793,34296419,40475761,37172346,16016,427488
325,18,1,first,12,1000,185310,201421,34509944,40736645,37415925,16111,414739
325,17,6,second,12,1000,184788,200792,34307834,40480582,37180312,16004,427792
325,18,1,first,13,1000,185342,201106,34518134,40601532,37357497,15764,404672
325,17,6,second,13,1000,185313,201690,34518049,40836972,37452940,16377,449141
325,18,1,first,14,1000,185434,200744,34533870,40451906,37299483,15310,386810
325,17,6,second,14,1000,185117,200821,34429441,40491743,37262575,15704,396034
325,18,1,first,15,1000,185261,201069,34489965,40578051,37325603,15808,416810
325,17,6,second,15,1000,184256,200228,34126090,40262784,36985893,15972,417088
325,18,1,first,16,1000,185369,200699,34538449,40426603,37280006,15330,405040
325,17,6,second,16,1000,184777,200534,34322227,40376810,37146772,15757,405493
325,18,1,first,17,1000,184781,200657,34308253,40415487,37158496,15876,406748
325,17,6,second,17,1000,184802,200889,34334248,40531379,37217869,16087,429889
325,18,1,first,18,1000,185269,200213,34483351,40241223,37176864,14944,370846
325,17,6,second,18,1000,185760,201164,34667762,40621566,37444700,15404,399928
325,18,1,first,19,1000,184898,200961,34357490,40540743,37233091,16063,432051
325,17,6,second,19,1000,185200,200757,34464726,40468157,37258804,15557,415275
