design,batch,samples,point,category,count
pell_Dminus2_N30,0,5000,minus,rank0,1733
pell_Dminus2_N30,0,5000,minus,"rank1:0,1",612
pell_Dminus2_N30,0,5000,minus,"rank1:1,-2",16
pell_Dminus2_N30,0,5000,minus,"rank1:1,-1",629
pell_Dminus2_N30,0,5000,minus,"rank1:1,0",578
pell_Dminus2_N30,0,5000,minus,"rank1:1,1",4
pell_Dminus2_N30,0,5000,minus,"rank1:2,-1",4
pell_Dminus2_N30,0,5000,minus,rank2,1424
pell_Dminus2_N30,0,5000,center,rank0,1541
pell_Dminus2_N30,0,5000,center,"rank1:0,1",599
pell_Dminus2_N30,0,5000,center,"rank1:1,-2",14
pell_Dminus2_N30,0,5000,center,"rank1:1,-1",617
pell_Dminus2_N30,0,5000,center,"rank1:1,0",575
pell_Dminus2_N30,0,5000,center,"rank1:1,1",4
pell_Dminus2_N30,0,5000,center,"rank1:2,-1",5
pell_Dminus2_N30,0,5000,center,rank2,1645
pell_Dminus2_N30,0,5000,plus,rank0,1351
pell_Dminus2_N30,0,5000,plus,"rank1:0,1",595
pell_Dminus2_N30,0,5000,plus,"rank1:1,-2",17
pell_Dminus2_N30,0,5000,plus,"rank1:1,-1",624
pell_Dminus2_N30,0,5000,plus,"rank1:1,0",581
pell_Dminus2_N30,0,5000,plus,"rank1:1,1",2
pell_Dminus2_N30,0,5000,plus,"rank1:2,-1",4
pell_Dminus2_N30,0,5000,plus,rank2,1826
pell_Dminus2_N30,1,5000,minus,rank0,1850
pell_Dminus2_N30,1,5000,minus,"rank1:0,1",620
pell_Dminus2_N30,1,5000,minus,"rank1:1,-2",13
pell_Dminus2_N30,1,5000,minus,"rank1:1,-1",636
pell_Dminus2_N30,1,5000,minus,"rank1:1,0",556
pell_Dminus2_N30,1,5000,minus,"rank1:1,1",8
pell_Dminus2_N30,1,5000,minus,"rank1:2,-1",6
pell_Dminus2_N30,1,5000,minus,rank2,1311
pell_Dminus2_N30,1,5000,center,rank0,1619
pell_Dminus2_N30,1,5000,center,"rank1:0,1",630
pell_Dminus2_N30,1,5000,center,"rank1:1,-2",13
pell_Dminus2_N30,1,5000,center,"rank1:1,-1",644
