n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges,sum_q,sum_e,sum_s,sum_chi,sum_cb,sum_cw,sum_faces,sum_i0s,sum_i2s,sum_q_q,sum_q_e,sum_q_k,sum_q_kk,sum_q_edges,sum_q_s,sum_q_chi,sum_q_cb,sum_q_cw,sum_e_e,sum_e_k,sum_e_kk,sum_e_edges,sum_e_s,sum_e_chi,sum_e_cb,sum_e_cw,sum_k_k,sum_k_kk,sum_k_edges,sum_k_s,sum_k_chi,sum_k_cb,sum_k_cw,sum_kk_kk,sum_kk_edges,sum_kk_s,sum_kk_chi,sum_kk_cb,sum_kk_cw,sum_edges_edges,sum_edges_s,sum_edges_chi,sum_edges_cb,sum_edges_cw,sum_s_s,sum_s_chi,sum_s_cb,sum_s_cw,sum_chi_chi,sum_chi_cb,sum_chi_cw,sum_cb_cb,sum_cb_cw,sum_cw_cw
130,11,3,first,0,200,14544,16285,64,66,70,15328,1165260,18049,4619,5645,329930,451046,5060,7045,6,134,1497,411,957,540,3132,534,496,134,6,1026,121116,1985,-38,-438,-171,133,134,10264,780976,12105,1030,270,653,377,1180588,90200232,1397023,114152,28260,71719,42433,6926410368,107267924,8639776,1899284,5330088,3309688,1664361,133168,28559,81856,51312,12197,3989,8074,4123,3975,3763,226,5833,2241,1882
130,9,7,second,0,200,14563,16331,60,76,64,15328,1165260,18040,4352,5189,312368,416682,4785,6471,4,124,1425,359,894,531,3071,474,420,124,4,837,104314,1686,-54,-430,-180,126,124,9541,729050,11256,894,222,560,334,1180588,90200232,1396285,108773,24452,67031,41742,6926410368,107208748,8239758,1622232,4983152,3256606,1662488,127002,24184,76436,50566,11031,3281,7129,3902,3675,3263,18,5106,2023,1879
130,11,3,first,1,200,14399,16441,44,93,63,15405,1176760,18360,3177,5086,227016,406770,3491,6372,19,107,1375,300,847,528,3255,335,405,107,19,1909,179754,2881,70,-303,-63,133,107,8263,633786,9863,740,143,451,289,1192165,91500146,1427169,105504,20385,63899,41605,7056430568,110025132,8032494,1346508,4779378,3253116,1718264,124709,20394,73992,50717,10383,2597,6525,3858,2810,2552,45,4507,2018,1840
130,9,7,second,1,200,14667,16272,59,84,57,15405,1176760,18326,4316,4604,312474,368580,4800,5787,-2,116,1431,317,873,558,3238,464,398,116,-2,288,56106,987,-66,-384,-167,101,116,8920,681054,10587,862,214,537,325,1192165,91500146,1424373,110016,21574,65939,44077,7056430568,109797906,8393434,1428776,4939158,3454276,1711754,130210,21447,76322,53888,11027,2751,6856,4171,3299,2833,-82,4761,2095,2076
130,11,3,first,2,200,14466,16235,70,67,63,15188,1145110,17740,5005,5055,354054,401908,5421,6279,-7,133,1467,468,964,503,3020,564,436,133,-7,50,47854,858,-128,-459,-227,99,133,10060,755962,11700,1000,325,659,341,1160298,88009046,1363551,110414,31702,71083,39331,6716009684,104061382,8256908,2099458,5202110,3054798,1615248,127275,31635,79884,47391,11897,4487,8128,3769,4210,4119,368,6010,2118,1651
130,9,7,second,2,200,14766,16466,79,68,53,15188,1145110,17741,5646,4314,399298,348198,6143,5423,-26,132,1462,426,931,531,2979,647,342,132,-26,-1332,-51100,-720,-305,-523,-348,43,132,9960,747496,11566,989,333,648,341,1160298,88009046,1363380,110289,28595,68776,41513,6716009684,104032746,8264058,1869074,5041016,3223042,1614105,127558,28270,77554,50004,11736,3907,7669,4067,4066,3725,182,5523,2146,1921
130,11,3,first,3,200,14598,16333,50,81,69,15511,1193160,18486,3673,5622,267098,453750,4123,7020,19,119,1372,269,830,542,3244,360,478,119,19,1949,186652,2897,118,-343,-53,171,119,9295,720848,11143,838,109,483,355,1208671,93421722,1447093,106209,17894,63026,43183,7255899696,112368608,8159054,1144214,4744960,3414094,1743080,125996,17321,73107,52889,10310,2228,6328,3982,2861,2373,-145,4324,2004,1978
130,9,7,second,3,200,14678,16363,49,86,65,15511,1193160,18565,3589,5314,259926,430518,3986,6758,16,114,1420,298,867,553,3352,402,437,114,16,1725,170592,2772,35,-395,-123,158,114,8903,690444,10744,839,151,503,336,1208671,93421722,1453489,109600,20231,65778,43822,7255899696,112884406,8392376,1333064,4948016,3444360,1759041,130110,19794,76338,53772,11014,2719,6884,4130,3278,2801,-82,4781,2103,2027
130,11,3,first,4,200,14436,16217,55,71,74,15515,1194484,18488,3978,6070,284508,493106,4359,7684,19,129,1422,255,848,574,3228,412,513,129,19,2092,208598,3325,101,-422,-96,197,129,10048,777614,12043,925,108,526,399,1209999,93653450,1449717,109848,16184,64062,45786,7287269672,112817520,8427040,967902,4801770,3625270,1749054,130018,14125,73734,56284,11050,2489,6820,4230,3565,2816,-327,4770,2050,2180
130,9,7,second,4,200,14842,16494,66,79,55,15515,1194484,18470,4860,4488,354440,363042,5369,5703,-11,121,1462,375,913,549,3330,536,366,121,-11,-372,8602,334,-170,-429,-239,69,121,9348,717482,11072,902,255,573,329,1209999,93653450,1448747,112867,25893,69194,43673,7287269672,112774898,8652604,1745986,5203596,3449008,1748332,133217,25637,79594,53623,11700,3492,7511,4189,3765,3414,78,5343,2168,2021
