n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_k,sum_kk,sum_edges,sum_i0k,sum_i2k,sum_i0kk,sum_i2kk,sum_i0edges,sum_i2edges
130,11,3,first,0,200,14544,16285,64,66,70,15328,1165260,18049,4619,5645,329930,451046,5060,7045
130,9,7,second,0,200,14563,16331,60,76,64,15328,1165260,18040,4352,5189,312368,416682,4785,6471
130,11,3,first,1,200,14399,16441,44,93,63,15405,1176760,18360,3177,5086,227016,406770,3491,6372
130,9,7,second,1,200,14667,16272,59,84,57,15405,1176760,18326,4316,4604,312474,368580,4800,5787
130,11,3,first,2,200,14466,16235,70,67,63,15188,1145110,17740,5005,5055,354054,401908,5421,6279
130,9,7,second,2,200,14766,16466,79,68,53,15188,1145110,17741,5646,4314,399298,348198,6143,5423
130,11,3,first,3,200,14598,16333,50,81,69,15511,1193160,18486,3673,5622,267098,453750,4123,7020
130,9,7,second,3,200,14678,16363,49,86,65,15511,1193160,18565,3589,5314,259926,430518,3986,6758
130,11,3,first,4,200,14436,16217,55,71,74,15515,1194484,18488,3978,6070,284508,493106,4359,7684
130,9,7,second,4,200,14842,16494,66,79,55,15515,1194484,18470,4860,4488,354440,363042,5369,5703
130,11,3,first,5,200,14693,16406,68,69,63,15432,1181188,18333,4996,5149,363260,416830,5541,6546
130,9,7,second,5,200,14656,16351,58,80,62,15432,1181188,18305,4262,5021,309938,402988,4724,6314
130,11,3,first,6,200,14718,16501,64,70,66,15502,1192396,18570,4702,5376,342154,433892,5294,6774
130,9,7,second,6,200,14701,16354,64,74,62,15502,1192396,18600,4701,5066,341816,410474,5305,6410
130,11,3,first,7,200,14812,16524,71,78,51,15367,1172434,18083,5132,4195,367272,341508,5638,5289
130,9,7,second,7,200,14569,16262,56,76,68,15367,1172434,18144,4033,5541,287716,447114,4381,7005
130,11,3,first,8,200,14595,16424,72,85,43,15168,1141320,17655,5217,3456,374428,275088,5739,4289
130,9,7,second,8,200,14741,16474,76,71,53,15168,1141320,17646,5472,4267,390056,340096,5952,5299
130,11,3,first,9,200,14871,16521,71,73,56,15403,1177398,18245,5157,4588,371068,372422,5701,5824
130,9,7,second,9,200,14823,16375,68,73,59,15403,1177398,18257,4953,4809,357272,388308,5495,6062
130,11,3,first,10,200,14534,16454,57,82,61,15496,1191250,18455,4229,4964,310646,399872,4763,6256
130,9,7,second,10,200,14842,16542,71,65,64,15496,1191250,18549,5220,5177,380438,414436,5832,6497
130,11,3,first,11,200,14593,16419,62,72,66,15482,1189476,18377,4502,5395,323568,437174,4948,6806
130,9,7,second,11,200,14594,16305,62,75,63,15482,1189476,18449,4536,5158,328306,418516,5076,6519
130,11,3,first,12,200,14613,16179,57,67,76,15451,1184168,18377,4169,6131,301866,490036,4603,7700
130,9,7,second,12,200,14522,16234,51,73,76,15451,1184168,18397,3710,6163,267324,495050,4098,7735
130,11,3,first,13,200,14715,16293,66,71,63,15416,1178692,18232,4802,5076,345868,405184,5300,6316
130,9,7,second,13,200,14445,16332,57,81,62,15416,1178692,18315,4152,5042,299190,406250,4590,6354
130,11,3,first,14,200,14686,16416,77,70,53,15255,1155626,17903,5554,4354,396462,354378,6033,5540
130,9,7,second,14,200,14735,16434,74,71,55,15255,1155626,17863,5307,4506,376584,365788,5725,5748
130,11,3,first,15,200,14677,16313,56,72,72,15511,1193110,18444,4103,5856,297650,471694,4565,7348
130,9,7,second,15,200,14738,16446,55,87,58,15511,1193110,18415,4034,4749,292868,385142,4439,6033
130,11,3,first,16,200,14520,16442,66,81,53,15338,1167384,18071,4797,4294,345474,344788,5338,5324
130,9,7,second,16,200,14539,16355,58,86,56,15338,1167384,18002,4176,4569,297674,369206,4536,5708
130,11,3,first,17,200,14603,16395,68,71,61,15464,1186196,18504,4935,4972,354372,401506,5467,6282
130,9,7,second,17,200,14647,16449,61,81,58,15464,1186196,18458,4484,4749,326480,385158,5023,6001
130,11,3,first,18,200,14612,16306,52,82,66,15483,1189500,18370,3780,5400,272034,437674,4149,6834
130,9,7,second,18,200,14599,16460,63,78,59,15483,1189500,18423,4626,4834,336432,392612,5190,6116
130,11,3,first,19,200,14631,16436,62,75,63,15505,1192498,18508,4578,5141,334888,415602,5123,6519
130,9,7,second,19,200,14568,16370,62,78,60,15505,1192498,18478,4560,4886,332164,394114,5063,6173
130,11,3,first,20,200,14562,16268,58,69,73,15522,1195212,18578,4226,5918,304776,475228,4705,7453
130,9,7,second,20,200,14844,16453,72,68,60,15522,1195212,18579,5303,4915,386600,398818,5948,6263
130,11,3,first,21,200,14554,16389,55,82,63,15508,1192662,18511,3992,5171,286808,420214,4425,6574
