n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs
65,8,1,first,0,200,7233,8336,56,71,73,8192,3914
65,7,4,second,0,200,7154,8341,53,79,68,8179,3864
65,8,1,first,1,200,7197,8252,59,66,75,8205,3964
65,7,4,second,1,200,7209,8336,58,84,58,8204,3945
65,8,1,first,2,200,7257,8384,66,68,66,7986,4004
65,7,4,second,2,200,7160,8276,54,80,66,8131,4078
65,8,1,first,3,200,7207,8410,70,72,58,7935,4065
65,7,4,second,3,200,7260,8396,68,68,64,8000,4045
65,8,1,first,4,200,7099,8263,55,75,70,8256,4001
65,7,4,second,4,200,7279,8384,63,72,65,8093,3919
65,8,1,first,5,200,7194,8269,66,74,60,7889,4072
65,7,4,second,5,200,7237,8250,63,70,67,7827,4066
65,8,1,first,6,200,7257,8356,71,75,54,7830,4061
65,7,4,second,6,200,7270,8426,69,78,53,7945,4164
65,8,1,first,7,200,7219,8355,61,77,62,7963,4062
65,7,4,second,7,200,7305,8286,68,69,63,8009,4073
65,8,1,first,8,200,7116,8389,54,94,52,7918,3963
65,7,4,second,8,200,7169,8234,61,63,76,7887,3986
65,8,1,first,9,200,7316,8362,75,72,53,7813,4117
65,7,4,second,9,200,7139,8280,66,68,66,7966,4127
65,8,1,first,10,200,7175,8294,56,81,63,8257,3965
65,7,4,second,10,200,7201,8341,64,72,64,8310,3974
65,8,1,first,11,200,7175,8375,69,81,50,7766,4170
65,7,4,second,11,200,7206,8401,68,83,49,7838,4213
65,8,1,first,12,200,7159,8350,68,82,50,7873,4177
65,7,4,second,12,200,7193,8356,57,89,54,7853,4242
65,8,1,first,13,200,7286,8391,52,77,71,8482,3755
65,7,4,second,13,200,7232,8341,44,80,76,8495,3745
65,8,1,first,14,200,7186,8301,68,79,53,7695,4129
65,7,4,second,14,200,7302,8374,70,73,57,7828,4214
65,8,1,first,15,200,7234,8308,57,75,68,8266,3948
65,7,4,second,15,200,7215,8258,55,74,71,8301,3895
65,8,1,first,16,200,7266,8364,59,72,69,8464,3934
65,7,4,second,16,200,7223,8275,63,61,76,8361,3925
65,8,1,first,17,200,7266,8339,57,79,64,8271,3879
65,7,4,second,17,200,7280,8385,61,79,60,8275,3937
65,8,1,first,18,200,7267,8328,67,72,61,8053,4035
65,7,4,second,18,200,7373,8401,71,72,57,8009,4113
65,8,1,first,19,200,7254,8435,68,78,54,8062,4046
65,7,4,second,19,200,7148,8323,57,83,60,8136,3943
65,8,1,first,20,200,7210,8280,63,79,58,7847,4126
65,7,4,second,20,200,7194,8357,66,71,63,7899,4128
65,8,1,first,21,200,7190,8379,65,74,61,7964,3932
65,7,4,second,21,200,7205,8324,58,80,62,8002,3947
65,8,1,first,22,200,7299,8360,51,76,73,8522,3769
65,7,4,second,22,200,7298,8426,52,77,71,8493,3807
65,8,1,first,23,200,7188,8419,55,85,60,8158,3980
65,7,4,second,23,200,7354,8491,68,72,60,8077,4020
65,8,1,first,24,200,7307,8383,61,81,58,8070,3984
65,7,4,second,24,200,7264,8380,66,72,62,8140,3955
65,8,1,first,25,200,7239,8403,60,86,54,7976,3992
65,7,4,second,25,200,7280,8363,69,74,57,7925,4026
65,8,1,first,26,200,7261,8354,58,68,74,8269,3869
65,7,4,second,26,200,7236,8350,58,78,64,8357,3847
65,8,1,first,27,200,7230,8379,55,73,72,8432,3801
65,7,4,second,27,200,7323,8412,59,77,64,8444,3785
65,8,1,first,28,200,7261,8332,64,80,56,7988,4078
65,7,4,second,28,200,7269,8357,68,76,56,7988,4063
65,8,1,first,29,200,7311,8419,73,70,57,7896,4048
65,7,4,second,29,200,7238,8326,62,77,61,8088,4112
