n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs,sum_even_numerator_squared,sum_i0_even_numerator,sum_i2_even_numerator
130,11,3,first,0,200,14544,16285,64,66,70,15633,8081,2838194,7106,8757
130,9,7,second,0,200,14563,16331,60,76,64,15710,8082,2854062,6656,8001
130,11,3,first,1,200,14399,16441,44,93,63,16193,7949,2938556,4963,7986
130,9,7,second,1,200,14667,16272,59,84,57,16094,7966,2918678,6642,7207
130,11,3,first,2,200,14466,16235,70,67,63,15296,8324,2817010,7771,7870
130,9,7,second,2,200,14766,16466,79,68,53,15341,8237,2805162,8813,6652
130,11,3,first,3,200,14598,16333,50,81,69,16278,7678,2896134,5658,8636
130,9,7,second,3,200,14678,16363,49,86,65,16275,7763,2920786,5468,8285
130,11,3,first,4,200,14436,16217,55,71,74,16347,7708,2921569,6219,9374
130,9,7,second,4,200,14842,16494,66,79,55,16090,7792,2878912,7436,7014
130,11,3,first,5,200,14693,16406,68,69,63,16003,7890,2882249,7660,7945
130,9,7,second,5,200,14656,16351,58,80,62,15884,7931,2862821,6571,7779
130,11,3,first,6,200,14718,16501,64,70,66,16373,7814,2950819,7288,8361
130,9,7,second,6,200,14701,16354,64,74,62,16398,7774,2947328,7282,7920
130,11,3,first,7,200,14812,16524,71,78,51,15779,8071,2873436,7953,6515
130,9,7,second,7,200,14569,16262,56,76,68,15851,8001,2875182,6075,8587
130,11,3,first,8,200,14595,16424,72,85,43,15167,8361,2796726,8020,5402
130,9,7,second,8,200,14741,16474,76,71,53,15215,8390,2811069,8378,6676
130,11,3,first,9,200,14871,16521,71,73,56,15969,8009,2902682,8056,7119
130,9,7,second,9,200,14823,16375,68,73,59,15886,7934,2861150,7690,7449
130,11,3,first,10,200,14534,16454,57,82,61,16244,7659,2882113,6485,7686
130,9,7,second,10,200,14842,16542,71,65,64,16285,7729,2908162,8059,7973
130,11,3,first,11,200,14593,16419,62,72,66,16080,7725,2861813,6892,8215
130,9,7,second,11,200,14594,16305,62,75,63,16151,7712,2875175,6961,7975
130,11,3,first,12,200,14613,16179,57,67,76,16100,7880,2899956,6488,9446
130,9,7,second,12,200,14522,16234,51,73,76,16108,7882,2906758,5651,9592
130,11,3,first,13,200,14715,16293,66,71,63,16094,7972,2922574,7543,7875
130,9,7,second,13,200,14445,16332,57,81,62,16017,7787,2855364,6427,7704
130,11,3,first,14,200,14686,16416,77,70,53,15389,8268,2828307,8529,6744
130,9,7,second,14,200,14735,16434,74,71,55,15484,8265,2850243,8154,7026
130,11,3,first,15,200,14677,16313,56,72,72,16122,7700,2864942,6257,9008
130,9,7,second,15,200,14738,16446,55,87,58,16141,7777,2888792,6100,7394
130,11,3,first,16,200,14520,16442,66,81,53,15520,8054,2807072,7295,6575
130,9,7,second,16,200,14539,16355,58,86,56,15631,7996,2823161,6234,7154
130,11,3,first,17,200,14603,16395,68,71,61,16185,7923,2937068,7540,7791
130,9,7,second,17,200,14647,16449,61,81,58,16286,7820,2935642,6924,7378
130,11,3,first,18,200,14612,16306,52,82,66,16067,7818,2878455,5738,8350
130,9,7,second,18,200,14599,16460,63,78,59,16174,7708,2879266,7098,7364
130,11,3,first,19,200,14631,16436,62,75,63,16224,7697,2889379,6999,8013
130,9,7,second,19,200,14568,16370,62,78,60,16142,7503,2824049,6758,7534
130,11,3,first,20,200,14562,16268,58,69,73,16368,7614,2899468,6512,9159
130,9,7,second,20,200,14844,16453,72,68,60,16253,7631,2879852,8102,7592
130,11,3,first,21,200,14554,16389,55,82,63,16262,7766,2913130,6204,7918
130,9,7,second,21,200,14625,16289,55,70,75,16276,7671,2892539,6089,9510
130,11,3,first,22,200,14743,16590,75,75,50,15770,8168,2890804,8573,6332
130,9,7,second,22,200,14494,16286,61,79,60,15808,8073,2880417,6780,7669
130,11,3,first,23,200,14551,16270,60,75,65,15776,8041,2861389,6794,8047
130,9,7,second,23,200,14716,16245,67,73,60,15940,8062,2901534,7729,7530
130,11,3,first,24,200,14624,16477,66,77,57,16105,7792,2884545,7450,7252
130,9,7,second,24,200,14686,16369,62,71,67,16441,7735,2949822,6937,8563
130,11,3,first,25,200,14558,16350,58,80,62,16176,7693,2871985,6452,7790
130,9,7,second,25,200,14582,16403,56,77,67,16191,7681,2875840,6293,8413
130,11,3,first,26,200,14641,16456,64,79,57,15527,8068,2810227,7074,7102
130,9,7,second,26,200,14710,16320,67,71,62,15845,8100,2890637,7601,7776
130,11,3,first,27,200,14607,16264,53,77,70,16082,7754,2868154,5966,8694
130,9,7,second,27,200,14797,16450,65,72,63,16185,7832,2913183,7322,7965
130,11,3,first,28,200,14684,16275,57,76,67,16047,7777,2866586,6364,8367
130,9,7,second,28,200,14630,16325,60,78,62,16320,7779,2935317,6712,7975
130,11,3,first,29,200,14542,16213,57,74,69,16010,8015,2911435,6386,8793
130,9,7,second,29,200,14519,16431,61,79,60,15816,8069,2879581,6725,7647
130,11,3,first,30,200,14816,16374,75,64,61,15745,8012,2854679,8331,7736
130,9,7,second,30,200,14597,16211,70,64,66,16038,7936,2904064,7838,8449
130,11,3,first,31,200,14712,16288,60,82,58,16029,7765,2858980,6682,7194
130,9,7,second,31,200,14552,16301,56,73,71,16295,7755,2915412,6327,8798
130,11,3,first,32,200,14539,16266,69,63,68,15420,8118,2797942,7673,8459
130,9,7,second,32,200,14638,16464,71,78,51,15563,8174,2842511,8086,6379
130,11,3,first,33,200,14590,16348,63,73,64,15645,8126,2856913,6916,8034
130,9,7,second,33,200,14689,16490,78,65,57,15808,8080,2882532,8769,7196
130,11,3,first,34,200,14621,16360,61,76,63,16145,7901,2917174,6846,7974
130,9,7,second,34,200,14518,16310,57,81,62,16255,7963,2958760,6491,7871
130,11,3,first,35,200,14764,16468,66,78,56,15896,7890,2857062,7511,7058
130,9,7,second,35,200,14721,16533,70,70,60,16151,7888,2917817,8056,7550
130,11,3,first,36,200,14556,16314,54,79,67,16382,7709,2930949,6057,8461
130,9,7,second,36,200,14703,16384,67,70,63,16230,7636,2876068,7550,7908
130,11,3,first,37,200,14542,16322,59,68,73,16138,7891,2914435,6705,9166
130,9,7,second,37,200,14414,16207,51,79,70,16096,7949,2919027,5629,8956
130,11,3,first,38,200,14636,16390,67,74,59,15474,8087,2803263,7438,7382
130,9,7,second,38,200,14594,16373,55,80,65,15552,8121,2828611,6023,8117
130,11,3,first,39,200,14677,16494,69,77,54,15778,8032,2862230,7730,6782
130,9,7,second,39,200,14655,16417,62,79,59,15878,7975,2869591,6981,7401
130,11,3,first,40,200,14463,16272,53,83,64,16085,7755,2870870,5820,8031
130,9,7,second,40,200,14633,16279,66,71,63,15900,7924,2863022,7354,7878
130,11,3,first,41,200,14612,16418,57,70,73,16233,7818,2919619,6358,9175
130,9,7,second,41,200,14654,16395,62,71,67,16184,7606,2860360,6759,8440
130,11,3,first,42,200,14603,16310,68,75,57,15642,8123,2850687,7630,7106
130,9,7,second,42,200,14713,16418,67,78,55,15611,8134,2846009,7532,6834
130,11,3,first,43,200,14750,16316,60,81,59,16307,7711,2908460,6700,7418
130,9,7,second,43,200,14366,16311,51,73,76,16305,7717,2907820,5750,9485
130,11,3,first,44,200,14584,16379,60,80,60,15821,7971,2858900,6611,7589
130,9,7,second,44,200,14573,16445,61,76,63,15571,7923,2782728,6750,7835
130,11,3,first,45,200,14593,16423,66,72,62,16129,7862,2908743,7395,7941
130,9,7,second,45,200,14467,16349,67,67,66,16150,7886,2913724,7710,8361
130,11,3,first,46,200,14627,16376,63,75,62,16120,7714,2865450,7214,7726
130,9,7,second,46,200,14769,16369,72,60,68,16098,7827,2890623,8119,8646
130,11,3,first,47,200,14530,16180,60,72,68,16097,7882,2901759,6854,8509
130,9,7,second,47,200,14531,16376,58,75,67,15969,7835,2859386,6478,8386
130,11,3,first,48,200,14566,16416,69,73,58,15537,8116,2825093,7613,7358
130,9,7,second,48,200,14669,16349,68,72,60,15744,8144,2881140,7596,7594
130,11,3,first,49,200,14743,16416,59,78,63,16331,7785,2936544,6691,7988
130,9,7,second,49,200,14652,16403,51,79,70,16521,7707,2959856,5728,8909
130,11,3,first,50,200,14743,16461,65,67,68,16379,7748,2938265,7343,8653
