n,a,b,orientation,batch,samples,kind,k,count
50,3,4,first,0,800,minus,13,1
50,3,4,first,0,800,minus,14,3
50,3,4,first,0,800,minus,15,4
50,3,4,first,0,800,minus,16,8
50,3,4,first,0,800,minus,17,14
50,3,4,first,0,800,minus,18,15
50,3,4,first,0,800,minus,19,17
50,3,4,first,0,800,minus,20,16
50,3,4,first,0,800,minus,21,26
50,3,4,first,0,800,minus,22,33
50,3,4,first,0,800,minus,23,49
50,3,4,first,0,800,minus,24,69
50,3,4,first,0,800,plus,24,2
50,3,4,first,0,800,minus,25,65
50,3,4,first,0,800,plus,25,1
50,3,4,first,0,800,minus,26,87
50,3,4,first,0,800,plus,26,10
50,3,4,first,0,800,minus,27,63
50,3,4,first,0,800,plus,27,16
50,3,4,first,0,800,minus,28,86
50,3,4,first,0,800,plus,28,25
50,3,4,first,0,800,minus,29,88
50,3,4,first,0,800,plus,29,42
50,3,4,first,0,800,minus,30,59
50,3,4,first,0,800,plus,30,46
50,3,4,first,0,800,minus,31,43
50,3,4,first,0,800,plus,31,73
50,3,4,first,0,800,minus,32,29
50,3,4,first,0,800,plus,32,80
50,3,4,first,0,800,minus,33,17
50,3,4,first,0,800,plus,33,85
50,3,4,first,0,800,minus,34,5
50,3,4,first,0,800,plus,34,87
50,3,4,first,0,800,minus,35,2
50,3,4,first,0,800,plus,35,63
50,3,4,first,0,800,minus,36,1
50,3,4,first,0,800,plus,36,80
50,3,4,first,0,800,plus,37,53
50,3,4,first,0,800,plus,38,42
50,3,4,first,0,800,plus,39,36
50,3,4,first,0,800,plus,40,21
50,3,4,first,0,800,plus,41,18
50,3,4,first,0,800,plus,42,8
50,3,4,first,0,800,plus,43,3
50,3,4,first,0,800,plus,44,5
50,3,4,first,0,800,plus,45,2
50,3,4,first,0,800,plus,46,2
50,7,1,second,0,800,minus,15,1
50,7,1,second,0,800,minus,16,2
50,7,1,second,0,800,minus,18,4
50,7,1,second,0,800,minus,19,7
50,7,1,second,0,800,minus,20,9
50,7,1,second,0,800,plus,20,1
50,7,1,second,0,800,minus,21,14
50,7,1,second,0,800,minus,22,20
50,7,1,second,0,800,minus,23,39
50,7,1,second,0,800,plus,23,3
50,7,1,second,0,800,minus,24,47
50,7,1,second,0,800,plus,24,4
50,7,1,second,0,800,minus,25,65
50,7,1,second,0,800,plus,25,4
50,7,1,second,0,800,minus,26,74
50,7,1,second,0,800,plus,26,13
50,7,1,second,0,800,minus,27,95
50,7,1,second,0,800,plus,27,27
50,7,1,second,0,800,minus,28,105
50,7,1,second,0,800,plus,28,37
50,7,1,second,0,800,minus,29,90
50,7,1,second,0,800,plus,29,61
50,7,1,second,0,800,minus,30,77
50,7,1,second,0,800,plus,30,79
50,7,1,second,0,800,minus,31,64
50,7,1,second,0,800,plus,31,109
50,7,1,second,0,800,minus,32,42
50,7,1,second,0,800,plus,32,99
50,7,1,second,0,800,minus,33,21
50,7,1,second,0,800,plus,33,94
50,7,1,second,0,800,minus,34,13
50,7,1,second,0,800,plus,34,96
50,7,1,second,0,800,minus,35,6
50,7,1,second,0,800,plus,35,61
50,7,1,second,0,800,minus,36,4
50,7,1,second,0,800,plus,36,40
50,7,1,second,0,800,minus,37,1
50,7,1,second,0,800,plus,37,35
50,7,1,second,0,800,plus,38,21
50,7,1,second,0,800,plus,39,9
50,7,1,second,0,800,plus,40,1
50,7,1,second,0,800,plus,41,6
50,3,4,first,1,800,minus,13,2
50,3,4,first,1,800,minus,14,1
50,3,4,first,1,800,minus,15,1
50,3,4,first,1,800,minus,16,5
50,3,4,first,1,800,minus,17,13
50,3,4,first,1,800,minus,18,16
50,3,4,first,1,800,minus,19,15
50,3,4,first,1,800,minus,20,16
50,3,4,first,1,800,minus,21,48
50,3,4,first,1,800,minus,22,26
50,3,4,first,1,800,minus,23,48
50,3,4,first,1,800,plus,23,1
50,3,4,first,1,800,minus,24,62
50,3,4,first,1,800,minus,25,67
50,3,4,first,1,800,plus,25,2
50,3,4,first,1,800,minus,26,72
50,3,4,first,1,800,plus,26,7
50,3,4,first,1,800,minus,27,93
50,3,4,first,1,800,plus,27,18
50,3,4,first,1,800,minus,28,89
50,3,4,first,1,800,plus,28,32
50,3,4,first,1,800,minus,29,81
50,3,4,first,1,800,plus,29,43
50,3,4,first,1,800,minus,30,52
50,3,4,first,1,800,plus,30,43
50,3,4,first,1,800,minus,31,49
50,3,4,first,1,800,plus,31,72
50,3,4,first,1,800,minus,32,23
50,3,4,first,1,800,plus,32,85
50,3,4,first,1,800,minus,33,12
50,3,4,first,1,800,plus,33,94
50,3,4,first,1,800,minus,34,7
50,3,4,first,1,800,plus,34,81
50,3,4,first,1,800,minus,35,2
50,3,4,first,1,800,plus,35,73
50,3,4,first,1,800,plus,36,60
50,3,4,first,1,800,plus,37,61
50,3,4,first,1,800,plus,38,32
50,3,4,first,1,800,plus,39,36
50,3,4,first,1,800,plus,40,19
50,3,4,first,1,800,plus,41,11
50,3,4,first,1,800,plus,42,10
50,3,4,first,1,800,plus,43,11
50,3,4,first,1,800,plus,44,3
50,3,4,first,1,800,plus,45,5
50,3,4,first,1,800,plus,46,1
50,7,1,second,1,800,minus,15,1
50,7,1,second,1,800,minus,17,4
50,7,1,second,1,800,minus,18,2
50,7,1,second,1,800,minus,19,4
50,7,1,second,1,800,minus,20,9
50,7,1,second,1,800,minus,21,10
50,7,1,second,1,800,minus,22,23
50,7,1,second,1,800,minus,23,27
50,7,1,second,1,800,minus,24,47
50,7,1,second,1,800,plus,24,5
50,7,1,second,1,800,minus,25,76
50,7,1,second,1,800,plus,25,4
50,7,1,second,1,800,minus,26,77
50,7,1,second,1,800,plus,26,12
50,7,1,second,1,800,minus,27,85
50,7,1,second,1,800,plus,27,17
50,7,1,second,1,800,minus,28,108
50,7,1,second,1,800,plus,28,33
50,7,1,second,1,800,minus,29,87
50,7,1,second,1,800,plus,29,66
50,7,1,second,1,800,minus,30,80
50,7,1,second,1,800,plus,30,95
50,7,1,second,1,800,minus,31,72
