n,a,b,orientation,batch,samples,kind,k,count
50,0,5,first,0,200,minus,13,1
50,0,5,first,0,200,minus,14,1
50,0,5,first,0,200,minus,15,1
50,0,5,first,0,200,minus,16,1
50,0,5,first,0,200,minus,17,2
50,0,5,first,0,200,minus,18,5
50,0,5,first,0,200,minus,19,6
50,0,5,first,0,200,minus,20,6
50,0,5,first,0,200,minus,21,11
50,0,5,first,0,200,minus,22,7
50,0,5,first,0,200,minus,23,7
50,0,5,first,0,200,minus,24,13
50,0,5,first,0,200,plus,24,1
50,0,5,first,0,200,minus,25,20
50,0,5,first,0,200,plus,25,2
50,0,5,first,0,200,minus,26,18
50,0,5,first,0,200,plus,26,3
50,0,5,first,0,200,minus,27,21
50,0,5,first,0,200,plus,27,2
50,0,5,first,0,200,minus,28,23
50,0,5,first,0,200,plus,28,5
50,0,5,first,0,200,minus,29,25
50,0,5,first,0,200,plus,29,7
50,0,5,first,0,200,minus,30,14
50,0,5,first,0,200,plus,30,15
50,0,5,first,0,200,minus,31,8
50,0,5,first,0,200,plus,31,15
50,0,5,first,0,200,minus,32,6
50,0,5,first,0,200,plus,32,29
50,0,5,first,0,200,minus,33,4
50,0,5,first,0,200,plus,33,17
50,0,5,first,0,200,plus,34,18
50,0,5,first,0,200,plus,35,12
50,0,5,first,0,200,plus,36,25
50,0,5,first,0,200,plus,37,16
50,0,5,first,0,200,plus,38,6
50,0,5,first,0,200,plus,39,8
50,0,5,first,0,200,plus,40,3
50,0,5,first,0,200,plus,41,7
50,0,5,first,0,200,plus,42,6
50,0,5,first,0,200,plus,43,3
50,7,1,second,0,200,minus,18,1
50,7,1,second,0,200,minus,19,3
50,7,1,second,0,200,minus,20,3
50,7,1,second,0,200,minus,21,2
50,7,1,second,0,200,minus,22,4
50,7,1,second,0,200,minus,23,6
50,7,1,second,0,200,minus,24,15
50,7,1,second,0,200,plus,24,1
50,7,1,second,0,200,minus,25,15
50,7,1,second,0,200,minus,26,20
50,7,1,second,0,200,plus,26,3
50,7,1,second,0,200,minus,27,20
50,7,1,second,0,200,plus,27,3
50,7,1,second,0,200,minus,28,26
50,7,1,second,0,200,plus,28,11
50,7,1,second,0,200,minus,29,19
50,7,1,second,0,200,plus,29,19
50,7,1,second,0,200,minus,30,24
50,7,1,second,0,200,plus,30,22
50,7,1,second,0,200,minus,31,15
50,7,1,second,0,200,plus,31,23
50,7,1,second,0,200,minus,32,12
50,7,1,second,0,200,plus,32,24
50,7,1,second,0,200,minus,33,7
50,7,1,second,0,200,plus,33,20
50,7,1,second,0,200,minus,34,5
50,7,1,second,0,200,plus,34,16
50,7,1,second,0,200,minus,35,1
50,7,1,second,0,200,plus,35,21
50,7,1,second,0,200,plus,36,12
50,7,1,second,0,200,minus,37,2
50,7,1,second,0,200,plus,37,7
50,7,1,second,0,200,plus,38,8
50,7,1,second,0,200,plus,39,3
50,7,1,second,0,200,plus,40,7
50,0,5,first,1,200,minus,14,1
50,0,5,first,1,200,minus,15,1
50,0,5,first,1,200,minus,16,3
50,0,5,first,1,200,minus,17,2
50,0,5,first,1,200,minus,18,6
50,0,5,first,1,200,minus,19,2
50,0,5,first,1,200,minus,20,3
50,0,5,first,1,200,minus,21,3
50,0,5,first,1,200,minus,22,11
50,0,5,first,1,200,minus,23,14
50,0,5,first,1,200,minus,24,11
50,0,5,first,1,200,minus,25,26
50,0,5,first,1,200,minus,26,16
50,0,5,first,1,200,plus,26,1
50,0,5,first,1,200,minus,27,18
50,0,5,first,1,200,plus,27,2
50,0,5,first,1,200,minus,28,27
50,0,5,first,1,200,plus,28,3
50,0,5,first,1,200,minus,29,15
50,0,5,first,1,200,plus,29,8
50,0,5,first,1,200,minus,30,12
50,0,5,first,1,200,plus,30,14
50,0,5,first,1,200,minus,31,17
50,0,5,first,1,200,plus,31,20
50,0,5,first,1,200,minus,32,6
50,0,5,first,1,200,plus,32,24
50,0,5,first,1,200,minus,33,4
50,0,5,first,1,200,plus,33,20
50,0,5,first,1,200,minus,34,1
50,0,5,first,1,200,plus,34,24
50,0,5,first,1,200,minus,35,1
50,0,5,first,1,200,plus,35,27
50,0,5,first,1,200,plus,36,14
50,0,5,first,1,200,plus,37,8
50,0,5,first,1,200,plus,38,11
50,0,5,first,1,200,plus,39,7
50,0,5,first,1,200,plus,40,6
50,0,5,first,1,200,plus,41,1
50,0,5,first,1,200,plus,42,9
50,0,5,first,1,200,plus,44,1
50,7,1,second,1,200,minus,17,1
50,7,1,second,1,200,minus,20,3
50,7,1,second,1,200,minus,21,2
50,7,1,second,1,200,minus,22,4
50,7,1,second,1,200,minus,23,4
50,7,1,second,1,200,plus,23,1
50,7,1,second,1,200,minus,24,8
50,7,1,second,1,200,minus,25,17
50,7,1,second,1,200,plus,25,2
50,7,1,second,1,200,minus,26,16
50,7,1,second,1,200,plus,26,2
50,7,1,second,1,200,minus,27,28
50,7,1,second,1,200,plus,27,7
50,7,1,second,1,200,minus,28,32
50,7,1,second,1,200,plus,28,8
50,7,1,second,1,200,minus,29,21
50,7,1,second,1,200,plus,29,10
50,7,1,second,1,200,minus,30,25
50,7,1,second,1,200,plus,30,27
50,7,1,second,1,200,minus,31,15
50,7,1,second,1,200,plus,31,19
50,7,1,second,1,200,minus,32,6
50,7,1,second,1,200,plus,32,20
50,7,1,second,1,200,minus,33,8
50,7,1,second,1,200,plus,33,24
50,7,1,second,1,200,minus,34,7
50,7,1,second,1,200,plus,34,27
50,7,1,second,1,200,minus,35,3
50,7,1,second,1,200,plus,35,15
50,7,1,second,1,200,plus,36,17
50,7,1,second,1,200,plus,37,8
50,7,1,second,1,200,plus,38,8
50,7,1,second,1,200,plus,39,2
50,7,1,second,1,200,plus,40,3
50,0,5,first,2,200,minus,13,1
50,0,5,first,2,200,minus,15,2
50,0,5,first,2,200,minus,16,1
50,0,5,first,2,200,minus,17,2
50,0,5,first,2,200,minus,18,4
50,0,5,first,2,200,minus,19,3
50,0,5,first,2,200,minus,20,7
50,0,5,first,2,200,minus,21,4
50,0,5,first,2,200,minus,22,10
50,0,5,first,2,200,minus,23,10
50,0,5,first,2,200,minus,24,11
50,0,5,first,2,200,minus,25,15
50,0,5,first,2,200,minus,26,16
50,0,5,first,2,200,plus,26,3
50,0,5,first,2,200,minus,27,22
50,0,5,first,2,200,plus,27,6
50,0,5,first,2,200,minus,28,23
50,0,5,first,2,200,plus,28,2
50,0,5,first,2,200,minus,29,26
50,0,5,first,2,200,plus,29,5
50,0,5,first,2,200,minus,30,20
50,0,5,first,2,200,plus,30,16
50,0,5,first,2,200,minus,31,10
50,0,5,first,2,200,plus,31,21
50,0,5,first,2,200,minus,32,7
50,0,5,first,2,200,plus,32,17
50,0,5,first,2,200,minus,33,4
50,0,5,first,2,200,plus,33,17
50,0,5,first,2,200,minus,34,1
50,0,5,first,2,200,plus,34,25
50,0,5,first,2,200,minus,35,1
50,0,5,first,2,200,plus,35,15
50,0,5,first,2,200,plus,36,27
50,0,5,first,2,200,plus,37,16
50,0,5,first,2,200,plus,38,10
50,0,5,first,2,200,plus,39,5
50,0,5,first,2,200,plus,40,8
50,0,5,first,2,200,plus,41,3
50,0,5,first,2,200,plus,42,2
50,0,5,first,2,200,plus,44,1
50,0,5,first,2,200,plus,45,1
50,7,1,second,2,200,minus,14,1
50,7,1,second,2,200,minus,18,2
50,7,1,second,2,200,minus,19,2
50,7,1,second,2,200,minus,20,1
50,7,1,second,2,200,minus,21,3
50,7,1,second,2,200,minus,22,4
50,7,1,second,2,200,minus,23,8
50,7,1,second,2,200,minus,24,17
50,7,1,second,2,200,plus,24,3
50,7,1,second,2,200,minus,25,13
50,7,1,second,2,200,plus,25,1
50,7,1,second,2,200,minus,26,24
50,7,1,second,2,200,plus,26,5
50,7,1,second,2,200,minus,27,15
50,7,1,second,2,200,plus,27,8
50,7,1,second,2,200,minus,28,28
50,7,1,second,2,200,plus,28,9
50,7,1,second,2,200,minus,29,17
50,7,1,second,2,200,plus,29,14
50,7,1,second,2,200,minus,30,18
50,7,1,second,2,200,plus,30,18
50,7,1,second,2,200,minus,31,14
50,7,1,second,2,200,plus,31,17
50,7,1,second,2,200,minus,32,14
50,7,1,second,2,200,plus,32,18
50,7,1,second,2,200,minus,33,11
50,7,1,second,2,200,plus,33,22
50,7,1,second,2,200,minus,34,6
50,7,1,second,2,200,plus,34,26
50,7,1,second,2,200,minus,35,2
50,7,1,second,2,200,plus,35,21
50,7,1,second,2,200,plus,36,14
50,7,1,second,2,200,plus,37,14
50,7,1,second,2,200,plus,38,5
50,7,1,second,2,200,plus,39,2
50,7,1,second,2,200,plus,40,3
50,0,5,first,3,200,minus,14,2
50,0,5,first,3,200,minus,15,6
50,0,5,first,3,200,minus,16,1
50,0,5,first,3,200,minus,17,2
50,0,5,first,3,200,minus,18,1
50,0,5,first,3,200,minus,19,3
50,0,5,first,3,200,minus,20,6
50,0,5,first,3,200,minus,21,7
50,0,5,first,3,200,minus,22,10
50,0,5,first,3,200,minus,23,15
50,0,5,first,3,200,minus,24,11
50,0,5,first,3,200,minus,25,13
50,0,5,first,3,200,minus,26,27
50,0,5,first,3,200,plus,26,2
50,0,5,first,3,200,minus,27,17
50,0,5,first,3,200,plus,27,6
50,0,5,first,3,200,minus,28,27
50,0,5,first,3,200,plus,28,7
50,0,5,first,3,200,minus,29,14
50,0,5,first,3,200,plus,29,8
50,0,5,first,3,200,minus,30,19
50,0,5,first,3,200,plus,30,11
50,0,5,first,3,200,minus,31,7
50,0,5,first,3,200,plus,31,17
50,0,5,first,3,200,minus,32,4
50,0,5,first,3,200,plus,32,22
50,0,5,first,3,200,minus,33,5
50,0,5,first,3,200,plus,33,25
50,0,5,first,3,200,minus,34,3
50,0,5,first,3,200,plus,34,25
50,0,5,first,3,200,plus,35,12
50,0,5,first,3,200,plus,36,17
50,0,5,first,3,200,plus,37,11
50,0,5,first,3,200,plus,38,14
50,0,5,first,3,200,plus,39,6
50,0,5,first,3,200,plus,40,4
50,0,5,first,3,200,plus,41,5
50,0,5,first,3,200,plus,42,5
50,0,5,first,3,200,plus,43,2
50,0,5,first,3,200,plus,44,1
50,7,1,second,3,200,minus,17,1
50,7,1,second,3,200,minus,18,1
50,7,1,second,3,200,minus,20,1
50,7,1,second,3,200,minus,21,1
50,7,1,second,3,200,minus,22,7
50,7,1,second,3,200,minus,23,6
50,7,1,second,3,200,minus,24,11
50,7,1,second,3,200,plus,24,1
50,7,1,second,3,200,minus,25,22
50,7,1,second,3,200,plus,25,2
50,7,1,second,3,200,minus,26,18
50,7,1,second,3,200,minus,27,28
50,7,1,second,3,200,plus,27,4
50,7,1,second,3,200,minus,28,21
50,7,1,second,3,200,plus,28,17
50,7,1,second,3,200,minus,29,23
50,7,1,second,3,200,plus,29,17
50,7,1,second,3,200,minus,30,26
50,7,1,second,3,200,plus,30,19
50,7,1,second,3,200,minus,31,15
50,7,1,second,3,200,plus,31,22
50,7,1,second,3,200,minus,32,10
50,7,1,second,3,200,plus,32,27
50,7,1,second,3,200,minus,33,4
50,7,1,second,3,200,plus,33,25
50,7,1,second,3,200,minus,34,2
50,7,1,second,3,200,plus,34,20
50,7,1,second,3,200,plus,35,19
50,7,1,second,3,200,minus,36,3
50,7,1,second,3,200,plus,36,7
50,7,1,second,3,200,plus,37,10
50,7,1,second,3,200,plus,38,4
50,7,1,second,3,200,plus,39,3
50,7,1,second,3,200,plus,40,1
50,7,1,second,3,200,plus,41,2
50,0,5,first,4,200,minus,11,1
50,0,5,first,4,200,minus,14,1
50,0,5,first,4,200,minus,15,1
50,0,5,first,4,200,minus,17,3
50,0,5,first,4,200,minus,18,3
50,0,5,first,4,200,minus,19,3
50,0,5,first,4,200,minus,20,2
50,0,5,first,4,200,minus,21,11
50,0,5,first,4,200,minus,22,8
50,0,5,first,4,200,minus,23,10
50,0,5,first,4,200,minus,24,14
50,0,5,first,4,200,minus,25,25
50,0,5,first,4,200,plus,25,1
50,0,5,first,4,200,minus,26,19
50,0,5,first,4,200,plus,26,2
50,0,5,first,4,200,minus,27,20
50,0,5,first,4,200,plus,27,4
50,0,5,first,4,200,minus,28,20
50,0,5,first,4,200,plus,28,6
50,0,5,first,4,200,minus,29,15
50,0,5,first,4,200,plus,29,8
50,0,5,first,4,200,minus,30,16
50,0,5,first,4,200,plus,30,8
50,0,5,first,4,200,minus,31,12
50,0,5,first,4,200,plus,31,17
50,0,5,first,4,200,minus,32,11
50,0,5,first,4,200,plus,32,28
50,0,5,first,4,200,minus,33,3
50,0,5,first,4,200,plus,33,19
50,0,5,first,4,200,minus,34,2
50,0,5,first,4,200,plus,34,27
50,0,5,first,4,200,plus,35,25
50,0,5,first,4,200,plus,36,9
50,0,5,first,4,200,plus,37,14
50,0,5,first,4,200,plus,38,11
50,0,5,first,4,200,plus,39,8
50,0,5,first,4,200,plus,40,6
50,0,5,first,4,200,plus,41,2
50,0,5,first,4,200,plus,42,2
50,0,5,first,4,200,plus,43,1
50,0,5,first,4,200,plus,44,2
50,7,1,second,4,200,minus,17,1
50,7,1,second,4,200,minus,18,1
50,7,1,second,4,200,minus,19,2
50,7,1,second,4,200,minus,20,2
50,7,1,second,4,200,minus,21,4
50,7,1,second,4,200,minus,22,3
50,7,1,second,4,200,minus,23,7
50,7,1,second,4,200,minus,24,11
50,7,1,second,4,200,minus,25,10
50,7,1,second,4,200,plus,25,2
50,7,1,second,4,200,minus,26,16
50,7,1,second,4,200,plus,26,2
50,7,1,second,4,200,minus,27,24
50,7,1,second,4,200,plus,27,5
50,7,1,second,4,200,minus,28,21
50,7,1,second,4,200,plus,28,6
50,7,1,second,4,200,minus,29,39
50,7,1,second,4,200,plus,29,13
50,7,1,second,4,200,minus,30,18
50,7,1,second,4,200,plus,30,19
50,7,1,second,4,200,minus,31,22
50,7,1,second,4,200,plus,31,24
50,7,1,second,4,200,minus,32,8
50,7,1,second,4,200,plus,32,37
50,7,1,second,4,200,minus,33,7
50,7,1,second,4,200,plus,33,33
50,7,1,second,4,200,minus,34,2
50,7,1,second,4,200,plus,34,17
50,7,1,second,4,200,minus,35,2
50,7,1,second,4,200,plus,35,15
50,7,1,second,4,200,plus,36,10
50,7,1,second,4,200,plus,37,13
50,7,1,second,4,200,plus,38,3
50,7,1,second,4,200,plus,42,1
50,0,5,first,5,200,minus,14,1
50,0,5,first,5,200,minus,16,2
50,0,5,first,5,200,minus,17,3
50,0,5,first,5,200,minus,18,3
50,0,5,first,5,200,minus,19,4
50,0,5,first,5,200,minus,20,5
50,0,5,first,5,200,minus,21,6
50,0,5,first,5,200,minus,22,6
50,0,5,first,5,200,minus,23,10
50,0,5,first,5,200,minus,24,15
50,0,5,first,5,200,minus,25,20
50,0,5,first,5,200,plus,25,1
50,0,5,first,5,200,minus,26,26
50,0,5,first,5,200,plus,26,1
50,0,5,first,5,200,minus,27,19
50,0,5,first,5,200,plus,27,2
50,0,5,first,5,200,minus,28,23
50,0,5,first,5,200,plus,28,2
50,0,5,first,5,200,minus,29,17
50,0,5,first,5,200,plus,29,7
50,0,5,first,5,200,minus,30,22
50,0,5,first,5,200,plus,30,17
50,0,5,first,5,200,minus,31,10
50,0,5,first,5,200,plus,31,19
50,0,5,first,5,200,minus,32,5
50,0,5,first,5,200,plus,32,21
50,0,5,first,5,200,minus,33,2
50,0,5,first,5,200,plus,33,23
50,0,5,first,5,200,plus,34,20
50,0,5,first,5,200,minus,35,1
50,0,5,first,5,200,plus,35,22
50,0,5,first,5,200,plus,36,24
50,0,5,first,5,200,plus,37,11
50,0,5,first,5,200,plus,38,12
50,0,5,first,5,200,plus,39,7
50,0,5,first,5,200,plus,40,5
50,0,5,first,5,200,plus,41,5
50,0,5,first,5,200,plus,45,1
50,7,1,second,5,200,minus,17,1
50,7,1,second,5,200,minus,20,2
50,7,1,second,5,200,minus,21,2
50,7,1,second,5,200,minus,22,6
50,7,1,second,5,200,minus,23,7
50,7,1,second,5,200,minus,24,13
50,7,1,second,5,200,plus,24,2
50,7,1,second,5,200,minus,25,21
