n,a,b,orientation,batch,samples,sum_kminus,sum_kplus,sum_kminus2,sum_kplus2,sum_product,sum_gap,sum_gap2
50,0,5,first,0,800,20832,27325,558518,943875,711782,6493,78829
50,7,1,second,0,800,22019,25745,615243,836317,712357,3726,26846
50,0,5,first,1,800,20596,27118,544952,929404,698333,6522,77690
50,7,1,second,1,800,22106,25833,619526,841535,716921,3727,27219
50,0,5,first,2,800,20673,27099,549161,929031,701096,6426,76000
50,7,1,second,2,800,22025,26014,615827,853634,719680,3989,30101
50,0,5,first,3,800,20813,27144,557023,931546,707025,6331,74519
50,7,1,second,3,800,22183,26020,624677,854736,725369,3837,28675
50,0,5,first,4,800,20735,27013,550767,923001,701807,6278,70154
50,7,1,second,4,800,22268,25938,630288,848826,726447,3670,26220
50,0,5,first,5,800,20593,27105,545915,927847,697732,6512,78298
50,7,1,second,5,800,22280,25964,628600,850786,725996,3684,27394
50,0,5,first,6,800,20904,27025,561404,923305,706520,6121,71669
50,7,1,second,6,800,22108,25936,620310,849072,720486,3828,28410
50,0,5,first,7,800,20738,27042,552274,924414,702197,6304,72294
50,7,1,second,7,800,22077,25966,618681,850552,720030,3889,29173
50,0,5,first,8,800,20711,27082,550797,926878,701900,6371,73875
50,7,1,second,8,800,22105,25893,620341,845169,718565,3788,28380
50,0,5,first,9,800,20644,27119,547386,929623,700504,6475,76001
50,7,1,second,9,800,22292,25880,630202,845380,725477,3588,24628
50,0,5,first,10,800,20719,27000,552367,921994,699900,6281,74561
50,7,1,second,10,800,22160,26004,622760,853062,723524,3844,28774
50,0,5,first,11,800,20751,27173,552373,933119,704993,6422,75506
50,7,1,second,11,800,22179,25931,624099,847729,722357,3752,27114
50,0,5,first,12,800,20657,27127,548679,929823,700542,6470,77418
50,7,1,second,12,800,22158,25851,623702,843097,719608,3693,27583
50,0,5,first,13,800,20858,27150,557488,931614,707321,6292,74460
50,7,1,second,13,800,22129,25933,621087,847625,720108,3804,28496
50,0,5,first,14,800,20674,27233,550682,937909,704696,6559,79199
50,7,1,second,14,800,22109,25880,619473,844708,718199,3771,27783
50,0,5,first,15,800,20691,27214,549393,937398,704169,6523,78453
50,7,1,second,15,800,22051,25746,616741,835820,712638,3695,27285
50,0,5,first,16,800,20916,27144,561610,930564,710158,6228,71858
50,7,1,second,16,800,22089,25870,618825,844392,717663,3781,27891
50,0,5,first,17,800,20964,27170,563704,932900,712562,6206,71480
50,7,1,second,17,800,22307,25850,631111,843526,724989,3543,24659
50,0,5,first,18,800,20630,27261,548134,940965,703883,6631,81333
50,7,1,second,18,800,22253,25993,627927,851609,726566,3740,26404
50,0,5,first,19,800,20920,27036,562154,923792,707498,6116,70950
50,7,1,second,19,800,22515,25959,642001,850041,733772,3444,24498
50,0,5,first,20,800,20678,27069,548564,926567,700205,6391,74721
50,7,1,second,20,800,22349,25923,633795,848095,728360,3574,25170
50,0,5,first,21,800,20870,27099,558528,929177,707065,6229,73575
50,7,1,second,21,800,22235,25868,626103,843932,722437,3633,25161
50,0,5,first,22,800,20771,27181,554243,934453,706550,6410,75596
50,7,1,second,22,800,22210,25942,626098,848630,723687,3732,27354
50,0,5,first,23,800,20622,27120,546118,929580,699569,6498,76560
50,7,1,second,23,800,22229,25915,626725,846761,723177,3686,27132
50,0,5,first,24,800,20800,27080,555074,928146,705559,6280,72102
50,7,1,second,24,800,22140,25848,621546,843188,719267,3708,26200
50,0,5,first,25,800,20435,27065,536843,925467,691538,6630,79234
50,7,1,second,25,800,22136,25944,621756,849066,721290,3808,28242
50,0,5,first,26,800,20893,27129,560037,929641,709031,6236,71616
50,7,1,second,26,800,22329,25856,632519,842874,725388,3527,24617
50,0,5,first,27,800,20752,27235,552626,937197,706713,6483,76397
50,7,1,second,27,800,22405,25930,636887,848096,730265,3525,24453
50,0,5,first,28,800,20696,27115,550480,929463,702482,6419,74979
50,7,1,second,28,800,22308,25928,631098,848068,726709,3620,25748
50,0,5,first,29,800,20882,27033,559464,924235,707377,6151,68945
50,7,1,second,29,800,22299,25895,630901,845773,725579,3596,25516
50,0,5,first,30,800,20619,26993,546175,921109,696648,6374,73988
50,7,1,second,30,800,22256,25937,628754,849101,725631,3681,26593
50,0,5,first,31,800,20843,27141,557721,931097,708115,6298,72588
50,7,1,second,31,800,22321,26035,631545,854485,729893,3714,26244
50,0,5,first,32,800,20860,27092,558712,928100,707267,6232,72278
50,7,1,second,32,800,22231,25973,627419,851705,725731,3742,27662
50,0,5,first,33,800,20623,27075,546577,927177,698788,6452,76178
50,7,1,second,33,800,22151,25918,623407,847934,721599,3767,28143
50,0,5,first,34,800,20610,27082,546714,926826,697962,6472,77616
50,7,1,second,34,800,22252,26047,628440,856369,728368,3795,28073
50,0,5,first,35,800,20802,27004,555510,921460,702407,6202,72156
50,7,1,second,35,800,22093,25894,620187,846132,718847,3801,28625
50,0,5,first,36,800,20627,26996,546213,920988,696688,6369,73825
50,7,1,second,36,800,22212,25926,625074,848138,723320,3714,26572
50,0,5,first,37,800,20930,27355,561184,947105,716168,6425,75953
50,7,1,second,37,800,22026,25895,616496,845769,716758,3869,28749
50,0,5,first,38,800,20692,27070,549044,926244,700939,6378,73410
50,7,1,second,38,800,22190,25965,625272,850161,723875,3775,27683
50,0,5,first,39,800,20637,27067,548319,926205,699118,6430,76288
50,7,1,second,39,800,22187,25975,625507,851089,723972,3788,28652
50,0,5,first,40,800,20599,27018,544599,923468,695979,6419,76109
50,7,1,second,40,800,22225,26023,626495,853807,726196,3798,27910
50,0,5,first,41,800,20692,27065,549046,925739,700114,6373,74557
50,7,1,second,41,800,22013,25866,615011,844646,715529,3853,28599
50,0,5,first,42,800,20797,27055,555445,924901,703823,6258,72700
50,7,1,second,42,800,22296,25974,630042,850666,727402,3678,25904
50,0,5,first,43,800,20583,26909,543537,914997,692732,6326,73070
50,7,1,second,43,800,22236,26018,627240,853880,726754,3782,27612
50,0,5,first,44,800,20863,26984,557911,920642,705302,6121,67949
50,7,1,second,44,800,22239,25918,628057,847574,724448,3679,26735
50,0,5,first,45,800,20851,27078,557739,927960,707171,6227,71357
50,7,1,second,45,800,22249,25896,628423,846032,723903,3647,26649
50,0,5,first,46,800,20800,27189,555730,935163,708549,6389,73795
50,7,1,second,46,800,22148,25879,622194,844375,719549,3731,27471
50,0,5,first,47,800,20676,27139,549294,932289,702101,6463,77381
50,7,1,second,47,800,22209,25901,625245,847051,722811,3692,26674
50,0,5,first,48,800,20722,27183,551396,933987,704858,6461,75667
50,7,1,second,48,800,22157,26024,623275,854402,723906,3867,29865
50,0,5,first,49,800,20737,27012,551911,922682,701250,6275,72093
50,7,1,second,49,800,21955,25850,612005,842570,712410,3895,29755
50,0,5,first,50,800,20686,27210,551262,936718,704845,6524,78290
50,7,1,second,50,800,22187,25836,624123,841892,719892,3649,26231
50,0,5,first,51,800,20875,27155,557573,933239,709506,6280,71800
50,7,1,second,51,800,22067,25967,618361,850415,719576,3900,29624
50,0,5,first,52,800,20802,26994,556040,920676,702809,6192,71098
50,7,1,second,52,800,22200,25998,625676,852752,725410,3798,27608
50,0,5,first,53,800,20901,27111,559751,927959,709521,6210,68668
50,7,1,second,53,800,22187,25953,623713,849367,722887,3766,27306
50,0,5,first,54,800,20849,27153,558665,932255,708293,6304,74334
50,7,1,second,54,800,22028,25893,616160,845991,716409,3865,29333
50,0,5,first,55,800,20406,27142,536146,930866,691841,6736,83330
50,7,1,second,55,800,22152,25904,622190,846472,720719,3752,27224
50,0,5,first,56,800,20938,27010,562468,921978,707567,6072,69312
50,7,1,second,56,800,22311,26081,632483,857901,731017,3770,28350
50,0,5,first,57,800,20562,27272,543062,940572,701084,6710,81466
50,7,1,second,57,800,22130,25884,621528,844682,719369,3754,27472
50,0,5,first,58,800,20581,27222,544305,936680,701475,6641,78035
50,7,1,second,58,800,22194,25872,624568,844206,721415,3678,25944
50,0,5,first,59,800,20521,27071,541147,926831,695122,6550,77734
50,7,1,second,59,800,21946,25925,611840,848381,714233,3979,31755
50,0,5,first,60,800,20905,26948,560973,917850,705897,6043,67029
50,7,1,second,60,800,22165,25874,624011,844662,720402,3709,27869
50,0,5,first,61,800,20624,27251,546580,938131,702660,6627,79391
50,7,1,second,61,800,22241,25852,627183,843364,722206,3611,26135
50,0,5,first,62,800,20710,27071,551874,926103,701056,6361,75865
50,7,1,second,62,800,22142,25896,621890,846298,720396,3754,27396
50,0,5,first,63,800,20631,27245,546605,938383,702784,6614,79420
50,7,1,second,63,800,22097,25905,619799,846913,719305,3808,28102
50,0,5,first,64,800,20926,27096,560728,928462,709407,6170,70376
50,7,1,second,64,800,22048,25776,617242,837792,713474,3728,28086
50,0,5,first,65,800,20743,27172,551405,932990,704928,6429,74539
50,7,1,second,65,800,22488,26081,641026,857465,736144,3593,26203
50,0,5,first,66,800,20480,27049,538904,924455,693092,6569,77175
50,7,1,second,66,800,22210,25896,626100,846728,722999,3686,26830
50,0,5,first,67,800,20774,27020,553482,923488,702126,6246,72718
50,7,1,second,67,800,22094,25987,619718,852209,720995,3893,29937
50,0,5,first,68,800,20934,27189,561996,934523,712601,6255,71317
50,7,1,second,68,800,22312,25916,631728,847252,726210,3604,26560
50,0,5,first,69,800,20851,27197,557323,934353,709758,6346,72160
50,7,1,second,69,800,22205,26052,625455,855942,726252,3847,28893
50,0,5,first,70,800,20643,27164,546751,933322,701575,6521,76923
50,7,1,second,70,800,22203,25925,626389,847673,723454,3722,27154
50,0,5,first,71,800,20799,27322,556241,943234,710946,6523,77583
50,7,1,second,71,800,22113,25765,620541,837649,715747,3652,26696
50,0,5,first,72,800,20777,27183,555063,933869,706905,6406,75122
50,7,1,second,72,800,22256,25870,628482,844214,723433,3614,25830
50,0,5,first,73,800,20755,26988,553357,920768,701129,6233,71867
50,7,1,second,73,800,22278,26023,630310,854771,728566,3745,27949
50,0,5,first,74,800,20793,27170,555373,933176,707107,6377,74335
50,7,1,second,74,800,22171,26001,623497,852403,723706,3830,28488
50,0,5,first,75,800,20536,27097,542598,927979,696634,6561,77309
50,7,1,second,75,800,22012,25896,614706,846586,715931,3884,29430
50,0,5,first,76,800,20650,27074,547846,927654,700318,6424,74864
50,7,1,second,76,800,21939,25839,611343,841731,711661,3900,29752
50,0,5,first,77,800,20848,27201,558326,934979,710261,6353,72783
50,7,1,second,77,800,21944,25963,611770,851043,716021,4019,30771
50,0,5,first,78,800,20708,27002,550888,921812,700015,6294,72670
50,7,1,second,78,800,22178,25935,624542,848715,722347,3757,28563
50,0,5,first,79,800,20577,27104,544895,929576,698401,6527,77669
50,7,1,second,79,800,22129,25868,621159,844468,719237,3739,27153
50,0,5,first,80,800,20602,27244,544566,937944,701876,6642,78758
50,7,1,second,80,800,22237,26011,627557,852749,726017,3774,28272
50,0,5,first,81,800,20811,27215,555521,935323,707984,6404,74876
50,7,1,second,81,800,22264,26058,628650,856398,728360,3794,28328
50,0,5,first,82,800,20504,27204,539080,936906,697721,6700,80544
50,7,1,second,82,800,22192,25810,624710,839740,719415,3618,25620
50,0,5,first,83,800,20698,27314,549962,942768,706607,6616,79516
50,7,1,second,83,800,22111,25999,620859,852051,721584,3888,29742
50,0,5,first,84,800,20787,27198,556695,935054,707589,6411,76571
50,7,1,second,84,800,22189,25959,624427,849905,723234,3770,27864
50,0,5,first,85,800,20693,27187,548545,934565,703787,6494,75536
50,7,1,second,85,800,22307,26080,630557,858324,730399,3773,28083
50,0,5,first,86,800,20625,27133,546049,930783,699994,6508,76844
50,7,1,second,86,800,22239,25920,627773,847748,724624,3681,26273
50,0,5,first,87,800,20625,26904,546857,914220,694228,6279,72621
50,7,1,second,87,800,22219,25950,626505,849566,724151,3731,27769
50,0,5,first,88,800,20571,27136,543085,931274,698452,6565,77455
50,7,1,second,88,800,22102,25931,619820,848151,720079,3829,27813
50,0,5,first,89,800,20780,27116,554928,930258,705225,6336,74736
50,7,1,second,89,800,22153,25855,622851,843687,720056,3702,26426
50,0,5,first,90,800,20796,27279,554474,941645,710284,6483,75551
50,7,1,second,90,800,22235,25919,626737,847555,723794,3684,26704
50,0,5,first,91,800,20781,27159,554443,932251,706244,6378,74206
50,7,1,second,91,800,22133,25953,621531,849703,721406,3820,28422
50,0,5,first,92,800,20681,27063,549813,925673,699768,6382,75950
50,7,1,second,92,800,22053,25937,617005,848751,718349,3884,29058
50,0,5,first,93,800,20691,27160,548747,932754,702776,6469,75949
50,7,1,second,93,800,22180,25848,624238,842608,719913,3668,27020
50,0,5,first,94,800,21080,27223,569910,935581,718144,6143,69203
50,7,1,second,94,800,22172,25890,624354,845632,721273,3718,27440
50,0,5,first,95,800,20670,27162,548692,933104,703317,6492,75162
50,7,1,second,95,800,22211,26031,626345,854787,726674,3820,27784
50,0,5,first,96,800,20717,27191,550183,936247,704746,6474,76938
50,7,1,second,96,800,22312,25948,631220,849592,727212,3636,26388
50,0,5,first,97,800,20932,27088,561386,927586,709229,6156,70514
50,7,1,second,97,800,22380,26189,635530,865835,736448,3809,28469
50,0,5,first,98,800,20923,27240,561567,938308,713081,6317,73713
50,7,1,second,98,800,22216,25870,626486,843738,721857,3654,26510
50,0,5,first,99,800,20677,27232,548755,936404,704159,6555,76841
50,7,1,second,99,800,22108,25952,619902,849180,720227,3844,28628
