N,p,prefixes,original_batches,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,0.0,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.001,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.002,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.003,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.004,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.005,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.006,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.007,20000,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,0.008,20000,20,-4.74e-320,-8.05e-322,-4.8206e-320,4.6595e-320,0.0,0.0,0.0,0.0
325,0.009000000000000001,20000,20,-3.92881883049287e-310,-6.70916117593e-312,-3.99591044225216e-310,3.8617272187336e-310,0.0,0.0,0.0,0.0
325,0.01,20000,20,-2.888293513735179e-301,-4.9511256859351375e-303,-2.9378047705945304e-301,2.8387822568758276e-301,0.0,0.0,0.0,0.0
325,0.011,20000,20,-2.9910765850003113e-293,-5.146917550331147e-295,-3.0425457605036235e-293,2.939607409497e-293,0.0,0.0,0.0,0.0
325,0.012,20000,20,-6.139787455988199e-286,-1.0605489491942514e-287,-6.245842350907624e-286,6.033732561068775e-286,0.0,0.0,0.0,0.0
325,0.013000000000000001,20000,20,-3.2379057705477984e-279,-5.614355934894585e-281,-3.294049329896746e-279,3.1817622111988532e-279,0.0,0.0,0.0,0.0
325,0.014,20000,20,-5.3668717468995395e-273,-9.341485946756821e-275,-5.460286606367107e-273,5.27345688743197e-273,0.0,0.0,0.0,0.0
325,0.015,20000,20,-3.2804771977030605e-267,-5.7318054435541324e-269,-3.337795252138602e-267,3.2231591432675195e-267,0.0,0.0,0.0,0.0
325,0.016,20000,20,-8.41140908073413e-262,-1.4753107342205289e-263,-8.558940154156184e-262,8.26387800731208e-262,0.0,0.0,0.0,0.0
325,0.017,20000,20,-1.005276903706857e-256,-1.7699518235933298e-258,-1.0229764219427902e-256,9.875773854709235e-257,0.0,0.0,0.0,0.0
325,0.018000000000000002,20000,20,-6.11084948026903e-252,-1.0800378769977362e-253,-6.218853267968804e-252,6.002845692569255e-252,0.0,0.0,0.0,0.0
325,0.019,20000,20,-2.0327097762630876e-247,-3.6064100425324e-249,-2.0687738766884115e-247,1.9966456758377637e-247,0.0,0.0,0.0,0.0
325,0.02,20000,20,-3.9361838324147764e-243,-7.010324155258697e-245,-4.006287073967363e-243,3.8660805908621893e-243,0.0,0.0,0.0,0.0
325,0.021,20000,20,-4.677723385321844e-239,-8.362977655235551e-241,-4.761353161874198e-239,4.594093608769489e-239,0.0,0.0,0.0,0.0
325,0.022,20000,20,-3.570124572233994e-235,-6.407286148184855e-237,-3.634197433715842e-235,3.5060517107521455e-235,0.0,0.0,0.0,0.0
325,0.023,20000,20,-1.8202027543235707e-231,-3.27925769450624e-233,-1.852995331268633e-231,1.7874101773785082e-231,0.0,0.0,0.0,0.0
325,0.024,20000,20,-6.415898488585694e-228,-1.1603231970665633e-229,-6.531930808292352e-228,6.299866168879039e-228,0.0,0.0,0.0,0.0
325,0.025,20000,20,-1.611324479751036e-224,-2.925303243462246e-226,-1.640577512185658e-224,1.5820714473164134e-224,0.0,0.0,0.0,0.0
325,0.026000000000000002,20000,20,-2.961027044321127e-221,-5.396315667507282e-223,-3.0149902009962007e-221,2.9070638876460545e-221,0.0,0.0,0.0,0.0
325,0.027,20000,20,-4.076372492862997e-218,-7.457557506668075e-220,-4.1509480679296783e-218,4.001796917796317e-218,0.0,0.0,0.0,0.0
325,0.028,20000,20,-4.293369872873562e-215,-7.884778964181577e-217,-4.3722176625153773e-215,4.214522083231748e-215,0.0,0.0,0.0,0.0
325,0.029,20000,20,-3.5251371435136113e-212,-6.498848357879111e-214,-3.5901256270924033e-212,3.46014865993482e-212,0.0,0.0,0.0,0.0
325,0.03,20000,20,-2.2947591414676682e-209,-4.246854298660558e-211,-2.3372276844542734e-209,2.2522905984810624e-209,0.0,0.0,0.0,0.0
325,0.031,20000,20,-1.2025147328419393e-206,-2.2340414617856023e-208,-1.2248551474597952e-206,1.1801743182240827e-206,0.0,0.0,0.0,0.0
325,0.032,20000,20,-5.142983038665972e-204,-9.591514584284745e-206,-5.2388981845088206e-204,5.047067892823125e-204,0.0,0.0,0.0,0.0
325,0.033,20000,20,-1.817767066303556e-201,-3.403159592359067e-203,-1.851798662227147e-201,1.783735470379965e-201,0.0,0.0,0.0,0.0
325,0.034,20000,20,-5.370326840975472e-199,-1.0092935581852279e-200,-5.471256196793994e-199,5.269397485156949e-199,0.0,0.0,0.0,0.0
325,0.035,20000,20,-1.3400273720692444e-196,-2.528155990921903e-198,-1.3653089319784633e-196,1.3147458121600254e-196,0.0,0.0,0.0,0.0
325,0.036000000000000004,20000,20,-2.8510633345659726e-194,-5.399719442372643e-196,-2.9050605289896994e-194,2.7970661401422465e-194,0.0,0.0,0.0,0.0
325,0.037,20000,20,-5.217597227140158e-192,-9.919955781371543e-194,-5.316796784953875e-192,5.118397669326443e-192,0.0,0.0,0.0,0.0
