N,batch,counter,k0,first_k1,first_k2,first_rank,second_k1,second_k2,second_rank
425,0,43042500000,252,254,261,0,249,275,1
425,0,43042500001,252,246,254,1,303,307,0
425,0,43042500002,252,242,246,2,243,252,2
425,0,43042500003,252,240,252,2,251,259,1
425,0,43042500004,252,240,296,1,267,281,0
425,0,43042500005,252,267,286,0,259,266,0
425,0,43042500006,252,247,283,1,253,259,0
425,0,43042500007,252,263,270,0,275,279,0
425,0,43042500008,252,256,281,0,249,249,2
425,0,43042500009,252,251,260,1,207,252,2
425,0,43042500010,252,257,270,0,235,266,1
425,0,43042500011,252,261,262,0,234,244,2
425,0,43042500012,252,207,234,2,267,300,0
425,0,43042500013,252,224,266,1,216,259,1
425,0,43042500014,252,245,256,1,234,236,2
425,0,43042500015,252,248,254,1,245,264,1
425,0,43042500016,252,201,233,2,230,244,2
425,0,43042500017,252,236,237,2,258,277,0
425,0,43042500018,252,242,258,1,224,251,2
425,0,43042500019,252,246,248,2,245,250,2
425,0,43042500020,252,229,258,1,251,268,1
425,0,43042500021,252,256,273,0,243,249,2
425,0,43042500022,252,242,274,1,235,282,1
425,0,43042500023,252,238,260,1,234,239,2
425,0,43042500024,252,251,257,1,247,254,1
425,0,43042500025,252,248,250,2,264,270,0
425,0,43042500026,252,229,259,1,243,280,1
425,0,43042500027,252,230,255,1,250,269,1
425,0,43042500028,252,243,259,1,227,262,1
425,0,43042500029,252,223,250,2,260,264,0
425,0,43042500030,252,209,215,2,269,271,0
425,0,43042500031,252,214,246,2,237,276,1
425,0,43042500032,252,252,257,1,238,256,1
425,0,43042500033,252,232,256,1,259,269,0
425,0,43042500034,252,237,265,1,249,257,1
425,0,43042500035,252,234,238,2,253,258,0
425,0,43042500036,252,213,281,1,215,285,1
425,0,43042500037,252,235,243,2,229,240,2
425,0,43042500038,252,240,244,2,246,254,1
425,0,43042500039,252,260,261,0,217,233,2
425,0,43042500040,252,213,238,2,250,251,2
425,0,43042500041,252,199,263,1,275,282,0
425,0,43042500042,252,243,245,2,257,268,0
425,0,43042500043,252,266,281,0,257,265,0
425,0,43042500044,252,232,252,2,226,263,1
425,0,43042500045,252,245,270,1,246,261,1
425,0,43042500046,252,237,253,1,260,276,0
425,0,43042500047,252,228,249,2,246,251,2
425,0,43042500048,252,248,256,1,242,255,1
425,0,43042500049,252,247,259,1,244,261,1
425,0,43042500050,252,238,252,2,252,266,1
425,0,43042500051,252,235,244,2,237,273,1
425,0,43042500052,252,241,261,1,241,253,1
425,0,43042500053,252,259,272,0,240,244,2
425,0,43042500054,252,237,285,1,231,241,2
425,0,43042500055,252,241,251,2,224,277,1
425,0,43042500056,252,269,274,0,238,278,1
425,0,43042500057,252,232,251,2,250,253,1
425,0,43042500058,252,264,288,0,246,268,1
425,0,43042500059,252,214,248,2,264,274,0
425,0,43042500060,252,255,268,0,261,270,0
425,0,43042500061,252,216,263,1,259,261,0
425,0,43042500062,252,248,251,2,260,282,0
425,0,43042500063,252,267,268,0,270,273,0
425,0,43042500064,252,244,300,1,252,265,1
425,0,43042500065,252,245,302,1,232,244,2
425,0,43042500066,252,235,255,1,229,238,2
425,0,43042500067,252,249,252,2,254,256,0
425,0,43042500068,252,265,273,0,247,256,1
425,0,43042500069,252,210,257,1,227,228,2
425,0,43042500070,252,247,267,1,244,268,1
425,0,43042500071,252,252,271,1,250,301,1
425,0,43042500072,252,254,255,0,248,251,2
425,0,43042500073,252,266,273,0,256,272,0
425,0,43042500074,252,221,247,2,258,260,0
425,0,43042500075,252,243,254,1,259,260,0
425,0,43042500076,252,245,281,1,257,265,0
425,0,43042500077,252,233,242,2,235,248,2
425,0,43042500078,252,220,241,2,241,271,1
425,0,43042500079,252,240,250,2,252,254,1
425,0,43042500080,252,253,254,0,264,269,0
425,0,43042500081,252,250,274,1,253,263,0
425,0,43042500082,252,250,255,1,243,253,1
425,0,43042500083,252,247,249,2,242,253,1
425,0,43042500084,252,217,231,2,227,266,1
425,0,43042500085,252,241,255,1,228,292,1
425,0,43042500086,252,259,267,0,234,272,1
425,0,43042500087,252,255,257,0,225,239,2
425,0,43042500088,252,250,250,2,263,277,0
425,0,43042500089,252,247,258,1,217,248,2
425,0,43042500090,252,222,276,1,219,240,2
425,0,43042500091,252,229,235,2,245,262,1
425,0,43042500092,252,230,257,1,244,256,1
425,0,43042500093,252,258,266,0,248,250,2
425,0,43042500094,252,242,246,2,243,257,1
425,0,43042500095,252,244,246,2,255,263,0
425,0,43042500096,252,237,264,1,226,238,2
425,0,43042500097,252,288,295,0,220,243,2
425,0,43042500098,252,244,245,2,233,240,2
425,0,43042500099,252,240,255,1,214,228,2
425,0,43042500100,252,260,269,0,212,240,2
425,0,43042500101,252,235,246,2,240,256,1
425,0,43042500102,252,252,278,1,263,266,0
425,0,43042500103,252,221,249,2,225,249,2
425,0,43042500104,252,219,241,2,244,260,1
425,0,43042500105,252,242,253,1,261,262,0
425,0,43042500106,252,229,243,2,242,259,1
425,0,43042500107,252,241,256,1,208,252,2
425,0,43042500108,252,257,309,0,238,245,2
425,0,43042500109,252,249,256,1,236,240,2
425,0,43042500110,252,238,263,1,254,257,0
425,0,43042500111,252,247,255,1,241,252,2
425,0,43042500112,252,259,279,0,252,269,1
425,0,43042500113,252,230,259,1,283,288,0
425,0,43042500114,252,229,258,1,234,242,2
425,0,43042500115,252,242,271,1,223,237,2
425,0,43042500116,252,232,243,2,226,245,2
425,0,43042500117,252,230,240,2,258,260,0
425,0,43042500118,252,206,235,2,238,255,1
425,0,43042500119,252,266,267,0,241,250,2
425,0,43042500120,252,237,255,1,244,257,1
425,0,43042500121,252,227,248,2,267,277,0
425,0,43042500122,252,230,248,2,235,253,1
425,0,43042500123,252,267,281,0,255,290,0
425,0,43042500124,252,238,258,1,244,247,2
425,0,43042500125,252,249,254,1,263,268,0
425,0,43042500126,252,241,250,2,250,252,2
425,0,43042500127,252,234,284,1,262,279,0
425,0,43042500128,252,215,236,2,225,261,1
425,0,43042500129,252,245,258,1,257,286,0
425,0,43042500130,252,246,259,1,246,252,2
425,0,43042500131,252,246,276,1,248,276,1
425,0,43042500132,252,249,250,2,255,260,0
425,0,43042500133,252,203,269,1,258,270,0
425,0,43042500134,252,223,240,2,255,269,0
425,0,43042500135,252,271,282,0,254,258,0
425,0,43042500136,252,252,254,1,259,278,0
425,0,43042500137,252,217,243,2,218,259,1
425,0,43042500138,252,238,261,1,214,227,2
425,0,43042500139,252,244,266,1,261,270,0
425,0,43042500140,252,252,264,1,246,275,1
425,0,43042500141,252,239,246,2,241,243,2
425,0,43042500142,252,276,307,0,226,262,1
425,0,43042500143,252,250,252,2,240,251,2
425,0,43042500144,252,246,262,1,252,274,1
425,0,43042500145,252,243,245,2,240,242,2
425,0,43042500146,252,294,299,0,244,290,1
425,0,43042500147,252,239,244,2,273,282,0
425,0,43042500148,252,258,262,0,241,265,1
425,0,43042500149,252,216,234,2,203,245,2
425,0,43042500150,252,263,267,0,240,243,2
425,0,43042500151,252,251,277,1,223,246,2
425,0,43042500152,252,229,258,1,216,254,1
425,0,43042500153,252,228,232,2,266,295,0
425,0,43042500154,252,215,258,1,235,275,1
425,0,43042500155,252,283,288,0,266,286,0
425,0,43042500156,252,263,286,0,235,242,2
425,0,43042500157,252,277,293,0,245,258,1
425,0,43042500158,252,231,248,2,248,252,2
425,0,43042500159,252,232,275,1,248,252,2
425,0,43042500160,252,267,271,0,215,249,2
425,0,43042500161,252,221,230,2,226,255,1
425,0,43042500162,252,251,257,1,233,258,1
425,0,43042500163,252,219,236,2,222,277,1
425,0,43042500164,252,231,245,2,230,298,1
425,0,43042500165,252,240,261,1,229,263,1
425,0,43042500166,252,242,258,1,249,264,1
425,0,43042500167,252,237,260,1,272,275,0
425,0,43042500168,252,228,241,2,251,252,2
425,0,43042500169,252,220,259,1,271,284,0
425,0,43042500170,252,243,264,1,264,304,0
425,0,43042500171,252,237,252,2,235,281,1
425,0,43042500172,252,271,286,0,234,253,1
425,0,43042500173,252,262,265,0,229,278,1
425,0,43042500174,252,237,283,1,252,264,1
425,0,43042500175,252,240,252,2,225,267,1
425,0,43042500176,252,253,260,0,208,248,2
425,0,43042500177,252,236,281,1,253,259,0
425,0,43042500178,252,253,256,0,245,252,2
425,0,43042500179,252,210,247,2,237,256,1
425,0,43042500180,252,229,248,2,231,254,1
425,0,43042500181,252,266,279,0,246,269,1
425,0,43042500182,252,236,259,1,226,227,2
425,0,43042500183,252,248,301,1,259,278,0
425,0,43042500184,252,259,275,0,253,257,0
425,0,43042500185,252,263,267,0,231,242,2
425,0,43042500186,252,255,262,0,238,268,1
425,0,43042500187,252,255,266,0,217,243,2
425,0,43042500188,252,233,236,2,235,267,1
425,0,43042500189,252,259,264,0,241,272,1
425,0,43042500190,252,228,244,2,279,283,0
425,0,43042500191,252,247,279,1,250,258,1
425,0,43042500192,252,261,263,0,273,281,0
425,0,43042500193,252,238,239,2,263,275,0
425,0,43042500194,252,249,271,1,237,261,1
