N,channel,p,mean_F1,mean_F2,mean_A,mean_E,pointwise_se_F1,pointwise_se_F2,pointwise_se_A,pointwise_se_E
325,plus_S,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
325,plus_S,0.008,-1.0474e-320,2.09e-321,-8.39e-321,1.2564e-320,0.0,0.0,0.0,0.0
325,plus_S,0.009000000000000001,-8.6814107115947e-311,1.7281955640865e-311,-6.9532151475083e-311,1.0409606275681e-310,0.0,0.0,0.0,0.0
325,plus_S,0.01,-6.381676526731041e-302,1.2686655784132678e-302,-5.113010948317775e-302,7.650342105144309e-302,0.0,0.0,0.0,0.0
325,plus_S,0.011,-6.608241989579458e-294,1.3119184483381983e-294,-5.296323541241257e-294,7.920160437917655e-294,0.0,0.0,0.0,0.0
325,plus_S,0.012,-1.356364659804183e-286,2.6890856605597686e-287,-1.087456093748206e-286,1.6252732258601598e-286,0.0,0.0,0.0,0.0
325,plus_S,0.013000000000000001,-7.152400695322906e-280,1.4160742024038823e-280,-5.736326492919022e-280,8.568474897726786e-280,0.0,0.0,0.0,0.0
325,plus_S,0.014,-1.18542239739567e-273,2.3437540359136177e-274,-9.510469938043085e-274,1.419797800987032e-273,0.0,0.0,0.0,0.0
325,plus_S,0.015,-7.245243610135915e-268,1.430524657330965e-268,-5.81471895280495e-268,8.675768267466882e-268,0.0,0.0,0.0,0.0
325,plus_S,0.016,-1.8575844107441411e-262,3.662630259339124e-263,-1.491321384810229e-262,2.2238474366780536e-262,0.0,0.0,0.0,0.0
325,plus_S,0.017,-2.219878044586043e-257,4.370936648547077e-258,-1.7827843797313352e-257,2.6569717094407502e-257,0.0,0.0,0.0,0.0
325,plus_S,0.018000000000000002,-1.34929956342805e-252,2.6530983728823763e-253,-1.0839897261398123e-252,1.6146094007162875e-252,0.0,0.0,0.0,0.0
325,plus_S,0.019,-4.487922246076893e-248,8.812285749964928e-249,-3.606693671080399e-248,5.369150821073386e-248,0.0,0.0,0.0,0.0
325,plus_S,0.02,-8.689769320932376e-244,1.703917090215921e-244,-6.985852230716452e-244,1.0393686411148296e-243,0.0,0.0,0.0,0.0
325,plus_S,0.021,-1.0325952144001587e-239,2.0219293051525517e-240,-8.304022838849035e-240,1.2347881449154136e-239,0.0,0.0,0.0,0.0
325,plus_S,0.022,-7.880275625844323e-236,1.5408898415574027e-236,-6.33938578428692e-236,9.421165467401727e-236,0.0,0.0,0.0,0.0
325,plus_S,0.023,-4.017353416753602e-232,7.844463017144416e-233,-3.232907115039161e-232,4.801799718468044e-232,0.0,0.0,0.0,0.0
325,plus_S,0.024,-1.4159233955645482e-228,2.7609249357672498e-229,-1.1398309019878232e-228,1.6920158891412734e-228,0.0,0.0,0.0,0.0
325,plus_S,0.025,-3.5557158395677546e-225,6.923603788368516e-226,-2.863355460730904e-225,4.248076218404607e-225,0.0,0.0,0.0,0.0
325,plus_S,0.026000000000000002,-6.533530873915192e-222,1.2704046619948093e-222,-5.2631262119203826e-222,7.803935535910002e-222,0.0,0.0,0.0,0.0
325,plus_S,0.027,-8.993748360004859e-219,1.7463145753100023e-219,-7.247433784694856e-219,1.074006293531486e-218,0.0,0.0,0.0,0.0
325,plus_S,0.028,-9.471662897817925e-216,1.8365139576841806e-216,-7.635148940133747e-216,1.1308176855502104e-215,0.0,0.0,0.0,0.0
325,plus_S,0.029,-7.776152446370407e-213,1.5056278934470944e-213,-6.270524552923316e-213,9.281780339817504e-213,0.0,0.0,0.0,0.0
325,plus_S,0.03,-5.0615838679595e-210,9.786397083790533e-211,-4.082944159580447e-210,6.040223576338555e-210,0.0,0.0,0.0,0.0
325,plus_S,0.031,-2.6521621571813234e-207,5.120573425991496e-208,-2.140104814582174e-207,3.1642194997804736e-207,0.0,0.0,0.0,0.0
325,plus_S,0.032,-1.1341875020052964e-204,2.1866743997696545e-205,-9.155200620283312e-205,1.3528549419822621e-204,0.0,0.0,0.0,0.0
325,plus_S,0.033,-4.008370433638993e-202,7.716963683477818e-203,-3.2366740652912106e-202,4.780066801986773e-202,0.0,0.0,0.0,0.0
325,plus_S,0.034,-1.1841042686542893e-199,2.2763890790653256e-200,-9.564653607477569e-200,1.4117431765608218e-199,0.0,0.0,0.0,0.0
325,plus_S,0.035,-2.9543521611616554e-197,5.671466084517115e-198,-2.3872055527099425e-197,3.521498769613366e-197,0.0,0.0,0.0,0.0
325,plus_S,0.036000000000000004,-6.285134484384557e-195,1.2048216558961028e-195,-5.080312828488453e-195,7.48995614028066e-195,0.0,0.0,0.0,0.0
325,plus_S,0.037,-1.150104041379362e-192,2.2015016171149627e-193,-9.299538796678656e-193,1.3702542030908582e-192,0.0,0.0,0.0,0.0
325,plus_S,0.038,-1.8248067013772365e-190,3.487956049881563e-191,-1.4760110963890803e-190,2.1736023063653927e-190,0.0,0.0,0.0,0.0
325,plus_S,0.039,-2.5291171427780244e-188,4.827184527833954e-189,-2.0463986899946295e-188,3.011835595561421e-188,0.0,0.0,0.0,0.0
325,plus_S,0.04,-3.0829342920908084e-186,5.875686241158167e-187,-2.4953656679749917e-186,3.6705029162066248e-186,0.0,0.0,0.0,0.0
325,plus_S,0.041,-3.326240279962159e-184,6.330177174289227e-185,-2.693222562533236e-184,3.9592579973910814e-184,0.0,0.0,0.0,0.0
325,plus_S,0.042,-3.1951325232834156e-182,6.07180172293776e-183,-2.587952350989639e-182,3.802312695577192e-182,0.0,0.0,0.0,0.0
325,plus_S,0.043000000000000003,-2.747525586519481e-180,5.213572774212089e-181,-2.226168309098272e-180,3.26888286394069e-180,0.0,0.0,0.0,0.0
325,plus_S,0.044,-2.1257898406946304e-178,4.027889381902622e-179,-1.723000902504368e-178,2.5285787788848936e-178,0.0,0.0,0.0,0.0
325,plus_S,0.045,-1.4869070673710869e-176,2.8132158971480984e-177,-1.2055854776562768e-176,1.7682286570858963e-176,0.0,0.0,0.0,0.0
325,plus_S,0.046,-9.443992702292589e-175,1.7841666526771968e-175,-7.65982604961539e-175,1.1228159354969785e-174,0.0,0.0,0.0,0.0
325,plus_S,0.047,-5.46934176021648e-173,1.0317485691513354e-173,-4.437593191065145e-173,6.501090329367816e-173,0.0,0.0,0.0,0.0
325,plus_S,0.048,-2.899397107403787e-171,5.461400754572671e-172,-2.3532570319465194e-171,3.4455371828610544e-171,0.0,0.0,0.0,0.0
325,plus_S,0.049,-1.4120656602650817e-169,2.655872685211333e-170,-1.1464783917439486e-169,1.6776529287862156e-169,0.0,0.0,0.0,0.0
325,plus_S,0.05,-6.339603601581572e-168,1.190608440650685e-168,-5.148995160930889e-168,7.530212042232257e-168,0.0,0.0,0.0,0.0
325,plus_S,0.051000000000000004,-2.6322464092257147e-166,4.936127366222616e-167,-2.1386336726034537e-166,3.125859145847977e-166,0.0,0.0,0.0,0.0
325,plus_S,0.052000000000000005,-1.0138273507058527e-164,1.898345428997069e-165,-8.239928078061459e-165,1.2036618936055599e-164,0.0,0.0,0.0,0.0
325,plus_S,0.053,-3.63257908895731e-163,6.791663980261141e-164,-2.953412690931196e-163,4.311745486983423e-163,0.0,0.0,0.0,0.0
325,plus_S,0.054,-1.2140897066290775e-161,2.2665234058887595e-162,-9.874373660402017e-162,1.440742047217954e-161,3.5494610814814953e-162,1.5717277847026288e-162,3.752448654742064e-162,3.976191729144847e-162
325,plus_S,0.055,-3.794701631187351e-160,7.0734912380933505e-161,-3.0873525073780154e-160,4.502050754996686e-160,1.1033372322506566e-160,4.843115375077614e-161,1.1706259772393458e-160,1.2383379795363061e-160
325,plus_S,0.056,-1.1118401628020844e-158,2.0693965749991685e-159,-9.049005053021676e-159,1.3187798203020012e-158,3.229644980915897e-159,1.4175487738364877e-159,3.426789973724349e-159,3.624529339638932e-159
325,plus_S,0.057,-3.0608078527916885e-157,5.688280916780328e-158,-2.4919797611136557e-157,3.6296359444697216e-157,8.882366551975935e-158,3.8982922484176026e-158,9.42507558421922e-158,9.967657010034624e-158
325,plus_S,0.058,-7.934108879431806e-156,1.4722621138492543e-156,-6.461846765582553e-156,9.40637099328106e-156,2.3002248115632503e-156,1.0094353743686992e-156,2.4409005606162226e-156,2.581083565229832e-156
325,plus_S,0.059000000000000004,-1.9405276457410636e-154,3.5954001134920164e-155,-1.580987634391862e-154,2.300067657090265e-154,5.620445879859931e-155,2.4662754857478365e-155,5.964505329707429e-155,6.3062294195471565e-155
325,plus_S,0.06,-4.486910066686501e-153,8.300677950013598e-154,-3.656842271685142e-153,5.31697786168786e-153,1.298304050448792e-153,5.696522997902839e-154,1.3778569633875712e-153,1.4566071840343845e-153
325,plus_S,0.061,-9.82618726201801e-152,1.8150493021821723e-152,-8.011137959835834e-152,1.1641236564200178e-151,2.840478428862579e-152,1.2461996202867025e-152,3.0146957471562846e-152,3.18657683870176e-152
325,plus_S,0.062,-2.0417280435605195e-150,3.76562309969218e-151,-1.6651657335913014e-150,2.418290353529737e-150,5.896320249612677e-151,2.5866633451639034e-151,6.258316656937524e-151,6.614250684386887e-151
325,plus_S,0.063,-4.031941760735787e-149,7.424840657875259e-150,-3.2894576949482604e-149,4.774425826523311e-149,1.163250979209952e-149,5.102641418661121e-150,1.2347373449210764e-149,1.3047867102602609e-149
325,plus_S,0.064,-7.579280856368327e-148,1.393584083216461e-148,-6.185696773151866e-148,8.972864939584788e-148,2.1845524583103006e-148,9.581796255264773e-149,2.3189347692544597e-148,2.4501626092384247e-148
325,plus_S,0.065,-1.3583158112425463e-146,2.4936561626464538e-147,-1.108950194977901e-146,1.6076814275071918e-146,3.911198219908849e-147,1.7153674526467013e-147,4.1520348509253814e-147,4.386401785374502e-147
325,plus_S,0.066,-2.324148196909759e-145,4.260186465744065e-146,-1.898129550335352e-145,2.750166843484165e-145,6.685698232408851e-146,2.9319533089362996e-146,7.097791807973015e-146,7.497411124642019e-146
325,plus_S,0.067,-3.802069005895968e-144,6.958443300972468e-145,-3.10622467579872e-144,4.497913335993214e-144,1.0926375421867725e-144,4.791256219147477e-145,1.1600538292541313e-144,1.2251985282292484e-144
325,plus_S,0.068,-5.954500027110449e-143,1.0880855095685464e-143,-4.866414517541904e-143,7.042585536678997e-143,1.7095187981180224e-143,7.495665794695745e-144,1.815104600560279e-143,1.9167692728594444e-143
325,plus_S,0.069,-8.939032453759477e-142,1.6309181928401324e-142,-7.308114260919344e-142,1.0569950646599609e-141,2.563839485080116e-142,1.1240620406907718e-142,2.7223538832584818e-142,2.874433176725981e-142
325,plus_S,0.07,-1.287901433919588e-140,2.346100055223248e-141,-1.0532914283972634e-140,1.5225114394419128e-140,3.6902344911706993e-141,1.6177693082891905e-141,3.918626765830879e-141,4.136953050186882e-141
325,plus_S,0.07100000000000001,-1.782896782950829e-139,3.2427288544454265e-140,-1.458623897506286e-139,2.107169668395372e-139,5.103496673728623e-140,2.2371427917220903e-140,5.419686708783835e-140,5.720836330228153e-140
325,plus_S,0.07200000000000001,-2.3741306871675953e-138,4.311296288373682e-139,-1.9430010583302273e-138,2.805260316004964e-138,6.789156660414254e-139,2.9758086672882985e-139,7.210224835091663e-139,7.609785055790873e-139
325,plus_S,0.073,-3.044256639360409e-137,5.519523629861892e-138,-2.49230427637422e-137,3.5962090023465993e-137,8.696836755036552e-138,3.811657445116339e-138,9.236791686784309e-138,9.747260301247902e-138
325,plus_S,0.074,-3.762708515356479e-136,6.81139804612541e-137,-3.081568710743938e-136,4.443848319969021e-136,1.0738626854222474e-136,4.7061388428245e-137,1.1406060241175866e-136,1.2034678592260211e-136
325,plus_S,0.075,-4.487341421829725e-135,8.110327661441941e-136,-3.676308655685531e-135,5.298374187973919e-135,1.2793950857928131e-135,5.606401159453526e-136,1.3589982304125025e-135,1.4336882715750042e-135
325,plus_S,0.076,-5.168404189738631e-134,9.326476500355919e-135,-4.2357565397030384e-134,6.101051839774222e-134,1.4721046652136573e-134,6.450327404849956e-135,1.563797206065923e-134,1.6495020647405112e-134
325,plus_S,0.077,-5.754348592884755e-133,1.0367340795238197e-133,-4.7176145133609344e-133,6.791082672408574e-133,1.6373604892744394e-133,7.173829108108654e-134,1.7394574496624724e-133,1.8345198298014475e-133
325,plus_S,0.078,-6.198498379625925e-132,1.114977230979386e-132,-5.083521148646539e-132,7.313475610605312e-132,1.761975286235577e-132,7.719163813987894e-133,1.8719631926502716e-132,1.973975031178483e-132
325,plus_S,0.079,-6.465338459136673e-131,1.161120474066527e-131,-5.304217985070147e-131,7.626458933203201e-131,1.8359845706819536e-131,8.042725970075337e-132,1.9507191186187009e-131,2.0567164190559568e-131
325,plus_S,0.08,-6.53522542602325e-130,1.171794090939988e-130,-5.363431335083264e-130,7.707019516963239e-130,1.8539671452527277e-130,8.120825062193027e-131,1.9699545229386908e-130,2.076685706292923e-130
325,plus_S,0.081,-6.406656630535292e-129,1.146898760001785e-129,-5.2597578705335083e-129,7.553555390537078e-129,1.8156655891522733e-129,7.952394932050845e-130,1.9293841990962663e-129,2.033610429420336e-129
325,plus_S,0.082,-6.095769163441014e-128,1.0894899589822974e-128,-5.006279204458718e-128,7.185259122423315e-128,1.7258185522993807e-128,7.558249888740104e-129,1.834032011122067e-128,1.932813690119615e-128
325,plus_S,0.083,-5.633322001175096e-127,1.005214049495515e-127,-4.6281079516795815e-127,6.638536050670611e-127,1.5932820119459247e-127,6.97722750585692e-128,1.6932987668967796e-127,1.7842277036792364e-127
325,plus_S,0.084,-5.0598915072082847e-126,9.014312129690666e-127,-4.158460294239217e-126,5.961322720177352e-126,1.4296508451207515e-126,6.260145373412092e-127,1.5194986688986224e-126,1.6008482985746425e-126
325,plus_S,0.085,-4.420274622810888e-125,7.862057221904223e-126,-3.6340689006204667e-125,5.206480345001311e-125,1.247664968192917e-125,5.462817625771931e-126,1.3261662143522796e-125,1.396948977547533e-125
