k,count,sum_Sdef_qintact,sum_Sdef_Eintact
0,1,-29,29
1,25,-650,650
2,300,-6992,6992
3,2300,-48116,48116
4,12650,-238370,238370
5,53130,-898614,898614
6,177100,-2631240,2631240
7,480700,-5947148,5961556
8,1081575,-9975311,10391843
9,2042975,-10872402,14582618
10,3268760,-2546698,19898506
11,4457400,18240618,31869370
12,5200300,46190486,51803054
13,5200300,69012560,70552192
14,4457400,76415274,76687594
15,3268760,67196524,67224748
16,2042975,48290591,48291885
17,1081575,28666698,28666698
18,480700,14061040,14061040
19,177100,5656740,5656740
20,53130,1838960,1838960
21,12650,471640,471640
22,2300,91908,91908
23,300,12792,12792
24,25,1133,1133
25,1,48,48
