k,count,sum_q,sum_e,sum_sstar,sum_qsstar,sum_esstar
0,1,-1,1,29,-29,29
1,25,-25,25,650,-650,650
2,300,-300,300,6992,-6992,6992
3,2300,-2300,2300,48116,-48116,48116
4,12650,-12650,12650,238370,-238370,238370
5,53130,-52676,52676,908096,-899730,899730
6,177100,-169156,169156,2779344,-2647200,2647200
7,480700,-414814,415642,7060774,-6056300,6067284
8,1081575,-744329,769525,15270601,-10433753,10768293
9,2042975,-865719,1100557,28628540,-12173166,15278782
10,3268760,-319046,1429398,46991294,-5140966,20251494
11,4457400,1040830,2081302,67709790,14544488,30836568
12,5200300,2675844,3087140,85411010,42389282,49489914
13,5200300,3738290,3845356,93744316,66154964,68212964
14,4457400,3787892,3805736,88847516,74823080,75205084
15,3268760,3026330,3028062,72155622,66533512,66574664
16,2042975,1974585,1974659,49833161,48085979,48087921
17,1081575,1067039,1067039,29028626,28621802,28621802
18,480700,478504,478504,14121712,14054752,14054752
19,177100,176888,176888,5663324,5656320,5656320
20,53130,53120,53120,1839316,1838960,1838960
21,12650,12650,12650,471640,471640,471640
22,2300,2300,2300,91908,91908,91908
23,300,300,300,12792,12792,12792
24,25,25,25,1133,1133,1133
25,1,1,1,48,48,48
